Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
TBD,https://www.trailjournals.com//journal/entry/606885,"As I finish up today at work I can't hardly believe that I'll be retired in 15 days. I've spent the last 35 years working 24 hour shifts here at the firehouse in North St. Louis County. This is where this journey began. One night some 8 years ago I was watching a National Geographic show on the Appalachian Trail at work. Since then this has been my plan. I would retire hike the trail and transission into the next chapter of my life. I still love what I do professionally (especially the guys and gals I've done life with) but I'm ready for that next chapter. For the past several years I've followed others on Trail Journals, but now it's my turn. My Family, my wife, our 2 grown children and my son-in-law will be going on vacation to the Gulf Coast in mid March. On the way home I booked the night of March 20th at Amicalola Falls Lodge. On the 21st they will head north by vehicle and I'll head north by trail. Really looking forward to this.",,View Entry,"Feb 06, Wed",0
TBD,https://www.trailjournals.com//journal/entry/606957,"As I've stated earlier I've been planning this thru hike for several years. In December I went to an Ortho to see why I was having so much pain in my right knee. After he had x-rays taken he told me I needed a total knee replacement. Needless to say I was upset and asked him when I should I have it done. He stated, ""yesterday"". I told him that I would be getting a second opinion. I then made an appointment with a well known Sports Doc in my area. After explaining to him my plans he said he thought he could help. He injected my knee with Cortisone that day. I didn't get much relief. I also was fitted for a brace and was to make a second appointment to receive a gel injection. I received that injection 2 weeks ago. I'm back to around 80%. I'm continuing to work out at the gym and doing several hikes. This past weekend I did an 8 mile hike on some serious uneven bad frozen trails afer a bad freezing rain here in St. Louis. My knee feels pretty good. Everything is a go. 6 more work days before my retirement. Then I'll have a month to really test it out.",,View Entry,"Feb 11, Mon",0
TBD,https://www.trailjournals.com//journal/entry/607169,"On Feb. 23rd, 1983 I walked into the Fire House for the first time. That day I walking in with 3 oranges, a tooth brush and a tube of toothpaste. I didn't know anybody or what to expect. Today I'll walk out with fond memories and friendships that will last forever. As much as I've been blessed by this career and my brothers and sisters, I'm looking forward to the next chapter in my life. That starts with the AT. Looking forward to meeting new people and the friendships that will be.",,View Entry,"Feb 19, Tue",0
TBD,https://www.trailjournals.com//journal/entry/608619,Didn’t have service last night. So let me recap Day 1. Lorie and the kids dropped me off a mile away from Springer Mt. it was hard seeing them leave. Made it up Springer and took a couple of pictures. I still struggle with how to put them in the journal. Today’s hike reminded me of Missouri as far as the climbs. Everywhere you turned there were beautiful views. Met several people today. A nice guy from Pittsburgh (he doesn’t have a trail name yet either) and a really good guy named Match’s from NH. Just as I was filtering water for the night it started raining and sleeting. Thankfully it didn’t last long. I set everything up and hung out by the shelter for a while. I know I was in bed by 6:30.During the night a near by army base was flying practice missions. They were really close. The winds gusted through out the night but the tent held up just fine.,"Springer Mountain 
",Hawk Mountain Shelter,"Mar 21, Thu",8.10
TBD,https://www.trailjournals.com//journal/entry/608620,"Today was a really hard day. My knee brace is tearing up my thigh. The ups and downs were tough. 12.5 miles with just under 3000’ of climb. There was a big party being thrown tonight at Gooch campground. A lot of hikers had stopped there around 2:30. I decided to push on. As I was walking out of the Gap, this guy comes running up to me and said, “hey are you a thru hiker?”  I said, “that’s the plan but I’m taking it day by day”.  He them said you want an Apple. My first trail magic. I pushed on to Woody Gap, that made 12.5 and I wanted no more. As I walked up to a trash container to pitch my trash, this lady hollered to me “hey are you a thru hiker?” Again, I stated that was the plan. Her and her husband asked if I wanted a cold hamburger and a cold soda. I said that sounded wonderful. This couple lives in Pensacola, Fl. She thru hiked in 2000. I sat in their lawn chair and killed that burger. As we talked I realized that they were in the same 11 o’cloacknowledge church service at the Florabama as we were. They gave me a ride to a hostel I’m staying at. All by my self.","Hawk Mountain Shelter
","Suches, GA","Mar 22, Fri",12.50
TBD,https://www.trailjournals.com//journal/entry/608670,"Woke up and hitched a ride back to Woody’s Gap. It was a beautiful spring weekend day and the trail was crowded. I again received trail magic from a church group out of Nashville. My knee brace is tearing up my leg. So I pulled it off after about 2 miles.Today was a lot of ups and downs. With the biggest up in Georgia. Blood Mountain, 4457’ in elevation. I want to tell you, it didn’t disappoint. The views were incredible. You could see downtown Atlanta. Those views didn’t come easy. Man, that was a real butt kicker. Then it was 2 miles straight down. As we ended the day at an outfitters in Neel Gap. I let the expert there go over my gear and do a shake down. I sent home a bunch of electronic stuff, (sorry Frank) my map book and some water socks. 2.5 lbs. Doesn’t sound like much but my knees will greatly appreciate it. The expert told me that I have to much food. Tonight I split a cabin with a guy from Pennsylvania. He’s young a pounds those hills.","Suches, GA
",Neel Gap,"Mar 23, Sat",10.70
TBD,https://www.trailjournals.com//journal/entry/608748,"Woke up today around 5:30. It was without a doubt the best night sleep I’ve gotten so far. We (Joe from Pennsylvania) immediately started with a big climb. Him only being 26, pulls ahead but never out of site. I have a feeling that is going to change. It was another beautiful day. I’m sweating like crazy. At around 9 miles we came down to a Gap and there was trail magic. It was a local Christian guy who offered a prayer over all of us. I gladly excepted. He also shocked me when he asked if he could make me a salad. I said sure. After that Joe and I had one last climb and a big down hill into the shelter. After setting everything up it was down for water make dinner, hang the bear bags. Update on the aches and pains: knee is starting to hurt more. Still not wearing my brace, trying to let my thigh heal. They’re forecasting 90% chance of rain tomorrow. We’ll see. Good night sweetheart.","Neel Gap
",Low Gap Shelter,"Mar 24, Sun",11.20
TBD,https://www.trailjournals.com//journal/entry/608805,"Woke up around 5 o’clock and started packing everything up. I slept terrible last night. The ground wasn’t level, the guy two tents over was snoring so bad it sounded like an old chainsaw. Joe and I hit the trail around 7:30. We averaged 2 miles an hour with breaks and filtering water. I finally tried my sharp cedar cheese with spicy tuna fish tortilla. Not bad. First day it’s rained since I’ve started. Bad as bad as I thought it would be. So the last mile and a half to where I was ending for the day there was a 1000 foot descend from a bunch of wet rocks. It was brutal. I swore this is hit. Both of my knees were screaming. Joe and I hitched a ride to Hiawassee, Ga. The only rooms in town are at a Holiday Inn Express. We ate at a home cooked buffet, pretty good. Took a shower, icing my knee and getting ready for tomorrow.","Low Gap Shelter
",Unicoi Gap,"Mar 25, Mon",9.80
TBD,https://www.trailjournals.com//journal/entry/608907,"Got on the trail at 9:30. Started with a 1000’ climb into a 1000’ decline, into 1300’ climb up Tray mountain. It started pouring right at 3pm like my weather app said it would. The only problem, I didn’t get to this site until 4:30. Tent is up, wet clothes off and dry ones on. It’s suppose to rain until 10 or so tonight and then be really nice until Sunday. I’m cold and hungry. I’ll write more tomorrow. God Bless","Unicoi Gap
",Addis Camp Site,"Mar 26, Tue",11.50
TBD,https://www.trailjournals.com//journal/entry/608987,"Last night was rough. I hiked in a steady rain for an hour and a half. Set up my tent in the rain. The first thing I did was get out of those wet clothes. I ate a Cliff Bar and went to bed. It stopped raining sometime in the middle of the night. I woke up it was 34 degrees. I quickly put on my wet clothes, broke camp and started hiking. Today overall was a good day. I ate lunch with brothers from Colorado who hitch hiked to St. Louis and caught a Grayhound bus to Atlanta. They were drinking Hamm’s tall boys with their lunch. I can’t imagine carrying that extra weight. Oh to be young I guess. Tonight I’m staying in a 3 story shelter. I’m really hoping that there are no serious snores here tonight. We’ll see. Tomorrow I’ll be leaving Georgia. These mountains have been seriously hard.","Addis Camp Site
",Plumorchard gap shelter. ,"Mar 27, Wed",9.90
