Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Tank,https://www.trailjournals.com//journal/entry/606909,"I now have all of my equipment and continue to use it on a fairly regular basis. My physical training is a priority as time is getting close. Was asked the other day why I would subject myself to such misery? The only thing I could say is that one person's misery is another adventure. Will set out Sunday on a local 24 mile shakedown hike. I continue to check off a long list of ""things to do"" at home before my departure. Can't wait to get on the trail!",,Local,"Feb 08, Fri",0
Tank,https://www.trailjournals.com//journal/entry/607008,"I left Sunday afternoon on a 12 mile shakedown hike carrying my anticipated full load of 39 pounds. I'm fortunate to live on the Mississippi River and utilize the miles of levee system to train on. Although I can't mimic elevation, I can utilize the grade for ascending and descending. It was 40 degrees the previous day, however this day turned out to be 70 degrees with a predicted low of 62 at night. I reached my destination at about dusk and pitched my tent between the levee and a stand of woods. I then set up my sleep system, unpacked my pack and cooked inside my tent because of the mosquitoes. It rained hard at night for about an hour with some wind and my Zpacks Duplex tent performed well. I made a list of things that needed tweaking and at this point, every experience is chalked up to training and preparation.
The following morning, I packed up and started the 12 mile trek home. All went well, but this hike drove home the magnitude of hiking the Appalachian Trail for months. I'll continue my training regimen while anxiously anticipating my start date.",,Local,"Feb 11, Mon",0
Tank,https://www.trailjournals.com//journal/entry/607852,"And now I board the train to Gainesville, GA and I’m incredibly thankful for all that I have. We completed a tour making final visits or dinner dates with the kids/grandchildren, and hosted a farewell party at home with a bonfire in the pasture. Rachael and I also took a trip to Florida to enjoy the sunshine and spend time together. The number of calls, text messages, emails and journal guestbook entries of well wishes have been truly heartwarming. Trust that although I may not respond, I will read each one!
I will meet my shuttle tonight and travel to Amicalola Falls for the night. I’m beyond excited as it’s time to put all my dreams, preparation and training onto the field.",,View Entry,"Mar 10, Sun",0
Tank,https://www.trailjournals.com//journal/entry/608032,Hiked down a mile from the Amicalola Lodge to the visitor center where I participated in a thru hiker orientation and signed in as #800 for the year. Our packs were weighed and we were individually gauged as to our preparations for the hike. I was incredibly impressed in the manner and organization by the ridge runner conducting the presentation. Headed out and tented on Springer Mountain. It rained for the final 2 hours of 11 mile hike. I guess we got all of the 20% chance that evening.,"Amicalola Falls
",Mount Katahdin,"Mar 11, Mon",11
Tank,https://www.trailjournals.com//journal/entry/608033,"Headed out of the Springer Mountain campsite @ 7:45 this morning. The night was cold but the sky cleared and I could see the illumination of the moon through my tent. As I looked out of my tent flap, the stars seemed close enough to touch due to the elevation and the lack of any light pollution. It sounded as though I was tenting on the beach because the extreme wind sounded like waves crashing. I woke up to witness daybreak the packed up and headed out. Stopped along the trail and ate breakfast as well as lunch. Trekked hard and made it to Gooch Mountain at 4:45, completing 15.5 miles. The weather warmed up and it was pretty on the trail. Lots of views with the lack of foliage.","Springer Mountain
",Mount Katahdin,"Mar 12, Tue",15.50
Tank,https://www.trailjournals.com//journal/entry/608036,"Hit the Blue Blaze out of Gooch Mountain this morning at 6:45, and it was still dark. When I made it to the white blaze I glanced at my compass and then the time and noticed that it was Thursday, March 14th. I then walked the next two hours wondering where I lost a day. I counted the couple of nights I pitched my tent and ate supper then ultimately realized that when setting my watch to daylight savings time, then again to eastern time the calendar advanced also. I’ve studied hiker fatigue, but kept thinking, not already! I could tell I was the first hiker on the trail because of the spider webs. Anyway I covered 15.6 miles making it to Neal Gap. I hadn’t intended to trek that far, but was encouraged, while visiting with one of the ridge runners on the trail, due to a severe weather line moving through. Split a shuttle into Blairsville, GA where I’ll hold up at a small hotel.","Gooch Mountain 
",Mount Katahdin ,"Mar 13, Wed",15.60
Tank,https://www.trailjournals.com//journal/entry/608101,"Spent last night and again tonight at the Seasons Inn Hotel. I would be disappointed to zero this early, but I had two incredible days of mileage that it took the sting out of it. Blairsville is a quaint little town with a population of about 700. A lot of hikers have gotten off of the trail to avoid the weather. I definitely came out on the plus last night with my $7.00 all you can eat pizza buffet dinner paired with a couple of salads. After breakfast this morning, I got my laundry done and headed out to the Chick-Fil-A for lunch. On the way back I stopped at the CVS for chapstick and use the ATM. The lady working the register at the CVS said, “we just love hiking season!” I then stopped at the Foodland grocery store to pickup some re-supply items because I intend to take advantage of the coming good days of weather. I also bought some strawberries and milk to go along with my breakfast in the morning. The elderly gentleman hanging out at the register at the Foodland said in his north Georgia accent, “You one of them hikers?” I replied yes sir. He said “don’t let one of them bears get you!” I smiled and said no sir, I’ll run really fast! :) I’ll continue my calorie stacking at dinner tonight in preparation for getting back out on the trail. I will split a shuttle out tomorrow morning at 7:00 to Neels Gap, along with another hiker, to resume this great adventure. 
Many thanks to all of you who have left messages on my guestbook. Know that your comments and encouragement lift my spirits at the end of a long day of hiking.","
",Mount Katahdin ,"Mar 14, Thu",0
Tank,https://www.trailjournals.com//journal/entry/608153,"Waiting for the shuttle, I was like a race horse locked in a chute waiting for the gate to open. Shuttled back to Neels Gap this morning and started out at 8:00. It rained with heavy fog, before clearing out at about noon. That’s ok though as there’s a particular beauty of being in the woods when it’s raining. Hiked 18.8 miles today and tenting near the Blue Mountain shelter. Only saw 3 other hikers on the trail, but there are a few more at the shelter. The wind is howling on the mountain top and temperatures are predicted to get down to about 25 degrees. It was a great day and the weather is predicted to be good for the next several days. I’ll post more photos when I get a strong enough signal or make it into town. Life is good!","Neels Gap
","Mount Katahdin, Maine","Mar 15, Fri",18.80
Tank,https://www.trailjournals.com//journal/entry/608211,"Woke up this morning after a restless night with sub-freezing temperatures and a howling north wind. Even though I have a 20 degree bag, I had to get moving to warm up. I felt pretty good after a marathon day yesterday. I packed up my things inside my tent then put my pack outside while I took my tent down. When done, I struggled to put my boots on. They were obviously still wet from yesterday’s rain with water running down the trail like a stream when ascending and descending. I then went to the bathroom and lowered my food bag down from the tree on the way back to my gear. The whole time thinking, you wanted adventure, you got it! I headed out and it took about 30 minutes or so for my boots to thaw. I continued hiking well past when I would have normally stopped for breakfast because of the cold and I wanted to get out of the wind. At some point, I was out of energy and stopped near a small stream for breakfast. Shortly after a church group of 5 people happened by and asked if I was a through-hiker. They then gave me a couple of small oranges, probably the best I’ve ever had! I headed out again and was battling fatigue from elevations when coming out of Unicoi Gap, just 2.5 miles into my day. I could feel my energy level rising slightly and felt a little better. When just about finished with my morning prayers, and coming down into Indian Gap, I noticed a few cars and trucks. More importantly, there were a few tables set up with people scurrying around. Could it be? Yes! I had happened upon my first trail magic experience. I was the first one there and soon joined by other hikers coming down the mountain. We all enjoyed homemade vegetable soup, fresh fruit, hot chocolate, soft drinks and chips. What a blessing at a time when I seemed to need it the most. Many thanks to the Smith family and friends for their generosity. Every March they leave their homes in central Georgia and head to the AT to perform trail magic. As I sit in my tent near a shelter at Deep Gap, the Smith’s and their friends are the main topic of conversation. I ended the day with 15.5 miles and with good legs and luck, I’ll cross the Georgia/ North Carolina border tomorrow.","The Blue Mountain Shelter Area
","Mount Katahdin, Maine","Mar 16, Sat",15.50
Tank,https://www.trailjournals.com//journal/entry/608394,"Another cold night last night, getting down to 28 degrees. The wind did subside some. Set out at 5:30 and began my hike in the dark. I like the peacefulness of walking through the woods at night. The other plus is that you’re already on the trail for daybreak and sunrise. I’ve seen lots of squirrels and birds, but this morning saw a red fox on the trail. We both stopped and looked at each other before she trotted off. At about noon today, I crossed the Georgia border and entered North Carolina. Although there are 13 states remaining, this was a small and badly needed milestone. John, the guy I met a couple of days ago when completing the 18 mile day is tenting in the same site again. He’s an attorney who became unhappy with his job. He quit his job, sold his house and has plans to finish the AT in early July and then begin the PCT ( Pacific Crest Trail). He is using this time to take stock of his life and make a decision on his future. I know that sounds radical, but in our brief conversations I feel like he’s got a handle on it. I suspect he’ll remain in law, but change his practice. We hike well together, but unfortunately I’m an early riser and he like to sleep late. When nearing the end of my hike today, I caught a low hanging tree limb over my right eye. I only mention this because of swelling that may be noticeable in photos. Took time out near the stream while filtering water to soak my feet in the stream. I’ve developed some tendinitis on the inside of my left ankle that I’m trying to manage. The stream water is extremely cold, but I kept my feet in until they were numb. We’ll see how this goes.","Muskrat Creek
","Mount Katahdin, Maine","Mar 17, Sun",15.40
