Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Treecycler,https://www.trailjournals.com//journal/entry/522230,"Well, the planning has begun for the sixth - and hopefully, final - phase of our Appalachian Trail hike. My father and I - ""Kikker"" and ""Treecycler"" - started at Springer Mountain in 2008, hiking for a month and ending at Hot Springs. Since then we've been hiking the A.T. on the ""installment plan,"" one month at a time. In 2010 we made it to Atkins, VA. In 2012 we ended our hike at the south end of Shenandoah National Park, and in 2013 we hiked to Duncannon, PA. Last year, we finished our month on the trail in Stormville, NY. And this year, our goal is to make it all the way to Katahdin. More to come as the planning really gets underway...","
",View Entry,"Mar 01, Tue",0
Treecycler,https://www.trailjournals.com//journal/entry/522941,"Living in the Midwest, I don't have any mountains to climb in preparation for our A.T. hike. So my weekly training consists of a combination of the following:  1) One or two four- to six-mile runs on the gravel roads around our house, using the trekking poles and trail running shoes;2) A four or five mile hike along the river bluffs half an hour away (with 20 to 25-lb pack);3) Hour and a half gym workout (running, weight machines and stair climber)4) Walking the back stairs at work (about 525 steps); 5) Ten-mile bike ride.Which ones I choose depend on the weather and my other obligations. But as my father and I have often said to each other, the only real training that gets you in shape for the Appalachian Trail is hiking the Appalachian Trail. You can't replicate hiking all day, every day, over mountains, carrying thirty or forty pounds of gear, in any other way except by just doing it. Ever since we started hiking the trail a month at a time, the pattern has been: spend the first two weeks on the trail getting up to speed. By the midpoint of the third week, we're up to 14 to 15 miles per day, which is a good speed for us. And seven or ten days later, we have to stop and head home again. This time, with a three-month trip planned, we're looking forward to getting our Trail Legs and keeping them.","
",View Entry,"Mar 08, Tue",0
Treecycler,https://www.trailjournals.com//journal/entry/527340,"With less than a month to go until we hit the trail, I have ramped up my training:
Sunday: 4-mile run and strenuous yard work
Monday: weightlifting and 30 minutes on the stair climber with a 25-lb pack
Tues/Weds: 2 mile walk only (rest/recovery)
Thursday: 40 minutes bicycling over hills
Friday: 5 sets of stairs (530 steps) with 25-lb pack
Saturday: 8.2 miles of hiking up and down river bluffs with 35-lb pack.
Today's hike felt surprisingly good, and I'll follow that with another 4-mile run tomorrow. At this point, a couple of workouts per week isn't enough. My goal is to get the body used to working hard every day. It can be difficult to pull that off with a full-time work schedule. But sometimes, as with stair climbing, a short workout can pack a real punch.","
",View Entry,"Apr 09, Sat",0
Treecycler,https://www.trailjournals.com//journal/entry/527344,"I've picked up a hobby that keeps me motivated to hike in new and different places - my Hiker Jacket. I figured out recently that all the cool people wear things with patches on them: bikers - veterans - Girl Scouts. I think the evidence is pretty clear. So last year when I was recovering from knee surgery, I started sewing all the patches I've collected from trips over the years on to the back of an old denim jacket. 
The patches are from state parks, trail systems, national monuments, fossil dig sites, and more. Now that it's nearly full, I'm finding I really enjoy the ""patchwork quilt"" look. I'm seeking out patches of certain colors to balance what's already there, and saving a few spots for ones I know I'll acquire sometime down the road. It's a great way of remembering some of my favorite adventures at a glance, and it keeps me looking forward to the next hike - and the next patch!","
",View Entry,"Apr 10, Sun",0
Treecycler,https://www.trailjournals.com//journal/entry/530406,"Only thirteen days left until we are back on the Appalachian Trail. The gear is purchased, the lists checked off. Ten boxes of food are assembled and ready to ship. 
So in the midst of the pre-hike craziness, I went out for Thai food on Monday night. This is the fortune I received.   Yikes.","
",View Entry,"Apr 28, Thu",0
Treecycler,https://www.trailjournals.com//journal/entry/531942,"We made it to Rangeley, Maine last night, at about 8 pm. We started driving just before 4 pm on Friday from Minnesota, and drove through the night to get to ME by Sunday. Three-hour shifts during the day, two hours at night, and one person drives while the other sleeps. All meals were eaten in the car. We have to move fast in order to catch our shuttle ride down to NY Sunday morning. We had the usual troubles with road construction and navigating around I-80 in Indiana, but we didn't plan for Moose Delays. I saw more moose in VT, NH and especially ME yesterday than I have seen in my life. Twelve in all! Crossing roads, munching vegetation in the swamp, staring at us quietly from the side of the road. Twice we had to stop to let them cross the road in front of us. Then we made it to our hostel and got set up in the last nice bed we will see for some time. Tore the packs apart and repacked all the gear. And this morning we hopped in the shuttle right on time! Later today we'll be back on the trail.","
","Rangeley, ME","May 06, Fri",0
Treecycler,https://www.trailjournals.com//journal/entry/533157,"Got on the trail this afternoon, after a long shuttle from Maine from the one and only Paddy O (thank you so much!). We hiked a comfortable 3.9 miles to Morgan Stewart shelter in sunny, cool weather. Learned that we have just missed a solid week of rain. According to the shelter registers, we are ahead of the vast majority of this year's thru-hiker Class of 2016.","Stormville, NY
",Morgan Stewart shelter,"May 08, Sun",3.90
Treecycler,https://www.trailjournals.com//journal/entry/533165,"We had good terrain to start out on our first full day. Nice and easy and no major climbs. That's probably why we were able to do more than 12 miles. Met our first southbound (SOBO) section hiker, Chance, after a snack stop at Nuclear Lake. We wish him well and hope to see him down the trail. The views from the ridge tops are lovely, with all of the trees decked out in their first spring greens. Spring flowers so far include Vasey's trillium and jack in the pulpit. We had a welcome afternoon break at Native Landscapes - very hiker friendly place! Great to relax on the porch with a cold drink. The head nets came out once we camped. Gnats are plentiful.","Morgan Stewart shelter
",Woods campsite,"May 09, Mon",12.80
Treecycler,https://www.trailjournals.com//journal/entry/533170,"We finished New York today! 9 states down, 5 to go! Another good day in terms of terrain and weather. 70 degrees with some clouds. Today we met Grasshopper, section hiking in preparation for the Long Trail, and enjoyed our lunchtime chat with him. (Who knows, maybe we will see you in VT.). Hiked along the Housatonic River and also saw one of our favorite flowers from down South, gaywings. The end of day climb to the campsite was tough for tired legs. A little while before arriving I spotted a rattlesnake 8 feet off trail, curled up in the leaves. It didn't have any interest in us. Cold night again but at least it's always warmer in the tent than in a shelter.","Woods campsite
",Schaghticoke Campground,"May 10, Tue",13.50
Treecycler,https://www.trailjournals.com//journal/entry/533171,"The first three days are catching up with us. Muscles are tight and tired. It was hotter today and the hiking was harder - many ups and downs. The flip side of hiking this early in the year is that there is very little shade in the woods - the trees just aren't leafed out yet. So a hot day can feel that much hotter. We came down the St. John's Ledges in the afternoon when we were already tired (Grasshopper told us about these...) Very steep descent over and around large rocks and boulders. Thankfully, the last several miles were flat ground along the Housatonic. Not a bad day, just challenging.","Schaghticoke Campground
",Stewart Hollow Brook shelter,"May 11, Wed",10.20
Treecycler,https://www.trailjournals.com//journal/entry/533196,"Today started out with a wonderful 3 mile hike along the river. Second breakfast was at Silver Hill Campsite and I am sorry we weren't able to stay here. It has a kitchen pavilion and a two-person swing. From there, the trail got hotter (temps up to 80) and bumpier, with more of the ""PUDs""(Pointless Ups and Downs) we have come to expect. Stopping for breaks at streams, rather than overlooks, is our new favorite activity - bare feet in a cold stream cools you down fast. We are still working on getting our Trail Legs (toughening up the feet and muscles so we can go further and faster), which will probably take a good two weeks. So far, we have averaged a snake sighting per day, which is always a treat. Mostly garter snakes, a rat snake and that rattler. There are chipmunks all over in the forest, which may explain the healthy snake population. 
There's barely a soul on the trail during the week. We meet about four other hikers a day, most of them local. We were the only ones at the shelter again tonight.","Stewart Hollow Brook shelter
",Pine Swamp Brook shelter,"May 12, Thu",10
