Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Woofie & Wooly Booly,https://www.trailjournals.com//journal/entry/608624,"We’re looking forward to our 2019 AT hike full of optimism, enthusiasm, and excitement.  Last year’s hike through the Balds and Hump Mountains of Tennessee and through the Grayson Highlands of Virginia filled with wild ponies was spectacular.  In this year’s hike through southern VA we hope to see many more beautiful and interesting sites.  We’re starting in mid-April as usual to avoid possible wintry conditions and still get a couple months’ hiking in before the summer heat becomes intolerable.",,View Entry,"Mar 22, Fri",0
Woofie & Wooly Booly,https://www.trailjournals.com//journal/entry/608675,"We’re still planning to use our car, our “chuck wagon” as we call it, as a mobile “bounce box” full of all the supplies we’ll need for the hike.  We have a 2-month’s supply of Mountain House meals in the car, so we won’t have resupply problems along the way.  We won’t have to carry any town clothes in our packs; those are waiting for us in the car.  And we can swap out our heavier cold weather gear for lighter, warm weather gear when the time comes.  No mailing things home, buying new clothes, or depending on mail drops.
Last year was our first full hike using the chuck wagon approach, and it turned out great with lots of advantages, but also a few disadvantages.
Pros: Besides those mentioned above, we actually got to rest on zero days.  We didn’t have to walk miles to do town chores like doing laundry, finding places to eat, or resupplying provisions.  But we did get to visit places in towns like museums, antique stores, and other point of interest.
Cons: We didn’t get hiker rates at motels or hostels when we pulled in with our car.  And we had to pay for shuttles up and down the trail so we could hike back to the town where we left it.
Using the car is a more expensive way to hike, but it does provide more freedom of choice in town as well as an easy way to get back home if an emergency arises.",,View Entry,"Mar 23, Sat",0
Woofie & Wooly Booly,https://www.trailjournals.com//journal/entry/608965,"We met lots of interesting people on last year’s hike.  On our second day we met a guy whose mom’s birthdate was exactly the same as Woofie’s.  The morning we left the Boots-Off Hostel we met a guy who had camped the night before in the no-camping area near Watauga Lake and then complained to us that he’d lost his food to the bears.  No surprise there.  And one poor sole was having a terrible time on the trail because his dog was injured, and he’d just discovered that someone was accessing his bank account.  
Our favorite interesting person was Half-Slow, a Vietnamese hiker we met while climbing Little Hump Mountain.  He recited a Shakespeare poem from memory to us because he was so impressed that we were hiking at our “advanced age.”

 
We’re looking forward to meeting many more interesting people this year.  They’ll be hiking the AT.  That’s interesting.",,View Entry,"Mar 27, Wed",0
Woofie & Wooly Booly,https://www.trailjournals.com//journal/entry/609770,"With about two weeks to go before this year’s hike it’s time to start final preparations.  I called our shuttle driver, Rambunny, today to arrange a tentative pick-up date.  We plan to drive to Marion, VA on Thursday, Apr 18.  We’ll park our car at the Mount Rogers National Rec Area building on Friday morning, and Rambunny will shuttle us about 24 miles north to the trailhead at VA 42.  Then we’ll enjoy our hike south back to the car.
Over the next couple days I’ll be checking out our gear--putting up and repacking the tent, testing the water filter, checking the headlamp batteries, filling the bottle of alcohol for the stove, and practicing packing the backpacks.  Practicing ensures that not only we can find what we need when unpacking, but also that we know where everything belongs when packing up quickly in the mornings. 
That’s a lesson we learned at the first shelter we stayed at in the Smokeys.  It took us over two hours to pack up, and we were the last ones to leave.  Then we had trouble finding things the next night, because we hadn’t assigned set places for everything in the packs.  After a couple days we knew exactly where each item in our pack belonged.  That not only reduced our packing time, but also kept us from forgetting things at a campsite like lots of hikers do.  Last year we met a hiker returning to a campsite where he’d left his hiking poles behind.",,View Entry,"Apr 06, Sat",0
Woofie & Wooly Booly,https://www.trailjournals.com//journal/entry/610711,It turns out that the weekend we wanted to start our hike is Easter weekend. That and the forecast for three straight days of rain we’d be starting in led us to postpone our start day to the Monday after Easter.  But that’s ok. It’s only three days. Last year we had to postpone for two weeks because of snow & sub-freezing temps.,,View Entry,"Apr 17, Wed",0
Woofie & Wooly Booly,https://www.trailjournals.com//journal/entry/611547,"Made it to Marion, VA Saturday in the rain and got our room at the Econo lodge. WiFi was good but cell service was very weak.  Spent Easter Sunday relaxing and getting our packs ready.  Marion is very hiker-friendly. Lots of hikers are in town. 
Tomorrow’s the big day.",,View Entry,"Apr 21, Sun",0
Woofie & Wooly Booly,https://www.trailjournals.com//journal/entry/611548,"We got to the Mount Rogers National Rec Area HQ at 8 am when they opened and registered our car in the long-term parking area. Rambunny picked us up at 8:15 and drove to Atkins to pick up another couple, Pie Man & Viva, who was also getting a shuttle ride to the same place we were.  
The good news was that the fare was split between us so it cost less. The bad news was that the driver and other 3 passengers got the actual seats. I had to sit on the spare tire in the back of the van with everyone’s backpacks.  But thanks to seeing only out the back window, I got to see a red fox running across a field after the car went by. 
We got to our drop-off spot and were hiking by 9:20.  It didn’t take long for our bodies to let us know that it’s been almost a year since we did anything this strenuous. But the weather was perfect — sunny and 60-75 degrees. 
We found a good campsite near a spring, and there are a few other hikers here with us. One is a thru-hiker, Ian, from England. He once lived near where we were stationed in England, so we had a good time talking. 
We’re going to do another short day tomorrow, so our bodies don’t complain so much.","VA 42
",Tent site 552.6,"Apr 22, Mon",5.70
Woofie & Wooly Booly,https://www.trailjournals.com//journal/entry/611550,"We woke up this morning to 37 degrees at 6am, but with full sunshine, it warmed to the 60s by the time we started hiking at 8:15. Little did we know that the day would turn into a late June day, hitting 87 by mid afternoon. 
It was a gorgeous day to be in the woods—just being, not hiking. With our out-of-shape bodies and ?record? heat, we had to take many breaks.  But that was ok to stop hiking and enjoy being on the trail. We even took a half hour nap around 1pm. 
And as we made our way along the trail we met several northbound thru-hikers.  We met Lord Hobo & Disk (like a Frisbee). They were too young to know the significance of my Wooly Booly trail name.  I told them it was a song. They said they’d look it up,
Later we stopped to talk to Capt Handy, and then a woman from MD with the trail name Firefly.  I also stopped to talk to a guy named Tijuana, who also journals on Trail Journals. We’ll have to look for his journal when we get into town. 
Tomorrow we’ll be getting to Atkins for a great breakfast in a restaurant called The Barn. It’s right on the trail because the trail there is a road walk on Rt 11. Then we’ll head down the trail to the Chatfield Shelter, the first shelter we’ve come to since we started.","Tent site 552.6
",Tent site 547.4,"Apr 23, Tue",5.20
Woofie & Wooly Booly,https://www.trailjournals.com//journal/entry/611551,"Tiffany, Renegade, and Gummy Bear came into camp last night and we met them today before we all departed for the day’s hike. 
We got going by 8 and made it to the Barn restaurant by 9 and had a great breakfast.  Pieman and Viva were also there. Pieman’s going home, but Viva is continuing southbound to Georgia, so she’ll be at our shelter tonight. 
After breakfast we hiked another 1.5 miles and then took a break. Along came a northbound hiker called Yuwasa, Indian for “alone.”  He said “yuwasa wey” in Indian means lone wolf. 
After we got going again, we came to a stream that we had to cross barefoot carrying our shoes to keep the them dry.  The water was freezing cold but felt really refreshing in the 80+ degree heat. 
Before we got to the shelter we met Blacksmith & Hank the dog from Maine. 
At the Chatfield Shelter were Grumper and Viva.  Viva saved us a spot for our tent, because ours was the only spot big enough for a 2-person tent.  Grumper got his name from his 11-year old grandson, whom he’d taken hiking on the AT for several hundred miles. 
Later Mosey, Napster, Smirk, Columbus, Dr J, GMA, and Buck Wild came to the shelter. Dr J and GMA are young men who came from Germany just to hike the AT. When everyone learned I had a small scale, they all wanted me to weigh their packs, so I was a hit. Finally, it was worth the effort to carry it in my pack. Columbus is on Trail Journals, too, and said he’d seen our journal. Before we all turned in for the night, Buck Wild sang the Wooly Bully song for everyone, since the youngies had never heard it.","Tent site 552.6
",Chatfield Shelter,"Apr 24, Wed",6.40
Woofie & Wooly Booly,https://www.trailjournals.com//journal/entry/611553,"Today was supposed to be a cloudy day. We left the shelter before 8am at 60 degrees and cloudy, perfect weather for hiking. It was a tough climb leaving the shelter. Half way to the top of Glade Mountain we stopped at a scenic view of Walker Mountain in the distance. Before we left, it started raining, so we put on our rain gear. As soon as we started hiking again it stopped raining. The rest of the day was just partly cloudy. 
Along the way today we met Mountain Dew and later Two Tents. They are both on Trail Journals. Two Tents got his trail name because he said he’s too tense much of the time.  He was carrying a bear canister to keep his food safe. Some states are planning to make them mandatory for hikers on the AT. 
Later in the day Woofie stopped by a tree along the trail to tie her shoe better.  But as she was doing that a very large rock fell from the side of the trail and hit her in her calf. Fortunately Woofie has strong leg muscles, and that boulder just bounce off her without even leaving a mark. 
We ran into Viva again also heading to the Rec Area Visitor Center, so we offered her a ride to Marion, VA with us. She was already there at the visitor center when we got there. We drove her to her motel and then we went to ours across the street.  After we got showered and changed, we picked her up again and we all had a terrific pizza.","Tent site 552.6
",Mount Rogers Nat’l Rec Area HQ,"Apr 25, Thu",6.80
