Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Bluebird,https://www.trailjournals.com//journal/entry/625580,"In 1974 we moved to middle Tennessee and my Dad took us to see the Smoky Mountains.  We walked up the observation tower on Clingman's Dome.  I saw the white blazes and hikers with big packs and was intrigued.  Right then and there I decided I wanted to hike the AT some day.  Who knew it would take 45 years to get there??  It seems once the AT bug has bitten you can't let go of the thoughts of a thru hike.  I will be going northbound (NOBO) and plan to take my time and soak in this experience I have been waiting so long for.  My trail name will be Bluebird as most of my gear is blue and I tend to have a sunny disposition (think bluebird of happiness).  Two years ago a college friend introduced me to another aspiring AT thru hiker, Stickman, who lives in Pennsylvania.  We haven't met in person but have had many hours of discussion about backpacking and the AT.  We will be starting out on the approach trail on February 21.  I welcome your comments and questions about this grand adventure.",,View Entry,"Jan 16, Thu",0
Bluebird,https://www.trailjournals.com//journal/entry/625583,"Over the years I have read many books, watched lots of hours of videos filmed by thru hikers, and surfed the internet exhaustively finding dozens of websites with great and inspiring information.  I am grateful that so many hikers have been willing to share their experiences. I have to give a special shout out to the Wander Women - Kristy, Annette and Lynn.  They are around my age and vlogged their 2019 AT thru hike.  Their positivity, love for the outdoors, pure joy, and boundless enthusiasm for the trail are contagious and inspire me greatly.  Thank you Wander Women!",,View Entry,"Jan 17, Fri",0
Bluebird,https://www.trailjournals.com//journal/entry/625861,"If the success of my thru hike is determined by the support of family and friends, I have already succeeded.  I am so touched and grateful for the encouragement and enthusiasm I have received regarding this adventure.  Your advice, prayers, gifts, positive thoughts and motivation are so appreciated.  I will carry thoughts of them on the trail and reflect on them, especially during hard times.  Don’t ever doubt the impact your good thoughts have on me.  I am blessed.",,View Entry,"Jan 19, Sun",0
Bluebird,https://www.trailjournals.com//journal/entry/625917,"Several people have asked me how food resupply works on the trail.  There are different ways to do it.  You can prepare and package food ahead of time and have it shipped to you along the trail, you can buy it along the trail as you go, or you can do a combination.  I will mostly be buying my food at stops along the way (grocery stores, Wal-Mart, Dollar General, convenience stores etc).  In addition, I have a ""trail boss"" who will be sending me a few food resupply boxes to specific spots that I know don't have good resupply options or are expensive.  Shout out to my dear high school friend Suzy who is my trail boss.  She will also be sending and receiving gear and clothes as the weather and my needs change.  This photo shows some of the food and supplies I am sorting and packaging.",,View Entry,"Jan 23, Thu",0
Bluebird,https://www.trailjournals.com//journal/entry/625959,"2,200
The approximate length of the Appalachian Trail in miles. It's not that the length of the trail is unknown, but rather that the distance changes year to year, based on trail modifications such as switchbacks and reroutes. In 2019 the trail was 2192 miles long.  This amounts to approximately 5,000,000 steps!
14
The number of states the AT crosses. From south to north: 1. Georgia 2. North Carolina 3. Tennessee 4. Virginia 5. West Virginia 6. Maryland 7. Pennsylvania 8. New Jersey 9. New York 10. Connecticut 11. Massachusetts 12. Vermont 13. New Hampshire 14. Maine.
16
The number of times an AT thru-hiker would climb up Mount Everest. Compared to trails in higher elevation mountain ranges, many falsely assume the AT to be relatively flat. In fact, over the course of the Appalachian Trail’s 2,192 miles, thru-hikers gain and lose over 464,464 ft., or more than 89 miles.
165
The number of days it takes the average person to complete a thru-hike. Thru-hike durations can range from a full-year to a blistering 46 and a half days (the current speed record), but most will complete their 2,192 mile trek in five to seven months, with the average being a week or two shy of six months.
6,643
The highest elevation in feet along the Appalachian Trail, at Clingmans Dome in Great Smoky Mountains National Park.
165,000

The approximate number of white blazes marking the Appalachian Trail.   This averages out to about one white blaze every 70 feet. 
5,500
The number of calories required for a hiker to maintain his or her body weight during a typical day of backpacking. In other words, a hiker could eat 11 Big Macs throughout the day and still be at an energy deficiency. Typically, after a few weeks on trail, many thru-hikers achieve the celebrated “hiker hunger,” a near-inability to be sated by any amount of food. 
5,500
The average dollar amount spent during the course of a thru-hike. Hikers estimate spending between $2 and $3 per mile on trail, for an average range of $4,400 to $6,600. This money goes toward food, lodging, laundry, transportation, gear upgrades, etc. 
0 - 4,000
The initial dollar outlay for gear. This depends on how much gear one already owns and how appropriate it is for a thru hike.  Most who set out on the trail will fall somewhere in the middle of this range.
4-5
The number of pairs of shoes most thru-hikers go through. In general, if you can get 500 miles out of your footwear, you're doing well.  Certain terrain, like the extremely rocky trails of Pennsylvania, will chew through footwear at a much faster clip. 
262
The number of shelters on or along the trail. The AT is lined with more than 250 three-walled structures which serve as refuges for hikers, averaging out to approximately one shelter every 8 miles.",,View Entry,"Jan 27, Mon",0
Bluebird,https://www.trailjournals.com//journal/entry/626113,"With just under two weeks to go before I start the Approach Trail, the excitement and eagerness are building. I resigned from my position as a teacher's assistant with autistic young adults, am packing up my rental house, and preparing to put my car in storage. On Tuesday my cats are going to live with my son Paul. He plans to put them on a diet and whip them into shape! Things are falling into place. 
The gear picture shows all I will be carrying with me. Well, almost all. I realized after I took the photo that I left out my electronics items (charging cord and battery pack). My total pack weight with food and water will be between 25 and 30 pounds. This should decrease some once the weather warms and I can get rid of some of the winter items.  It may also decrease once I realize I am carrying items that I don't really need. I would love to be closer to 20 pounds total pack weight.
Hikers on the Appalachian Trail have 3 options for sleeping quarters. They can sleep in a shelter, or in a tent or in a hammock. I am a light sleeper so am not sure shelter sleeping is for me but am willing to try anything once. My tent is a 2 person and is quite roomy and comfortable. Shelters along the trail vary in size and condition. Most are 3 sided wooden structures; usually they are designed to hold 8 hikers (although fitting in more sardine style is common)!
My sleeping bag is rated to 5 degrees. During the warmer months one part of it can be completely removed and sent home which will help with weight. I'll have 2 sets of clothes - one for hiking and one for sleeping. My food goes in a bag that is made to be impervious to a variety of critters including bears, raccoons and chipmunks. I will still probably hang it in a tree or on a bear pole most nights. I may go stove less during the warmer months and eat food that doesn't need to be rehydrated or can be cold soaked. I'm carrying a personal locater beacon initially but think I will find it unnecessary and may send it home. 
I've had the chance to test all my gear and feel comfortable with it. But I'm also aware that things may change out on the trail and am willing to consider swapping out items along the way.Bluebird",,View Entry,"Feb 08, Sat",0
Bluebird,https://www.trailjournals.com//journal/entry/626268,"Such an abundance of feelings swirling in my heart as I prepare to travel to Amicalola Falls State Park and begin the big adventure.
Here are some...
Excited - I'm getting to do something I have thought about for 45 years!  To say I am thrilled would be an understatement.
Grateful - for my family members and dear friends who are supporting me every step of the way.
Sad - Hard to say goodbye to my two wonderful sons.  I will miss them dearly.
Exhausted - moving twice in 6 months is not for the faint of heart.  Add to that the myriad details that must be dealt with when leaving town for 6 months.  Thankfully my hiking buddy Stickman planned an extra day at Amicalola before we start hiking.  I will spend part of that time catching up on my sleep!
Apprehensive - another thru hiker shared this with me today - it's GA-ME time (get it, Georgia to Maine :)).  No amount of research can compare with the actual experience of hiking the trail.  I have a healthy respect for the AT and know it will be a huge challenge.
Reflective - thinking back over my life and the path I have taken.  And what that path will look like after the AT.  Looking forward to lots of time to ponder, consider, evaluate, examine and reflect.
Determined - I can do this!  And will put every ounce of effort into this endeavor.
Joy - there is a Wess Stafford quote that I love - ""Joy is a decision, a really brave one, about how you are going to respond to life.""  Today and every day I am choosing joy.
Bluebird",,View Entry,"Feb 18, Tue",0
Bluebird,https://www.trailjournals.com//journal/entry/632464,"This was our first day of hiking although these miles aren’t considered part of the Appalachian Trail.  We hiked from the Amicalola Lodge to Springer Mountain Shelter via the approach trail and Len Foote Trail.   We thought we would take the Len Foote since we had done part of the approach trail yesterday when we registered and got our thru hiker tags.  It was a perfect day for hiking - temps in the mid 30’s and sunny.  We had a pleasant lunch sitting on the porch at the Len Foote Inn in the sunshine.  We met up with another hiker - a British guy who was carrying quite a load  (we found out later his gear included a laptop and a ukulele :)).  Very pleasant chap.  We arrived at Springer Mountain, the southern terminus of the Appalachian Trail, took pictures, signed the log book and headed to Springer Shelter two tenths of a mile away to set up our tents.  There were quite a few people in and around the shelter.  The British hiker set up next to us and proceeded to put on every piece of clothing he had with him.  We were visited by an ATC ridge runner.  We had our first trail dinner, filtered water and turned in early.",,View Entry,"Feb 21, Fri",0
Bluebird,https://www.trailjournals.com//journal/entry/632465,"Today we officially began the Appalachian Trail!  It was another perfect day for hiking and there were lots of folks on the trail.  The shelter and tenting area were filling up fast when we arrived.  There were some section hikers camped next to us, and lots of thru hikers in the shelter.  We met Sea Soldier (from England) and Thumper (from Virginia).  Sea Soldier shared a nightcap with Stickman.  It was another early night, easy to do when sunset is at 6:30.","Springer Mountain Shelter
",Hawk Mountain Shelter,"Feb 22, Sat",8.10
Bluebird,https://www.trailjournals.com//journal/entry/632466,"We have been tromping up and down all along but today was our first chance to climb for a longer distance,  We met up with Sassafras Mountain.  It was a challenge for me, not so much for Stickman.  We encountered our first trail maintainer on the trail and stopped to thank him for keeping the trail in good shape.  We stopped short of our intended campsite, as I wasn’t sure I could make it.  We camped beside Justus Creek and Stickman built a fire.","Hawk Mountain Shelter
",Justus Creek,"Feb 23, Sun",6.10
