Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Carolyn ,https://www.trailjournals.com//journal/entry/624440,"This month (actual day not in stone yet) one year from now, I will be flying to Georgia to begin hiking the Appalachian Trail. The goal is to complete a thru hike. 
They say this journey is life changing. I imagine that to be true, one can’t hike nearly 2200 miles over approximately 6 months, through 14 states carrying just the bare essentials on your back and not be changed in some way.  This will be an enormous challenge for me and one that will take all the courage I have.  I will be tested in every way, physically, mentally and spiritually. I can attempt this because I have an incredible husband and children who support me and above all else, believe in me, which in turn helps me believe in myself. And if I can’t for any number of reasons complete the trail, at the very least, I will have tried. No shame in that.
 The AT has held a big part of my heart for many years now. I have a list of reasons why I yearn for this trail. In the end, and an end is one thing guaranteed for all of us. I don’t want to have any regrets. No “ wish I did.” No “I should have.” If I’ve learned anything, we are here, on this earth, for only a limited amount of time, we don’t know how long that time will be and we can be a dreamer or a doer. I’m choosing the latter. 
It’s a desire deep in my soul. Some will understand, many won’t. This is okay. It’s my story to live.  The task of preparing for this will consume most of the next twelve months. I have spent countless hours reading every book about the AT that I could get my hands on, reading blogs from past thru hikes, watching u tube videos, researching gear, following current hikers, learning about mail drops and resupplying and making lists but now, the real preparation will being: Conditioning by body and my mind for this epic journey. 
I post this today because, while I’m not brave, I am determined. I have fears about all that lies ahead, but above all, I’m excited for the challenge. And if I put it out there, if I say it out loud and share my intentions, then it brings it one step closer to becoming a reality.
So if you should see me with a gigantic pack strapped to my back out training over the next 12 months, say, maybe in the supermarket walking up and down the isle (kidding, well maybe not) give me a shout out and perhaps a few words of encouragement because Lord knows I’m going to need it! 
Now off to chase that dream....",,View Entry,"Mar 01, Fri",0
Carolyn ,https://www.trailjournals.com//journal/entry/624441,"I was first introduced to the Appalachian Trail when I was in my mid-20's. At the time, I belonged to a photography club. Each month, they (the club) would bring in a guest speaker. This one particular month, a man came in to tell his story of his journey on the Appalachian Trail. He shared with us a slide presentation (yes, photo slides! I’m that old) of amazing photos he had taken during his six months on the trail. His storytelling was such an inspiration, I was in awe and remember thinking that I too would love to do that “someday."" That was the spark that lit a small flame. I had no way of knowing at that time, it would become a burning fire inside me.
The idea of hiking the AT was a fantasy for more than 21 years after I first learned of the trail. I was a wife and a stay at home mother. I had a full family life with all its responsibilities. I was busy and happy. A 6-month adventure during those years were not an option or a possibility and I had different priorities. The intrigue of the trail never left me though, and I still believed in “someday.” As my children grew and I had more “me time,” I started to focus a little on my needs. I was overweight and under active. With encouragement from a friend, I joined a running group and in time, began to enjoy running. With more confidence in myself and more time on my hands, my desire to try hiking grew. So, when a friend said she would join me on a weekend hike to the AMC High Huts in the White Mountains of NH, I laced up my boots and headed North. That trip was magical, and the flame that was sparked 20 something years earlier began to grow. In the 5 years that followed, there were numerous weekend hikes up to the Huts. The mountains were calling me and I heard and responded to their call. There is an indescribable feeling when you’re standing on top of a mountain that you just summited, a mountain that took every ounce of energy inside you to get you there. When all you can see is pure untouched wilderness as far as the eye can see. My words fail miserably to describe the grandeur of it all. As faith would have it, on these hikes, I would cross paths with several Appalachian Thru-Hikers. It was an opportunity to hear their stories of the trail and I ate it up! I had so many questions for them. Infatuated with their stories, I began buying and reading all the books about the AT I could find. This, in turn, added more fuel to my dream of hiking the trail. Over the last 4 years, I have invited everyone and anyone who was in proximity of me, to hike with me and would talk endlessly about the allure of a thru-hike. If you knew me, you knew the AT was on the top of what we now refer to as a “bucket list."" Sadly, there were no bites. How does a dream become a reality? When you set your intentions. When you say it out loud. When you believe it to possible. Several months ago, while in REI, I picked up an Appalachian Trail Thru-Hike Planner. I brought it home and read it cover to cover. It was then, I decided it was time to have a serious conversation with my family. 
Although preparing for the trail will take months, in the sense of researching and purchasing all the gear needed to live, cook and sleep in the woods for six months, preparing resupply boxes to be sent to the trail, making sure things at home are in order and physically getting my body ready for the demands of the trail, I think the sacrifices of 6 months of hiking will ultimately be the biggest challenge. The trail will be inherently hard. There is no doubt, I will sore, cold, tired and dirty. I will be afraid at times, other times feel lonely and there will be no comforts of home. The trail will be a trial!
No doubt finishing the trail is the ultimate goal, but most people are out there for more personal reasons. For me, self-growth tops my list and that’s a big one for me as I have always been reluctant or more truthfully, afraid, of doing things alone. Self-discovery: to learn what I’m capable of. To experience nature. To push myself physically and challenge myself beyond my comfort zone. And to live a simplified life for a little while. That is what I’m hoping to attain from this journey.
This will be an epic challenge. The Appalachian Trail is not a walk in the woods, it will test who I am to my core. In addition to the physical challenge, I believe the mental challenge may be the biggest obstacle. How does one strengthen their mental muscle? Can they? With the positive physical gains I have made over the last few years, I suspect, in turn, it has helped my mental game to some degree. A successful thru-hike will take drive and determination to see it through. Is that something that can be built or is it something one inherently has? If I’m being honest, I don’t know if I have what it takes to complete the trail, what I do have is a desire to try.",,View Entry,"Apr 01, Mon",0
Carolyn ,https://www.trailjournals.com//journal/entry/624443,"Came off the trail yesterday with so much more love, confidence, drive and desire after experiencing four amazing days and 41 miles section hiking the AT from Lee Ma to North Adams. For me, it was what is called a “shakedown hike”, an opportunity to carry all the gear that I will be taking with me in March when I attempt my thru-hike. My take aways were plentiful as I learned so much in these four short days. I learned 31.5 lbs is considered heavy by thur-hikers standards and I need to work on lowing my pack weight. I learned to always carry a backup in case your water filter fails you. I learned that my new tracking device only works if l truly know how to operate it. I learned that mice like my sleeping bag as much as I do. I learned my body can be sore and my feet tired but I can still feel incredibly wonderful. I learned just how strong my legs are. Climbing down can sometimes be just as hard as climbing up. I like the sound of rain on my tent but definitely prefer the sun on my back. There are many different degrees of MUD. Pepperoni and a cheese stick wrapped in a tortilla makes the most delicious trail lunch and Snickers can and will help you up the mountain! It was an opportunity to learn by doing and I believe in that respect, it was successful.And amongst all the lessons learned, we shared smiles when we were blessed with trail magic. We had great conversations over many miles (except for on the ups, nearly impossible to talk then?) We met and shared shelters with some amazing and interesting people. There was singing and a little swearing. We sweat and we smelled but we came away feeling proud with a overwhelming feeling of accomplishment.",,View Entry,"May 26, Sun",0
Carolyn ,https://www.trailjournals.com//journal/entry/624444,"This past week was an amazing self growth experience for me. I did my first solo backpacking trip. I spent five days on the Appalachian Trail (AT) starting in Cornwall Connecticut hiking to great Barrington in Massachusetts. It was 45 memorable miles. The temperature was humid and in the high 90s, the bugs could carry you away and then there was the rain and despite all that, I had an amazing time! I met some exceptional people who were kind and encouraging. I experienced incredible beauty in the mountains, hiking in the woods and through the fields. Truthfully, I was nervous to go alone. I find hiking (most everything really) more enjoyable when shared with a friend. As it turned out, alone was how I was meant to be. I returned home happy that I braved the solitude and have gained a little more confidence in myself and my capabilities. Today I’m stronger for it.",,View Entry,"Aug 26, Mon",0
Carolyn ,https://www.trailjournals.com//journal/entry/624451,"I did it! Made it official. One way ticket to Atlanta Georgia....booked! I leave home on March 4th. Tom, my wonderful and supportive husband and my son Rob will accompany me on the flight. My daughter Kelly, will fly from her home in Wisconsin to join us. Together we will spend two nights at Amicola Falls Lodge where we will celebrate my sons birthday. I plan on beginning my hike at the approach trail to Springer Mountain on March 6th the day of his 20th birthday. 
I already know how hard it’s going to be to say goodbye to them. I anticipate a tearful goodbye  but I’m so very grateful to have a family who loves and supports me! Without their encouragement and belief in me, this crazy dream of mine would never be possible.",,View Entry,"Sep 10, Tue",0
Carolyn ,https://www.trailjournals.com//journal/entry/624695,"Physical preparation.
I have never been athletic. An athlete is not even a word I would use if asked to describe myself.  In fact, quite the opposite is true. Yet despite how I view myself, over the last several years I have managed to run four half marathons. Although It was I who did the actual running, I believe the successful completion of those races were due to the coaching I received. More specifically, a given training plan. A printed paper, a 3 month guide, a schedule, a written formula for success that I put on my refrigerator followed fatefully and checked off daily.
Long distance hiking is different. I’ve heard it said, the best way to physically train for a thur-hike is to hike.  That makes a lot of sense and yet I feel there may be more to it. Over the last seven months leading up to my start date, I have tried to consistently run three to four miles two times a week and I attended a local gym where I work on strength training and balance. Throughout the summer, I hiked as often as my schedule allowed but sadly there is no “How to Successfully Complete an Appalachian Trail Thru-Hike Training Plan” hanging on my refrigerator.
Social media is full of people offering their ideas and advice. You don’t have to look far to find a multitude of different opinions. Some even say, “no training needed, you’ll get your trail legs while hiking the trail.”
I personally feel I need to do more. I want to feel better prepared before I set out on my journey. Today I took my pack to the gym, wore it with all my gear, set the treadmill on rolling hills and walked for seven miles. I can tell you, it’s definitely more enjoyable hiking seven miles in the woods but the ability to bang out the miles on a consistent basis I believe, is invaluable for preparing my body for the stress it will be enduring day after day while I am on the trail. In addition to the added treadmill training, it is my intention to add some stairs into my weekly routine. 
Over the next four months, this is how I plan to physically conditions my body in the hopes of building my cardio endurance, strengthening my body to handle the weight of my pack and most importantly, aid in preventing injury. Because, let’s be real here, a body in its mid fifty’s is going experience some pain. So I will take the advice of those who have gone before me and start slow when I begin the trail, keeping my daily miles around eight to ten. 
Yet with all of that, there are no guarantees I will make it to Maine. I will however feel more confident in my ability, and that can only help me reach my goal.“Preparation doesn't assures victory, it assures confidence.” Amit Kalantri",,View Entry,"Nov 01, Fri",0
Carolyn ,https://www.trailjournals.com//journal/entry/625280,"My why.
I was twenty five years old when I lost my dad. He died much too young. Cancer, more specifically a brain tumor took him from our family. His birth name was Robert Henry Vattes, to me he was dad, but most simply called him Bob. 
A true outdoorsmen. His passion for fishing would have him up before the sun and on the shores of the Wachusett reservoir, the “Resi,” as he referred to it. Occasionally, I would go with him. We would walk in the woods for what felt like miles to get to “his spot” there, he would set his fishing polls in their holder near the edge of the shore where the water meets the sand. Sitting on the shore, he’d take out his yo-yo and ever so patiently watch and wait for a fish to bite, that  yo-yo going up and down, up and down, up and down. As a young girl, I thought of this as pretty boring. Now looking  back, I understand the allure and the peace it must have brought him. 
Fishing wasn’t his only passion. 
He was an avid hunter and would often head into the woods with rifle in hand. We (my sisters and I) were taught responsibility and respect for firearms at a young age. We always ate whatever was brought home. Having a mother who is 100% Italian meant everything went into the spaghetti sauce! And it was always delicious! 
He never brought me along on any of those hunting trips. I’m certain it was for my own safety but as the only male living in a house with 4 females, I’m sure he valued the solitude of the woods. 
Trapping was another sport he enjoyed. Of the three, this is where I hold most of my memories of him. Tagging along, sometimes through the woods on foot, sometimes down the river by canoe, I’d watch as he set and checked his traps. I learned about many of the animals that make their home along the river banks. Muskrat, mink, otter, fox and beaver. It was there, I was taught the circle of life. 
As I write this, I realize the way he lived his life may be controversial to some. My intention is not to stir emotions or anger in anyone who does not agree with these practices but only to say it was my foundation. To my father, it was a life of purpose and passion.
Although hiking or backpacking was never something I was introduced to as a child, I did grow up camping. It was how we vacationed each summer. The 1979 Rockwood pop up pulled by my dads Ford pickup.  I’m sure to my parents, it was the most economical and affordable way to take a family of five on vacation every year but to us, it was nothing but pure fun! To this day, nothing carries founder memories then the smell of a campfire. 
Maybe growing up this way somehow laid the foundation for my love of the trial. Perhaps being surrounded by nature gives me another chance to feel my dads presence. There is no denying, walking through the woods brings me joy. 
Alaska was on the top of my dad’s bucket list. A dream of someday seeing the wilderness country. A fitting choice for the outdoorsman that he was. Unfortunately, that dream never happened. He never had the opportunity. He died at just forty-nine years old. I did not know at the time what an impact losing him at such a premature age would have on how I view life and ultimately the way I choose to live mine.
Ironically, at forty-nine, I was diagnosed with cancer and on my 50th birthday, underwent surgery to have a melanoma removed from my right shin. A small scare given the history and the timing, however today, I’m  blessed to already have four more additional years on this earth than did my father. Consequently, I now look at things a little differently. Truth is, life is a gift. A precious gift not to be taken for granted. How much time do we have? That’s a question with no known answer. One only hopes to have a long life with the time to do all the things they dream of. Often we wait, putting off experiences, saying someday, but for some, someday never comes.
So why am I hiking the Appalachian Trail? I saw a YouTube video today that really summed up “my why.” The title: Everyone Dies But Not Everyone Lives. It went on to say there was a hospital study done of one hundred elderly people facing death, they were asked their biggest regret in life. They all said it wasn’t the things they did in life that they regretted but the things they didn’t do. The dreams they never pursued. Powerful stuff! 
It also went on to say, people don’t choose dreams, dreams choose them and to then ask the question, do you have the courage to follow the dream that picked you? More powerful stuff! 
Thru-hiking the AT - this crazy, epic dream that chose me. I’d like to believe my dad is in someway behind it. I have often wondered if he were alive today, would I have his support and encouragement? Would he join me on the trail?  Perhaps just a section...where the fishing is good. ??",,View Entry,"Dec 14, Sat",0
Carolyn ,https://www.trailjournals.com//journal/entry/626100,"Transition. It’s a word I find myself using quite often these days. We are currently getting our house ready to be put on the market. The house my husband and I built 15 years ago. The house we raised our family in, the house we saved for and dreamed about building during the first 12 years of our marriage. With our children now grown and a growing desire to simplify life, selling our home is something I’ve been wanting to do for a few years  and yet, now, it’s seems painfully very bittersweet. Many years of celebrations and wonderful memories were made in this house. I continue to tell myself it’s not the walls and roof that make a house but the memories made inside, and those,  I can take with me - for they will always be stored in my head and in my heart. The older I get I find myself seeking a simpler life, an easier life, one of minimal material possessions. Its funny how priorities change and those “things” that once meant so much, along with the desire to acquire, becomes obsolete. 
I am so stressed and yet blessed all at the same time.The timing is certainly not ideal and given the choice I wouldn’t be packing up everything I own in life, selling my house, preparing to building a much smaller one and leaving in less than a month on the biggest 6 month adventure of my life all at the same time! And though I do believe we all have choices in life, life often unfolds on its own time. Seriously, who am I to question or complain. All good stuff happening - I’m just feeling a little overwhelmed. 
So as the boxes head into storage and the “little things” that we never got around to fixing now get attention, I’ll relish in the memories and hold back the tears. I can only hope that the family that lives here next will love our house much as we do. When my departure date comes, I’ll pause a little longer before heading out the door for what will most likely be my last. 
If all goes as planed, and honestly, who knows, our current house will sell quickly and I will be coming back from the trail to a new home. While I’m heading North through the woods, my husband will be overseeing all that is involved with selling and rebuilding. I feel confident leaving it in his very capable hands. His plate will be full in addition to working full time and yet, he still plans on visiting me occasionally along the trail. Couldn’t be more thankful for the wonderful man that he his! 
My days have been consumed by everything involving the house and in turn, has left me with little time to obsess over my gear. I’m choosing to look at that in a positive light and I’m trusting my gear choices will serve me well. If not, I will figure it out along the way, right?  
As busy as I find myself, in truth, it has not keep the fears of my impending epic test of endurance from setting in. The nerves are all to real and lately at the forefront of my thoughts. I’ve been asked the question more than once, are you nervous? Heck ya I am. But I’m also filled with excitement and great anticipation! I’ve done a pretty good job of convincing myself that it’s normal to have all these feelings. After all, I’m about to step very far out of my comfort zone! I know that is where growth begins and I’m ready and willing. 
It’s nearly time to ...stop talking it and start walking it. And so, it is with a grateful heart I prepare to let go all that was and step boldly into whatever will be....",,View Entry,"Feb 07, Fri",0
Carolyn ,https://www.trailjournals.com//journal/entry/626859,"I’m finding it really hard to write here out on the trail. I’m nearly a week in and this is the first time I’ve picked up the pen. 
Saying goodbye on day one was really difficult. I didn’t know a heart could be filled with so much happiness and heartbreak all at the same time. Tom, Kelly and Rob flew to Georgia with me two days prior to my start date, and I got a surprise visit from my sister who drove eight hours up from Florida to see me off! We had two days of family fun and celebrated Rob’s 20th birthday before I started the trail on Friday morning. 
I started at the iconic arch at the beginning of the Approach Trail under a sunny but chilly sky and climbed the 600+ stairs up the most amazing waterfall I have ever seen. It’s beauty helped to distract me from the difficulty of carrying my fully-loaded pack that got weighed in at registration minutes before at 36 pounds. My legs felt strong, and I was thankful for all the time I put in preparing for this moment. 
I reached Springer Mt Shelter around 3 o’clock that afternoon and set up camp for what was to be the coldest and windiest night ever! The AT was going to test me right out of the gate and remind me that I truly was leaving all the comforts of life as I knew it, behind.
There was about nine of us camping at Springer Mt Shelter that night, but there was little conversation. It was just too cold to be standing around, and we all retired to our tents to shield ourselves from the relentless wind gusts. When morning came, we helped each other with frozen water bottles and made wind shields with our hands to keep our stoves lit so we could cook a hot breakfast and have a cup of coffee before hitting the trail.
I made new friend. His name is Jimmy, but we now call him “French Roast."" It’s a name I bequeathed on him and he accepted. A fitting name for his admiration for a finer cup of coffee.","Amicalola Falls Approach Teial 
",Springer Mt Shelter ,"Mar 06, Fri",9
Carolyn ,https://www.trailjournals.com//journal/entry/626861,"I hit the trail around 9 am, with a destination of Hawk Mt Shelter. The following three days, the sun shined on the trail, but the nights were still cold. Nothing, however, like that first night on Springer. I have been happy so far with my gear choices. I love the warmth and comfort of my sleeping bag. It’s big, bulky and takes up a lot of space in my pack, I was cursing it while trying to stuff it in my pack prior to leaving for the trail. My attitude towards it now is one of thanks and great fullness. 
Although I have mostly been hiking the days alone, many of the same people I’ve met over the last few days have been staying at the same shelter at night. We are all taking it slow, hiking only 8 to 9 miles from shelter to shelter for the first week or two. The lower miles give our bodies time to adjust to the daily climbs and to amount of weight we carry. It’s nice to see familiar faces at the end of the day. On one or two nights, a campfire was built and we all sat around getting to know each out a little more.","Springer Mt Shelter 
",Hawk Mountain Shelter,"Mar 07, Sat",7.90
