Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Chipper,https://www.trailjournals.com//journal/entry/583273,"Can’t believe the time to start my hike is almost here.  I’ll retire on March 9th and then hit the trail on March 23rd.  Should be interesting to see how big the hiker bubble is by then.
It’s been good to read the journals of those that have already started this month. Gives you a better appreciation of the current conditions of the hike and how well folks are doing.
Going for a last equipment shake down hike on Cumberland Island in GA the weekend of March 3rd. After that I should have everything buttoned up equipment wise.  Already sent the clothes I’m taking to Insect Shield to be treated. Good recommendation from a past thru-hiker.","
",View Entry,"Feb 24, Sat",0
Chipper,https://www.trailjournals.com//journal/entry/583627,"Did a shakedown hike yesterday on Cumberland Island, GA.  If you've never been there, you should consider going.  Nice place, really interesting things to see and do, with lots of well marked trails and good campsites.  You can only get to the island via ferry so it's not very developed, which is a good thing.  It's a National Park and the Park Rangers are very friendly and helpful.Even though I was only staying for one night, my plan was to take everything I was going to use on the AT so I could get some good hiking in with a fully loaded pack.  Plus this would allow me to evaluate my packing style by having to unload/re-load my pack like I would on the trail.The day started out with a 10 mile hike to my campground where I was able to find a spot to set up my hammock and bug net.  I decided to forgo the tarp as it was a beautiful cloudless day with the same for the night.  Temperatures for the night were supposed to get down into the low 50's, upper 40's so I wanted to try some cool open air camping and check out my sleeping quilt, which is rated to 15F.  I have the hammock in a double open ended stuff sack so after putting up the tree straps, it was really easy to put up the hammock.  The only thing that turned out to be a pain, and that I'm now reconsidering, is that I have a Klymit Hammock V sleeping pad instead of a under quilt.  This was the first time I used it with the bug net on the hammock and it was a major hassle.  It did work as advertised but it truly is a beast of a pad.  Using Klymit's pump to inflate it meant that I had to inflate it outside of the hammock and it took me several tries to get it through the bug net and situated correctly in the hammock.  Getting it out in the morning was another ordeal causing me to deflate it twice, once in the hammock and another outside of the hammock before I could put it away.  All I could think of was how much of a pain that would be to do during bad weather.  I had decided to use that pad because it would also give me an option if I decided that I need to sleep in a shelter some night, but not sure it's worth all the hassles for the few times I may use it that way.  Instead I think I'll go back to using an under quilt that I can pack up with the hammock so that I only have one stuff sack for the Hammock/bug net/under quilt and one for the tarp.  That will make it so much easier to setup and take down everyday.  If I'm sleeping in a shelter it will be because it's really bad outside and I'll just have to figure that out when it happens.Other then the sleeping pad, everything else worked great so I'm pretty confident in the rest of my gear.After the initial 10 miles to the campground with my pack on, I hiked an additional 16 miles slack packing (no backpack) exploring the island.  Of course southern Georgia is just as flat as Florida so I didn't get any of the up and downs I will get on the AT, but I figured that hiking a total of 26 miles over the day would be a good physically demanding day.  Plus, I was getting up the next morning at 6am to hike the 10 miles back to the Ranger Station to catch the morning ferry off the island.  Given all the miles I had put in on the first day, I still felt pretty good for the 10 miles out on the second day.  Overall I was pleased with both the conditioning I have been doing to undertake the hike and the gear I've put together, so a good shakedown overall.One thing that was interesting about the hike is that I met one of the wild animals on the island that you normally don't encounter.  Cumberland Island has wild horses that were left by the Spanish explorers hundred of years ago.  I came around a turn and was face to face with one of them.  We stood there looking at each other for several minutes until I finally realized that he had way more time then I did to wait me out as I had a ferry to catch, so I went around him.  He just stood there and watched me go and then went back to eating the vegetation.  It was a pretty interesting way to start the morning.","
",Cumberland Island National Park,"Mar 03, Sat",0
Chipper,https://www.trailjournals.com//journal/entry/584719,"Today I registered to start my hike tomorrow.  I'm the 1383rd thru hiker to register so far this year.  I weighed my pack and it was 17 lbs without food and water, 27 lbs with food and water. I'm pretty pleased with the weight, especially after seeing several people with packs over 40 lbs.Tomorrow we're planning on getting up early and driving to Springer Mountain with the intent of having Faye walk to the beginning of the trail with me.Had a good discussion with three other hikers tonight (Butch Cassidy, Sundance, and Clamitiy Jane) that are also heading out tomorrow.  Hope they have a good hike and looking forward to seeing them on the trail.Thanks everyone for the words of encouragement. It's finally time to let the journey begin.",,View Entry,"Mar 22, Thu",0
Chipper,https://www.trailjournals.com//journal/entry/584783,"Today was my first day on the trail.  Weather was good and other then being a little stiff I'm feeling pretty good.  
Faye saw me off at the parking lot for Springer Mountain. A true bitter sweet moment. Looking forward to starting but sad to see her go.
Passed several hikers coming down from Springer while I was walking up.  One guy was playing music through a speaker and singing along. Definitely having a good time.  
At the top of Springer I met a Ridge Runner named Tom. He said I was the second Tom he had met today.  Small world.  Ridge Runners patrol a section of the trail and check on hikers and make sure we aren't in trouble and aren't abusing the trail.
After signing the registry I officially started my hike at 10:50.  Let the adventure begin and begin it did. I tripped over a root before I had even left Springer Mountain. So much for a graceful start. Luckily the rest of the hike was uneventful.  On my way down I ran into Butch Cassidy, Sundance and Calamity going up.  We stopped and chatted for a few minutes. It was nice seeing them again. 
The weather was mostly sunny and mild so the hiking was good most of the time with only a few sections that were rocky.  Refilled my water bottles a couple of times and chemically treated the water. So far so good.
Made the 8.1 miles to Hawk Mountain shelter in about 5 hours. Passed some hikers along the way that I saw registering at Amicalola Falls on Thursday. There were a lot of day and weekend hikers out enjoying the nice weather.  There are about 20 hikers staying here tonight. 8 are staying in the shelter and the rest of us are in tents or hammocks
Well, that's all for today. I'm safe and warm inside my hammock.","Springer Mountain 
",Hawk Mountain shelter,"Mar 23, Fri",8.10
Chipper,https://www.trailjournals.com//journal/entry/584864,"Well today was a good day, I didn’t fall.  I’ll have to see how long that streak goes.
Got a little bit of rail last night but it was clear when I woke up around 7:30am. Broke camp and was on the trail by 8:45am. It was one of those days where it would be a light rain on and off during the morning. Just enough to make me put my rain cover on and walk a little bit and it would stop.  It stop completely by around 11am.
Ran into some of the Army guys on the trail.  They are from a nearby Army base. They use the mountains for training. There were 4 of them that were out for a run on the trail. Ah to be that young again.  Ran into 2 separate Army groups that were out hiking. They were going the opposite direction as me and both groups stepped off the trail and let me pass them. Not sure they would have done that if they knew I was retired Navy.
Saw another Ridge Runner named Hannah. She was out checking on us hikers.  It’s nice that they have those folks.
Got my first trail magic.  That’s when someone does something nice for the hikers.  There were a group of guys that are hikers themselves and they setup some tents and were serving hotdogs, hamburgers and bbq to the hikers on the trail. Nice group of people just returning something back to the hiking community. I stopped and had a hotdog and chips  everyone was sitting around taking about there past AT thru hikes. It was fun to hear some of there stories.
I was only planning on hiking 8 miles today, but they are expecting temperatures to drop to near freezing Sunday night and Monday with freezing rain. Decided to put in more miles today so that tomorrow I can get into Neels Gap and put up in a hostel and wait out the freezing rain. Tuesday the temperatures are supposed to warm up again. So I’ll get back on the trail then.  Better to be safe then sorry.
I want to have a shout out to my Nieces boyfriend James who is supposed to start his hike tomorrow. Good luck James and enjoy your hike. See you out there.
Well that’s all for tonight. It’s started raining so it’s time to call it quits and head to bed.  I’m safe a sound and dry for the moment. Probably will be hiking in more rain tomorrow.","Hawk Mountain shelter
",Lance Creek Campsite ,"Mar 24, Sat",15.70
Chipper,https://www.trailjournals.com//journal/entry/584939,"Last night was my first night experiencing a true mountain storm. Shortly after settling in for the night the skies opened up and we got some fireworks with a little fireworks and thunder.  Woke up at 6:30 and the rain had stopped so I took the opportunity to break camp and get on the trail in case it started raining again. Luckily it only drizzled a little bit early on but nothing else the rest of the day.
My hike today took me to the top of Blood Mountain which is the highest point of the AT in Georgia. The view was probably great, except that it was really foggy today and you couldn’t see very far. Coming down from the top I ran into a lot of people walking up to see the view. I hated to have to tell them that the view was fogged in.
Got to Neels Gap about 2:30. Neels Gap is the first civilization you run into on the trail. About 20% of those starting out to do a thru hike quite here.
I had called ahead while I was on the trail today and reserved a cabin for tonight and Monday night. I’ll take my first zero day tomorrow. A zero day is what they call a day when you don’t hike any miles on the trail.
I checked into my cabin and unloaded my backpack so I can let things dry out. The next thing I did was take a shower.  I definitely needed that. Tomorrow I’ll get my clothes laundered so I can start back on the trail all clean and shiny.  I bought a frozen pizza from the store at Neels Gap and had that along with 2 cups of hot chocolate for dinner. Can’t get that on the trail.The store at Neels Gap is also an outfitter and there were a lot of hikers there buying new gear or replacing gear that wasn’t working for them  plus you could duy resupplies for the trail in addition to the occasional frozen pizza that they would cook for you if you were just passing through.  They will also go through your pack with you and recommend items that you should leave behind so I asked them to check mine out.  They weighed my pack and it weighed in at 23 lbs with my remaining food and water.  All in all they said I had a good pack and only suggested some ways to pack it better to save more room in my pack  all that research paid off.
Tomorrow I’m going to spend the day going back over everything in my pack and try to get better organized and more efficient at the things I should be doing in camp. For example, today I cleaned my hands four times because I kept forgetting that I needed to do something that just made them dirty again since the last thing I wanted to do was to eat some breakfast as I left camp to get back on the trail.  Plus I just need to be better at practicing good hygiene but it always seems that the thing I need is packed away somewhere not convenient.
Well that’s all for tonight. I’m safe and sound and very warm in my cabin.","Lance Creek Campsite 
",Neels Gap,"Mar 25, Sun",7.30
Chipper,https://www.trailjournals.com//journal/entry/585012,"We’ll, today was my first zero day, and although I can say it was nice to take a break, it was really boring.
Although it was as cold as they predicted, we didn’t get the rain, so although my legs appreciated the time off, it turned out to not be necessary. But, as I said yesterday, better safe then sorry.
In the future I’ll just do Nero days. A Nero is were you hike part of the day, like I did yesterday, spend the rest of the day off the trail and then get back on the trail later the next day. That way you still keeping moving along the trail each day. I’ll safe Zero days to when I truly need a break or I’ve got visitors to spend the days off with.
Today I took my pack to the outfitter here at Neels Gap. They offer to go through your pack with you and recommend items that you could leave behind to lighten you pack.  I got a clean bill of health from them and they spent some time with giving me some suggestions on how to better pack things in my pack to save some room.  There was another guy there that they also were going through his bag which weighed in at 50 lbs.  it was amazing the stuff he was carrying.
While I was at the outfitters I saw a few other hikers that I had hiked with the past couple of days that were also taking the day off.  We’re all planning on being back on the trail tomorrow.
For my friends from across the pond, I think there must be a run on folks coming from England. I’ve hiked on and off with 4 guys from England.
I also want to thank everyone for all the comments that you’ve left. They are greatly appreciated.","Neels Gap
",Neels Gap,"Mar 26, Mon",0
Chipper,https://www.trailjournals.com//journal/entry/585090,"I’ll have to admit it felt good to be back on the trail again.  By the time I got packed up and checked out of the cabin it was 10 when I got back on trail.
Although I missed a trail day, my legs were appreciative of having the day off. I felt really good and didn’t have any issues with the 11 miles I did today.
The trail today was pretty good with only a couple of sharp ups and downs.  Most of the trail was along mountain ridges with mild elevation changes.
I ran into my second trail magic today. There were 4 gentlemen that from the beginning of March to mid April they come to Tenasee Gap every Tuesday and Thursday and offer hikers coffee, hot chocolate and snacks. I had a hot chocolate and a Miss Debbie oatmeal cookie.  It was really good. I didn’t hang around long because it got really cold when you’re not walking as it was misty because the clouds were really low. Because of that, there weren’t any views either.
When I got to Low Gap shelter, I ran into Butch Cassidy and Sundance. They told me that Calamity Jane quit after the first day so it’s just the 2 if them hiking now.
I included a picture of the shelter here as it seems that there are a lot of questions about them. This is pretty typical of the shelters. It is about 8 feet deep and open on one side. It will sleep about 6-8 lying side-by-side comfortably, more if the weather is really bad and more people try to squeeze in.
Ant, it just dawned on me that you run this stuff when you do your multi day run on the spine. My hat’s off to you for being able to do that.","Neels Gap
",Low Gap shelter,"Mar 27, Tue",11.50
Chipper,https://www.trailjournals.com//journal/entry/585173,"Before I get into today, I want to continue talking about the shelters from yesterday. As you can tell, the shelters are pretty small. The shelter last night had 7 guys sleeping in it, yet there were over 30 tents setup around the shelter. The reasons why hikers stop at the shelter isn’t because of the shelter, it’s because there is a privy and a good water source at each shelter. Being able to use a privy in the woods is a sought after commodity.
Most of you know that I’m sleeping in a hammock. It is really nicer then sleeping on the ground even if you’re using a sleeping pad between you and the ground. One of the drawbacks with a hammock is that the hammock itself doesn’t have any insulation underneath it. For me, I’m using an under quilt, which is basically a sleeping bag that the hammock fits in and is surrounded by. If you don’t have something or it’s not adequate, then you get cold butt syndrome (CBS), which is a real pain and very uncomfortable.  Last night I experienced CBS.  When I hooked up the under quilt, I hooked them to the wrong location and it created a gap between the under quilt and the hammock so cold air could blow in. Let me tell you from experience, that there is no way you can sleep with a really cold butt.  It was about 1am when I figured out my mistake and was able to get back to sleep. Won’t make that mistake again.
We’ve all been out here long enough that a morning routine has started around the campsites. First, everyone ask how you sleep, then it’s “how far are you going today” and finally something about what happened over night like “did you hear that strange noise” or this morning it was about the mice that tried to get into some of the tents. This all takes place while everyone is breaking down their camp site.
My goal today was to get to Blue Mountain shelter which was only 8 miles away. I knew it should be mostly a mild hike to get here, so I would get there pretty early in the day. If that was the case then I was going to push on to the campsite on the top of Rocky Mountain.  As it turned out, it was a pretty easy hike and I got there at 1pm. When I got there, I found that Buch Cassidy and Sundance were also there so I sat and chatted with them for awhile.  They were pushing on to the Cheese Factory campsite (so named for a nineteen century dairy farm that used to be there) which was the next site past the campsite on Rocky Mountain that I was planning on stopping at.  When they got ready to push on, I went with them. It was nice to hike with them. We go at about the same pace.  While we were hiking, we hit a steep section of muddy rocks, and of course I slipped and fell on my butt. I was then notified by Butch and Sundance that they had an agreed that whom ever fell first in GA bought the first round of beers. They both pronounced that I owed the first round.
On our way we also ran into some more trail magic at Onicoi Gap. Many thanks to Jet Lag who was providing the magic. It was much appreciated.  I had an orange and some early Easter candy
Just before I got to Rocky Mountain campsite the Clouds started clearing out and the sun made an appearance. That was the first time I’ve seen the sun since last Friday.  Normally it’s been pretty much like the picture I included in this entry. As a side note about the picture, the person in it is a lady with the trail name of Three Socks. She got that name because she has a sock from each of her grand kids sewn on her backpack. I thought that was a pretty cool trail name.
Like I said, tonight I’m staying at Rocky Mountain campsite. The cool thing is that I have it all to myself. Seem no one wants to stay here because it doesn’t have a close water source, whereas the sites before and after this one do. It been kind of cool because as it got dark, I could see all the lights come on across the valley.
Well, that’s all for tonight. I’m currently safe and warm in my hammock.  No CBS happening tonight.","Low Gap shelter
",Rocky Mountain campsite,"Mar 28, Wed",11.10
Chipper,https://www.trailjournals.com//journal/entry/585237,"For today I thought it would be fun to show you what that all important privy looks like.  It’s not glamorous, but it sure beats digging a hole. The first night I stopped one other hikers admitted that he went to the privy to do his business and didn’t take his toilet paper because he figured they would have some like any other bathroom. He didn’t notice it wasn’t true until it was too late. That was an important lesson.
They all have looked the same so far. We’ll see if that holds true as I move into the other states, but I’m pretty sure it’s a Georgia thing.
Well, today is my seventh day on the trail. I’ve survived a full week. It seems like ages ago that we were staying at the Lodge at Amicalola Falls and Faye dropped me off at Springer Mountain.
Today turned out to be one of those learning experiences. As you remember, I was camping on top of Rocky Mountain. It was really peaceful and quiet, and as it got dark, seeing all the lights come on the other side of the valley. Everything was still well and good when I went to bed, however that all changed drastically about midnight.  That was when the front came through. I was suddenly in the middle of 20-30 mph winds that were roaring over the mountain top.  I even got up at 1am to see if I could move to a spot off the top and out of the wind but that wasn’t a possibility. At 3:30am, I decided that sleep was futile and that I might as well get up and get on the trail. So I packed up and was on the trail at 4:30am hiking by the light of my head lamp. It actually wasn’t that bad. I just took things very carefully when I had to climb over rocks. Around 5:30 am, I even meet another guy about my age going south. We both commented about the wind. I hiked through 2 campsites just before dawn and although I needed water, I didn’t go through looking for it because I would probably just wake everyone up.
Since I started so early I got into Deep Gap shelters pretty early. I was ok with that because they were predicting rail to start around noon from the front that came. I had the shelter to my self for a couple of hours before another hiker came in. One of the things that I forgot to mention about the shelters, is that they also have a picnic table. After I setup my hammock, I got out my food bag and made myself lunch which was Santa Fe Chicken. One of those freeze dried dinners. I would normally have had that for dinner but I was starving. I had only eaten a Cliff bar and some jerky earlier on the trail.  Plus, I was expecting that it might start raining soon so why wait.  I was also able to spread everything out on the picnic table so I could see how much I needed to replenish.  Just as I was finishing up another hiker came in and we chatted for a little while.
With a full stomach and not really haven slept last night I retired to my hammock and took a couple hour nap, which was really refreshing.
When I got up, I found that 7 other hikers had come into camp. One of those was Butch Cassidy (Butch for short). Sundance had pushed on so that he could get his significant other to her car, which was about 3 miles further down the trail. It turned out that Butch had recently retired as a helicopter pilot and had flown helicopters in the Army also. When I told him that I was retired Navy, he mentioned that he had spent several years as a contractor flying supplies to Navy ships at sea. We spent a lot of time telling sea stories, me from the ships perspective and he from the pilots perspective.
At around 6pm the rain finally showed up, so we called it quits and everyone ran back to their tent.  After last night and my early start, that was ok with me.
Tomorrow I’m going to hike the 3 miles to The Top of Georgia Hiking Center where I’ll be able to take a shower (a good thing) and get my clothes washed (a really good thing). They also offer a shuttle into Hiawassee so I can resupply my food. I’ll need to get 5 days worth because I‘m going to try to get to Fontana Village, NC as my next stop.
Before I go, I thought I would take a minute to talk about what I’m wearing.  My base wardrobe is, wool hiking socks, long pants that are wind resistant, a long sleeve wool t-shirt and a buff on my neck. When I’m hiking, I’ll add a wind and water resistant light weight running jacket. When I get into camp, I swap the jacket for a light weight fleece. Yesterday and today were the only days so far that were warm enough for me to just wear the wool shirt alone in the afternoons.
This is probably where you’ll get grossed out. When I go to bed, I sleep in the same outfit with the fleece. I pull the buff up over my ears and the top of my head so that only my eyes and nose are exposed.
Well, that’s probably enough shock for one night. Know that I’m warm and safe in my hammock.","Rocky Mountain campsite
",Deep Creek shelter ,"Mar 29, Thu",11.70
