Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
HiTech,https://www.trailjournals.com//journal/entry/625309,"So today I make it public.  It is my intention to thruhike the Appalachian Trail (aka the AT) from Springer Mountain in Georgia to Mount Katahdin in Maine.  The trail goes through 14 States, and has a total hiking distance of approximately 2,200 Miles (to my Canadian friends, that’s 3,540 Kilometers).  If you add up all the ascents during the entire trail it is the equivalent of climbing Mt. Everest 17 times, or at least that’s the rumor.
Wait a minute, this sounds way too familiar.  I'm sure I've posted this before....
Oh that's right, just about a year ago.  I won't bother to re-post the details of my January 2019 adventure.  If you're interested go check out my 2019 thru-hike journal.
Instead, I'll let you know whats been happening since Janurary, and invite you to follow along with my 2020 adventure.",,View Entry,"Dec 10, Tue",0
HiTech,https://www.trailjournals.com//journal/entry/625310,"So here I am again, doing some Pre-Adventure hikes to test out my gear and my repaired leg.
As you have read about in my 2019 journal, I did a test hike on the Bruce Trail in September to test out the leg repair and found I was definitely able to hike again.  I must admit I was a little concerned, but Dr. Manwell (my Orthopedic Surgeon) was true to his word.  The leg really is as good as new.
In October Anita, Elizabeth and I decided to take a little family vacation to the Adirondacks in the great state of New York.  The plan was to do some hiking in ""Real"" mountains to make sure my leg was up to the task.  Our first hiking day was on October 26th, when all three of us summited Mount Van Hovenberg during just a day hike.  I carried a small light day pack which is nothing compared to my Altra 60.  The three of us had a delightful day and the weather was about as perfect as we could have asked for.  Today's photo is from the top of Mount Van Hovenberg.",,View Entry,"Dec 11, Wed",0
HiTech,https://www.trailjournals.com//journal/entry/625311,"On October 28th the three of us headed out hiking towards Marcy Dam.  The plan was for Anita to hike with Elizabeth and I up to that point and then she will turn around and go back to civilization, and Elizabeth and I will continue on for a three day adventure.  The weather was perfect and we enjoyed the hike to Marcy Dam where Anita turned around and headed back.  Elizabeth and I continued on and planned to overnight at the Feldspar camping area.  Although there is a lean-to there, we will be tenting, and this is a big change for me because I've never shared my tent with another person before this.  The young man who was manning the visitor center had told us about an area just before we would reach Feldspar called ""The Bog"".  He advised us to be careful crossing on the logs as they may sink a little when we stepped on them.  We soon discovered that this was the understatement of the century because when we got there those logs sank under even the slightest weight to a depth of around twelve inches before they found the bottom.  Needless to say our feet, socks and boots were soaked by the time we got across, and stayed that way for the next three days.  Even so, we laughed ourselves silly during and after the experience.  I have included some photos of the bog on the photos page.Once at Feldspar we got our camp all set up and did our nightly chores.  We managed to get ourselves organized into our sleeping bags with only one very small incident during which I managed to kick my dear daughter in the head.  Sorry Elizabeth, I assure you it was an accident.",,View Entry,"Dec 12, Thu",0
HiTech,https://www.trailjournals.com//journal/entry/625313,"Today is October 29th and it is to be our biggest hiking day of this trip.  The original plan was to hike about 20 miles and summit three high peaks today.  We broke camp and headed out early for our first destination, Gray Peak (elv. 4840 Ft).  This is the 7th highest peak in NY state and would be an out and back summit, meaning that we would drop our big packs near the base of the mountain and hike up to the summit and back down without packs.  The weather was cold and damp, but no rain or snow was falling.  The cold actually makes for easier hiking because you don't get overheated during the exertion of hiking up a mountain.  We hiked into the low lying clouds today and reached the summit without incident.  Once we returned to our packs we stopped for lunch, and to assess our progress.  We decided that it would be unwise to attempt all three peaks we had originally planned because it was taking more time than we had expected.  Therefore we decided to skip mount Skylight and head straight for Mount Marcy (elv. 5344 Ft).  Mount Marcy would be an up and over hike, meaning that we would be carrying our packs to the summit and down the other side.  Also, the summit of Mount Marcy is above the alpine region so there would be little vegetation to protect us from the cold wind, and we could expect to be hiking over ice and snow so our microspikes would be coming in handy.  And yes, those are the same microspikes I SHOULD have been wearing in January.  It was a real grind getting to the summit of Mount Marcy, and once there we found it was completely shrouded in thick fog so there were no views to be had.  There was a very strong wind blowing and it was well below freezing, so we didn't spend a lot of time on the summit.  I had selected two possible overnight campsites for us tonight, but once we arrived at the first one we decided to push on because there wasn't a good water supply nearby.  Unfortunately this meant we would be hiking into our campsite after dark.  The campsite for tonight was back at Marcy Dam where Anita had turned around two days ago, and once there we wasted no time getting set up and into our sleeping bags.  We were both exhausted to the point where we decided to just skip dinner and go to sleep.  Elizabeth was particularly pleased at our getting to this campsite because it meant Anita could hike in to meet us in the morning.  As Elizabeth and I were breaking camp in the morning of October 30th, Anita got to Marcy Dam to meet us before all three of us hiked back to the visitor center.I have gained a new appreciation for the use of hiking poles during this trip.   When you are carrying a large pack in the mountains they are not an option.  I now know they won't be spending much time strapped to my pack while on the AT.",,View Entry,"Dec 14, Sat",0
HiTech,https://www.trailjournals.com//journal/entry/625890,"People sometimes ask me why I love winter hiking so much. Today I came across this particularly beautiful scene as I was out hiking near our home, and realized that this is one of the reasons. 
Winter hiking has many advantages over summer hiking, but the beauty of snow is high on the list. Now if that’s not enough to get you out in the backcountry during the snowy months, how about the complete absence of bugs, no rain, no overwhelmingly hot or humid days, and the list goes on. It’s easy to add a few layers of clothing during the cold, but there’s a limit to what you can take off when the mercury rises. 
My AT thru hike is getting very real as the time gets closer. It is now less than three weeks before Anita and I head south to Georgia, and in my basement is a literal pile of resupply materials. I have been getting as much as I can ready before my departure so it will be easier for Anita to keep me provisioned during my adventure. 
I can’t wait to finally take my first step toward Katahdin.",,View Entry,"Jan 21, Tue",0
HiTech,https://www.trailjournals.com//journal/entry/626054,"On Saturday evening my in-laws and their spouses had Anita and I over for a Hiker Send Off dinner. I was made to feel very special and genuinely appreciate all the effort that everyone put into this event. The food was spectacular and the english language has no adequate way to describe how wonderful the dessert was. 
As part of the evening I brought along three things that I am often asked about when my hike comes into conversation. My bear vault, my backpack, and a resupply box. The bear vault and resupply box were discussed at length, and then I was asked to show what was in my backpack. Now just to be clear, the backpack was set up for training hikes so the contents are not what I would normally carry on a real hike. It was brought so they could pick it up and feel the weight and see how the weight is distributed when worn correctly. The laughter that ensued when I started pulling out cast iron exercise weights was absolutely priceless. 
I will remember this special evening long into my hike, and will use the memory to help pick me up when I get dragged down. Thank You to all who took part in making this event  something to remember.",,View Entry,"Feb 01, Sat",0
HiTech,https://www.trailjournals.com//journal/entry/626081,"So today I finished up my packing, and not only is my backpack ready but also four weeks of additional resupply. The boxes have been checked and rechecked, labeled and then checked again. We won’t be sealing them closed because there remains a few food items that we will need to get once we cross the border into the USA. There are strict rules concerning meats and dairy items that we don’t want to take a chance of having a problem with at the border. We also want it to to be very easy for the border inspection to see what’s in the boxes and not give the impression we’re trying to hide something. Each box will also have a complete packing list in case there are any questions. 
I have been working diligently on my honey do list of pre hike jobs and today I stroked off the last thing on the list. Yesterday I did the deed and purchased my medical insurance for while I’m on the trail. As a Canadian, additional medical insurance is a must just in case the unexpected happens. Our Ontario government insurance is great while we’re in Ontario but it doesn’t do much when we’re out of Canada. 
So I think I’m ready. Three days to drive down to Amicalola Falls, two days there getting oriented and then on Wednesday February 12th I take my first step on the approach trail. 
I just can’t believe it’s finally my time.",,View Entry,"Feb 06, Thu",0
HiTech,https://www.trailjournals.com//journal/entry/626134,"Well my time is finally here. Anita and I arrived at Amicalola Falls Lodge today. Despite the rain, we went out and did a little easy hiking, sporting our umbrellas. I have decided to slack pack the first 1.1 miles of the approach trail tomorrow because the wood planks in the steps are deathly slippery with all the rain. So tomorrow morning I will register at the visitor center, get my official hang tag, and then start hiking up to the lodge without my pack. On Wednesday morning I will leave my lovely wife at the Lodge, put on my pack and head north to the summit of Springer Mountain. Anita will drive South to Florida. 
Then on Thursday morning I start this epic journey to Katahdin.",,View Entry,"Feb 10, Mon",0
HiTech,https://www.trailjournals.com//journal/entry/626161,"And so begins the adventure of my life. I am NOBO thruhiker tag #123.
I started out under the iconic arch at the Visitor Center carrying a day pack, and although my plan yesterday was to hike only to the top of the falls, plans are only guidelines right? After reviewing the options and road crossings, Anita and I decided that the High Shoals road crossing would be an acceptable pickup and drop off location. Before I left however, we drove to the spot to ensure the road was open after all this rain (It was). 
So I actually hiked 3.1 miles with a total ascent of 1455 feet today, and I feel GREAT.  Tomorrow Anita will drop me back off at the same road crossing, this time with my full pack, and then get on the road to Florida. I will hike 6 miles to the summit of Springer Mountain (Elevation 3780 ft). 
Oh, and for my very observant friends out there, yes this photo was staged, that’s definitely NOT just a day pack, LOL.",,View Entry,"Feb 11, Tue",0
HiTech,https://www.trailjournals.com//journal/entry/626169,"This morning Anita dropped me off at the High Shoals Road crossing, and after a slightly teary moment we hugged a long hug and said our goodbyes. I am already missing her.As of today I am officially counting miles toward my AT thru hike. I summited Springer Mountain and have now started the white blazed trail toward Katahdin. 
Today I hiked approximately 6 miles with a total ascent of 1850 ft, but only 0.2 miles will count toward my thru hike, with the rest being on the approach trail. 
Currently I am hunkered down keeping dry in my tent behind the Springer Mountain Shelter along with three other thru hikers. We had all originally decided to stay in the shelter but there is soooo much fog and mist blowing into it everything was getting wet within minutes of setting up. We all agreed that nobody was interested in waking up to a drenched down sleeping bag so we all relocated to our tents. 
It’s been raining off and on most of the day today but was still a pleasant enough hike due to the relatively warm weather. All in All I’m very happy to be here and look forward to tomorrow.","Springer Mountain 
",Springer Mountain Shelter,"Feb 12, Wed",0.20
