Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Peterbilt,https://www.trailjournals.com//journal/entry/625647,"Hi, my name is Peterbilt and I plan on doing a SOBO Flip Flop of the AT starting on February 29th. I'll be hiking with a friend and we plan to start in Harper's Ferry and head south, then once we have attained Springer we will head to Katahdin and head south back to Harper's Ferry. If anyone else out there is planning on this type of hike please send me a note in the comments section. I'll be retiring at the end of January 2020 and have been looking forward to a thru hike of the AT since I was in college. I've hiked probably 1,000 miles of the AT over the years in short section hikes. This will be my first attempt at a thru hike. Looking forward to meeting folks out on the trail and hiking into the Spring!",,View Entry,"Jan 08, Wed",0
Peterbilt,https://www.trailjournals.com//journal/entry/625669,"So, I thought I'd talk a little about the gear I'll be using on the trail. I've come a long way since the 80's, 90's and even 2000's when I was hiking with some serious weight. In the 80's and 90's I would usually be carrying at least 20 lbs. of camera equipment with me to catch the 'perfect picture'. SLR, various wide angle and telephoto lens, tripod - you get the picture. On this AT hike I will be using my phone to take pictures. In the 2000's I was a Scoutmaster and used to hike with everything including the kitchen sink 'just in case'! My packs would usually weigh in at 50 - 60 lbs. By the end of my Scoutmaster days I had learned to have the Scouts carry any communal equipment, and had my pack weight down to around 45 lbs. I've become an advocate of lightweight backpacking since my Scouting days and plan on having my base weight around 15 lbs. for this AT hike. I believe that the lighter your pack the better your experience will be on the trail. I'm still dialing in my gear for this hike and will post what I'm taking in the Gear section once I have everything together. I may be a few pounds heavier to start as I will hitting the trail at the end of February in West Virginia but will try and not go over 17 lbs. base weight. I love winter backpacking but sleep a little on the cold side, so I tend to bring a sleeping bag rated at 0 degrees. It will add about a pound  to my base weight but sleeping warm is worth it to me. Most of my equipment I have been using for some time but I have a couple of new items that I will be trying out. I just purchased a Zpacks Duplex tent and will try it out this weekend. I've been using a Big Agnes Copper Spur ULII and love it, but I am 6'8"" and my head and toes touch each end of the tent. The Duplex is a little longer and about 1 1/2 lbs. lighter, so we'll see how it does. After everything I've read about it, it seems to be a great tent for the AT. Most of the rest of my gear is fairly basic. I use an Osprey Exos 58 liter pack, a Sawyer squeeze water filter, a MSR Pocket Rocket stove, A Western Mountaineering 0 degree down bag, a Neoair XTherm pad. Again as I get all my gear together I'll post it in the Gear section with my final base weight.",,View Entry,"Jan 09, Thu",0
Peterbilt,https://www.trailjournals.com//journal/entry/625682,"My wife and I live in Fauquier County, Virginia which is about 25 miles east of Shenandoah National Park. I've spent the last 40 years hiking in Shenandoah and consider it my backyard. I hike with a group of friends and family and we try and get out as much as possible on the weekends for day hikes or overnighters somewhere in the Park. We spend a bit of time hiking in many other areas of Virginia and West Virginia, but I consider Shenandoah my home base. Although the AT through Shenandoah is somewhat gentle there are many hikes that we do where you can do anywhere from 1000 feet to 2500 feet in elevation gain in a couple of miles, which really helps with the training routine. Probably our favorite quick hike is Little Devil Falls Trail in the Northern section of the Park. You can start at the base and do 1500 feet of elevation gain in 2 1/2 miles and then an easy 3 mile trip back down on the fire road back to your car. It's a great training hike and I highly recommend it. Today's picture is from the Hazel Mountain backcountry which is in the central section of the Park. We did this hike just after a serious snow and wind storm had swept through the area. Most of the trail for miles was covered in downed trees and we spent more time bushwhacking than we did on the trail. Within a month or three the trail was cleared and back to normal thanks to the great work of the Potomac Appalachian Trail Club (PATC) which maintains the trail in this part of Virginia. Without their volunteers and trail crews the AT experience would be quite different.",,View Entry,"Jan 10, Fri",0
Peterbilt,https://www.trailjournals.com//journal/entry/625945,"I visited the ATC office in Harpers Ferry on Saturday with my son. We spent some time talking with Highlander, a 2019 thru hiker, who was manning the office. It was nice to be able to speak with him about his experiences on the trail last year. He did a NOBO thru hike. Not too many people starting flip flops from Harpers Ferry yet, but I’m sure that will change in a month or two. 
The reason I chose to do a flip flop was because of the congestion on the trail at Springer in March and April. Sine I’m hiking SOBO I’ll still land up going through the NOBO bubble, but probably not until southern Virginia. I was looking for a little bit more solitude on the trail, at least to start out with. We’ll see how it turns out!
One issue in Harpers Ferry is that the walkway across the river is still out. A train derailed last summer on the bridge and took down the train bridge and associated walkway for the AT. Not sure when it will be repaired. Right now you have to get a shuttle to get across the River, or hike across the 340 bridge, which is not recommended because of the narrow shoulders. I was thinking that I could bring my canoe and just ferry across the Shenandoah to get to the other side, but maybe I’ll save that for when I finish (the water will be warmer later in the year!).
Harpers Ferry is a great little town with such historic significance. We went to the Flip Flop Festival last year and it was a blast. I’ll have to miss it this year as it’s not until the end of April, and hopefully we’ll be in NC by then.",,View Entry,"Jan 26, Sun",0
Peterbilt,https://www.trailjournals.com//journal/entry/626061,"Friday, January 31st was technically my last day at work. It was a strange feeling, walking out on a career that spanned over 40 years. I will still be helping out and mentoring folks in the company, but I’ve given up the day to day schedule that’s been part of me for my entire adult life. And I am definitely ready for the next chapter!Right now my oldest son and I are getting ready to hit the slopes in Big Sky, Montana. We skied out here 12 years ago and it was my son’s first ski trip out west. We like to take a week and ski out west every couple of years. My son wanted to go back to Big Sky and see the mountain again and to see how much his skills have increased. For me, I will be content cruising the groomers and enjoying being in the western mountains again. I’ll have three weeks when we get back to finalize everything for the hike. I’ve got a few things left to purchase and I need to tweak the equipment one last time. Since I’ll be hiking SOBO from Harpers Ferry I’ll be in my home territory for a while. My younger son will be hiking with us for the first couple of days to see us off. He’s a NOLS graduate and an avid outdoorsman and I know he would love to do the entire hike with us. We’ve got a couple friends that will probably do some short sections with us which I will look forward to immensely.So, the next chapter is here and it’s off to a great start! Best wishes to everyone who has already started and for those gearing up. The trail is calling.",,View Entry,"Feb 03, Mon",0
Peterbilt,https://www.trailjournals.com//journal/entry/626380,"Got back from Montana on Feb. 8th. What a great week skiing. We got over three feet of snow in six days. Great exercise for the leg muscles and lungs especially at altitude. And it was fantastic to spend a week with my older son. His skills on the slopes have gotten much better than mine!Since I’ve been back I’ve been trying to finalize my gear and finish up everything I need to do before we hit the trail. Tried out the Zpacks Duplex - it worked great. It’s actually long enough for me. The Alpenlite bag worked well with a silk liner at 19 degrees. Still have one or two final things to get - will make a run to REI on Monday or Tuesday. Seems like there is just not enough time to get everything done before we start. I got a call from the son of a friend from church this week. He started thru hiking the AT in 2017 and put in about 320 miles before pulling off for a medical issue. His trail name is Slacker Rojo and he is ready to try again and will start with us on Saturday. It’s great to have someone with thru hiking experience hiking with us. The tramily is starting to form!We got out on the AT yesterday and and did about seven miles in the central section of Shenandoah. What a beautiful day. Started out around 20 degrees and warmed up to about 45 degrees. Outstanding views along the ridge line. If the weather could just stay like this...but, as the saying goes, no rain, no pain, no Maine!My younger son will start with us and hike for about three days. Unfortunately he will have to head back to work after that. It will be great to start with him though. Looking forward to getting this adventure started and putting in some miles. I hope everyone that has started already is doing well and enjoying themselves. Keep on truckin’!",,View Entry,"Feb 23, Sun",0
Peterbilt,https://www.trailjournals.com//journal/entry/626493,"Well tomorrow’s the day. We will be heading up to Harper’s Ferry in the morning and do the registration thing at the ATC headquarters there. Three of us will be signing in as thru hikers - myself, my friend Ed (trail name TBD) and Slacker Rojo. My younger son will join us for three days and pull out on Monday. His wife, my older son and his girlfriend will join us for the first two miles up to Loudoun Heights. They will head back to HP after that and we will move on. Should be quite a crew for the first couple of miles!It’s hard to believe that the day is here. I’m still repacking my pack and trying to figure out what I’ve missed. All that will fade away tomorrow with the first steps on the trail. Can’t wait to get started. I would certainly be lying if I said that I didn’t have some apprehension about this trip. Mostly related to how this old body will stand up to the rigors of the trail. We’ll take it day by day and see how it goes. We’re in no hurry and plan on doing 6-7 mile days for the first three days. That should put us down at Bears Den Hostel off of Rt. 7 by Monday.Weather looks good for the next three days, then three days of off and on rain. It’s definitely warmer here in Northern Virginia than normal. Let’s see if the trend continues throughout March. We usually get at least one snowstorm in early to mid March but this year I’m not sure we will. I hope everyone that has started is enjoying themselves and making some miles. See you on the trail...",,View Entry,"Feb 28, Fri",0
Peterbilt,https://www.trailjournals.com//journal/entry/626512,"Well, today was quite a day. Woke up at 5:30 to feed the dogs and finish packing my pack. Finally got everything done and then the crew arrived. We drove up to Harpers Ferry and signed in at the ATC HQ. Took the requisite photo and loaded up. Hiked out of Harper’s Ferry and across the 340 bridge. The Shenandoah was running well, almost wanted to get my canoe, but it was a little chilly!All seven of us and two dogs hiked up to Loudoun Heights. At that point my older son, his girlfriend and my younger son’s wife headed back to Harper’s Ferry with the dogs.It’s about a seven hundred foot climb out of Harper’s Ferry- not bad at all. Proceeded to hike down past Keys Gap and to our destination for the evening. Great hostel with a wonderful owner. I know we will sleep well tonight!","Harper’s Ferry
",Bears Feet Hostel,"Feb 29, Sat",6.80
Peterbilt,https://www.trailjournals.com//journal/entry/626532,"Well you couldn’t ask for a better day. Temps started out around freezing this morning and warmed up to around 45. Wind was less of an issue today as well. Walking the ridge line above Loudoun County on one side and the Shenandoah Valley on the other. Nice rock outcropping with some great views.It was hard to leave Bears Feet Hostel this morning. Patsy is a great host and she two wonderful dogs - Hot Lips Houlihan and Trapper John. They kept us company last night. Patsy has a beautiful house and the downstairs is set up as a hostel, but you feel like your at home. I would highly recommend Bears Feet Hostel to anyone on the trail.Right now we are camped on a ridge looking East, so we should get a nice sunrise in the morning. We making for Bears Den Hostel tomorrow where my wife will pick up my son and Ed. Ed’s getting off the trail for a few days and hopes to hook back up with us on Thursday. I’ be sorry to see them go.I hope everyone is doing well and staying safe out there.","Bears Feet Hostel
",Stealth Camp,"Mar 01, Sun",6.90
Peterbilt,https://www.trailjournals.com//journal/entry/626552,"We had a nice night up on the ridge. Very pretty sunrise this morning. A little slow out of camp but not bad for the first day tent camping. It was a pleasant walk along the ridge and then, The Roller Coaster started. Lots of 400 - 500 foot ups and downs. I remember hiking this section for an adult shakedown for Philmont when I was doing Scouts. At the time they had had snow, which melted and had refrozen so we landed up ice skating for 8 miles. Much better today!We arrived at Bears Den this afternoon, dropped our packs and headed over to Bears Chase Brewery for a couple of cold ones and some food. My wife came and picked us up and took us back to Bears Den. She brought me a small resupply. Then Ed, whose new trail name is Sea Anchor, and my son headed back home with my wife. I doubt Sea Anchor will be back, it’s been a struggle for him the last three days. But it was great hiking with both of them while they were here.We’ve got the rest of the Roller Coaster tomorrow, probably in the rain. Trying to make Rod Hollow Shelter for tomorrow night. I know I will sleep well tonight. Maybe not so much tomorrow night!","Stealth Camp
",Bears Den Hostel,"Mar 02, Mon",6.20
