Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Process,https://www.trailjournals.com//journal/entry/627336,"Since the summer of 2019 I have been hiking with my brother in law (Chuck 61).  He retired 2 yrs ago and lives in Northern Va.  He decided somewhere in the fall of 2019 to Thru-hike the AT in 2020.  I decided to do some training/shakedown hikes with him. We both live close to the AT in N.VA, WV, and Md. We did several day hikes in sections like the famed “Roller Coaster.” We have done several multi-day and overnight sections having done most of MD and about 30 miles in the Shenandoah Park.  In January, we decided his start time to be Friday the 13th!  I took time off from work to do the first five days beginning at Springer Mt  Here begins my story...",,View Entry,"Jan 14, Tue",0
Process,https://www.trailjournals.com//journal/entry/627338,"Headed south from Bunker Hill, WV with my wife Amy, her sister Jana and Chuck.  We had a uneventful 10 hr trip to Dahlonega, GA arrived in late afternoon and checked into the Dahlonega Square Hotel.  Very nice hotel just a block from downtown and a short walk to outfitter and eateries.  After a good nights sleep we headed to Amicalola State Park where we had a great breakfast at the lodge, viewed the waterfalls and take Chuck to AT sign-in station to get his hiker number and sign the thru-hiker log.  I signed in as a section hiker and we headed to AT parking lot just north of Springer.  We hiked mile up to southern terminus with the wives.  Next day we would do that again but with packs for the real thing.",,View Entry,"Mar 11, Wed",0
Process,https://www.trailjournals.com//journal/entry/627341,"Started at Springer Mt. parking lot in a light rain and low visibility with a temp of 57.  About half way to summit Chuck slipped on a sloped rock and slid down on his side, landing on his knee and hiking pole.  Knee later became sore near end of day.  Hiking pole broken,but fixed with tent stakes and duct tape!  Adapt-Improvise and overcome!!  At Summit of Springer Chuck signed trail log and snapped a few quick pics and we were headed NOBO...Finally!  Chuck was headed in the right direction and his first steps on a wonderful journey to Katahdin.  
   Received trail magic back at Springer parking lot by a few guys finishing a gear shakedown and we continued on in new territory.  The rain stopped and fog clear and big red tried to shine thru.   Passed a guy with full pack wearing flip flops...he was going slooooow.  We knocked out a quick 3 miles and took off our rain gear at Stover creek and met Cory from Canada.  The old guys were moving fast and enjoyed a beautiful walk along stover creek among the Rhododendron.  We stopped for lunch at mile 6 and met Moxie, an ATC Ridge Runner, she was doing her rounds and checking on the trail and its “Hiker Trash”.  Yes, Chuck is now officially Hiker Trash (Term of endearment among thru hikers).  We finished off the day with a short but moderate climb to our stealth campsite finishing with 10 total miles but only 9 official AT miles.   Congrats Pop Pop on a great first day. Love ya man!   We did camp chores and are in our tents at 1830hrs (6:30pm).  One other hiker shuffled into our site to camp. His name is Mark from Wisconsin.  Maybe we will name him Badger.  He is an older retired guy prob near 65.  Weather is currently 55. No rain expected with low of 49.  We shall see...
   Looks like 10 miles tomorrow...Destination Ramrock Mt.","Springer Mt. 
",Hightower Gap Stealth Site,"Mar 13, Fri",9
Process,https://www.trailjournals.com//journal/entry/627348,"Hike—Unpack—Set up camp—Eat—Sleep—Eat—Repack—Hike...(Wash—Rinse—Repeat)...Our favorite saying—“It’s a Process!”
   It was fairly warm first night with temp about 50 and clear.   Owls and coyotes noisy, but Chuck heard nothing over his snoring.   We got day started at 0600 with coffee and a beautiful sunrise.  God blessed us with a great first day and night.   Got on trail at 0830. We planned for 0800 but Scott thought a nature call was in order and left the coyotes a package!!   Anyway, we saw a lot more hikers today.  Timberwolf and Terri (No Name), Mike, and 5 college kids on spring break and more later at Gooch Shelter where we ate lunch.  We started with a clear day but after 5.5 miles while filtering water at lovely Justus Creek it began raining.  It was steady for about an hour and cold.  We dried out with other Hiker Trash at Gooch Shelter.  Everyone is nice but it’s like first week of school...still seeing who will sit with Chuck at lunch table.  After warming up and fueling up we departed for our campsite and as we descended upon Gooch Gap we saw two canopies set up just off the trail.   Someone yelled, “Hikers, come take a break!”  Yay!! The first real trail magic put on by two former thru hikers...Freestyle and Old Gray.  They had drinks, hamburgers, hotdogs, fruit, and more.   Of course, we had just eaten but not wanting to offended we ate a hamburger (soooo good) and a plum.  Music was playing and it was so cool that people give back to the AT community.  Thanks guys for the TMagic!!   10 miles today. They were definitely harder miles today and tomorrow will be harder with Blood Mountain challenging us.   Camp is set up and it is drizzling on the tents.  Chuck and I are chilling in our tents listening to the Army Rangers shooting weapons during their Mountain phase of training near Gooch Gap.  Dinner soon, Vitamin I and bed.  We are on Ramrock Mt with 19 trail miles behind us!!  
Addendum—Big Red visited Ramrock campsite.  We enjoyed vista and sun. Everything dried out for now.  We stayed up late tonight...1900hrs.  Hoping to be on trail by 0800 and get picked up for night on the town in Helen, Ga by our personal Trail Angels Jana and Amy.  Blood Mountain challenge first though.  It’s a process!!","
",Ramrock Mountain ,"Mar 14, Sat",10
Process,https://www.trailjournals.com//journal/entry/627349,"Rain and wind on Ramrock Mountain most of night but stopped just as we exited tents at 0630hrs.  Tents and gear dry.  Coffee and camp breakdown process completed in one hour.  On trail by 0745.   We hiked 1.5 miles and filtered water in a pretty spot along trail.  Continued on toward the ominous Blood Mountain.   Just after Woods Gap Scott decided to freestyle off trail up a rock scramble.  I had to take off my pack and toss it to Chuck to extricate myself off the slick rocks.  After finding a white blaze we continued up up up.  Rain and wind on and off but fairly mild temps.  Saw very few hikers, mostly  day hikers except Ken and Caleb.  We stopped and ate lunch in a cold rain as chef Chuck made peanut butter tacos.  We ate quickly and wanted to hike...If you’re cold—Hike faster.  Chuck’s second favorite saying.  
   As we came within 4 miles or so of Blood Mountain we had a series of ups and downs that trended up (like the stock market before Covid 19).  They were difficult and draining especially knowing we still had a steep summit to Blood Mt.  The trail was slick and thick with mud.  It slowed us in some spots.  We trudged up the final steep 700’ with many stone steps.  We felt good about ourselves as we passed a lady in her 70’s (It’s the little things).     At the summited we were greeted by Caleb (From Maine) and Ken (section hiking).  We rested took a few pics and headed off the windy mount towards Neel gap where Jana and Amy were meeting us.  It was a rocky steep descent. About half way down Chuck decide he wanted to snap another hiking pole by slipping on a mud covered rock and landing on his....pack and rolling.  Pride and tailbone bruised and new trek poles in his future we carried on.  Numb feet carried us into Neel gap for a 13 mile day.  31.3 total trail miles.   Holed up in Helen, Ga.  Laundry done (Thx Jana and Amy) and bellies full.   God bless and goodnight.","Ramrock Mountain
",Neels Gap,"Mar 15, Sun",13
Process,https://www.trailjournals.com//journal/entry/627350,"We had a great time last night in Helen, Ga.  Helen is a town right out of a Bavarian village. It’s a cool place with lots of shops.  The “women folk” as Chuck refers to them went to Dollar General, Chuck and I walked back to our hotel (Heidi Inn). We noticed a tattoo shop.  Chuck suggested we get tattoos...”Chuck and Scott Blood Mountain Forever.” Hmmm it was temping, but after a good nights sleep we agreed it was prob a bad idea.  
   We had a delicious breakfast at Hofer Cafe and I packed out three donuts only one actually made it to the trail.  The ladies drove us back to Neel gap and we geared up in a cold foggy and windy parking lot. It never really warmed up today and the fog held on better than Chuck gripping a Snickers Bar.  We put in 6 miles and stopped for lunch on a wind protected ridge line. Chef Pop Pop or formerly known as D.C fixed us a Steve Johnson favorite with one extra topping...Blackberry and Strawberry Jelly procured from Hofer Cafe.   Hiker Trash will pocket unsecured condiments!!!  I just want to give Sir Fob (Steve Johnson) a shout-out.  Fob thanks for your books and friendship to Chuck. I think you have had a big influence on Chuck and I wanting to hike the AT.  I have enjoyed your journey and writings. Two thumbs up! After lunch we did an hour challenge and walked 2.8 miles that contained a few ups and lots of mud.  The pic of Chuck in the fog was at the end of that hour. 
   Not many hikers today. We are presently camped with Birdman and Kyle both from Michigan but not hiking together.  We finished off today with 12.8 miles and 44.1 total miles.   We are all tired and Chuck’s 3rd favorite line, “It’s Hard, It’s supposed to be hard!”  God Bless","
",Poplar Stamp Stealth Campsite,"Mar 16, Mon",12.80
Process,https://www.trailjournals.com//journal/entry/627352,"Reveille sounded at 0600hrs and the Process commenced.  Chuck jealous after I fixed Birdman coffee.  Birdman was still in his sleeping bag and Chuck gave me grief cause I never fixed him coffee in bed.   We had heavy rain during the night.  Tents only had a few damp spots, otherwise happy and warm.  Last night was the first annual Poplar Stamp Tent Ground Obstructed Sleep Apnea Fest 2020.  Headliners: The Process; Birdman and Pop Pop.  Thank goodness for heavy rain on the tents to drown out the noise.  We hit the trail at 0745.  Chuck’s morning routine needs tightened up a little but he’s getting there...it’s a process!   We knocked out 2.9 miles in the first hour and 2.1 the second hour (more uphill and boulder fields).  We stopped and texted the girls to be at Unicoi gap at 1130 with requests for donuts and orange Fanta.   We carried on and summited Blue Mountain 4010’ at about 10:45.  As we summited the clouds decided, with less than an hour left and only 1.6 miles, that a good heavy downpour was in order.  It was a good cold soaker with temps around 46.  The rain made the descent treacherous and slowed our progress just a little but with donuts and orange Fanta in our reach we pressed on.  Food is a great motivator...Donuts!!  Chuck gave me the trail name The Process but it was almost Donut.  As I’m texting this there is donut glaze on my phone screen.  As we neared Unicoi gap we heard laughter but fog obscured our view of the parking lot...my first thought was Trail Magic...food.  Then as we got further down the mountain we saw two canopy tents and the delightful smell of burgers cooking on the grill. Yes!!!!  Which brings me to Chuck’s fourth favorite trail saying, I love the smell of burning cow!”   We crossed the road, dropped our packs, kissed the wives, and scarfed down a burger and a hotdog with a coke.  Thank you Baptist church from Lakeland, FL for the TMagic.  Then Chuck drank a Fanta and I had 2 or 3 donuts.  I lost count (hey don’t judge me).   The ladies were worried we might not want to eat lunch.  No prob by the time we drove 15 minutes and showered we were ready to eat again.  Keep The Pop Pop in your prayers, he heads out tomorrow trekking solo. He’s a strong hiker and a great trail companion.  Gonna miss our time together.  Love you Chuck.  God Bless","
",Unicoi Gap,"Mar 17, Tue",8.40
Process,https://www.trailjournals.com//journal/entry/627363,"Departed hotel and had Pop Pop at Unicoi Gap trailhead  by 0730hrs.  It was his first day solo on trail! Process today. We were both a little sad...well, I know I was not to be headed up to Tray Mountain and beyond.   We said our good-byes and watched Chuck climb out of the gap.  I yelled, “It’s a Process” and He yelled back, “It’s hard” I echoed, “It’s suppose to be hard.” With that we made the journey back to WV.  Jana will head to Manassas in the morning.  We had a good safe trip home.  
   Two hours into the journey I was checking Guthook (AT GPS map App) and calculated Pops was getting close to summiting Tray Mountain.  30 minutes later we got a text from Pops that he had summited and was moving on.  Later around 3pm we received another text that he was stopped for the night at Deep Gap Shelter.  He had his biggest mileage AT day 13.1 with 65.6 total miles.  Keep it up brother.  
     On the way home.  I said, “I wish I could thru hike with Chuck”. Amy said, “then do it!”   So I decided after talking it over with Amy and Jana. To go for it. So decided to resign from my job and pick up with Chuck at Fontana Dam in two weeks.  Stay tuned...","Unicoi Gap
","Bunker Hill, WV","Mar 17, Tue",0
Process,https://www.trailjournals.com//journal/entry/627364,In spite of the turmoil in the world i put in a two week notice at work and have 2 work days before thru hiking the AT.  The ATC was recommending thru hikers to come off trail and postpone hiking.  At present The Great Smoky Mountain are closed till April 6 and the Shenandoah Park was closed to overnight camping for now.  Chuck and I as of today are planning on starting southbound hike from Harper’s Ferry WV on 30 March and do section up to SNP.  We will tent camp and not use shelters.  We will continue to evaluate hiking plans as we go and see what happens.  God bless and stay healthy.,"
","Bunker Hill, WV","Mar 27, Fri",0
Process,https://www.trailjournals.com//journal/entry/628489,March 30-April 2. Harper’s Ferry WV to Morgan’s Mill Rd Va.  27 miles most of miles were on the famed “Roller Coaster” portion of trail in Northern Va.,"Harper’s Ferry
",Morgan’s Mill Rd,"Mar 30, Mon",27
