Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Rraccd ,https://www.trailjournals.com//journal/entry/622577,"9 am 2 mile walk on the I Dream of Jeannie Beach in front of Patrick Air Force Base, FLA. A very slow modest pace of 2 mph carrying a day pack with (2) 32 ounce Zero Sugar Gatorades & (2) 16 ounce waters. Claiming this as load-bearing hike. 4 pm 3.5 mile bike to the grocery in the Florida heat & humidity. Heart rate was 170 for a minute and I felt horrible with sweat pouring into my eyes.  I made it to my destination. Then, then, my best friend rode back 3.5 miles to get the truck to come back for me and my bike because I was 'spent'. I am in horrible shape. 201 days to prepare physically. Mentally, I am on point. Conducted countless hours of research, reading, and honestly, dreaming of this adventure. Now, it is just sweat & money. Have most of the gear except the big 3 (shelter, pack, and sleep gear). Hoping to go as light the wallet will allow.Time will tell.",,View Entry,"Sep 07, Sat",0
Rraccd ,https://www.trailjournals.com//journal/entry/622625,"2 miles, 92 F degrees, 60% humidity, in 1 hours 15 minutes. Hopefully, this Florida heat will be preparation for the last half of the AT in July-September. Hiked through Wickham Park's trails that was full of the Devil's toilet paper aka saw palmetto, sugar sand, and pine needles. The paths taken were random but after reviewed the route resembles the outline of Italy. Bravissimo!  Saw the first pre-hike snake. The snake was black, skinny, & long. That description sums up my ability to identify snakes. It quickly slithered into the brackish water when he spotted me. Wonder if the wildlife keep track of their human sightings? My friend had a hitchhiking tick on her sock. Crazy thing is that we treated our hiking attire with Permethrin and then did not wear any of it (not even the socks). We have Injinji socks but they are not crew socks. It was so hot neither of us wanted to even wear the lighter weight liners. Lesson learned. Preventing tick bites | Ticks | CDCStill in horrible shape but following the mantra that 'It does not matter how slowly you go as long as you do not stop.'",,View Entry,"Sep 08, Sun",0
Rraccd ,https://www.trailjournals.com//journal/entry/622682,"It is not the heat, it is the humidity. We did 1 hour of indoor cycling as the humidity was high, real high. 
Spinning is not something I would have ever seen myself doing, but since my friend has committed to the AT with me, I have committed to spinning as a training exercise. My lady part is not thrilled. On that note, yesterday, I realized that I was missing a key piece of gear for the trail. Purchased a GoGirl Pink Combo ($9.99 Amazon). I do not want to get up at night, walk 100 ft in the dark, away from my tent or hammock (still undecided) to urinate. Hopefully, this gear & a Gatorade bottle will make that activity unnecessary. Never used one, but the GoGirl Combo is arriving before 8 p.m. tomorrow. I am sure my product review will be anxiously awaited by  all :{
After spinning, I wanted to stretch my legs. My friend's knees were sore, so just me & my best friend, my friend's dog. He was excited. The pace was probably a bit slow for him. Wonder if his knees were sore. Do dogs have knees? They kind of have reverse ankles. Obviously, my day job is not a veterinarian (I even had to google how to spell veterinarian, ughhh, not a teacher, either). Half mile in 15 minutes which is maintaining the 2 mph, unfortunately, without a pack or PUDS ('pointless ups and downs').
The trail is roughly 2200 miles. By my calculations, again not a teacher, at our current physical condition, I estimate it would take a minimum of  7 months & 7 days with no Zero days (no miles hiked). We'd have to make Christmas presents on the trail and would miss the October 15th deadline to summit Khatadin without fear of inclement winter weather. 
Onward & upward, ♩ ♪ with one foot 'or pedal' in front of the other♫ ♬ until we are physically ready!",,View Entry,"Sep 09, Mon",0
Rraccd ,https://www.trailjournals.com//journal/entry/622861,"Today we trekked. We used our Cascade hiking poles for the first time. I think they are the are like the Nissan level trekking pole compared to the Lexus trekking poles out there. The Cascade poles are reasonably priced at Academy Sport for around 20 bucks.  
We hiked our normal 2 mph pace but it felt like we were going faster with the poles (apparently, just in our minds). I think we both felt the poles gave added confidence in  footing and reduced joint stress. We like them. Not sure why we had not used them until now as they have been in our AT gear for about 6 months. Ugghhh.
After our hike, we watched YouTube videos to learn all the things we did wrong. My friend had the wrong grip. I over tightened the screws. Neither one of us removed the plastic foot to expose the tip of the poles. It's a learning curve. Fun to being learning together. It really makes me believe the big adventure has already begun.
P.S.The GoGirl Pink Combo came. Going to have to practice for sure. ",,View Entry,"Sep 12, Thu",0
Rraccd ,https://www.trailjournals.com//journal/entry/622934,"If it's not raining, we're not training. Today, we hiked 3 miles in the Enchanted Forest Sanctuary. We took Coquina trail. Oddly, we did not see any coquina shells, fairies or magical deer. The terrain was very diverse. Some of the path was boardwalk, sugar sand, dark muck, little and big rocks. A few stretches of the trail looked like hogs had been rooting. No signs of scat. The Florida I was born and raised in, is a land of flat ground and skinny trees. We actually had an elevation gain of 60 ft & saw some amazing thick oak tree trunks. Do you think trees get offended by being called ""thick""? or maybe they would prefer big boned oaks! 
We did see some brilliant clusters of purple beautyberries (https://plants.usda.gov/factsheet/pdf/fs_caam2.pdf) and red berries of the Yaupon Holly scattered about on the trail possibly from Hurricane Dorian's winds. Just learned, the beautyberry is a natural mosquito repellent and the Yaupon Holly is the only native North American plant that contains caffeine. If we experience caffeine withdraw or we are  attacked by those nasty little blood-sucking flies in the Georgia portion of the AT, we will rub the roots and stems of the beautyberry on us and brew the leaves and stems of Yaupon Holly into a tasty tea. 
Yaupon Holly sounds like a person's name, so I capitalized the shrub in accordance to proper noun etiquette. ""From the red corner. weighing just under a pound... she hails from Titusville, Florida. Was rated by many, as the best pound for pound boxer of the last decade. With 52 wins, 38 of them coming by the way of knockout, and only 4 defeats. She is, the former middleweight champion, former super middle weight champion, former light heavyweight champion, and former LIGHTWEIGHT CHAMPION OF THE WORLD, YAUPON HOLLY!""",,View Entry,"Sep 14, Sat",0
Rraccd ,https://www.trailjournals.com//journal/entry/622973,"Did an easy 30 minutes of spinning, as well as, on off hiking days, we started integrating stretching using Lumowell fitness series on Prime. It's computer generated with simple instructions. 
& I purchased  KUIU The Summit Refuge 3 Person Tent & my friend purchased the hammock Roo Double Python 10 with straps. We will do a comparison and review after they arrive. ",,View Entry,"Sep 15, Sun",0
Rraccd ,https://www.trailjournals.com//journal/entry/624087,"I have not written in the journal for a while (25 days). Or is it that I haven’t written in awhile? Holy mackerel, I hope I am a better hiker then writer. Again, then or than? Honestly, I feel either could work as I am comparing relating to time as I am writing now and will be hiking later.
Update:

Only have a few key pieces of gear left. 
Need sleeping pads. There are so many options. Of course, my priority is light weight then comfort. Noise of the pads gets a lot of chatter when I recon my options. I do not want to be rolling up into camp with a loud Ford GT when I could have the soft purr of a Tesla Model S. Ironic, my name is Carr and I am using low NVH (noise, vibration, and harshness) levels for cars as my standard for buying my sleep pad. Don’t even get me started on if I am a side sleeper or back sleeper. Apparently, I need a sleep study to do the trail! I do have the back up hammock (I know, overkill). I can see mailing the tent or the hammock home at Fontana Dam, however, it does leave room for family/friends to have trail sleep overs without having to buy gear. Golly gee, Beave, decisions.

Need quilts. Weight and temperature are the key factors I am focusing on. Actually, temperature then weight in this instance. I’m from Florida, born and raised! Lived in FLA all my life, well, minus 2 tours in the Marines and my other “A”dventures…kicking around ‘A’ustralia 08-09 and ‘91 driving the ‘A’LCAN (before it was paved). I am ready for the A.T. 2020, but I want to be warm at night. I am thinking about a custom Revelation from Enlightened Equipment. Again, overkill (that’d be a good trail name).  
I think of Grandma Gatewood’s shower curtain shelter half, sleeping on leaves, without any gear really, and I feel gluttonous and foolhardy to invest in a quilt that goes ‘down’ to 0°F or -17°C. I guess that leads to a more philosophical question of NEED vs. WANT. Like most I think, I am searching for that happy middle ground. Which is why I purchased REI Co-Op 650 Down Women’s jackets. They were being discontinued and on clearance. Initially, I thought I wanted 700-850 Down jacket. The price was too good ($49 ea.) to pass up on. The jackets are very light weight at 8.8 ounces and hip-length. Will be sure we get a good mid-layer merino or wool shirt with a hood to supplement.",,View Entry,"Oct 11, Fri",0
Rraccd ,https://www.trailjournals.com//journal/entry/624107,"Purist or Pragmatist? I’m not even sure that is the correct wordage. Again, the English language is my foe and the dictionary is my minefield. Hike the trail, white blaze to white blaze, mile for mile, not straying except for resupply OR hack the trail, be less picky, venture beyond the white blaze into the purple haze [1].
I know, I know…hike your own hike (HYOK). Literarily, I am at a quandary peak. Literally, I wish I was on a shakedown hike at Quandary Peak. May not answer my philosophical question but would answer a lot of other gear questions. Alas, I am aiming to be a thru hiker not a fourteener peak bagger. 
I feel like I am going to see my first blue blaze (marker for a side trail or alternate route) and have a Matrix moment. On one hand, I want to know how deep the rabbit hole goes. On the other hand, I want to stay within the safety of the white blazes. The idea of skipping a spur trail, literally the road less travelled and could have a hidden-falls rarely navigated, could be very hard. Of course, I do not want to get too side-tracked and not accomplish the mission. Katahdin or bust! Then again, my hike is not like a quick game of blackjack. It is more like a long tricky game of bridge. 
Seriously, it does become a quagmire of blazes. Giggity giggity giggity goo! There is aqua blazing, in which some parts can be navigated by water like on Fontana lake or the Shenandoah River. That sounds very cool. There is the opposite of the purist white blazer…a yellow blazer who hitches parts of the trail skipping miles by being driven. Pink blazing (no), brown blazing (of course), cyber blazing (no/maybe…no), bike blazing (like on the C & O Canal Towpath)….the list of blazing options seems endless. I will be amber blazing through deep duff for a sip of beer. D’oh!

Again, I guess I’ll be looking for that happy medium that gets me to Katahdin in a meaningful and timely manner. Maybe, 80 % white blazes and 20% other blazes. The vital many versus the trivial few.

[1] Purple Haze, great song. Personally, I feel Hendrix’s song was more about the sound then/than (who knows? Well, a teacher but never mind, never who) the lyrics. In this instance, the lyric ’scuse me while I kiss the sky” is on point. A.T hikers are sky kissers.

 ",,View Entry,"Oct 12, Sat",0
Rraccd ,https://www.trailjournals.com//journal/entry/624186,"For A.T. trail prep, I feel I need to refresh (aka relearn) some knots. Getting reacquainted with knots is probably overkill. I just keep replaying in my head, tying and untying knots for hours, while Cpl. Christie was saying (shouting), “This could save your life, Marine!”.  I am sure I had some quick-witted thoughts in my head (never aloud). What if his message was for today, not then? I don’t want to miss my Slumdog Millionaire moment. I am out of practice. I can tie a mean bunny ear shoelace and granny knot.
I have experience with friction knots (stay in control), (bow to the) bowline knot, and (hail to the) halyard knot. Stay in control, bow to the bowline, and hail to the halyard. Ditties I used, in the Marines, to remember when to use the right knot. Basically, it was bowline all day every day in the Corps and beyond hoisting the stars and stripes, I cannot recall using another knot regularly. At one point, that same hard charging corporal made the squad learn to tie a bowline knot with just one hand. 
As a Floridian, raised by a part-time commercial fisherman, I often used the Lark’s Head Knot.  It’s just a luggage tag loop. We used the Lark’s Head to secure the hooks to our fishing line. I honestly, always believed a lark was a fish. It’s a bird. Little known facts (I feel like Big Bangs Sheldon Cooper), the Horned Lark[1] is the only North American lark and it nests on the ground. Some of the horned lark’s have cool yellow racing stripe-like faces. Maybe that is where the lark’s head knot name originated. 
When fishing off/under bridges to fill buckets, we used a barrel hitch. We had to get water to keep the bait or catch alive in the bucket. Sometimes we used a clinch knot for attaching hooks, but rarely because they slipped a lot.

I am going to focus on perfecting the one handed bowline (tarp tie, rope handle, rescue harness, …), reef knot (first aid), half hitch (hanging bear bag), sheet bend (clothes line or guide line to cross a river), and timber hitch (tight line for high winds for shelter). When I do not post for a few days, you’ll know that I am all tied up in knots.

Ironic, I still need to purchase the rope/cord. I do have regular rope to practice with in the meantime. Looking at buying 50' dyneema cord from Zpacks.

 

 

 

 

 

 

[1] The Horned Lark is on my hope to see on the A.T. list & my Big Bird Year I am completing with my 4-year-old nephew. The Big Bird Year is very similar to the Big Year except I am not sure my nephew quite understands we are supposed to spot the birds in the wild… not the zoo, not in his mind, not a stuffed animal, and not made up. Yes, his Big Bird Year seems more fun.",,View Entry,"Oct 15, Tue",0
Rraccd ,https://www.trailjournals.com//journal/entry/624296,"For the past few months, I have been trying to figure out the best resources for weather on the A.T. beyond the obvious the National Weather Service & NOAA or literally taking a hand cranked NOAA radio. Weight, I don’t knowa if I want to do that!  
As I journal, we are experiencing tropical storms in F-L-A. Marjorie Kinnan Rawlings would have penned “it drummed rained” all night and gasped it was “a toad-strangler.” I am disappointed I did not think to set up my tent in advance and test her[1] out. It would have been the ultimate test, there are cyclone warnings. The last time I ‘weathered’ cyclones, I was in Australia for their 2008-2009 tropical cyclone season turned year. There were crocs in trees, crocs swimming down the middle of neighborhood streets, and cows washed into the oceans.  I personally haven’t seen the term ‘cyclone’ used in FL, but I also have never paid as close attention to the weather before my A.T. prep mode.
Apparently, the only difference between a cyclone and a hurricane is where they originate. Who knew? Obviously, not me. I thought cyclones were just ‘Australian’ hurricanes. In fact, these super storms are called a cyclone when they are from the South Pacific/Indian Ocean, called a hurricane when they are from the Northeast Pacific/ Atlantic and termed typhoon when the storms come from the Northwest Pacific.   
Below are the links/resources I have found that seem very helpful:
http://www.sophiaknows.com/atdb/weather.php
https://www.atweather.org/
https://www.windy.com
https://www.wunderground.com/radar/us
Dammit, Kirk! I'm a hiker not a weatherman. I'm trying to be as competent as a postman though. Neither snow nor rain nor heat nor gloom of night stays these couriers (hikers) from the swift completion of their appointed rounds (blazes).
 
 
 
 
 
[1] My tent is a ‘her’. Using the feminine pronoun feels right. It is how we referred to ships and our rifles in the Marines. I haven’t named her yet. Waiting. It must be the best-most-fitting-name-ever. I won’t be the only resident, so I want my friend to have equal input in naming our 6-7 month home.",,View Entry,"Oct 19, Sat",0
