Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Swamp Irish and Sugar Gal,https://www.trailjournals.com//journal/entry/626656,"To help us prepare for the adventure of a lifetime, hiking the Appalachian Trail, our mornings begin on top of the Mississippi River levee without fail.  Hot or cold, rain or shine, we chat and giggle as we hike the levee with its ups and downs.  We began hiking in casual clothes and have graduated to hiking attire.  Over the past few months we added to our gear until we now carry a full pack, complete with food, shelter, and clothing.  Sugar Gal’s idea of exercise is 10 minutes or mist (sweat!) whichever comes first, and Swamp Irish replies “Suck it up and get moving.”  So we glance outside to check the weather, dress accordingly, grab our packs, head to Houmas House Plantation, hike the levee, drink a bottle of water, eat a Clif Bar, and climb the Ascension Community Theater fire escape as the excitement of the Appalachian Trail adventure draws near!",,View Entry,"Feb 10, Mon",0
Swamp Irish and Sugar Gal,https://www.trailjournals.com//journal/entry/626657,"After our daily hikes with our packs, we are feeling kind of cocky like we can conquer the world!  We decided to hike in the Tickfaw State Park and stay over in our fancy new home, our tent! Oh Yes! We will be the envy of all the thru hikers with our spacious mansion.  Once it was setup… we scratched our heads trying to figure out how the sleeping gear would fit.  We tried this way & that way and hmmm.  We looked on the tent instructions only to discover to our dismay that it was not designed for 2 people, but for 3.  We giggled as we discussed making bunk beds but neither of us wanted to be on the bottom.  We squashed & we shoved & finally fit only the pads & bags.  Guess the backpacks will remain outside in the cool 35°F.  Our gear held up to the test.  We drifted to sleep to the sounds of the night owls as we nestled into our warm, comfy surroundings. 
We used everything we brought and had nothing to discard into the ‘Hiker Box’!  We were ready for the real test… the ‘Tank Shakedown’!  He taught us everything we know & can answer any concern we have.  With great excitement, we welcomed him into our home.  As he opened our packs, we giggled & chatted with excitement.  It was not long before Tank paused, gave us ‘The Look’, and asked the question, “What are you going to use this for?”  We glanced at each other and replied without hesitation, “Throw it in the Hiker Box!”  The giggling continued.

All of our treasures are repacked in our backpacks in their proper places, clamps are secured, straps are tightened, and away we go!  Don’t tell Tank… I grabbed something out of the Hiker Box and hid it at the bottom of my pack.  Shhhh!",,View Entry,"Mar 03, Tue",0
Swamp Irish and Sugar Gal,https://www.trailjournals.com//journal/entry/626747,"We passed the majestic Houmas House Plantation after our last hike to prepare for the Appalachian Trail today.  We became a little emotional, so we held hands and giggled with tears in our eyes.In preparing for our departure, we not only packed and hiked, we also spent precious time with our family and friends.  We shared meals and laughter, hugs and kisses.We are truly grateful and thank all who supported and helped us prepare for our upcoming journey. It is now time to board a train that will carry us to Atlanta, Georgia, take a shuttle to Amicalola Falls, and begin our adventurous journey on the Appalachian Trail.  The excitement of what’s to come makes us giddy!",,View Entry,"Mar 08, Sun",0
Swamp Irish and Sugar Gal,https://www.trailjournals.com//journal/entry/626977,"Day 1
Today's miles- 0
After a peaceful Amtrak train ride to Atlanta, we met up with our shuttle driver Ron Brown, who gave us last minute tips of the trail on our way to the Amicalola Falls Lodge. He also awarded us with our first piece of trail magic, a whistle for bear encounters…. BEAR ENCOUNTERS?!?!

 

Even though we had time zone and daylight savings time changes, we woke up bright eyed and bushy tailed, ready to begin our trek of the Approach Trail. It was a perfect day to begin our hike — cloudy, with temperatures that would remain in the mid 50s for the next 24 hours. 
 

Upon arriving at the Amicalola Falls Visitor Center, we registered as thru-hikers, received our blue Appalachian Trail (AT) thru-hiker tags #874 & #875, attended the orientation, giggled as we took our picture at the Appalachian Approach Trail Arch, and began the trail. 
 

The Approach Trail begins as a casual stroll down a pathway leading to the falls stairway, which quickly changed our pace to a screeching halt. We chatted with fellow hikers, giggling as we paused to take a breath on the stairway platforms. We allowed hikers to whiz around us, wishing them well and acting as if we were being courteous, when in reality, we were taking a break!

 

It was a “kiss the ground” moment when we reached the top of Amicalola Falls! Everyone was giggling at that time because they had reached the summit of the falls – though we confess that we were all rethinking our pre-hike training, attire, and pack weight as the giggles continued. 
 

Until we noticed a precious treasure lying on the ground. The giggles faded as we wondered what it could be? 
 

Oh, no, a fellow hiker’s tent poles! The nearest hiker reached to the ground to pick them up, another hiker remarked we must find them before nightfall, and we all immediately began hiking the trail to try to catch up with the owner. Break time was over as adrenaline flowed through our tired bodies to come to the aid of a fellow hiker.

 

Ahh, yes, now the fun begins! The trail was everything we had expected and trained for. The rocky trail gave new meaning to “What goes up must come back down,” and in our case, “What goes down must go back up.” Our trekking poles were a lifesaver! We were once told that your body will tell you how to use them… and it did. 
 

The scenery was beautiful! The beaten pathway which lay before us was lined with barren trees, rocks of all shapes and sizes, and the next little mountain (or what looks like mountains when you are from Louisiana). Suddenly out of the blue, we discovered a picturesque scenic valley. Nature furnished the pathway with charming chairs of rocks to lounge upon – the perfect place to have lunch, which consisted of peanut butter wraps, tuna wraps, and cheese puffs. No lunch would be complete without a smashed blueberry muffin from breakfast. Yummy! 
 

Let’s continue our hike, shall we? The steep pathway crossed gentle flowing streams, sparkling rocks of silver, and trees marked with blue hashes to guide our way. We hiked, we drank water, we hiked, we ate protein bars, we hiked, we sat upon strategically placed rocks, we hiked, and we huffed and puffed until we could huff and puff no more. 
 

Upon reaching a sign showing the way to Springer Mountain, we noticed on a rock a black bag containing a water filtration system. No, this was not trail magic for us to treasure; a hiker ahead of us had forgotten to pick it up. We trekked on, hoping to find the hiker who would be desperately needing their treasure. 
 

Along the way we met up with a fellow hiker who brought us news that Springer Mountain Shelter was to full capacity, and it was about a mile later that we saw a light at the end of the tunnel… a sign for Black Gap Shelter. 
 

We set up camp near the shelter for the evening, prepared a gourmet supper of chicken and noodles, filled our water bottles for the next day’s trek, and found the hiker who had mislaid her filtration system. She was delighted that we had found her missing treasure. Hugs and giggles were exchanged.

 

Everyone was delighted to see fellow hikers arriving into camp that evening, and we greeted each other with waves and smiles, and enjoyed chatting about our day’s adventures.

 

There is that moment in time, when you realize that life has magically touched your heart. Today was filled with such moments.

 

What happened to the hiker who misplaced their tent poles, you ask? That’s an answer for another day….for tonight we are too tired to do anything but rest.","Amicalola Falls, Georgia
","Black Gap Shelter, Georgia","Mar 09, Mon",0
Swamp Irish and Sugar Gal,https://www.trailjournals.com//journal/entry/627081,"Day 2
Today's Miles 4.8
We woke up to raindrops tapping on the tent’s roof top about 5:30, just like the AT Weather app had forecasted. We had an extremely restful night, which could be due to the fact that we survived the Approach Trail trek the day before. At the same time we both said 'Rain', giggled, rolled over, and waited for the rain to slow. About 7:30 the rain stopped, we broke camp, and were out on the trail by 8 am. The temperatures remained in the mid 50’s the entire day and night. 
The major decision of the morning lay before us was where do we enjoy breakfast?  Springer Mountain Shelter sounds like a winner! A drizzling, misty rain kept us refreshed during our trek toward the shelter. 
Before reaching the shelter we stumbled upon the Appalachian National Scenic Trail Southern Terminus Plaque. This moment took us by surprise and we chatted with a fellow hiker who went by the name of Darwin. Hikers continued to arrive, sharing stories of their past hikes and pictures to forever capture this precious moment in time, and registered in the hiking book beneath the plaque. With smiles on our faces, we giggled with excitement as we continued our trek to Springer Mountain Shelter where we enjoyed breakfast with Janie, a fellow hiker.
Today’s hike will include looking for white blaze marks on the trees, intermittent gentle rain showers, little mud puddles between rocks, misty forests that look like something from an eerie movie, footbridges and trickling streams. All this put our trekking poles to the test as we weathered the new terrain and trekked toward Stover Creek Shelter.","Black Gap Shelter
",Stover Creek Shelter,"Mar 10, Tue",4.80
Swamp Irish and Sugar Gal,https://www.trailjournals.com//journal/entry/627113,"Day 3Today's Miles 0Took a zero day, ate yummy BBQ, washed trail clothes (the nice gentleman insisted we use 2 detergent packets— LOL), and giggled as we snuggled into a comfy bed.
Can’t wait to get back to nature, the trail, and more magical moments on the Appalachian Trail!!","Stover Creek Shelter
",View Entry,"Mar 11, Wed",0
Swamp Irish and Sugar Gal,https://www.trailjournals.com//journal/entry/627114,"Life’s Sweet Journey has us detoured to take the scenic route back home for (hopefully) a quick check.
 
Hummm! I think we may have taken the wrong turn somewhere along the way because there are no white blaze marks on the majestic, moss hung, oak trees or the towering magnolia trees. The babbling mountain stream, now looks like a quiet, murky bayou. And the tallest mountain we can find resembles the Mississippi River levee.
 
Oh well, now is the perfect time to take advantage of gathering hugs and kiss from the kids, grandkids, family, and friends. They giggle while listening to our adventures, and we enjoy crawfish pie.
 
Our awesome medical support team is sending us back to enjoy our walk in the woods. Their faces reflect joy and excitement because they have accomplished a job well done, returning us to our amazing journey.
 
We’ve lightened our packs. Yes, Tank was right! I did NOT need that treasure from shakedown day. Don’t you just love it when he’s right!!!!
 
Did you hear that?  Did You Hear That??? ...The Appalachian Trail is calling us back to enjoy the wonderment of her open arms. We Giggle!! We will be returning to the trail in a few days.","
",Home!,"Mar 17, Tue",0
Swamp Irish and Sugar Gal,https://www.trailjournals.com//journal/entry/627115,"Looks like zero days ahead...
 
The Appalachian Trail Conservancy has urged that all section or thru-hikers postpone their start or return home if already on the Appalachian Trail until the COVID-19 risks have passed.

We are disappointed that we cannot continue our journey right away, but will not return to the trail until cleared by the Appalachian Trail Conservancy.","Home!
",Nowhere,"Mar 18, Wed",0
Swamp Irish and Sugar Gal,https://www.trailjournals.com//journal/entry/627224,Went on an archaeological dig in my kitchen cabinets this morning. Today was the perfect morning for homemade blueberry muffins & High Mountain Oolong Tea from Taiwan. Yummy!!Missing the AT!,"Home!
",Back to the AT!!,"Mar 21, Sat",0
Swamp Irish and Sugar Gal,https://www.trailjournals.com//journal/entry/629469,"Destination: Weverton Cliffs Parking Lot, Maryland

Slept In: Hotel

Start Location: Home

Today’s Distance: 0

 

Life’s Sweet Journey is calling...

‘What did you say?

What did you say?’

‘...go back to the Appalachian Trail!!!’

 

After being snatched from the trail due to COVID-19, it is time to return to our adventures on the Appalachian Trail. This time, we will not begin in Georgia for a northbound hike. Instead, our sweet journey will begin in Maryland going north as a flip flopper; heading to Katahdin, Maine; then back to Maryland near Harper’s Ferry, West Virginia; and ending in Georgia.

 

We’ve hiked the levee of the Mississippi River in Louisiana for the past few months. The hikes started at Houmas House Plantation, continued to Bocage Plantation, then to Impala-Burnside Terminal, and back to Houmas House Plantation. These morning treks were filled with smells of sweet magnolias, eagles in flight, ships cruising down the river, and the gentle southern breeze sweeping over the levee.

 

We giggle with excitement, anticipating new sights, smelling new scents, and hearing new sounds of the great outdoors as we enjoy the pleasures the Appalachian Trail.",,View Entry,"Jul 13, Mon",0
