Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Valley Forge,https://www.trailjournals.com//journal/entry/628338,My son and I hit the trail at Amicalola tomorrow. Very excited! He'll be joining me for the first few days of my late season thruhike. Long drive ahead of us from Pennsylvania. More to follow.,,View Entry,"Jun 01, Mon",0
Valley Forge,https://www.trailjournals.com//journal/entry/628356,"My son and I left Pennsylvania in a rental and got as far as South Carolina before pulling over to a rest stop for the night. Drive - eat - gas - drive - drive - eat - drive - gas - drive - sleep. Should be on the trail late tomorrow morning. Beautiful green mountains in Virginia. Lots of truck traffic on I-81. Looks like things are getting back to normal.My last piece of gear arrived one hour before we left: a Zpacks Duplex tent. Was delayed a week in production so I only had a chance to pitch it and couldn't test it. Hopefully I made the right choice. My old Copper Spur has seen about 3000 miles and I don't trust it to last a thruhike. I took the opportunity to drop a lot of weight - 58 ounces for the Copper Spur vs 22 ounces for the Duplex, including stakes. That brings me close to ten pounds base weight. Now my Osprey Exos pack is the heaviest item. It too is showing its age and may get replaced soon. Looking at going frameless. My son needs a new trail name. Used to be Phantump when we hiked in Pennsylvania a few years ago. He's grown out of Pokemon though. We'll see what happens.",,View Entry,"Jun 02, Tue",0
Valley Forge,https://www.trailjournals.com//journal/entry/628367,"We woke up in an interstate rest stop near Andersen, South Carolina, groggy and a bit stiff. Felt better after some breakfast sandwiches. We arrived in Dawsonville, Georgia by 10 to return the rental and meet our shuttle. Got a real deal on the rental - just $40 to drive it from Pennsylvania to Georgia, no drop fee. Probably a Covid special.
Bret Eady picked us up and drove us to Amicalola Falls State Park where the Approach Trail starts. He greeted me with a hearty handshake, capping off a road trip that showed us people, at least outside major cities, are increasingly just getting on with their lives.  
I've used Bret a few times before. He thrued in 2017 and lives with his family in the north Georgia mountains. Business fell off a cliff in late March after the ATC asked hikers to get off the trail. The national forest service in Georgia had blocked off some AT parking areas for awhile but opened them up a couple weeks ago. The forest service in North Carolina had also announced trailhead closures but never physically closed them. But it was the action of one county in North Carolina, where Fontana Dam is located, that drove a lot of hikers off trail. The county barred any outsiders from entering, whether by car or foot, an unusual step even among the unprecedented lockdowns. That eliminated a critical resupply point for thruhikers entering the Smokies. Many decided to go home after hearing about it further back on the trail. 
At Amicalola Ethan and I had our picture taken at the arch and headed up the Approach Trail. Many families were visiting the park: hiking, at the fishing pond, and gazing at the falls. The falls are the longest cascade east of the Mississippi at 729 feet. We climbed 600 steps to reach the top, which took a lot out of us given the humidity. It was tempting to jump in. 
After a break near the lodge above the falls we hiked on, leaving the tourists behind. A few backpackers leap-frogged with us. The trail was easy walking but kept climbing and the humidity took its toll. We took frequent breaks and a long lunch before tackling Frosty Mountain. Surmounting Frosty turned the tide a bit and helped us push on. By Black Gap shelter Ethan had a headache, possibly a sugar crash after a bunch of Jolly Rogers. Vitamin I fixed him up. We struggled with water. Our two Sawyer Squeezes are a bit clogged and took forever to filter a liter. Leaky water bags didn't help. 
By late afternoon we reached Springer's summit and laid hands on the first white blaze. Two amatuer radio enthusiasts showed up, backpacking to Neel Gap. They had a device that would broadcast their coordinates by radio wave to communicate with other enthusiasts following them on a map. There are other ways to do this, of course, but this was for fun, not efficiency.
At Springer shelter a few tenters and hammockers were set up, including a couple from Massachusetts. All were hiking sections of Georgia. I looked through the logbooks today for other thruhikers starting. A couple named Beast and something else started earlier today. Looking back, a handful of thruhikers started in late March and April, sounding defiant in refusing to give up their dream in the face of mass panic. More entries in May, but mostly dayhikers and section hikers becoming active again. I'm sure I will run into a few thruhikers up the trail, but it is obviously quite late for most to start a northbound thruhike since Katahdin typically closes for winter in mid-October.
After a hearty dinner of rice and Spam(TM) we struggled some more with filtering water, chatted with the radio guys from Florida, and went off to sleep in the shelter loft. Nice sleeping weather. Supposed to storm tomorrow.","Amicalola Falls State Park
",Springer Mountain shelter,"Jun 03, Wed",0.20
Valley Forge,https://www.trailjournals.com//journal/entry/628391,"Nice sleeping weather. Last night we were buzzed by biting gnats at dinner but they left us alone in the shelter loft. Ethan was up a lot listening to strange sounds in the otherwise still forest. Some oatmeal perked us up.  
Our Sawyer squeeze filters are pretty clogged. It takes great effort to produce a trickle of water. The Sawyer water bags have small seam leaks so applying great pressure caused more water loss than we were filtering. So we just screwed the filters on water bottles, filled them with creek water, and filtered as we drank. Still produces only a trickle, so we spent the day trying to get enough to drink. We'll have to unclog or replace these once we reach Neel Gap, hopefully tomorrow.
It was a rocky mile descent to the gravel lot at Big Stamp Gap. Few people around before 9 am. Nice trail following Stover Creek with clean, cold water to fill up.
At Stover Creek Shelter a couple was late getting packed up. A domesticated gray tabby cat was slinking around, looking to be petted and probably fed. The couple thought the cat had followed some hikers there but no one claimed it. Ethan dubbed it Comrade Cat.
Leaving the shelter Ethan decided on Big E as his trail name. His friends gave him that thanks to being tall for his age. We passed a fungus at least a foot wide next to the trail. Big E dubbed it Humongous Fungus (see photos section).
Rhododendron forest followed as we hiked above Stover Creek, then tall hemlocks, fields of ferns, mountain laurel in bloom, occasional wildflowers like Indian paintbrush. A goldfinch bounced away as I approached. The woods were alive with bird calls. A tiny black and yellow snake froze by the side of the trail until slithering away. Large brown millipedes and smaller black and yellow centipedes occasionally crossed our path. No mammals sighted.
We stopped at Long Creek Falls to cool off and rest. A large Boulder had graffiti carved in it with the date 1877. Some old carvings looked like Spaniards or Indians might have left it. 
At Hawk Mountain Shelter we stopped for a lunch of cheddar and salami sandwiches. Four guys were hanging out near the shelter making a fire. It was their first trip on the AT and they opted to stay put this morning when the forecast called for thunderstorms. But by midday the forecast had been pushed off til evening and by then the guys had decided it was too late to get going. We left around 2pm planning to go 7 miles to the next shelter.
Several mountains stood in our way however. They, along with humidity and difficulty getting water out of our bottles, sapped our strength. Sassafras was the toughest, a 700 foot ascent. In cooler weather it would have been more manageable. Still, we made it, even surviving the morale hit of a false summit. Big E and I cried our barbaric Yawps over the rooftops of the world when we made the summit.
The next few miles became a bit of a trudge. With no water sources we had no choice but to get to Justus Creek at least. Climbing over the much smaller Justus Mountain took some out of us, and the long downhill wore on us. By the time we reached the creek Big E said everything below his waist was hurting. My feet were feeling the pounding as well. So after filling our bottles we soaked our feet in the icy water. A couple and a father and daughter were camping nearby, just tooling around the area. The soaking really helped our sore feet. We decided to press on another mile and a half to Gooch Mountain Shelter.
Dinner at Gooch Mountain shelter was ramen with tuna and a side of jerky. Protein is critical. A Massachusetts couple here are working on finishing sectioning the AT, which they started 24 years ago. A thirty-something Louisianan with a long beard with a white streak is thinking of heading to Maine, if it's open when he gets there. There's also a couple from California hiking as far as they can get. The girl was furloughed from state government until at least October. She had a bad review of the Duplex tent I just bought. Said she took a bath in it when it rained one night and returned it. Hopefully I got a working one!
Storms still haven't rolled in by 9. But we are both exhausted. We'll decide in the morning if we're hiking another 15 miles to Neel Gap.","Springer Mountain shelter
",Gooch Mountain Shelter,"Jun 04, Thu",15.50
Valley Forge,https://www.trailjournals.com//journal/entry/628397,"It was a dark and stormy night... But we slept like babies. Two days hard hiking will do that! Rain was petering out in the morning and we woke up gung-ho to get to Neel Gap. 
Minutes after leaving Gooch shelter the skies opened up and poured steadily as we descended to Gooch Gap. We donned ponchos to keep the worst off us and our packs. Our spirits remained high, knowing we were headed to town after Neel Gap, and enjoying the cooler air. But as the rain continued I grew less confident we'd make the nearly 16 miles, including a difficult climb and descent over Blood Mountain, highest in Georgia. It'd taken us 11 hours to do similar mileage in clear weather yesterday. On a whim I checked the AWOL guide and saw a general store/hostel listed for Suches, a tiny spot undeserving of the title ""village"", but only two miles off trail from Woody Gap ahead. Thankfully having service I called and was curtly told the hostel was closed. The lady somewhat reluctantly gave me the number of something called Above the Clouds hostel. Guthook did indeed list it and with great reviews of wonderful beds and meals as recently as yesterday. (Guthook is an online app with trail landmarks and services, AWOL is a paper guide updated each December). Lucky picked up the phone when I called and quickly agreed to pick us up at Woody Gap. 
Our sights now set on a short day to rest up, we enjoyed the last few miles. On Ramrock mountain we watched rain clouds settle among the rolling mountains. We passed the peak I'd spent a lovely night on two years ago with sunset and sunrise views, now shrouded in leaves and fog. Stopping for a breather we found a snail stretching out of its shell and ""rainbathing"" on a rock. In the last quarter mile we came to a spring turned waterfall cascading over the trail. Our water bottles still practically useless, I drank copiously from the falling water with my hands and Big E did likewise. It was rainwater flowing off the top of the mountain just yards above us, safer even than tap water. Although it wasn't a thirsty kind of hiking, being able to drink effortlessly was pure happiness. 
At Woody Gap a paved highway crossed the trail with trash cans, restrooms, and numerous cars with sightseers. Nimrod, a sharp-nosed, full white-bearded multiple thruhiker, drove up within minutes of my text announcing our arrival. He took us down to the hostel on a 13 acre tract with a brick bungalow and a large white block abandoned storefront. Above the Clouds just opened March 1, enjoyed immediate success, but had to close 18 days later due to trailhead closures driving away business. When hikers started calling again a few weeks ago they reopened. Lucky, the owner, bought it from a 100-year-old member of the Gooch family. His neighbors are the Woodys, descendants of Georgia""s first national forest superintendent who acquired much of the Chattahoochee national forest and built the dirt track that later became Highway 60.  My shuttle driver Bret ""Suches"" Eady lives nearby and according to Lucky is part of the family that founded the town. Suches is Cherokee for ""Above the Clouds"". It sits at the intersection with a mountain road that becomes forest service road 42, winding past every gap from here back to Springer itself. Lucky says they can slackpack hikers all the way across Georgia.
Big E and I dried out, showered, did laundry, and eventually downed a frozen pizza. But mostly we relaxed and shot the breeze with our hosts. Later in the afternoon a young section hiker from Augusta who doesn't like his trail name stopped in to clean up before heading home. Then Lucky brought in four hikers from Gooch Gap. The same guys who were zeroing at Hawk Mountain yesterday. They are UNC students, mostly in art and music, heading for Franklin, NC on their first extended backpacking trip. With 50 pound packs they are eager to lighten up. One is named Squatch after his yeti ankle tattoo. Another is Yellow Eagle after his own tattoo. 
Lucky drove us the half mile to the general store, giving us the grand twenty second tour of town. A twisty road out of town is sought after by motorcyclists much like the Dragon's Tail in North Carolina. The bikers congregate at a tenting ground in Suches on weekends. Lucky plans to turn his abandoned storefront into a cafe to get some of that business. It was once the area's only store for nearly a century. 
With ice teas, ice cream, and breakfast pastries we headed back. They had to wait though, as shrimp jambalaya was put out for dinner. Mmm, excellent! The four college guys couldn't finish the leftovers so Big E and I cleaned out the bowl. 
Big E volunteered to do dishes to save $5 on our stay. His first taste of work-for-stay! Very proud of him. We all retired to the living room for conversation. Lucky is a champion poker player and had plenty of advice for aspiring players. Then Nimrod came in to regale us with stories of the AT as it was during his 1980 thruhike. In one he was dragged out of a hostel in Maine by the owner Old Man Shaw at 3 in the morning to help him dress a moose. A moose he'd taken out with his 3/4 ton pickup! Or night-hiking Mt Madison in the Whites when a surprise gale blew in frigid air and dumped 6 inches of rain on him as he huddled in the boulders!
The four college guys were hanging on every word, as Nimrod and I explained many of the cultural oddities of the trail and places not to miss. The Doyle, the Whites, the half gallon challenge, Grandma Gatewood, the four state challenge, the 24/24/24 challenge, which hostels to visit and those to avoid (*cough* Garden Mountain *cough*). Laughing Heart hostel in Hot Springs was once a Jesuit monastery. Explains all the cell-like rooms! I learned a lot of trail history myself. The old AT of solitary wilderness sojourns has passed into history. But guys like Nimrod remain to remind us of that time.","Gooch Mountain Shelter
",Woody Gap / Above the Clouds Hostel,"Jun 05, Fri",4.90
Valley Forge,https://www.trailjournals.com//journal/entry/628411,"It was chilly in the hostel overnight with fans going full blast. I know, such problems. Breakfast was Lucky's grandma's recipe for biscuits and gravy. Delicious!
Yesterday I cleaned out the water filters thoroughly. What a pleasure not to have to fight for every drop. Now we just need a dirty water bag that doesn't leak.
The UNC foursome decided to yellow blaze and get back on at Woody Gap. So we all caravaned the three minutes up to the Gap and took off. It was a beautiful Saturday morning and the large lot was full. 
Great views at Preaching Rock a short ways in. Lots and lots of dayhikers and weekend backpackers on trail. Some ask me where I'm headed. When I say Maine they ask when I'll be done. That's determined by climate. Katahdin will close sometime in mid October when the snow hits. But that's over four months away.
Big E and I were in great spirits after a satisfying breakfast. We weren't hungry again for hours. We passed over numerous small climbs, shallow gaps, and sidehill trail. There were some views to ridges in the south. Humidity came and went like drifting fog.At Jarrard Gap we began a 1200 foot climb to Blood Mountain, the highest point on the Georgia AT. Filling up at a spring on the way up we ran into the amateur radio enthusiasts from Springer. Still chugging along, this was their last day and they still seemed a little overwhelmed. 
The climb up wasn't as hard as Big E imagined. Blooming rhododendrons and mountain laurel lined the trail above 4000 feet. Near the summit the trail turned to bedrock.
A large backpacking Hispanic family or group was at the top. One woman took our picture. There's a stone two-room shelter with fireplace built in the 1930s. Big E was proud to have conquered the mountain. The sun was out but a breeze kept us cool. 
The descent was more precarious,  with long stretches of angled, sometimes damp, bedrock and lots of rock hopping. A series of granite clearings exposed long views across blue mountains with rhododendrons, mountain laurel, and wildflowers encircling us. We descended steadily, visions of pizza pulling us toward Neel Gap.
On the way down we passed many dayhikers and a few backpackers. We smiled and greeted them all. Some were too tired to reciprocate. One out-of-shape dad with a large pack mumbled ""I'm in too much pain"" when we commented on the gorgeous weather and ""This isn't my thing."" That might be true, but I admire him making the effort with his young son in tow.
We passed Balancing Rock, a formation of wind and water erosion that appears to be one boulder resting precariously on another. But they are still connected in two spots. It must be a similar process as that carving the natural arches out west. We pushed and pushed, but it's pretty solid!
When we reached the Mountain Crossings outfitter in the old stone Walasi-Yi Center at Neel Gap we were all business. Frozen pizzas went in the oven. We purchased cold drinks, resupply for the next two days, and a new Evernew water bag to replace the leaky Sawyer bags. Stamped the AT passport. Picked up the sleeping bag liner I ordered last week. It's a silk liner, great for summer nights when a bag is too hot, or cooler nights to supplement a summer bag that isn't warm enough. Plus it feels better on the skin and keeps the bag cleaner.
I asked the clerk, a young bearded hiker type, whether any thruhikers had come by. He dismissed the idea saying it was too late and they'd have to flip up to Maine to finish. Told him I wasn't gonna flip. He agreed straight nobo was the way to go, but seemed doubtful it would happen. 
Big E and I each finished off a 12"" pizza. Then some leftover brownies from Above the Clouds. We had skipped lunch and gone since breakfast splitting a honey bun and a granola bar. This late lunch / early dinner was enough for the day though.
Big E was feeling tired so we hung out awhile and admired the spreading oak covered with the discarded boots of failed thruhikers. The radio boys showed up, as did the Hispanic family. A troop of boy scouts headed out beginning a 44 mile hike to Deep Gap, North Carolina. We'll see more of them. No sign of the UNC foursome from the hostel. A woman eagerly told us how the outfitter had shaken 20 pounds out of her 55 pound pack. She still sported a huge external frame pack, 5 gallon sleeping bag, and fishing rod. She was headed as far as she could get in two months.
On his way out after closing the store the hiker-clerk guy stopped by and offered us a pack of tortillas. Trail magic! It's not actually our first. In the bear box at Black Gap shelter our first day we found someone had left Taco Bell fire sauce. To Big E, that's trail magic!
A dayhiker chatted me up as we were packing. His wife and daughter were late picking him up and he thought they may have taken a wrong turn on their hike back to the car. He had no service so tried to reach them with my phone to no avail. Told him I'd keep trying but we had to go. An hour later his wife texted back and somehow I managed to connect them. He had hitched back to their parking spot and the girls eventually found him. 
Big E and I meanwhile had hiked north less than half a mile and found a large tenting spot. Our first night tenting, and it was perfect weather. He retired early to watch a downloaded movie while I reclined on a fortuitously shaped rock and enjoyed the evening breeze. The bear bag was hung, we were too full to cook, and it's time to sleep.","Woody Gap / Above the Clouds Hostel
",Stealth spot past Neel Gap,"Jun 06, Sat",11.20
Valley Forge,https://www.trailjournals.com//journal/entry/628426,"We broke camp this beautiful morning while water boiled for oatmeal. Nice and cool and lower humidity. Surrounded by green and a view of blue mountains in the distance. We planned on a ten mile day to Low Gap.
A few minutes in we ran across Virginia breaking camp, the woman who got a pack shakedown yesterday. She immediately asked my opinion of her habit of carving crosses into trees. I told her it was definitely not Leave No Trace, and that it encouraged others to do the same. I can only imagine she knew this was a bad idea but wanted someone's blessing. Said she would call the forest service to get their advice. I'm pretty sure I know how that conversation would go. 
Up past Bull Gap was Boy Scout troop 61 from Tampa. About ten boys and five leaders. They backpack a section of the AT in Georgia or North Carolina every June. This year it's a 50 mile section from Neel Gap to Deep Gap in North Carolina. Some of the boys were using a collapsible saw to clear out deadfall from the trail. 
A mile north three trail maintainers passed us carrying a large handsaw intending to attack the same deadfall. They were thrilled to hear most of their work was already done.
The ups and downs were pleasant and most had views of the hazy mountains as clouds lifted late in the morning. But they started to wear us down. Levelland Mountain, Rock Spring Top, Wolf Laurel Top, Green Cliff Top, Cowrock Mountain, Wildcat Mountain, Strawberry Top, Poor Mountain, and Sheep Rock Top. A lot of mountains for what was supposed to be an easier day after Blood Mountain!
After Tesnatee Gap we climbed to a spot called Lunch Rock overlooking the valley and ate our salami and cheese on flatbread. But we foolishly let our water run low and had to scoop from a low flowing trickle down at Hogpen Gap.
The last four miles were easy dirt trail but constant up and down. Sheep Rock Top had us ready to end our day at Low Gap. There we found a dayhiker prepping for a thruhike next year. Another guy, a young ex-Marine, came in to set up his hammock. He's out for a couple weeks. Had planned to thruhike starting April 1 but will try for next year. Trail name is Trail Arms for working his trekking poles so hard.
The Mexican family stopped in for water and to splash around in the stream. I liked the idea and took a hiker shower by wetting my little towel and washing my arms and legs.
One guy shared the large shelter with us. A Bostonian turned Austin resident. Took up hiking a few years ago and thrued the Colorado Trail last year. Now just going as far as he pleases.
Pleasant evening. Can hear the stream gurgling nearby. Calling for scattered showers in the morning.","Stealth spot past Neel Gap
",Low Gap Shelter,"Jun 07, Sun",11
Valley Forge,https://www.trailjournals.com//journal/entry/628439,"Low Gap shelter was shrouded in mist as dawn broke. I lay in the shelter messing with my phone's manual camera settings trying to capture it. Photography is not my gift, or at least not my phone's.
Gear was a bit damp. Socks, towels, shirts that were left out in a vain attempt to dry had if anything absorbed more water. Such is summer on the AT.Our sheltermate David, the sixtyish Colorado Trail hiker was very talkative as he'd been all last evening. Trail Arms calls him Sheldon after the Big Bang Theory character. 
Boy scouts started appearing to fetch water. Big E and I downed a cold breakfast of donuts - don't tell his mom! - so we could leave early for Unicoi Gap. He has a plane to catch for home this evening. I'll be continuing on without my hiking partner.
Big E has saved us from going off trail at least three times this week. I seem to ignore the blazes and go with the path that looks most traveled. Don't know how I'm going to find my way to Maine without him!
We were first out, shortly after 7. Miles of mostly dirt sidehill trail wound around knobs with imposingly steep dropoffs to one side. Numerous springs or runoff trickled over bare bedrock onto the trail from the steep slopes above. Pure enough to put out your hands and drink from. Sometimes we were engulfed in tunnels of mountain laurel.
We passed numerous tent sites, one of which held the large Mexican family. They have come a remarkable distance over the last few days, considering the number of kids in the group, and that all their equipment is heavy and designed for car camping. I wouldn't want to carry the packs some of the women were carrying.
The early morning fog gradually lifted, though it remained humid and overcast. The forecasted scattered showers manifested as barely perceptible drizzle. We actually wished for more to cool us down.
We ended a tough rocky and rooty climb up to Blue Mountain with a well-deserved break. It was here I met my trail family last March when I was hiking to Damascus. It was already dark and pouring, the shelter was overfull, and I had to set up my tent in the downpour. But the shelter had a large overhang for cooking and socializing and the company was great. 
Continuing up Blue Mountain, we heard the ovenbirds were out in force again. They've dominated the forest conversation in Georgia. A strong breeze blew through. Traffic sounds from Unicoi Gap reached out ears.
It was over 1000 feet down to the gap over unusually rocky trail. We reached the gap about noon. All morning we'd seen only two other hikers, both dayhikers. But at the gap were Sheldon and Trail Arms, both of whom passed us during our shelter break, and a thruhiker named Jammin'. He was headed into Helen to rest his feet which he thought were prone to injury after the last few days. There were also a dozen trucks belonging to dayhikers who were off in the mountains.
The highway was poorly arranged for hitching to the south, where we needed to pick up a rental car near Helen to get Big E to the airport. So I called and texted around looking for a shuttler nearby. The closest was over an hour away. So we waited. Jammin' started talking thruhike logistics and said we'd certainly have to flip up to Maine at some point to finish in time. Nothing doing, I told him. It's continuous footsteps to Katahdin for me. I had enough of flippin' and floppin' as a section hiker.
Jammin' was going to share our ride but got impatient and approached a grizzled guy in an old pickup. A minute late he and his pack were in the open back of the truck heading south on the highway. If I hadn't already arranged the shuttle we probably would have joined him.
Splitter, our driver, eventually showed up and took us down to Enterprise in Cleveland. He thrued in 2015, and worked at Mountain Crossings for years. He trail runs the local AT as often as he can, often daily between shuttles. He used to run up and down Blood Mountain everyday trying to break his record. Recalling the rocky descent I winced at the thought of what a wrong step would do.
Big E and I drove up to Helen for a celebratory Mexican lunch. An enormous amount of food even two famished hikers couldn't finish! It was the first time either of us had eaten in a restaurant in almost three months. Helen is a kitschy town full of faux German architecture. The main attraction seems to be river tubing. But there are so many hotels and restaurants it seems to have developed as a popular destination in and of itself. Even on a Monday lots of people were about shopping, eating, and tubing. It was an ordinary summer day. 
We drove two hours to the Atlanta airport, stopping at Walmart for a duffel to hold his backpack, poles, and other items that would need to be checked. Since Big E is still a minor I was able to escort him all the way to the gate and see him off. Another ordinary event that is now rare in our safety-crazed world. He landed safely in Pennsylvania before I even got back to Helen. 
On Jammin's advice I got the hiker special at the Best Western. More than half off the going rate is pretty nice. If it weren't already 10:30 I might have taken a dip in the pool. Tomorrow I need to resupply, return the rental, and get back to business. Katahdin will not come to me. I must go to Katahdin.","Low Gap Shelter
",Unicoi Gap / Helen,"Jun 08, Mon",9.70
Valley Forge,https://www.trailjournals.com//journal/entry/628505,"Driving back from the airport last night after seeing off my son, it hit me that I am now on my own. There are 2100 miles ahead. It was a sobering and lonely thought. I already miss my hiking partner.
I ate the Mexican leftovers for breakfast. I didn't think I was hungry, and it didn't look appetizing, but it happened. Lots of protein, can't hurt!
Toured Helen, with ""Alpine"" German-style architecture. Although midweek in early June the shops were already becoming busy. There are three jerky shops. Can't imagine there is this much demand for crocodile, ostrich, and python jerky. Okay, I bought a few. It's a change from Slim Jims. A different wild animal every day for a week.
There's a dutch-style windmill at the edge of town. All gingerbread siding, the works. A UHaul truck seems to be stored in front of it. Kind of sums up the vibe.
Next door is Hofer's Konditorei (bakery), where I just randomly pointed at things and took it to go. It will taste good on the trail. 
Resupplied at the Ingles supermarket. I sent the stove home with Big E to save weight. I'm going to try cold soaking rice and maybe coos-coos. Bought so many snacks to make sure I got the calories I'm not sure I'm saving weight. But it will taste better than watery noodles and potatoes every night.
A shuttler named Michelle took me back to Unicoi Gap.  She hasn't done a lot of hiking but knows the community. Her first year shuttling full-time has been a bit of a roller coaster. Constantly busy in early March. The last thruhiker she took was an Aussie going to the airport to return home fearing the border would close.
From Unicoi there was a lot of climbing. 1000 feet up, back down, 1300 feet up, back down. Then numerous smaller hills. Humid but relatively cool at elevation. Some nice views of ridges receding in the clouds. Often breezy. Thunder rumbled in the distance occasionally.
I filled my water bottle this morning with melted ice from the motel ice machine. Not sure why I thought it would be purer or taste better. Probably neither! But I also packed out a bag full of iced tea. That was a thirst quencher for me.
I accidentally turned onto the trail into Tray Mountain Shelter. Lounging there were the four UNC guys. Some of them looked a little beat, but all seemed happy to be out. They expect to complete the whole of Georgia. Pretty good for their first trip.
I said goodbye and walked past the shelter, down the trail past other tenters and down the hill until it dead-ended at a trickle of water. Ack! This wasn't the AT!  So I sheepishly marched back up and said my goodbyes again as I exited the shelter side trail. Troop 61 was arriving. One of the boys was surprised to see me here and called me Obi Wan. I guess it's the white hair. Another trail name if I want it.
I didn't get on trail until 2. It was now 5 but I'd only come 6 miles. Won't get to Maine in time if I stop here. So Ipushed on 7.5 miles to the next shelter. More ups and downs. After leaving the UNC guys and the troop I knew I wouldn't see them again. That feeling of being on my own came up again. This late in the season, I'm unlikely to see the same group of hikers for long.
The wind picked up, thunder drew closer. I pulled out my poncho before the heavy rain hit. It poured down for the next hour and a half as I climbed more mountains. The trail became a stream. My shoes and socks were quickly soaked. Grimly I trudged on. There will be plenty of days like this, I told myself. Find the good in them, don't focus on the bad.
Kelly Knob was particularly frustrating. Only an 800 foot climb, it seemed far longer than the earlier, bigger climbs. After forever I crested the ridge with, of course, no views. And then a long, long descent. Finally the shelter side trail appeared, and even that was long. 
At the shelter were a couple heading for Franklin and a 28-year-old woman named Backtrack attempting to thruhike. She's been wanting to do this for ten years and planning it for two. She meant to start two months ago. Doesn't want to flip up to Maine, but not sure she can finish otherwise. 
There was a sleeping loft and I spread out my stuff, knowing nothing will dry. I ate all the pastries from Hofer's for dinner. The giant Bavarian soft pretzel had been a trail snack. Not the healthiest diet today. But I did buy fruit for breakfast tomorrow. We'll see how it held up.
Rain is still bouncing off the shelter roof. Supposed to be wet the next two days. I should get to Franklin by then. I already stink after just a couple of hours of being damp.","Unicoi Gap / Helen
",Deep Gap Shelter,"Jun 09, Tue",13.10
Valley Forge,https://www.trailjournals.com//journal/entry/628507,"Heavy showers battered the shelter in the morning. I didn't get up until 9, waiting it out.
Had my first fruit I ever packed out for breakfast, a Georgia peach. Not fantastic, guess it needed a couple more days to ripen and bruise in the pack. Also a breakfast bar since I am now stoveless, so no oatmeal.
Crazy Eyes is the male half of the young couple at the shelter. He's going for several more weeks. His girlfriend will leave at Franklin to take a job at Domino's. But is looking forward to an Ozarks trip.
The pack felt too light leaving the shelter. What am I forgetting? I dropped 4 pounds of iced tea, water, and pastries. It felt very nice until the first big climb.
Minutes up the trail I ran into Mr. Clean and Tenderfoot, hammockers who got an early start from the previous shelter. They've section hiked the AT from Bennington, Vermont to Pearisburg, Virginia mostly on long weekends. Georgia was to be a special trip with Mr Clean's college graduating daughter but she bailed out. They plan to eventually do every section. Last night they had storms with 20-30 mile per hour winds. Mr Clean's hammock tarp failed, his quilt and gear were soaked. He reminded me that I'd complemented him on the ""nice hang"" as I walked by them last evening without mentioning a storm was coming. Life lessons I guess.
All day it rained on and off. Sometimes the wind would pick up as if bringing in a new shower. It would knock drops off the leaves and took a bit to see that it would do no more. The sun tried to peek out a couple times early on but gave up. All in all just a wet day to hike.
Lunch was at Plumorchard Gap Shelter. I might not have turned off if I knew it was so far downhill. It's a deceptively large three-story shelter - a shelf over the main platform plus a loft in the front overhang. A sign implies it was helicoptered in wholly built by the Army 5th Ranger Training Battalion. 
Gave my feet a chance to dry while eating. This helps prevent blisters and chafing. Lunch was mesquite pork rinds. Hey, they have a lot of protein, carbs, and salt. Perfect trail food. I had my fruit today!
The afternoon was still miserable weather wise. For the first time I put in earbuds and listened to an audio book to distract me from the long climb up to North Carolina. ""I'm a Stranger Here Myself"", a collection of Bill Bryson columns for a British paper on his return to America. I enjoy some of his books but these were mostly a collection of complaints about American habits. Still it passed the time. The only hikers I saw after leaving Mr. Clean and Tenderfoot at the highway at Dicks Creek Gap were two backpackers going south to the road. Went many hours without seeing another soul.
I walked into North Carolina around 4 and went straight up Courthouse Bald to the highest elevation yet, over 4700 feet, but of course no views today with the rain and fog. Took another break at Muskrat Creek Shelter then tackled the last five miles. Should have aired out the feet again. Felt hot spots forming on the heels. At Deep Gap a threesome was car camping behind a ""No Camping"" sign. Their campfire sent smoke mingling with the fog. I was happy to climb above it. 
Finally reached Standing Indian Shelter close to 8. David (Sheldon) was there along with a thruhiker named Sunrise who started June 5th. He also plans to go straight to Katahdin. Having hiked the PCT last year he's already doing twenty mile days so I will likely see more of him.
Had a good dinner of off-the-bone ham and blueberry cobbler cheddar. Supermarket paid off. Wind is still blowing and knocking drops on the shelter. Tomorrow I'm shooting to reach Franklin and dry out.","Deep Gap Shelter
",Standing Indian Shelter,"Jun 10, Wed",20.30
