Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Webbear,https://www.trailjournals.com//journal/entry/235583,"Well here is my first of many entries about my dream of hiking the AT. As I start this journal some 1711 days before my beginning steps. But, I am as excited now as I will be at the southern terminus in GA.",,Start of my Journal,"Jun 06, Fri",0
Webbear,https://www.trailjournals.com//journal/entry/235586,"So many things to think about when one comtemplates the vision of a thru-hike. Equipment, food, hygiene, clothing, weather, and the list just goes on and on. These past years I have reseached these and other aspects of long distance hiking. In the up coming entries I shall touch upon a few of these items.",,Thoughts,"Jun 06, Fri",0
Webbear,https://www.trailjournals.com//journal/entry/235599,"Many people are amazed when I tell them I am going to hike the Appalachian Trail. The respones range from ""GOOD FOR YOU"" to ""ARE YOU CRAZY?"" But most people ask ""Why are you doing it?"" My reason, I guess, is for the challenge and adventure. With twenty-five years of seating behind a computer screen life has got pretty mundane and boring. I want to see if I have the internal fortitude to complete this task. Can I hike the miles needed day in and day out? Can I live out of a pack that I carry on my back? Can I overcome the fears, lonelyness, pain, and weather from GA to ME? WE SHALL SEE!",,My Why,"Jun 06, Fri",0
Webbear,https://www.trailjournals.com//journal/entry/238845,"I Weighed my pack and gear this weekend without clothes and food, 23 pounds, and was very surprised indeed. Looks like it will be around 35 pounds when I start at Springer Mountain.   It's so gooood!!!",,Pack weight,"Jun 23, Mon",0
Webbear,https://www.trailjournals.com//journal/entry/243530,"""Everywhere is walking distance if you have the time"" ~ Steven Wright",,A Great Quotation I found,"Jul 17, Thu",0
Webbear,https://www.trailjournals.com//journal/entry/258670,"The Real Voyage of Discovery Consists not in Seeking New Landscapes, but in Having New Eyes ~ Marcel Proust",,Another Quote to ponder,"Dec 05, Fri",0
Webbear,https://www.trailjournals.com//journal/entry/261079,"""The credit belongs to the man who is actually in the arena; whose face is marred by the dust and sweat and blood; who strives valiantly; who errs and comes short again and again; who knows the great enthusiasms, the great devotions and spends himself in a worthy course; who at the best, knows in the end the triumph of high achievement, and who, at worst, if he fails, at least fails while daring greatly; so that his place shall never be with those cold and timid souls who know neither victory or defeat."" ~ Roosevelt",,Another Quote to ponder,"Feb 03, Tue",0
Webbear,https://www.trailjournals.com//journal/entry/284249,Not all who wander are lost. ~ J. R. R. Tolkien,,Another Quote to ponder,"Jul 29, Wed",0
Webbear,https://www.trailjournals.com//journal/entry/290137,"On September 12 I did a 5 to 6 mile hike at a local Boy Scout camp. With a pack weight of about 25 pounds which felt good most of the day. The hike took us over a mile of wet-lands walk-ways and around two small lakes. I took it slow but still finished in 3 hours. Over all a good hike and the scouts I took along thought so too.    I have been reading many Journals of thur-hikers and their completion of their journeys. This has caused me so many differnet emotions. I am so very happy for them and thier accomplishment. At the same time I wish I was there also. In the woods fighting the bugs, walking in the rain, seeing all the wounderous vistas, sleeping under the star.... goodness.... I hope my departure date gets here quickly. I Now say ""Congratulation Class of 2009 on your determination and will power to get the task done ..... GA > ME 2009 ..... HURRAY""!!!!",,Shake down hike one,"Sep 16, Wed",0
Webbear,https://www.trailjournals.com//journal/entry/299595,"""Wherever you go, no matter what the weather, always bring your own sunshine."" ~Anthony J. D'Angelo",,The weather,"Mar 03, Wed",0
