Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Wingnut,https://www.trailjournals.com//journal/entry/626238,"So…I guess you could say I’ve been hiking since before I could walk, if that makes any sense.
My Dad and Mom were passionate lovers of the outdoors dating back to their courtship and marriage in the ‘40s.  When I came along in 1952, well, there was no reason not to bring me along.   (Yup, that’s me in the ‘ultralight’ pack-basket.)
We did most of our hiking and camping in the Adirondacks.  Dad was one of the early 46ers (#303) and I followed a couple of years later completing mine in 1967 (#439).  Not unlike many who hike the AT, it was my Father who introduced me to the trail.  In fact, we covered the 20 miles needed for my Boy Scout Hiking Merit Badge on the AT in Vermont.
But life became busy and I stepped away from anything but day hikes for several decades.
I had the good fortune to be appointed to West Point and was commissioned into the Infantry in 1974.  I had a wonderful, happy, lucky 30-year career serving mostly in Ranger, Light and Parachute Infantry outfits and traveling the world to places as varied as England, Panama, Hawaii, Mongolia and Iraq.  It was in The Islands that I picked up my trail name, then my surfing nickname, of ‘Wingnut.’  (See ‘Endless Summer 2’ for explanation; I am the antithesis of the hero…) 
When I retired in 2004, I joined the world of Information Technology and spent 5 years at Oracle with a terrific set of teammates.  I returned to Government Service in the Intelligence Community for several years before joining NetApp, a company and colleagues that I truly love and admire.  I’ve been there since 2011.
In 2014, the absolutely awesome Dr. Liz Cross (Trail Name ‘FoxGirl’) and I married after a 4-year courtship during which we began to hike regularly.  Indeed, our wedding took place at Skyland on the Skyline Drive just off the AT.  Our long hikes began soon after.
We hiked over 100 mi on The Long Trail in 2015, did a 500 mi AT section in 2016, took a steam train to access a remote section of the Colorado Trail in 2017, did the Tour de Mont Blanc  in 2018 (ok…there we ‘glamped’ in hotels every night…), and, finally, in 2019 we hiked the fabulous Wonderland Trail around Mount Rainier. 
Despite all those experiences, Liz and I know this summer’s 6 month AT thru-hike attempt will be significantly more challenging both physically and mentally.  Accordingly, we have chosen to share the journey in a way that will enable us to remain in close touch and optimize our chances for success.  Details in next post",,View Entry,"Feb 16, Sun",0
Wingnut,https://www.trailjournals.com//journal/entry/626407,"Clearly, Liz and I have thought about this quite a bit; for years, actually. 
We are well aware that the thru-hike completion rate is about 25%, probably somewhat less amongst older hikers. Additionally, we both harbor some nagging ailments and our long section hike in ’16 ended with me in hospital for a week or so with stomach ulcers from those diabolical h. pylori bacteria. As a result, this time we want to slow down, think this through, and do it right.
Liz is a writer and a poet who savors solitude and loves to hike but does not have a particular passion to thru-hike 2200 miles. We are both most comfortable in the woods and very much look forward to simplifying our lives. But we did not want to spend the many months apart a classic full AT hike would entail.  Fortunately, being, um, ‘seniors,’ we had options.
So, we decided to conduct parallel but joined AT adventures; Liz and our delightful 3-yr old pup Lola, operating from our Jeep and towing the modest 13’ Scamp trailer we acquired, will write, take daily walks, and generally keep pace with my hike.  This will allow us to have our own experiences but also to talk often, see one another frequently, share friends and trail comrades, host visitors, and take ‘zero’ days together to resupply, reflect, and plan in towns along the trail.  
(Those who grew up in the Army or Marine Corps, will recognize that the Jeep and Trailer serve as our combination TOC (Tactical Operations Center) and Combat Trains.)
Okay, so given that strategy and the fact that this hike will actually be more challenging mentally and emotionally than physically, why do I want to do this?  I’ve worked it down to these 5 reasons:
1. To grow my relationship with Liz through the shared stress of collaboratively planning and executing a very difficult adventure (…Liz is laughing as she reads this over my shoulder!)

2. To learn self-reliance and live simply and deliberately

3. To learn to value solitude as the key to fully engaging nature

4. To become wiser, healthier, happier, and kinder

5. To become one with my pack 
That’s it for this entry.  Next, our low-tech method for planning a complex endeavor.",,View Entry,"Feb 24, Mon",0
Wingnut,https://www.trailjournals.com//journal/entry/626410,"To be honest, planning the actual execution of a long hike is not really all that hard; there are guiding resources aplenty to help one prepare. 
But combine that with the admin and logistics needed to break away for 6 months from the encumbrances of “real life,” including bills, taxes, mortgage/rent, home security, family issues, vehicle issues, and so on, and things get quite complex very quickly.



Liz and I chose to deal with this by laying a sheet of ‘butcher paper’ across our dining room table 6 months before beginning our hike and writing down everything we could think of that needed to be done.  A pencil rested constantly beside the paper, and we added anything that came to mind.  
About 3 months out, we start addressing items one by one.  Then, 3 weeks out we plugged items into our respective calendars to ensure we didn’t miss anything.  
As I write this a week from our late February departure, we have several more to go but we have checked off most items; importantly, taxes are filed, autopay is in effect for our bills, and mail, cars, and home security are all looked after.
We are getting there…",,View Entry,"Feb 24, Mon",0
Wingnut,https://www.trailjournals.com//journal/entry/626520,"Hey all,Quick catch up on our trip to GA...HAD to upload on critical sweets at Virginia's best chocolatier ""Time For Chocolate"" located in tiny Floyd, VA ...Then spent the night in Charlotte with Jan, Andy, and Ms. Riley before heading to the North GA mountains.Pls check photos.More tomorrow.FoxWing",,View Entry,"Feb 29, Sat",0
Wingnut,https://www.trailjournals.com//journal/entry/626533,"Hello, everyone!Today was the day we checked in, climbed Springer Mountain to the southern terminus of the Appalachian Trail and signed the logbook. A strenuous 1 mile each way...Tomorrow we drive back to the parking lot at the base of Springer Mountain and start hiking north. And, of course, tomorrow the rain starts! Life is good!Enjoy the photos,FoxWing",,View Entry,"Mar 01, Sun",0
Wingnut,https://www.trailjournals.com//journal/entry/626550,"Hey, everyone!
(Ok, this is classic; as I lay here in my hammock near Hawk Mountain Shelter, a Ranger School ambush took place less than 100 yards away in the growing dusk & fog. I don’t envy those folks it’s about 35 degrees & raining steadily. Comfy in my hammock and quilts...)
Yup, as beautiful as it was yesterday, today was just the opposite.
Liz, Lola and I left the Springer Mountain parking lot at about noon and we hiked North about 2 miles to first shelter. There, we ate lunch and met two felllow thru hikers, Walrus and Why Not? Liz and Lola departed after that for their adventures. I hiked on about six more miles to Hawk Mountain.
The shelter is full of about 12 young people; 20-somethings-it’s delightful to hear their enthusiastic chatter.
Afraid my poor signal strength does not let me send pictures, but I have some and will send them along at first opportunity.
Good night, all. More tomorrow. 
FoxWing","Springer Mtn Parking Lot
",Hawk Mountain Shelter,"Mar 02, Mon",8.10
Wingnut,https://www.trailjournals.com//journal/entry/626624,"Hi, all,
Quick note to catch up...
Apologies for tardiness - almost no cell coverage on the trail so far.
Made it into Neel Gap @ mil 31.3 @ 1100, soaked to the bone but pleased with mileage and pace. (BTW - GPS readings may not reflect that distance; i sometimes forget to turn the darned thing on until I'm a ways down the trail...!)
FoxGirl and I are using the afternoon to recce Helen, GA where we will take a day of rest (a 'zero' day in trail parlance) this coming Sunday.  Am writing from town library.
Some observations after 3 days on trail:  
1. Not unexpected parallels between starting the AT and beginning HS or College; everyone is new, unsure of themselves, and unaware of the reality of the trail and what it will bring.  Classic was the gentle kind fellow atop Springer Mountain who asked which way the trail went.
2. First person we met on the trail, trail-name ""Why Not?,"" turned out to be a Special Ops helo pilot; we had many mutual friends and shared experiences - small world.
3. Listening to chatter, especially amongst 20-somethings @ shelters, leads to the realization that just about everyone who is thru-hiking the trail, be they youngsters taking time off from HS or College, or older, retired folks, is forgoing 'normal' life for this experience.  There appear to be a rare few folks who sort of live on the trail...they add a different perspective to evening conversations.
4. Army Ranger School Mountain Phase takes place in the vicinity of the first 15 miles or so of the trail.  It's not unusual to hear an ambush kick off a few hundred years from where we are camped.  On day 2 a couple of us ran into a Ranger patrol.  The Ranger Instructors got a kick out of the fact that I went through the course a couple of decades before they were born.  This morning a bunch of fit young fellows with rucksacks running from Woody Gap to Neels Gap - about 15 tough miles - smoked past us.  Turns out they are ""Best Ranger"" candidates from a number of US units and the British Parachute Regiment. See pic with SSG from my old outfit.  He thanked me for my service - but he has deployed to combat 6 times.  Not even close.
5. At this stage of the trail, when we are not hiking long distances, when sunrise is late, and sunset early, and we have no cell coverage in the GA mountains, one of the bigger challenges is keeping oneself engaged from 7:30 at night until 6:30 in the morning, especially when rain coming down in sheets limits opportunities to visit.  Even out here, a person can only sleep so much...seriously boring.
I will stop there to go prep for tomorrow.  See pics.
More this weekend.
FoxWing","Springer
",Springer Parking Lot to Mountain Crossings @ Neel Gap,"Mar 05, Thu",23.70
Wingnut,https://www.trailjournals.com//journal/entry/626651,"Short entry…
About 30 of us are camped in and around Low Gap Shelter.GPS track is accurate if you are  following.The day was cloudy and blustery but thankfully no rain!
This evening the temperatures dropped radically and the wind has really picked up. I am writing from my sleeping bag at about 7:30 PM. Temperatures appear to be in the low 20s and the wind is howling. Getting set up was a challenge but now that we are  tucked in I think we’ll be fine. Sleeping bag is rated 0° and should be OK.M
Will send longer report tomorrow with pictures.
FoxWing","Neel Gap
",Low Gap,"Mar 06, Fri",11.30
Wingnut,https://www.trailjournals.com//journal/entry/626689,"Quick note to follow from last nights comment:
It really did get cold last night; reports pretty much confirm the temperature was between 10 and 15°. The wind howled all night, but eased up in the morning.  Sleeping wasn’t bad, although 12 hours in one position is as boring as I mentioned earlier. Getting up this morning was a challenge. As was breaking camp. But only way to warm up was to get on the trail and start walking.There we found acres and acres of frost pressing up through the dirt, fragile and beautiful.
I have posted a couple of pictures.
More tomorrow.
FoxWing","Low Gap Shelter
",Unicoi Gap,"Mar 07, Sat",9.70
Wingnut,https://www.trailjournals.com//journal/entry/626715,"Hi All,
Ahhh - first day off....
Nice to shower, eat real food, sleep, eat real food, do laundry, eat real food, nap, eat....well, you get the idea...
Since starting last Mon, 2 Mar, we've navigated about 53 mi of the AT from its Southern Terminus on Springer Mtn to Unicoi Gap in northern GA.
We are ""Zeroing"" - not hiking - for a day of rest, maintenance, and recovery.  We chose to do so on a lovely warm and sunny spring weekend (rain returns when we resume hiking tomorrow, of course...) in the remarkably Deutsch tourist town of Helen, GA; from wurst und kartoffel to dozens of types of old country bier...heck, the streets are even called 'strasse.' Intriguing - and a fun break.
A couple of reflections on Week #1:
1. Personalities. Remarkable camaraderie has quickly developed amongst the 15 or so folks I've been hiking with.  About 50/50 men and women, many in their 20s, a number over 55, a few in between. We often walk by ourselves or perhaps with one or 2 others but when we gather around the shelter picnic table to cook our suppers, the good natured ribbing and kidding knows no bounds.  I find shared hardship and experience quickly form hard and fast bonds...not unlike those forged in combat.  
2. Hike Your Own Hike. We are finding that, particularly in consistently bad weather, folks will choose to take a day off trail to warm up and dry off.  Very personal, very different.  Occasionally, they find creative approaches...as FoxGirl and I were hiking on day, a trio of folks without packs approached us from the opposite direction. I recognized them from a recent shelter and was baffled.  Turns out they took a night @ a nearby hostel to dry out and the proprietor offer to drive them forward so they could walk unencumbered back to his hostel for another night...everyone wins - hikers get their miles, hostel owner earns more profit. They call this 'slack packing.'
 3. Solitude.  As noted, I often find i walk by myself.  When the sun is out my shadow (yup, the one in the photo who whined about the cold...) accompanies me but that's usually it. I find I have to work to calm down the repetitive Linda Ronstadt tunes, commercial ditties, cadence calls, and random noise that echo around in my head and focus instead on the remarkable surroundings and this exceptional opportunity for introspection.  I've got some work to do to discipline myself.
4. Balance.  Sharing this hike with FoxGirl, who hikes with me every couple days and who sits across from me now typing her reflections, is most rewarding and satisfying. I found, however, that when FoxGirl came by to pick me up outside Helen I was resting at our link-up point with our steadily arriving colleagues. Departing from them to spend a day with FoxGirl was surprisingly difficult; unsure when/if I will see those hiking pals again as even a short separation and subsequent decisions can take us on our own way.  Fox and I had a long talk about this over morning coffee today...another thing to contemplate and work on.
OK - time to pack food for next week.
More soon.","Helen, GA
","Helen, GA","Mar 08, Sun",0
