Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Kinsman,https://www.trailjournals.com//journal/entry/552847,"Hi. Welcome, c'mon in, and take a load off. I'm Kevin, henceforth to be known as Kinsman.I'll get the bio thing out of the way here.Originally from Keene NH, spent the bulk of the first 48 years on a family Christmas tree farm while at the same time enjoying a great tech career pretty much since graduating high school. For the most part beyond a wild youth, have generally always done what society expected...take over the family farm, hold a good job, pay taxes. Along the way met a great gal who has been a terrific wife for 30 years. A wonderful son now 23 and out of college...also on the Trail this year.I'm a cyber security guy... architect, practitioner. Spent the last 10 yrs in public service for the State of NH, but when Homeland Security recently wanted oversight of our threat intelligence and data feeds, and the Governor changed the law by executive order on Oct. 28 to facilitate that, well, that was a bridge too far for me. Too many grasping things have been done in the name of 9/11 and federal over reach, and my gut told me this was one of them, so I resigned at the height of my career, from the place I was well on my way to retire from in another decade. Just a few weeks, and already a possible job on the table, with a significant raise (it's an incredibly hot field right now, which isn't going to change anytime soon) and great benefits... and I think even if I get the offer I'm turning it down to go hike the AT. Peak of irresponsibility in most people's eyes (except here in TJ blogs of course). What the hell is wrong with your head? What about your career?I need a break. Cyber security isnt going anywhere. I've long wanted to walk the AT, I'm not exactly new to backpacking and hiking, growing up in the shadow of Mt Monadnock, and having been a trail maintainer for years in southern NH and the Whites. I just figured I'd do it 10-15 years from now at retirement, if I lived that long.Then it hit me the other day as my son is getting prepped for departure...the stars have aligned to do this at 52 instead of 72. Odds of completion go up, odds of injury no more than they are any time I go hiking now, and an easy step back into the career in 6 months (if I find I still want that level of pressure). This opportunity ain't gonna knock twice, it's now or most likely never.I plan to stick to the HYOH ideal, I'm not going out there to be an overbearing helicopter parent, that's never been my thing anyway, and I fully expect my kid that's half my age and a man in his own rights and age to forge on ahead, to do his thing, hike his own hike, live his experience to the max without the burden of Dad, and have the time of his life, now, while he can. At the same time, any shared time on the trail will be fantastic, and a treasured experience. But, I need to reconnect to me, my roots, refresh my soul, and the opportunity has presented to fulfil a dream I'd never really expected to achieve. My wife is supportive though understandably torn, surprised, and apprehensive. This is totally out of nowhere after all... She hikes too though, and we trail angel together in Kinsman and Crawford Notches, so she gets it. And with that I find myself here, in a place I never expected to be, and oddly enough I'm rather eerily relaxed and excited about it at the same time. That's it in a nutshell. UPDATE 1/3: I did not get the job, as I am a bit soft on i-Series systems and that is the employers main platform. He was a little surprised when I said ""Awesome, I couldnt be happier"". So I was thanking the headhunter for his time and mentioned I'd be off grid for a bit, like 6 months. He inquired why and I sort of sheepishly told him. Well, you coulda hit me with a stone. Man, the trail provides I'm tellin' ya...he said call when I get to NH, he'd start looking around, and by the way, when you get to Monson, take this particular road 100 yards off the trail and make yourself at home at our camp. I was stunned, like ""get the F out, seriously?"" stunned. Even doubly so because that is where I stopped plotting to when I was pouring through the Companion this past weekend. My wonderful wife Kristen says it's clearly meant to be. I couldn't agree more.",,Pre hike 1,"Jan 02, Mon",0
Kinsman,https://www.trailjournals.com//journal/entry/552856,"Post two of the the obligatory triple I thought I'd give a bit of insight to what I do for fun and what it's like to maintain trail in the Whites.It's quite a bit of time and work, but it's also fun and rewarding to get out and give back.Usually it goes like this... Friday afternoon rush out the office and head for the trail, pack's already in the car. In fact, 2 packs. The 75 liter hauler and a 28 liter daypack strapped to it, plus an extra 20 or so pounds of whatever tools you anticipate using. A dbl bitted cruiser ax or a pulaski, bow saw, hand pruners, and a short handle hoe are pretty standard every trip.So we hit the trailhead about 3 pm. Hike in 3 miles loaded with the standards for a multiday trip, plus the extras noted. 1000' of elev gain and 3 stream crossings...hope the water's low, there are no bridges.We happen to have an established stealth site after several years on the same trail, so in we head, well off the trail and set our hammocks and tarps up. The small fire ring is cleaned and a bit of small wood gathered for later.If it's still light for a bit, we'll grab the daypacks and hand pruners and brush back a 1/2 mile of trail before dinner, noting what waterbars or dips and outflows need cleaning on the morrow. Back at the camp some dehydrated dinners, and it's in bed not long after a small fire.Up with the birds, coffee and pop-tarts, and off we go with destructive and constructive implements for the opposite trailhead up at Kinsman Jct, seeing what's needed on the way up, and prioritizing our time. Then we work all the way back down. That could involve re-setting a bog bridge that has fallen off a corner rock pile foundation, setting new step stones in a mud hole, re-channeling water off the trail. It's almost always about water and getting it off the trail. Then there's the standard fare of blowdown removal like the pic, ditch clearing, and so forth.Back to camp at day end, rinse and repeat as needed.We love to have people stop and ask questions, which they frequently do, and we're always willing to chat a bit, or provide directions for the ""confused"". Many maintainers are skilled in back country first response/first aid and carry well stocked kits while in the field. They'll also know your quickest way to get help should you need it.For me personally, the only thing that gives more satisfaction than the work itself, is the passing thank you, a silent smile and a nod, or wave of a trail user cruising by. Especially that of a Thru Hiker moving in that sure footed blur we jokingly call ""AT speed"". (and sometimes we wonder on whether we'll find you bloodied and bruised in the middle of the trail on the way out, you go so fast it's kind of amazing to watch)You're very welcome, Friend. The pleasure is ours. God speed and watch those wet, off angle rocks!",,Pre hike 2,"Jan 02, Mon",0
Kinsman,https://www.trailjournals.com//journal/entry/552869,"My first section hike on the AT was accidental. No I wasn't lost, it was actually the result of boredom. Years of hiking southern NH was becoming dull from repetition. New challenges were in order.I hiked solo all the time as the rest of the family were not really into it, so I'd head off for 3-5 days and hike 50 milers like the Monadnock-Sunapee Greenway and get picked up at the far end.Well, growing up in NH I'd been through Franconia Notch hundreds of times. I remember the Old Man of the Mountain before he fell, up there looking over the Notch and Profile Lake from the Kinsman/Cannon side. Every trip through the Notch my eyes were always drawn to the peaks of Franconia Ridge, wondering what it was like up there, on the other side. So one day I decided I'd find out, and I spent considerable time looking at topo maps. I mapped a route from Franconia Notch to Crawford Notch. I dont recall how I stumbled on it, but somewhere along the way I learned about The NH 48...The 48 peaks in NH over 4000 feet in elevation, and realized I'd go over 8 in the trip I was planning. I quickly realized this was a bit bigger than anything I'd done prior, and it needed far more in-depth research. During that research I discovered the route I'd selected was known as the Pemi Traverse. Essentially the trip is walking the rim of a glacial bowl, the interior of which is the Pemigewasset Wilderness. Cool, I'm thinking, but what's that little symbol and why is this line a different color on this map once I get to Mt Liberty from Mt Flume? It's the AT. No way, really? This is getting cooler by the minute.I asked my son if he wished to join me, and he agreed. The day to depart was near, and final plans laid. We'd go at a time that would put us on the ridges in time for Flags on the 48. Flags on the 48 is a Sept 11 memorial. Every year, on the first Saturday after Sept 11, crews of hikers carry large flags and flagpoles up to all the 48 peaks, and fly them in remembrance from Noon to 2 pm. It's quite moving to see, especially from the Twins, the Bonds, the Franconia peaks, and the Presidentials.Day 1 we're on the trail at 5 am, taking a 6 mile trip up to the peak of Mt Flume, and from there to Mt Liberty, and down to Liberty Spring tent site for the night. A gorgeous day with fine views, though we could see a change in the weather coming, we had no idea what we were in for the next day.Arriving at Liberty Spring, we encountered our first Thru Hikers. Those of you that have read Lost On The Appalachian Trail by Kyle Rohrig and/or Gary Sizer's Where's The Next Shelter will recognize the names I'm about to drop...Just coming in to get water were Mecca, Yukon, RedFoot and K-bar. Little did we know we'd spend the next few days leapfrogging these 4 incredible guys. Anyway, off they went to the Ridge for a stealth, and we set up our tent. The weather started to sock in the mountain, and rain began. Hiker midnight came early.The next morning, weather had gone downhill, but we headed up to the ridge to make our way around to Garfield shelter. What a day...we passed the Thrus up on the ridge. They were hunkered down in their camp site, and waved as we went by. We probably should have taken that as a sign. The weather did not improve. As we were climbing at a snail's pace the winds were in the area of 75 mph, forward progress on the flank of Lafayette was near impossible, the wind and rain blowing up the side, whipping over the top, and back down over nearly knocked us down several times, visibility was just a few feet, finding cairns difficult, and we struggled to even find the White Blazes...but those are what got us through. In hindsight it was not wise to be there...but it sure earned some cred. We made it to Garfield, soaked, exhausted. The caretaker informed us of what we had just come through. I have to admit it was the most difficult and exhilarating moment I've ever had in the Whites. My son was ready to quit, but I informed him I'd made reservations at Galehead hut, and he'd have a dry bed if he could make it to the next day and just a few short miles.We entered the shelter to find 3 Thrus in residence on a zero. One of them was Green Giant himself. GG was kind to a couple locals, admonishing the other 2 guys good naturedly for having monopolized all the wall pegs. They moved much of their stuff so we could hang our soaked gear...Thanks Green Giant! Of course we peppered them with questions and they were all very kind, but I realize we kept them up long after hiker midnight. It was a long night in semi wet gear, Gary informed us the shelter temp was 28 degrees as he was headed out the next day. We never saw Green Giant again but learned he had completed the trail some months later.Later that day we made Galehead hut. Yukon, Redfoot, Mecca, and KBar were doing work for stay. Superman, Spider, and Sunshine stealthed up on Galehead peak.Willy and I dried out, and I went to study the maps. William struck up a conversation with Redfoot...the seed got planted that night that set my son on the AT this year. It's all he's thought of doing for the years since thenNext morning as I struggled up the 1 mile/1500' gain from Galehead to S. Twin, these 4 guys flew by, Yukon pausing to give encouragement, pump me up, and off he went with a fist bump and a smile. It was a long day, and the kid wanted to do twice what I had planned for miles. He wanted a hamburger and a bed. I foolishly consented and cut through the wilderness taking Zeacliff trail to try to shortcut Zealand hut and come out on Ethan Pond trail a couple miles down. What a mistake...it took more out of me than I expected and then struggled the rest of the way. It started to rain, I didnt manage moisture well, and was soon shivering. We made Ethan Pond shelter but it was full. The Thrus were all in there, they offered to make room, cook for me in my sad state, but we said screw it and pushed the last couple miles to the trailhead, and got a room down in Intervale 20 miles south.We'd really taken a liking to these folks on the trail. Next morning we got up early, picked up some donuts, coffee, apples and headed back to the trailhead so we could say goodbye and wish them well.A couple hours later they began to emerge, one at a time about 10 minutes apart. They spent about an hour with us and had to take their leave. As they headed down to Rt 302 we were treated to them belting out the best rendition of Bohemian Rhapsody I've ever heard.Every time I read a journal, or a trail book, and see these names I can only smile, the eyes gloss over a bit drifting to memory. These people have changed our lives forever. They have undoubtedly altered the course of my son's career dramatically. All I can do is wish them all wonderful lives and say thank you for the enlightenment. It's going to be interesting to see what things look like come Fall.",,Pre hike 3,"Jan 03, Tue",0
Kinsman,https://www.trailjournals.com//journal/entry/552994,"This is a test of interactive features for family and friends to follow along, know approx where I am, and for the geography challenged.
Two maps will appear in each TJ entry, one that plots the route so far, the other is basics of the current stopping point ie shelter, town, landmark. Click the link to open in a new window, play with the buttons to turn mapping features like satellite view or terrain, on or off. Zoom in and out with the controls at lower right corner. Click waypoint markers on the maps to get info on those particular places.
It will also tell the daily miles, total miles, and it will show a link back to a given Trail Journals entry, in case you land here from a different referrer than TJ. Currently it links back to this entry.
This feature won't go live on a daily basis until my son and I actually leave Springer.
Caveats...Map plots a straight line between way points and the trail is far from straight with a lot of to and fro across that plot line.
Due to cell service constraints, battery life or lack thereof on portable devices, and other field based challenges, this is no where near real-time, and may lag up to a week's time.
Tons of thanks to Airlock ('15), and her husband Gary who actually wrote the code. 
Click me to open the map below in a new interactive window

Click me to open the map below in a new interactive window",,Pre hike 4,"Jan 17, Tue",0
Kinsman,https://www.trailjournals.com//journal/entry/553499,"The world is lookin' pretty white here in N.H. these days, seems like it snows daily. 
Spending some of the cold days getting some things buttoned up.
Some mundane...
Bathroom repainted. 
Couple vents cut in the living room floor over cellar woodstove. 
Order new battery and front tires for lawn tractor. 
Return the Osprey pack rain cover that didn't fit for exchange.

Others not so much...
Amtrak tix and travel insurance in hand, bedroom on the sleeper car. Concord NH, Boston, Philly, Atlanta. Never traveled on a train beyond commuting distance, a nice little pre-adventure SOBO before The Grand Adventure NOBO.
Hotel reservation in Dawsonville, and ride out to it, locked down. 
Shuttle the next A.M., 8:00ish, booked. Richard Anderson, listed at the ATC site, nice guy, great rate, easy to work with, quick response to email. 
So far all's been nice and smooth, and things are falling neatly into place. 
Last couple minor gear items should trickle in over the next week. I did decide on a new pair of boots, and they're back-ordered til late Feb. Ugh. Always has to be one minor stress point somewhere, right? The current pair would go a while I'm sure, but I doubt the full distance. Been contemplating maybe a Smartwool NTS 250 long sleeved 1/4 zip to replace a thermal underwear top used for sleeping. Would be nice to go feel one, but no one around here has one in stock. I'd love to hear an opinion from someone that owns one...",,Pre hike 5,"Jan 19, Thu",0
Kinsman,https://www.trailjournals.com//journal/entry/553740,"Spent some time with a scale, and some miles on the local trails, dialing in on what for me will be an acceptable weight to haul around.I'm looking at 34.5 with 4 days food and included a liter of water. For some that will be just way overboard, and there will be many packs I'm sure substantially beyond that. What matters of course is that it's comfortable. A normal load for me is closer to 50 or more with tools strapped on. I've shed quite a bit for this undertaking. I also wear a heavy hiker capable of such load, as opposed to a trail runner not made for that kind of weight.It's a matter of costs and mitigators. The largest ""cost"" in my gear, in terms of weight expense and effort to move, is my ""house"". I hammock, and that comes with the penalty of weight, 4x that of a UL 1p tent roughly. I could easily swap out an underquilt, straps, tarp, bug net, etc, pick up a tent, and shed 6 lbs, or just use the hammock rainfly and hiking poles to tarp tent, and lose another 1/2-3/4 lb over the tent.I know I'd pay for that change with the currency of daily pain and stiffness on waking and continue paying all day, every day. Thanks but no, I'll take the extra 6 lbs every day and be assured of a decent night's sleep and wake rested/pain free. I'm already hoping that every Smokies shelter I come to is spilling over the edges full, simply so I'm not obligated to sleep on a flat. I carry a sleeping pad but it's for sitting on or lying out in a field enjoying a view. For it to actually be used for sleeping would be a rarity.I could forego a set of sandals and a pound. Crossing streams on unseen slick and/or sharp rocks barefoot, or not spending 5 minutes of pause to change and have soaked boot interiors for 3 days to show for it, is not my idea of fun. Getting air to the feet at the end of the day so they dry out and recuperate is nice too. I did dump some things altogether. The Steripen stays home for reasons of weight as I dropped the Nalgenes which far outweight plastic water bottles. It doesn't seal well to a soda bottle style top. Also, about 2.5 lbs clothing swapped out for some dual use Smartwool baselayer that will work for hiking and sleeping wear. My med kit has been stripped to moles skin, blister treatments, a few band-aids and a very small hotel type sewing kit.All the gear's been on the floor several times, every piece weighed repeatedly, things removed, some added back in that I just know I'd regret having left behind (like the sandals).On other notes, I've pretty much plotted out to just beyond the Smokies in terms of food and associated drops, something I'd not planned on doing many of at all, maybe 3. One of my goal is to carry no more than 3-4 days food at a time and there's only really 4 maybe 5 times I'd need to exceed that. Nothing fancy...a quick hit at Mountain Crossing, a good sized one in Fontana where I anticipate a zero, though debating on moving that out 2 days to Gatlinburg. Definitely one to Monson and will certainly be arranging a mid point bucket in the 100 acre wood, er I mean 100 mile wilderness.That being said, there's not a whole lotta journal updating planned 'tween now and Mar 27, just a bunch of hikes to keep in shape. Once we leave I'll update while on the train and from the hotel the night before hitting the trail. After that I will update as often as possible, posting coordinates to a web page that will show up as a Google map here in my Trail Journals entries, with plot points and lines showing progress.Until then,",,Pre hike 6,"Jan 24, Tue",0
Kinsman,https://www.trailjournals.com//journal/entry/555312,"Well a month to go and it seemed a good time for an update. Been a few changes here and there...Found a steal on a rental car that cut the cost of the train trip to GA just about in half, so jumped on that. Managed to wheedle out of a no cancel hotel res in Atlanta for an upgraded room same chain in Gainesville. Shuttle and dates remain the same.Mail drops are all set, all 19 of them, 90% in USPS flat rate containers...you know, ""if it fits it ships"". Lemme tell ya, they're packed to the max. They stop in Bennington VT for the moment, as once I hit Hanover, I'm only 40 minutes from home. Home is also about 25 min from Mt Moosilauke, 40 min from Kinsman and Franconia Notches, an hr from Crawford and Pinkham Notches and another 10 min beyond that to Gorham. Resupply for me across NH is a piece of cake, and there are a couple good slackpack opportunities to be had as well. Maine's drop dates are yet to be determined as I will likely take a day or two off, being so close to home. So at this point I only need to pick up breads, meats, cheese on my town stops. Basically some bagels or wraps, some salami or other hard cured or smoked meat, some laughing cow spread and a cheddar block. Get in quick, get out quick.Gear...I'm following a few hikers myself as I do every year. I have picked up on the fact that water is, shall we say, less than abundant, and it did not get cold enough to knock down the organisms in that water. Sickness seems to be coming on early. The SteriPen is back in the pack and I've managed to figure out how to obtain a good seal to a plastic water bottle. Rain coat...to be honest I detest them, nothing like donning a micro-environment that surpasses and seems like 80% humidy in August even though it may be only March. What a unique torture that is. Why bother has been my experience, either soaked with clean water or in your own sweat, I'll take the clean water if I have to be wet, so I am going to do a bit of a test on the trail...hell of a time to test, live and in color, top rope with no net...but I have tossed my Patagonia Torrent Shell (which for me has been primarily a wind layer, it's the one I have on in the pic) in the closet and purchased a $30 GossamerGear reflective umbrella, a not so common piece of gear that has been quietly triple crowned over and over.Several benefits to an umbrella...this year in particular less water usage is looking to be a top reason, and that translates to less water carried or longer spans between fill ups. (keeping in mind umbrellas were developed originally for shade) Venting is certainly the best it can possibly be short of being in the buff. Weighs a whole 8 oz vs the 12 of the coat. Have quickly and easily rigged a simple velcro strap to retain it over head and pack, so hands are free for trek poles. Makes a nice water gatherer in a rain storm by simple inversion. Keeps a map or phone dry while checking it along the trail. A 10 cent trash bag will suffice for the few minutes I might need a coat while setting up or tearing down the camp tarp. No more of the ""put it on take it off put it on take it off"" of a spotty rain day. Wind will be handled by the down puffy. As an eye glass wearer, there's less fog with no rain coat hood. I was going to carry a Surface and keyboard for ease of journaling, but instead I upgraded a phone as I hadnt done so in several years, and got a 4 oz bluetooth folding keyboard to go with. Boom, 2 lbs gone, and efficiencies gained, with less power needs and an incredible 200 hrs use on a single charge. The new Meindls have finally showed up. After a quick test fit out came the laces and two coats of very hard to find cuz it's not made anymore Kiwi Mink Oil was applied to both boot and lace, the leather is nice and soft with conditioner and break-in has commenced. 2 more coats of oil to be applied just before leaving, probably about the same day that we have a Permethrin session with all the gear getting sprayed down with tick and chigger prevention.So, at a month out conditions are green, all systems go, and counting down the days. Really looking forward to sunrises, sunsets, very cool and gorgeous campsites, new faces, new friends, memories for life, sights and smells of Appalachia, and maybe a little fishing along the way since I treated myself to a pen sized micro rod and reel.",,Pre hike 7,"Feb 28, Tue",0
Kinsman,https://www.trailjournals.com//journal/entry/555970,"Clock's ticking down a little quicker now. A couple Robins showed up yesterday, but it snowed today and a Nor'Easter coming in a few days.Nearly a whiteout coming through Crawford at 7:30 AM today, after having just stopped down at the 302/Webster Cliff crossing to photograph a couple feet of the white stuff on the trail.Cleaning up a couple loose ends with the AMC before heading out. If you've read me this far you know I do some volunteer trail work, and am the Kinsman Regional Leader for the Adopt a Trail program in the Whites, which is also volunteer. Kinsman Notch to Franconia Notch AT miles, about 18, are under my purview for gathering adopter work reports. I was discussing my absence with my Program Director of course and as well mentioned I'd like, with their permission, to try to do a little good will work along the trail. To put it simply, things are a little different here in NH, or rather they seem so to some, in regard to campsite fees and there are some in the Thru Hiking community that don't like some of the policies. I get it, and I can assure you, the AMC gets it, too. Who ever wrote a policy everyone liked? I know I never did, and that was 50% of the cyber security job for 10 yrs. I was a policy wonk. There's a whole lot more dislike than like most of the time, but once cooler heads settle in and folks see something other than their own perspective and needs, they realize it's for the best. Most of the time anyway.Now, before people get wound up, let me put it right out there I'm not taking sides, because I'm already right smack dab in the middle by default, right? For me it's about making sure places stay open and accessible, and in decent shape instead of littered with human shit every friggin place I look out there. (there are quite a few places like that, take my word for it...) Pretty simple when you get right down to it. I will gently point out a couple honest points though...we all pay to traverse the Smokies, Shenandoah, and there's some pay sites in VT. The first two in that list are on National lands. In NH, keep in mind you don't have a fee at shelters/campsites until you hit the National Forest. That's the key. AMC doesn't own the sites, they manage them. It's the U.S.Forest Service that is the land owner. The public pays day use fees of $3 per person per day at trailheads, I opt for an auto window sticker for $25 annually for unlimited trailhead use, weekenders pay the same camp fees you and I do. AMC members get 10% off sites and merchandise...they've already paid quite a bit more in their membership fee anyway, it all goes the same place in the end. Yes, full disclosure, of course I'm a member in good standing. That being said,, I've got some terrific news. While in Pinkham Notch Wednesday I met with the AMC Campsite director. We discussed a program he has just rolled out and rather than my try to regurgitate the whole thing, please take a minute and read the document in the picture of the day. I think you'll be pleased if you're a hiker. If you aren't one, but know one hitting the trail this year, please bring their attention to this post.I've seen the actual passes, they are a good deal cost-wise, and you'll just have to trust me that I say that without bias. I'm excited, and part of it is because the first place you can get this Pass, which is fashioned a bit after those in the southern Parks, is at ""my"" shelter/campsite that's on the trail I maintain and adopt, Kinsman Pond, if you're NOBO. (Speck Pond SOBO)The program is live, the Hut Croos and the Site Caretakers are up to speed. Boiled down, full price 1st night, half after that, no matter how many you use of the 9. 2 baked goods and a bowl of soup (which was bottomless last time I had one) included at whatever Huts you wish to get them at. 10% off merch, like a hat or pair of gloves...hint, hint...at the Huts. (you can do pretty well on that one...make your initial $10 back depending on what you might get).The shelters/camps all have reliable water, hardened tent sites or platforms, privy, and no turn away guarantee...no matter what, you have a spot. Bear boxes too...and from personal experience up all night once 2 years ago a few miles from Guyot with a bear harassing me, concerned enough to not dare let the fire die, throwing whatever came to hand into the brush, I am definitely a believer in food care. (and mine was hung, but close to me in a cramped site).Anyway, just a little PSA to pass along. If you see me on the trail, feel free to ask me about it. Please do not inundate my Journal email via the Guestbook. You can direct the questions to the Director, he's placed his email on the letter and this letter is posted on many of the Socials as well. Background...he was the caretaker at Kinsman shelter for 3 yrs, I believe he was also at Guyot for 1. He's a real nice guy, young, open to ideas. He put quite a bit of time and effort into making this happen, and it's straight from hiker survey results. One of the numbers dropped my jaw...between Nobo/Sobo/Section hikers in 2016, 2500 AT hikers came through the campsites. That's a tremendous increase from just a few years ago. But, when asked in the surveys taken, the majority indicated a willingness to obtain a pass of this nature.People do listen, we're all in it together, and I hope this proves useful to each and every one of you as you traverse the Whites.",,Pre hike 8,"Mar 09, Thu",0
Kinsman,https://www.trailjournals.com//journal/entry/557224,"Trying not to climb the walls til next week, beating back the second guessing of gear choices, have I planned appropriately, and the new trail nerviness that I always experience headed onto new ground in anticipation of what the terrain really looks like vs the map. Taking at this as a project, best tackled in pieces methodically. Keep telling myself it's not a hike, it's 165 hikes give or take a few, they just happen to be strung together. Work it accordingly. Plan the hike, hike the plan, you've been doing this since you were a boy scout. The only thing changing is the scenery.So for the last 2-3 weeks to keep myself engaged I've been through the AWOL guide, in conjunction with the Guthook app at times. Planned my days, ID'd the desired evening stop points, and alternates if the day has not seen the miles required. Used to be I'd plan a given days miles around campsites and shelters even if it meant short miles, but the hammock has relieved that need for a reasonably flat space for a tent, and for the last couple years it's water sources as primary criteria, distance points and beneficial terrain features such as a rock ledge or a hollow to block wind after that. Shelter spacing just doesnt enter the picture any more from a planning perspective.Gear is set as it's going to be, boots broke in real nice, drops are packed, sealed, stored in a cool closet. This would be a fine time to introduce my best friend and wife, who is pulling duty for resupply being in place and on time. She hikes a bit, is a terrific Trail Angel, best life partner I could've asked for, and without her I could not do this. She needs a Trail Name...I've dubbed her Quartermaster. Quartermaster is on board, she may get shackled with a guest journal entry now and then, too. In addition to her enviable resupply gig, she's a security guard at an outdoor concert venue, works with disadvantaged kids, and is a White Mtn Nat'l Forest Trails Ambassador. She also does quite a bit with the National Lupus Foundation and Lupus Foundation of New England. If you feel an urge to donate to a worthy cause, I can tell you first hand every cent counts and is much appreciated. It's an awful affliction, with no cure, yet. www.lupus.orgThere's some folks I'd like to thank, acknowledge (or maybe curse), probably a little of both, depending on the days to come, for infecting me with the fevah only Katahdin can quench.The hook was definitely set by Alan ""Gonzo"" Strackeljahn. (2000MileHike.com)   and soon thereafter George ""Then the Hail Came"" Steffanos reeled me in for good.Thank you, Gentlemen....I think.Inspiration and drive is taken from:'14ers Mecca, Redfoot, Yukon, K-Bar, Superman, Spider, Sunshine.'15ers 3D, Outlier, Quahog, and Captain K.Special thanks to Airlock and Sasquatch, also '15ers. Thanks to each and every one of you that has decided to hook up a wagon and read along. Some I know of, others I don't, all provide drive, each one another reason to persevere when the days are worst. I know there will be those days, this is a mental game far more than physical. I'll reply to emails as I can when signal allows. My last thoughts are that the physical challenge is just a small part of the journey, the bigger hurdle is the mind. There will be days when I place boot to trail, and the trail will have days it puts boot to my ass. I'll shoot for a draw. Accepting everything the trail dishes out, adapting down to the basics, overcoming the adversity, and at the same time recognizing and accepting it's blessings...those are the hard parts I think.Finally, I gotta give a shout out to Leki. My son, sponsored by #ThruHikerSyndnicate, of which Leki is part, scored me a new set of collapsible Leki Micro-Vario carbon trekking poles with push button collapse and a nice little shock absorber down at the tip, for my 52nd b-day that was on the first day of Spring, Mar 20. Nice gift, thoughtful of him, and them. I am certain they will be well used.Next post from some NC or GA hotel late on the 27th.",,Pre hike 9,"Mar 22, Wed",0
Kinsman,https://www.trailjournals.com//journal/entry/557864,"Weather threatened ice on Monday so we left on Sunday instead, around 2 pm, and made our way down to Delaware Water Gap for the night and below any icing for the remainder of the journey south. Difficult partings made more so by the suddenly changed plans basically robbing a day. In 30 yrs of marriage we've never been apart longer than 2 weeks. Now Monday night and posting from a Hotel in Asheville, N.C. After a nice long shower, went a couple miles uptown for a basic 2 for $20 Applebees dinner. Looking forward to a good sleep in a much cleaner and less likely to catch something place tonightIn the morning it's just a couple hrs down to Gainesville where we'll repeat the current activity and then get picked up by the shuttle on Wed AM to begin the walk back to our beloved N.H.",,Pre hike 10,"Mar 27, Mon",0
