Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
MoJoe,https://www.trailjournals.com//journal/entry/635144,"Time is running short! I'll be on-trial in less than a week--so, it looks like there will be a few late nights coming up as I prep to get ready!",,View Entry,"Apr 19, Mon",0
MoJoe,https://www.trailjournals.com//journal/entry/635145,"It's incredible, but I'm going to be able to hike the AT with my buddy ""Finder!"" We met in Oregon while on the PCT in 2019 and have probably done about 1000 miles together, so I can't wait to meet up again for another adventure!",,View Entry,"Apr 19, Mon",0
MoJoe,https://www.trailjournals.com//journal/entry/635146,"Yup--I'm working full shifts the last week before I depart--and my bosses at Wanamaker's Hardware and REI have been very supportive of my hiking plans! I'm sure I'll miss everyone, but I'm getting anxious to get hiking!!",,View Entry,"Apr 19, Mon",0
MoJoe,https://www.trailjournals.com//journal/entry/635147,"The photo I picked for my trail thumbnail is one of my Mom and I working a puzzle together. She just spent a week living at our house after a little more than a year in semi-seclusion due to Covid-times. It was great having her stay with us and she had a great time. I'm ""dedicating"" my hike to her--Mom, you're AWESOME!",,View Entry,"Apr 19, Mon",0
MoJoe,https://www.trailjournals.com//journal/entry/635813,"Mile -1.5, BLACK GAP SHELTER. 
After a short night of sleep (had to re-seat a toilet bowl due to a broken bolt) and then finish packing, I had a smooth ride to Atlanta. Met Finder (F) at North Springs station where we got a ride from Ron Brown up to Amicalola Falls State Park. Having been a ranger at AFAP for 8 years and now running an AT shuttle service Ron was a veritable fountain of info. F and I registered and at about 2 pm we set off under clear skies and mid-70s temperatures. Our campsite was 7.3 miles in but 1.5 miles short of the actual start of the AT. That will come tomorrow.","BLACK GAP SHELTER
",BLACK GAP SHELTER,"Apr 26, Mon",7.30
MoJoe,https://www.trailjournals.com//journal/entry/636241,Follow along Live:https://us0-share.inreach.garm...Password: coffee,,View Entry,"Apr 26, Mon",0
MoJoe,https://www.trailjournals.com//journal/entry/635815,"Mile 15.7 GOOCH GAP SHELTER
What an amazing day of hiking! After a breakfast of oatmeal and, of course, coffee, we had a quick 1.5 miles to Springer Mountain, the start of the AT. Photos (have to touch the first blaze), log book entry and selecting a pebble (which is to be carried 2190 miles and delivered to the top of Mount Katahdin) preceded our first AT steps. I felt much better today (I didn’t mention I had a couple of sessions on the ivory throne before my plane took off—made for a pretty tough start to the trip), and we passed up our planned campsite and went on a little farther. I’m going to bed early again trying to catch up on sleep.","BLACK GAP SHELTER
",GOOCH GAP SHELTER,"Apr 27, Tue",17.20
MoJoe,https://www.trailjournals.com//journal/entry/635963,"M32.4, BULLS GAP.
Well, don’t get too bent out of shape if my numbers don’t work out. Sometimes Finder and I use AWOL (thank you Ever Forward), but also The Companion Guide to the AT (shout out to Just Paul from REI Reading), and sometimes Guthooks. 
Today was about 16.7 miles up and over Blood Mountain, the highest point on the AT in Georgia. This mountain was a frequent battle site between the Creek and Cherokee, hence the name. The trail goes right through the Mountain Crossing store so we decided to resupply there rather than going off trail in a couple of days at Dick’s Gap. Lots of gear and food options and knowledgeable friendly staff; met Bill Hutchinson who runs the place. He also maintains the Creeper Trail near Damascus.","GOOCH GAP SHELTER
",BULLS GAP,"Apr 28, Wed",16.70
MoJoe,https://www.trailjournals.com//journal/entry/635964,"M 50.1, Blue Mountain Shelter, 17.7 miles
Met Tom, our first Trail Angel. Check out his hat in the photo showing him and me—we asked if he had pie, but apparently he was out! His lemon muffins were awesome! After lunch at Low Gap Shelter the trail gradient and tread reminded me of the PCT—it was awesome! Made it to the shelter and plan to stay inside—rain is on the way tonight!","BULLS GAP
",BLUE MOUNTAIN SHELTER,"Apr 29, Thu",17.70
MoJoe,https://www.trailjournals.com//journal/entry/636223,"M 68.2, Moreland Gap, 18.1 miles.
Today was a day that Pooh Bear would be happy. The wind was blowing all day long. We went up climbing up then running a ridge and then down to a gap. Some people call these PUDS, for pointless ups and downs, but that doesn’t seem right—we are getting somewhere! I have some back stories to catch up on but I’ll give you those later.","BLUE MOUNTAIN SHELTER
",MORELAND GAP,"Apr 30, Fri",18.10
MoJoe,https://www.trailjournals.com//journal/entry/636243,"M 85.9, Standing Indian Shelter, 17.7 miles.
Last night we met Kevin from Sturbridge at Moreland Gap, today we left Georgia (one state done!), leaving that red clay behind. Lots of CRGs today, and NC started out tough!

Backstory: Ron the shuttle guy—dependable, timely, full of info, reasonably priced, hang onto your hat for the ride.

Backstory: On the day we met Tom the pie guy we also met Speedbump (he says he slows people down)—he told us about the bird that calls eight times sharply—it’s the Ovenbird.

Backstory: we found out that the white and pink flower the three peddled one is a Trillium. (see photo in album)","MORELAND GAP
",STANDING INDIAN SHELTER,"May 01, Sat",17.70
MoJoe,https://www.trailjournals.com//journal/entry/636244,"M 105.6, Rock Gap Shelter, 19.7 miles.
Most miles in one day, but with less elevation change, it seemed easier. Highlight was the log staircase up to Albert Mountain fire tower—quite some vertical! Even though it’s been clouding up the view was great. Photos of the history of the tower were interesting. Sprinkles around 2:30 pm and a forecast for thunderstorms mean we could have a wet entry tomorrow into Franklin for our Nero. Our shelter tonight was built in 1965, is small, and has duct tape on the roof. There were 4 people there when we arrived; I chose to pitch my tent. Looks like I’ll find out how it does in the rain! My main concern is that the terrain slopes into the tent sites, so I hope I don’t get flooded out!","STANDING INDIAN SHELTER
",ROCK GAP SHELTER,"May 02, Sun",19.70
MoJoe,https://www.trailjournals.com//journal/entry/636246,"M109.4, Nero in Franklin, 3.8 miles 
Well last night it did sprinkle but it really didn’t start raining hard until this morning. FINDER and I headed out at about 7:30 AM in the rain and it rained most of the way to Franklin. Chica and Sunsets Hostel was full so we booked a place at Gooder Grove Hostel, but when we got there there were so many people, and only two restrooms and shower facilities, we decide to head out to Sapphire Inn. We heard about it from Cumin, a thru-hiker we met at Rock Gap Shelter last night. After a Mexican lunch at Mi Casa we headed off to do laundry at the community coin laundry call five minutes up the road. This morning was our first rain (during the day) in seven days of hiking and tomorrow and the next day are also supposed to have rain, so will get to test out our rain skills.","ROCK GAP SHELTER
",FRANKLIN,"May 03, Mon",3.80
