Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Rick Sullivan,https://www.trailjournals.com//journal/entry/637307,"Why not?Because it's there (to steal from Edmund Hillary).I want to see ALL the mountains!Because Daniel invited me.I want a grand adventure.I've always wanted to (at least for a long, long time).-----------------------------Daniel and I leave for Maine in four weeks to begin our journey. Hope you can join us here from time to time.",,View Entry,"May 17, Mon",0
Rick Sullivan,https://www.trailjournals.com//journal/entry/637469,"I am not an ultra-light backpacker. I value creature comfort over weight, so I'm sure there are many places I could cut weight.But here's the major items that will be going with me from Maine to Georgia.the BIG THREE:Shelter: Warbonnet Outdoors Mountainfly silnylon tarp paired with a Warbonnet Outdoors Blackbird XLC hammock.Quilts: Warbonnet Outdoors Diamondback top quilt and Wooki under quilt (both 20°)  [Suffice it to say I'm a fan of Warbonnet gear!]Backpack: Osprey Atmos 65lother stuff:Cocoon Hyperlight Travel PillowThermarest Neoair Uberlite pad (for those hopefully rare times I end up on the ground instead of hanging)Platypus Big Zip LP 3l hydration system (will rarely carry a full 3 liters of water)Sawyer Squeeze water filter (will put the filter in between two CNOC 2l water bags and a Sawyer coupler for a nice gravity system when we have the time)JetBoil MicroMo stove systemBearVault BV500 for foot storage & camp stool!REI Traverse trekking polesThose are the major things that are usually of interest to most people. I'll also have clothes, first aid kit, compass (old school), rain jacket and a puffy (alternate between long sleeve and vest), and dry bags for quilts, hammock, clothes and electronics (Kindle Paperwhite). I'm sure there's stuff I'm forgetting to mention. Hmmmm... maybe I should make a real list so I don't forget anything!",,View Entry,"May 19, Wed",0
Rick Sullivan,https://www.trailjournals.com//journal/entry/637784,"I got my first taste of the Smokies over 55 years ago and can't get them out of my soul. I moved to NC 40 years ago and have loved spending that time hiking all over the state, but especially in the mountains. When I was 17, I saw the Whites of NH for the first time and knew that someday I would be back to really spend some time there. 
I want to hike SOBO because I want so badly to see mountains that I've never seen before. I want to start off slow (have to at my age) and enjoy New England to the fullest. I want to be able to focus on the beauty around me instead of having my focus always being drawn to the end point of Katahdin. Having been toughened by the hardest part of the trail, I hope to be able to ""cruise"" through the Mid-Atlantic as Fall in the Southern Appalachians draws me home to its familiar peaks and ridges.
Daniel and I are starting our thru-hike in Maine in June of '21 (with the flies). Even though we'll be hiking 2200 miles together, neither one of us likes crowds. So we'll be going SOBO.",,View Entry,"May 24, Mon",0
Rick Sullivan,https://www.trailjournals.com//journal/entry/638996,"One week from today, Daniel and I should be summiting Katahdin in Maine to begin our AT journey. The Weather Underground forecast for Millinocket, ME, is looking good right now for next Thursday. Hope it holds!

We'll fly into Bangor on Tuesday and spend a rest day at the Appalachian Trail Lodge. They'll give us a ride into Baxter State Park Thursday morning and off we go! 
We spent today helping Michael (son #3) celebrate his birthday with a ten-mile hike on the Poverty Creek trails in the Jefferson National Forest near Blacksburg, VA. (picture) A thirty-minute downpour in the middle of the hike made us think we were already on the AT!  Daniel will then run a half-marathon with him Saturday morning as a warm-up. I think I'll just watch!
Last minute preps are almost complete. We'll finish packing when we get back to Archdale and send our first mail drops to Monson & Caratunk on Monday! I guess this is really happening!!!",,View Entry,"Jun 10, Thu",0
Rick Sullivan,https://www.trailjournals.com//journal/entry/639384,"Tomorrow we climb the 'Beast'. Katahdin is known as the toughest climb on the AT. Daniel and I put feet (and hands and legs and arms and knees and lungs!) to our journey tomorrow morning. Most of all we put our hearts into it. 
We will lean on each other, as well as family (especially Charlene), friends and God. Our geographical goal is Springer Mountain in north Georgia. Our chronological goal is to finish by Thanksgiving-ish, but we reserve the right to adjust that as needed. Our real goal is to enjoy this time together, this trail and the people we meet along the way, and to learn whatever lessons are in store for us. 
Day zero has been spent in Millinocket, Maine, at the AT Lodge. We got to relax and prepare for Katahdin and the 100-mile Wilderness. Special thanks to Danya and Koty (trail names Loins of Arabia and Trash Panda). They helped straighten out some backpack issues and feel better prepared. 
Now I just hope I can settle my mind enough to get some sleep! 😬Happy trails! 
¡Va ya con Díos!","
",View Entry,"Jun 16, Wed",0
Rick Sullivan,https://www.trailjournals.com//journal/entry/639607,"We climbed the awesome beautiful 'beast', but I'm not sure who won. There were definitely some tense moments for me dealing with my feelings about exposed heights, but with Daniel's encouragement and God's help, I made it up and back down safely. ""I stand fearless on the cliff edge of doom."" Ps 46:2 
Day 2 we hiked 10 easy miles to Abol Bridge, but Katahdin had taken it's toll on my legs. We've decided to take an early zero day to recover before tackling the '100 Mile Wilderness'. Abol Bridge campground has a store to get an extra day of food so we don't have to worry about making our food stretch an extra day. We will be getting a food drop in the middle of the '100 Mile' so we don't have to carry 9 (or 10) days of food. 

To any aspiring SOBOs, I highly recommend planning a recovery day after Katahdin. Even Daniel, who runs every day and just ran a half-marathon, is sore. 

¡Va ya con Díos!","Katahdin
",Abol Bridge,"Jun 19, Sat",15
Rick Sullivan,https://www.trailjournals.com//journal/entry/640137,"Apologies for the lack of posts to my journal. Being a ""wilderness"" there wasn't much Internet access. Also my phone died due to the fact it won't take a charge any more after sliding into a creek. It did last to Monson and then promptly died after ordering a new one. It'll probably be at least 10 days before i have one again. 

Quick summary of the last 11 days we spent hiking: hard but beautiful. Definitely wasn't physically prepared to carry an almost 40-lb pack up and down mountains over more rocks and roots than I've ever seen. By the grace of God and Daniel and with the help of food drops by the AT Lodge and Shaw's Hiker Hostel we made it! 

We took a ""zero"" (no miles, just rest) day today at Shaw's after arriving yesterday morning. Bodies showered, clothes washed and two days worth of town food and a real bed have us ready to hit the trail tomorrow morning. 

Next town goal will be Carratunk in about four days. We're going to try to slow our pace for a bit. Might be able to update again when we get there. 

Love and Peace!","Abol Bridge (mile 15)
",Monson (mile 115),"Jul 01, Thu",100
Rick Sullivan,https://www.trailjournals.com//journal/entry/640451,"We actually took five days to get to Caratunk. We've decided to take things slow while the trail is sooo hard! There were two significant mountains in this last stretch. Our shortest day (on the Fourth of July) was a 4-mile day up and over Moxie Bald Mountain. Glad it was short because we started up in a hard drizzle that turned into a cloud by the time we got elevation. There were no views at the top except cloud, so we decided to skip the extra 20-ft climb to the very top. We could barely see the rock cairn and sign at the summit from 200 feet away! The next day fortunately was clear as we had a 9-mile day over all the peaks of the Pleasant Pond Mountain ridge. Next stop Stratton, ME, in about five days. Hopefully I'll pick up my new phone there and be able to start sharing pictures!","Monson (mile 115)
","Caratunk, ME (mile 151)","Jul 06, Tue",36
Rick Sullivan,https://www.trailjournals.com//journal/entry/640808,"The Bigelow's are a mountain with two peaks at about 4100 feet. They are the first 4000-ft peaks we've climbed since Katahdin (over 5200'). They both have a beautiful alpine zone at the top that give 360 degree views. Unfortunately no pictures since I didn't get my new phone until today. 
(That means I'll finally get to start posting pictures to my journal. I've added a couple from our first day to the photos section. I'll be adding more as I can.) 

Our first day out of Caratunk was a short one. We hiked only four miles along Pierce Pond Stream. It's a beautiful mountain stream with numerous cacades and waterfalls. We took a very short detour to Harrison's Pierce Pond Camp. It's a traditional, semi-historical, Maine sporting camp. (Franklin Roosevelt's daughter stayed there on a fishing trip.) It's been run by Tim Harrison for maybe twenty years. Tim goes out of his way to show kindness to hikers. The camp is most known to hikers for the 12-pancake breakfast he serves! 

Daniel and I were his only overnight guests, but we were joined in the morning for breakfast by three other hikers who were camping nearby. Our cabin was rustic but comfortable. A single room with two double beds that had a wood stove for heat and a kerosene lantern as it's only light. 

It was wonderful and relaxing. The lodge has a pool table and we played a couple of games. The best part though was a beautiful view of the stream and a waterfall. 

More 4000 foot peaks tomorrow!","Caratunk (mile 151)
",Stratton (mile 188),"Jul 11, Sun",37
Rick Sullivan,https://www.trailjournals.com//journal/entry/640847,"We saw our first moose! We were being driven to the trailhead this morning after a fantastic stay at the Maine Roadhouse. Sue, our driver, saw it off the road and turned around so we could see it. I know we didn't technically see it from the trail, but it still counts! Right? 
We hiked over the two peaks of Crocker Mountain today. Much of it done in a cool, windy, drizzling rain. But it never got the trail wet and stopped completely as we descended the far side of the 4168' mountain. 

We're camping at the Crocker Cirque, which is a bowl-shaped valley formed by a glacier. (see in photos) It has a swampy pond that could be a perfect place to sight a moose for real!","Stratton (mile 188)
",Crocker Cirque Campsite (mile 195),"Jul 13, Tue",7
