Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Rock and roots Aka DA team,https://www.trailjournals.com//journal/entry/633125,"From research we should be carrying 40 items
So the list is broken down into 
Shelter (the AT has 250 shelters along the way, even though it is recommended that we do not stay in them bc of covid) TENT and tarp 
Sleeping gear (15-20 degree cover 3lbs or less) we are using a *sleeping bag for two weighing in at 4lbs and 10 oz  *sleeping pad and sheet cover inflatable lightweight with a high r-value we also added a sleeping liner and inflatable pillow 
Pack (40-65L) we each have different packs that fit are torso and hips. We also went with ones we felt were more compact and lighter
Clothing it is suggested  to pick synthetic or wool. 
Footwear (you should go up a half size to a size and half larger bc of swelling)
Water purification 
Hydration Reservoir (water bottles and cnoc)
Stuff Sacks (you have them sectioned for easy access to items you need such as clothes, first aid, electronics as well as one for a food aka bear bag)
Guidebook/App (we have awols AT guide and the guthook app)
 First Aid and Hygiene AKA Ditty Bag (antiseptic wipes, gauze pads, antibiotic cream, duct tape, ibuprofen, toothpaste, floss, TP, Firestarter, multipurpose soap, sunscreen,  hand sanitizer, sewing needle, toothbrush)
Hiking poles (some can double as tent/tarp poles also)
Knife/multi-tool
Stove/cookware
Headlamp (70+ lumens recommended)
Electronics/luxury items (smartphones come in handy as not only a phone but a computer, mp3 player, camera, notetaker, flashlight plus more)",,View Entry,"Sep 01, Tue",0
Rock and roots Aka DA team,https://www.trailjournals.com//journal/entry/633202,We spent about 60 on books to prepare  by ordering them online and through audible before I realized we could benefit from the public library!,,View Entry,"Oct 01, Thu",0
Rock and roots Aka DA team,https://www.trailjournals.com//journal/entry/633126,"So in order to prepare for this thru-hike we have been doing lots of research and one person we both love watching and learning from is Darwin on the trail. You can find him on You-Tube if your curious So anyhow I took lots of notes about the advice we have gotten and we have tried very hard to follow these. So with further a do the list from Darwin goes like this1. Pick a trail2. Year to plan (even though David and I have only spent about 7 months on this, I have been researching this a lot for the last 5+ years and he has wanted to do this since he was in boy scouts and I had the idea back in highschool when I hanging out at boyscout camp and doing the explorers with my dad) this helps save money and gear down3. Make a commitment 4. Do your research (we have watched, read and listened to books on tape, such as Becoming Odyssa, Hiking through, Just passin thru, AT documentaries, How to Hike the AT, Awol and more. Some of the best knowledge is found this way and following those on you tube who have made the journey or or on the journey now. 5. Make a budget and save (it is estimated that you will spend $1000 a month yet some have done this under as well as over)6. Get your gear7. Hike (thanks to many great places and people we have been out and about working these legs)8. Throw your plans out the window and just go with the flow9. Put your life on hold (such as car insurance and anything else you spend monthly that you will not need while away. This saves money and less headaches) 10. Now live your life and hit the trail",,View Entry,"Oct 11, Sun",0
Rock and roots Aka DA team,https://www.trailjournals.com//journal/entry/633128,"Since David is so inspired with this I thought we should share the notes I found in our notebook for others He has done this a few times and now has everything he needs in a 35L So what does that look like *Smart water bottle 1 liter on each side*camp shoes*Bear Bag kit*TP, Bidet*Bug net *Spork*Rain Gear*water proof dry bag*ditty bag (kind of like a first aid kit with a few extras)",,View Entry,"Oct 11, Sun",0
Rock and roots Aka DA team,https://www.trailjournals.com//journal/entry/633130,"Some towns are more difficult to resupply and we have been looking into which ones will make the most since to send them. 
when doing this you have two different ways to address your boxes 
Post office:
Hikers name
c/o General Delivery
POst office name
address
Hold for thru-hiker 
ETA

If sending to a hotel, hostel or outfitter
Hikers name
c/o Business name
address 
Please hold for thru-hiker
ETA
If anyone feels like sending something we need or could use don't forget to communicate otherwise it just ends up being........
thanks",,View Entry,"Dec 07, Mon",0
Rock and roots Aka DA team,https://www.trailjournals.com//journal/entry/633200,Got the Appalachian trail 750 Puzzle pieces!Looking forward to putting this together and sharing memories we make on this journey.,,View Entry,"Dec 25, Fri",0
Rock and roots Aka DA team,https://www.trailjournals.com//journal/entry/632798,"So this resupply ""bounce"" box idea is brilliant and time consuming lol
It really makes you think about what foods you will want to eat and researching plant based options. Thank god we have more choices then people realize. It just might not be the healthiest to eat. Yet we have lots of variety.
So what is one thing we are guaranteed to be eating on the trail......
Yep, you guest it energy bars along with other hummus, juice, yogurt, salad mix, on resupply day when we have the chance of getting to a grocery store. If I know David we will also be picking up lots of fresh fruit and veggies. ;) 
Some other ideas we have thought about it getting a pack of dogs on those days and having them for lunch and dinner. They shouldn't go bad between the both of us. We got some of these ideas off of You tube Vegan resupplying. Thank you to the herbivore hiker. She gave us the idea to buy belvita crackers for breakfast. Which hopefully be a nice change from all the oatmeal we resupplied with haha. She also gave us the idea of buying hotdogs and wrapping them in tortillas and getting some type of plant based dip to go with it. Then they get finished up at dinner with couscous, banza and Knorr. 
along with that we saw how one resupplies with the basic trail mix, brownies, nut butters, chips and earth balance squares when available and not to forget the freezer bags if we are low. We are hoping to re-use as many of the ziplock bags we can along the way. 
 hope to try the backpacker burrito 
refried beans, Knorr and Doritos 
We will let ya know",,View Entry,"Feb 26, Fri",0
Rock and roots Aka DA team,https://www.trailjournals.com//journal/entry/632869,"Today we mailed off the first bounce box! We have spent many hours dehydrating fruits and veggies to help keep our energy levels up. We also spent some time making a few treats that got vacuum sealed. Hoping it will be worth it along the way. We are in the final weeks before this adventure, walk about begins. Working hard to make sure everything is in order so we still have a few days to relax and take care of non trail projects.",,View Entry,"Mar 01, Mon",0
Rock and roots Aka DA team,https://www.trailjournals.com//journal/entry/633060,"So we finally did it we have sprayed our gear for the first 6 weeks on the trail or through 6 washes to help us with trail bugs. the top three that appear to be mentioned through all our research our Mosquitos from Georgia to Maine.  It has been mentioned that Pennsylvania and up has the worst. Ticks oh my.... yep they are already out and New England has the reputation for the worst. We shall see and Vermont is known for the black flies.
So how do you prepare, we first Permethrin yes we broke down and treated almost all of our gear. We have also purchased natural wipes to use along with essential oil remedies. The last thing we did was purchase head nets that fit over top of a baseball cap. We looks kind of funny yet if it helps who actually cares. One thing we did not do was buy anti bug clothing.  Apparently it does exist and we just created our own with treatment.",,View Entry,"Mar 07, Sun",0
Rock and roots Aka DA team,https://www.trailjournals.com//journal/entry/633059,"David and I started planning this adventure many months ago and as we get closer to the departure date  into the wild I often look back in the notebook where it all began. 
So for today it was food ideas for our resupply ""bounce"" boxes. We thought we would make 15 boxes however we have slimmed it down to 8
Back in November we gave ourselves a budget of what we would spend on these boxes and I feel we might have gone just a tad over. 
So what did we pack? 
Lets see.............
pre-made foods (backpacker pantry, good to go)
dehydration ideas for soups sauces and oatmeal
ramen
tortillas 
crackers
seaweed
trail mix
hummus packets
oatmeal with protein added and many other gems
mac and chreeese 
instant mash potatoes
nut butters 
dried mash black beans
dried non-dairy powder 
power bars
black bean brownies
rice crispy snacks
smoothie pouches
nuun tablets 
amazing grass 
granola 
and seriously after that list it just kept getting better. We hope to show and share how many of the meals turned out throughout the walk about into the wild of east coast terrain",,View Entry,"Mar 08, Mon",0
