Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Senior,https://www.trailjournals.com//journal/entry/632342,"The primary purpose of this entry and the next few, is to figure out whether journaling is something I can do while on the trail using only my phone. I’m 60 years old and I’m not fast with my thumbs on the phone keyboard. So I will be dictating all my entries. In preparation for this hike I watched two YouTube series from start to finish of the trail by  Chris Barry and Chica and Sunsets. Chris Barry has a very humble and straightforward with primarily trail footage. Chica and Sunsets are also very humble and presented a very comprehensive and well organized series of videos from Amicalola Falls to Mount Katahdin. One of chica and sunsets features was a weekly wrap-up that broke down the costs and how they spent their time and money on the trail.My favorite book on the trail was Whistler’s Walk by William Monk. I also read Appalachian Trials by Zack Davis and Awol on the Appalachian Trail by David Miller. Enough for post 1.",,View Entry,"Jan 20, Wed",0
Senior,https://www.trailjournals.com//journal/entry/632373,"In a sense I’ve been preparing to hike the Appalachian Trail for the last six years. In 2016 my youngest son and I hiked the first 77 miles of the PCT northbound from the Mexican border to  scissors crossing which is near Julian, in California. We enjoyed it immensely especially the sense of community that developed between us and a group of other hikers. When we said goodbye to Matt, Matt, and Andrew. We made sure they had our contact information because we live in Tehachapi, California at about mile 550. A month later we took care of them for a few days. I try to always be an angel even though I can only be a hiker part time.The following year I  did the John Muir Trail section of the PCT and then followed it up with another 85 miles between Tehachapi Pass and Walker pass. Every year after that I hiked between 400 & 550 miles. I have now done over 1800 miles of the PCT. This year I managed to get 350 in before the fires at the end of the summer closed all the national forests in CA. I had already set two weeks aside to hike some more so I ended up driving out to Georgia and hiking from Amicolola falls state park to Fontana Dam. During this hike I got to hike in the rain and see what it was like to put on wet clothes in the morning and keep hiking. I also got to see what it was like to spend the night in a shelter. I found the Appalachian trail to be a wonderful green experience as compared to most of the Pacific crest Trail. As of this moment it looks like my wife will be driving me out to Georgia the end of March. And I really hope she doesn’t get lost on those back roads near Springer Mountain on her way out. That’s enough for practice post two.",,View Entry,"Jan 23, Sat",0
Senior,https://www.trailjournals.com//journal/entry/632825,"I was a “Senior” during my last year of High School at the age of 17. “Senior” was a title I was given at the age of 35 when I became a supervisor in an organization full of 20 somethings and became a mentor to them.
Senior was at the age of 50 when the AARP started sending me applications. (I rejected their definition of “senior” as an attempt to collect dues from a potential 21 million more members.)
Senior is age 55 at Albertson’s Market to qualify for the senior price discount but during the early days of Covid, the “senior only” line for Toilet Paper required you to be 65.
The US Government, in an attempt to reduce the number of potential customers, says Medicare benefits don’t start until age 65, and my full social security benefits start at age 67. At age 62 you can get a “Senior Citizen” National Parks Pass”
By what definition is anyone SENIOR?
Merriam Webster online dictionary defines Senior Citizen as:” an elderly person especially: one who has retired” and provides the following synonyms, “ancient, elder, geriatric, golden-ager, oldster, old-timer, and senior. “Is that really me?
I turned 60 last August and don’t feel any of those terms describe me but if I want to believe the numbers put out by the Administration on Aging I am now older than 77% of the US population. That makes me senior to the majority of other Americans. According to “thetrek.co” thru-hikers age 60+ were older than 90% of rest of the other thru-hikers on the Appalachian Trail in 2018.
I have wanted to hike the Appalachian Trail since I was in Junior High and first read about it. I am hoping to start my attempt at an AT through Hike this April. If I do my trail name will be “Senior” and one thing I hope to accomplish is to demonstrate that “Seniors can.” My apologies in advance to all seniors if I don’t make it ;)",,View Entry,"Feb 26, Fri",0
Senior,https://www.trailjournals.com//journal/entry/633630,"I have been planning to hike the entire Appalachian Trail from Springer to Katahdin. I know anything can happen before I start let alone finish the hike as I would like to end it. I submit this plan to God as I hope I submit everyday to Him. Why do I take something like this more serious than a trip to Home Depot or the post office? Isn't God actively involved in all our daily activities from mundane to exciting? I guess I focus more on Him and His involvement in this project than a trip to the hardware store because it is a big step out of my sphere of perceived control. I consider the trip a good exercise in depending on Him. For some reason it is easier to feel dependent on Him for the next water or food supply and general safety in the woods than at home. It shouldn't be that way.My wife Carol and I will board a plane in one week and fly to North Carolina, rent a car, and visit relatives for several days. On April 3rd she will drop me off at Springer Mtn. or Amicalola Falls SP and I will start walking north while she  returns home. I am excited. I am packed. I have organized my home affairs as best as possible to make things easier on her while I am gone. What else can I do?
""A man’s heart plans his way, But the Lord directs his steps."" Proverbs
""Come now, you who say, “Today or tomorrow we will go into such and such a town and spend a year there and trade and make a profit”— yet you do not know what tomorrow will bring. What is your life? For you are a mist that appears for a little time and then vanishes. Instead you ought to say, “If the Lord wills, we will live and do this or that.” James
I hope to see you on the trail. I hope this will be the last pre-hike post. See you here again in April.",,View Entry,"Mar 22, Mon",0
Senior,https://www.trailjournals.com//journal/entry/634255,"Day 1 started at Springer Mtn. mile 0, ended at mile 15.5 a stealth site before Gouch Gap Shelter. Total miles 15.5 My wife Carol bravely consented to drive me up to the Springer Mountain parking lot for the Appalachian Trail. We said goodbye about about 9 o’clock and she turned around and headed back down that long gravel road. I walked the mile over to Springer Mountain and signed the logbook. I snapped a few photos of the pages ahead of mine so I could get to know some of the folks who I might run into along the trail.As I made my way back to the parking lot about five cars pulled in at the same time and at least half a dozen hikers got out to start their trip. I only know for sure that one of them is intending to through hike. He had parents and grandparents there to see him off and they were commenting on how long it would be before they saw him again. There was also some kind of a volunteer from the ATC trying to collect information from those headed up the trail. I chose not to participate in his survey.I ran into a couple other senior hiker guys named Mike and Craig they’re planning on going as far as Tennessee. We passed each other leapfrogging several times before we parted ways near Cooper gap. The day was pleasantly warm and I was down to my T-shirt by 10:30 AM.I had several firsts today for this trip, first doing business in the woods, and first trail magic put on by the Appalachian adventure society from Atlanta Georgia they were at the cemetery and we’re grilling hotdogs and had tons of snacks and drinks. As the sun started to get low I stopped at a creek to cook dinner at 5:30. I filled up my water and told myself I’d stop at the next good looking tent site. About half an hour down the trail I spotted a place a ways off the trail on what might’ve been a logging road at one time. I’m just a hop skip and a jump from Gooch gap shelter but I have complete privacy. Tomorrow is Easter! He has risen!","Springer Mountain
",View Entry,"Apr 03, Sat",15.50
Senior,https://www.trailjournals.com//journal/entry/634305,"I was awake around 0630 and was surprised that it was not light yet. I figured it must be getting light soon so I went ahead and cooked myself oatmeal and a cuppa coffee. Sure enough by seven it was light enough to start packing up and by 7:38 I was walking. As I passed Gooch gap shelter, I saw about 9 tents and hammocks. When I got to Gooch gap proper I saw About the same number. Not many people were staring yet. The oatmeal and coffee served me well for at least the first 5 miles. I then became motivated by the idea that I might be able to make it to Mountain Crossing before they closed at 5 PM. I kept moving along at a steady pace and made it to Mountain Crossing also Neels Gap before 4 PM. Even though it was Easter Sunday it was open and doing quite a business. All I needed was lip balm, Sunscreen, a ham and cheese sandwich and a Coke. That fueled me up. as I exited the store I saw the hiker boxes. Of course there was some sunscreen in one of them. The box is also contained and almost brand new backpack numerous fuel canisters, a number of food items, and two sleeping pads. You honestly could’ve outfitted yourself and started the hike right there if you already had a sleeping bag on the stove. Even though it was 4:30 and I’d done 15 miles I couldn’t imagine setting up camp nearby and just hanging around for four more hours of daylight. I got moving again and made it to Tesnatee gap giving me a total mileage have a little over 21 for the day. I had two spiritual conversations with people today one was while eating my sub sandwich a woman commented on a wristband I was wearing quoted Matthew chapter 5 verse five. The other conversation was with a through hike or what I suspect I’ll be running into again he has a strong pace and we were hiking for a bit together today it’s surrounded the idea that today was Easter and deserve to be celebrated at least in our minds and hearts in some special way. I don’t hike fast I just takes daddy and I did not get my tent up today until it was dark. Pray that I’m able to keep moving tomorrow. I hope to learn how to upload photographs into this for the next few entries.","Stealth Camp near Gooch Gap mile15.5
",Mount Katadin,"Apr 04, Sun",21.80
Senior,https://www.trailjournals.com//journal/entry/634404,"This narrative covers today Tuesday, April 6 and Monday, April 5. On Monday, April 5 I started at Tenatsee Gap mile 37.3 and hiked to the old cheese factory mile 56.3. The last 4 -5 miles was the roughest. When I arrived at Unicoi Gap at about three in the afternoon, I was hailed by a shuttle driver (unofficial Uber that works the Appalachian Trail) asking if I wanted a ride into Hiawassee, GA. She was just waiting there hoping to catch a fare but I was determined to not get off trail until I got to Franklin, North Carolina. 200 yards up that hill I started wondering if that shuttle driver was still there and if I ran back could I get a ride into town. However I soon found a water source, took a break, drank a bunch of water, ate a snack, and survived to go to the rest of the distance to the old cheese factory site. I found about nine people camped, some sitting around a campfire visiting cooking food one of the favorites was spam on a stick. Demographics? All white males, four were 60 years old or older the rest were 20 somethings. I have seen a number of females on the trail and a couple hikers of color but probably less than five so far. The talking ran kind of late for a couple of them but it finally stopped at about 9:30 and I managed to sleep until about 6:30. The next morning I got water and said goodbye to Ram (that’s his trail name) as he stuck his head out of his hammock, it was about 7:30.During the course of Tuesday I met and visited with James and Marshall. A couple of guys who are native to Virginia and recently graduated from college. They told me they stayed at the budget inn in Hiawassee and got there from Unicoi Gap. The rooms at 50 bucks apiece including Shuttle’s to and from the trail at Unicoi Gap and Dicks Gap, (where we would be arriving in just a couple more hours).I’m afraid that’s about all it took for me to call the budget inn and arrange for a ride in on the shuttle from Dick’s gap. That’s still gave me 13 miles for the day. I was picked up a little after four checked in by 4:30 and was devouring pizza and a salad from the Dominoes Pizza (practically next-door) in short order. There were a lot of other hikers there and it was a friendly bunch and we visited for about half an hour while I waited for my room to finish being prepared. One of the hikers I’ve visited with has the Trail name of Huck. He has a very strong southern accent and the name really fits.My stomach is full, it’s after 7:30, I’m starting to fall asleep so that’s it for now. Oh, I hope to catch the 9 o’clock shuttle back to the trail in the morning.","Tenatsee Gap
",Dicks Gap,"Apr 06, Tue",31.90
Senior,https://www.trailjournals.com//journal/entry/634506,"Wednesday morning April 7 started started with breakfast at a little place next to the budget Inn in the town of Hiawassee and  a shuttle ride back to Dick’s Creek gap where I was picked up yesterday in the afternoon.It was kind of a late start as hiking days ago 9:30 but at some point late in the day I crossed the North Carolina and Georgia boundary entering North Carolina. That was one of the high points of the trip so far, First state done! I was hoping to catch up with an acquaintance I made on the trail who goes by the name Ram. He took this name from a character in one of his favorite movies, “state troopers” a comedy which I haven’t seen but saw a review on it, it’s too silly to watch with my wife. Maybe I’ll get a chance to watch it in a hotel room during this trip.Ram had started up this trail intending to hike a few miles before setting up camp yesterday afternoon when the van picked me up. I hiked pretty steadily for about 11 hours and just as it was getting dark enough to use my headlamp I saw a hammock  suspended between two trees. I know Ram uses a hammock, he’s not the only one but one of the few. So I called out “is that Ram?”The reply, “is that Gramps?” That might end up becoming my new trail name, I’ll keep you posted.I set my tent up in Beach gap just a couple hundred yards past Ram and realized I hiked 21.2 miles that day. Following morning today was predicted to rain around 10. I wanted to get an early start and hike as many miles as I could rain free, so I was on the trail by seven. Ram told me he planned on sleeping till nine so I didn’t expect to see him again. I had told him I planned to get off Trail in Franklin and that Rock Gap 16 miles away would be an easy place to get a ride from. I knew he was considering it for himself. We exchanged phone numbers.Sometime around noon I got a text from Ram, he was only a few miles behind me and was trying to catch up. I passed the hundred mile mark the first hundred miles of the trail and stop to make lunch just as I got back on the trail Ram caught up to me and lo and behold we were only about half a mile from Rock Gap. When we got to Rocky gap we found  the organization responsible for trail maintenance in the area was giving away pizza and fruit. Two pieces of pizza later a shuttle van pulled up and we got a ride for five dollars apiece to the Microtel. An excellent deal for 45 bucks each per night. We had dinner at Wendy’s and I think will be going to bed here pretty quick. It was an excellent day it did rain and that’s part of what you have to expect when you’re hiking on the Appalachian Trail. Tomorrow is supposed to be a zero day for us we’re going to do laundry re-supply at the local Ingles market and get back on the trail Saturday. If you like seeing pictures follow me on Instagram “seniorboyd” I still haven’t figured out how to get pictures from my phone into this journal. But I try to post at least one a day on Instagram","Dick’s Creek Gap mile 69.2
",Rock Gap mile105.7,"Apr 08, Thu",36.50
Senior,https://www.trailjournals.com//journal/entry/634603,"My current hiking partner, Ram, and I spent all day Friday in the town of Franklin, NC. We spent Thursday night and Friday night at the Microtel. That cost us each about $90 for the two nights. It came with a continental breakfast that consisted simply of those homemade waffles. There was syrup to put on them and butter packets. No milk, juice, yogurt, or fruit. There was coffee lots of it.on Friday we divided the chores I took all the dirty clothes to a laundry mat washed and dried them and walked back by way of Lowe’s where I picked up a mouse trap that I thought might be useful in the shelters and some extra hose gaskets that Ram thought he might need for his water filtration system. Ram went to the Ingles grocery store and did our resupply shopping we spent much of the day resting and eating and preparing for the next week of hiking by letting our bodies Rejuvenate. One of the most important things I thought I needed to do during this break was repair my shoes. I was able to get the shoe cement at the adventure 76 store. The lady who drove the public transportation bus we got on Thursday afternoon was willing to stop by it and let us run in while we were on our way to the hotel. So far it looks like the repair is holding.Friday evening for dessert we decide we wanted Wendy’s Frosty’s. The problem was the Wendy’s dining room was closed for some reason. So we got in the drive-through line walking and they did eventually get talked into taking our order. I know my wife would’ve been very embarrassed. But Ram is a very attractive congenial and friendly 25-year-old and he talked the ladies at the drive-through window into selling us what we wanted even though we weren’t in a car. We located a shuttle driver Friday night who agreed to pick us up this morning, Saturday morning at 8:30. For $25 she took us both from the Microtel out to rock gap and dropped us off. The day was cool breezy and overcast and by noon it was raining pretty good. within an hour or two I felt like I was soaked and there was no way to stop for a break without hypothermia setting in and by that point there was only two or 3 miles left to the shelter that was our goal for the evening. We just had to keep walking. We made it to that shelter and with the two of us made a total of eight people and a dog. After a lot of hemming and Hawing among the group I suggested that we could probably fit twice that many in the shelter if we all laid on our sides nuts to butts. I got them chuckling and everyone agreed to kind of mark out their space and try not to take more than 18 inches each. Ram set up his hammock in the shelter the other seven of us all down on the platform with the dog. The rain stopped about five and we’re all just hanging around visiting waiting for it to get late enough to justify crawling into bed and trying to go to sleep for 10 hours or more. It’s been a great group of people. Two of the people in this group are in their 70s. One has done a lot of mountain climbing is an engineer and has widely traveled he has quite a few stories but he’s very humble and wouldn’t have told us a single story if he had been prompted by a few questions it was very worthwhile. Another member of our shelter is a lobster man from Maine who is hiking back home from Georgia. A couple of military vets And Ram and I round out the group. Tomorrow we hope to make it to the NOC before dinner time, it’s about 16 miles away at mile 136.7. It was a wonderful day and I am thankful for it.","Rock Gap mile105.7
",Wahya Shelter mile 120.4,"Apr 10, Sat",14.60
Senior,https://www.trailjournals.com//journal/entry/634657,"I was surprised when I woke up at 6:30 this morning to find that I had a good sleep and it was already light. My nearest neighbor in the shelter who’s Trail name is Meat Popsicle (I didn’t ask him how he got that name) had moved to a hammock just outside the shelter. It had stopped raining about 6 PM and it was a little crowded in the shelter. It then became obvious the person snoring next to me last night was not the guy meat popsicle but a female hiker named Otter. I was raised pretty sheltered but by age 60 I have learned, ladies do: burp, fart, and snore. I quietly extracted myself from the shelter and managed to get on the trail before 730 I did not make any breakfast but ate a granola bar as I walked. About the time I was thinking I would stop and heat up coffee and oatmeal, I arrived at mile 124 “burning town gap” and found a ministry organization supplying hard boiled eggs, candy, the gospel, and prayer support to anyone who wanted it. I really enjoyed visiting  and fellowshiping with them especially since it was Sunday. As I left them, I plugged in my earbuds and listen to J Vernon McGee preaching through Genesis chapters 20 through 24. I followed up by listening to worship music produced by the group 2nd Chapter of Acts.If you’re not familiar with through the Bible radio you should check them out on the Internet ttb.org they have an app available for the iPhone and probably android. My father, I, and a friend named Ben have been meeting Monday through Friday mornings and listening to a 25 minute message. The program teaches through the entire Bible, over a five-year period and it is starting in Genesis again now.As our day continued we hit Wasser bald where there is an observation tower that you can climb. I did not climb up there but that’s where I reconnected with Ram. From there we hiked on more or less together for the next 6 miles till we got to the Nantahala outdoor center. The NOC provides river canoeing and kayaking training and a variety of other recreational activities they have housing, a bar, general store, outfitter, and a restaurant. After having a burger and fries and picking up a couple items at the general store we continued our hike about one more mile finishing a day at an unmarked campsite at mile 138 giving us 17.55 miles for the day. Starting to get nightMy partner Ram would like to finish the smoky mountains before he has to stop hiking a week from today. He did the math and figures will have to do 17 miles a day for the next seven days. I don’t think we should have a problem with that unless one of us develop some kind of an injury. Read all about it here sometime down the line. I think we’re planning on making it to Cody Gap 18 miles from here tomorrow.","Wayah Bald Shelter mile 120.4
",Mile 138,"Apr 11, Sun",17.55
