Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Shooter,https://www.trailjournals.com//journal/entry/623077,"Looking forward to completing this trail, with so many others waiting.",,View Entry,"Sep 16, Mon",0
Shooter,https://www.trailjournals.com//journal/entry/625005,"So I have most of my gear, and have done a couple great hikes this summer. I did the Pemi loop trail where I met, hiked with, gave some magic ( by way of shots ) and was named by one of them, her name was Sauce, she named me Shooter after the Fire Ball and  Dr McGillicuddy's shots, It sounded ok so I kept it.  Thanks Sauce. and the other hike was 100 miles of the Cohos Trail, it felt pretty good.",,View Entry,"Nov 22, Fri",0
Shooter,https://www.trailjournals.com//journal/entry/631909,"So I was all planned for  4/21/20 hike before Covid transformed America, now my goal is to be on trail on 4/15/2021, I will be starting at the Arch after 2 nights in the park.",,View Entry,"Nov 29, Sun",0
Shooter,https://www.trailjournals.com//journal/entry/632868,"It's still a month and a half but it will go by very quick, I have been reading a lot of journals and watching a lot of new and old videos of the trail, I'm afraid I will be still be reading and watching them when I am on the trail.  I should be ready and hopefully I will be in Maine the end of summer, not planning on rushing it but just fully enjoying it. trying to walk everyday not going crazy just staying active. I hope to see my wife and daughters at some point on the trail, this will be a great adventure coming , I have waited over 30 years to start.",,View Entry,"Mar 01, Mon",0
Shooter,https://www.trailjournals.com//journal/entry/634174,"So getting really anxious about getting started, can't wait to walk through the Arch on the 15th, I say I'm going solo but there is at least 35 registered to start the same day. Our road trip starts next week and ends with 2 nights in the park.  We have been watching a lot of great Vloggers from this year a couple favorites are Nahamsha Hiker, she's from our area and very entertaining, and Mommy and Me, with Supermom and Flin, she turns 7 on the trail , again super entertaining, I will probably still be watching them when I'm on the trail.
See you soon !",,View Entry,"Apr 01, Thu",0
Shooter,https://www.trailjournals.com//journal/entry/634997,"So I did the Approach trail today. Nice hike 3000 ft elevation 8.8 miles ended up staying at the Springer Shelter in my tent. There was about 12-15 others there. Weather was great. Nice Sunset at 8:10 and in bed by 8:45.
Tomorrow onto Gooch Mt Shelter 👍",,View Entry,"Apr 15, Thu",0
Shooter,https://www.trailjournals.com//journal/entry/635514,"Today Started at the first White Blaze from the Summit of Springer. Left the area at 8:10 and got to Gooch Mt Shelter at about 4 pm.there was 4 of us who got there together. Besides me there was Book. Really good hiker had completed it in 2012. Clem Jim .and Cold Brew ( I named ) who were good also.
Pretty good overall day everyone just trying to find there pace. Nice fire and to bed by 8:30.","Springer Mt first blaze
",Gooch Gap Shelter,"Apr 16, Fri",15.10
Shooter,https://www.trailjournals.com//journal/entry/635518,"We had a great hike today. Went over Ramrock  Mt , Big Cedar Mt , and Burnett Field Mt . It was great getting to Blood Mt Shelter and only 2 tenters there. Had a nice fire going and 3 more came in. Again most hikes begin about 8ish and this one ended at about 3. Kind of early but getting the pace and suppose to be bad weather. Very windy here also.","Gooch Gap Shelter
",Blood Mt Shelter,"Apr 17, Sat",13.20
Shooter,https://www.trailjournals.com//journal/entry/635528,So we left about 8ish and only did a few miles but it was first night off trail. Flat Rock Gap was beautiful. We wanted to get a burger and a beer but had to thumb 16 miles only to find out the town was dry. We had a Blood Mt Cabin and it was great. Split it 5 ways.First 31 miles and the famous boot tree where 30% of hikers drop out. Got to soak my feet behind the cabins.Heading north.,"Blood Mt Shelter
","Neels Gap , Mountain Crossing","Apr 18, Sun",2.40
Shooter,https://www.trailjournals.com//journal/entry/635746,So a little cold and windy today went over Levelland Mt and Wolf Laurel Top at Tessnatee Gap we got some trail magic of fruit and waters. I got a banana. It was great. When we got to the other side and into Hogpen Gap I got a Pepsi from when me and Linda stayed in Helen another treat. Last climb today was over Sheep Rock Gap. Stayed in another shelter tonight.,"Neels Gap , Mountain Crossing
",Low Gap Shelter,"Apr 19, Mon",11.50
Shooter,https://www.trailjournals.com//journal/entry/635752,"Today the group was just Book who took off so me and Bradley hiked all day today. We have about the same pace. It was pretty long and we went thru Cold Spring Gap. Chattahoochee, Red Clay, and Blue Mt. Dropped down thru Unicoi Gap and Rocky Mt, and into Tray Mt Shelter","Low Gap Shelter
",Tray Mt Shelter,"Apr 20, Tue",15.40
Shooter,https://www.trailjournals.com//journal/entry/635888,"Me and Bradley woke at 5am and left at 5:15 , total dark. we had to be at Dicks Creek for 11 to get the shuttle into Hiawassee. We stayed at the Budget Inn. Not that bad not that good. There was a dinner right next door which was perfect Bradley and a few others went to the brewery. I closed the dinner at 2. Got laundry done then resupplied and hung out till super time then did the walk through at the drivee through at DQ. Had a great burger, sundae and then a couple beers. Not a bad day. It was a Nero but still 11 miles","Tray Mt Shelter
",Dicks Creek,"Apr 21, Wed",11
Shooter,https://www.trailjournals.com//journal/entry/635892,"So I got a shuttle back to trail about 8:45, only Bradley ended up staying later. I guess he wasn't feeling it that early. It started out a little chilly but kept moving. Started criss crossing with another hiker, turns out he is from Maine , Logan an 18 year old, really good hiker, we crossed Buzzard Gap and Rocky Knob but the highlight was crossing the state line Ga/Nc at mile marker 78.1 only 13 other states to go then went over Bly Gap, Sharp Top and Sassafras . We went about 1/2 miles past Muskrat Shelter and camped in tents, they had a nice fire and it got down to the low 30s but the tents warm.","Dicks Creek
",Tent Site,"Apr 22, Thu",12.20
Shooter,https://www.trailjournals.com//journal/entry/635894,"Today was a great day Standing Indian Mt was great Betty Creek and Mooney Gap, but the Highlight was going over Albert Mt and climbing the tower and hitting the 100 mile mark.Today was a long day because there's suppose to be a bad storm coming in all day Tomorrow so we pushed to Big Spring Shelter and stayed inside, going to Nero tomorrow","Tent Site
",Big Spring Shelter,"Apr 23, Fri",20.80
Shooter,https://www.trailjournals.com//journal/entry/635907,"Today we only hiked 3.5 miles but it was raining pretty hard. We only had to get to Rock Gap and get the shuttle into Franklin. We stayed at the Sapphire, it was ok, the shuttle driver made the difference, he picked us up with donuts and the return trip in the morning he had sausage biscuits. Bobby the Greek is the best. So we did laundry , resupplied and ate at Hardee's a couple of times and crashed early.","Big Spring Shelter
",Rock Gap,"Apr 24, Sat",3.50
Shooter,https://www.trailjournals.com//journal/entry/635910,"Today was a great day got trail magic again twice for today, once from Bobby and the other when we got at the trail head, steamed dogs at 9 am,. Today's climb was nice up to Winding Stair Gap, Panther Gap and Sillers Bald Summit, great views, then onto Wayah Bald Summit with a stone Tower. Great views, then down to the Shelter, seemed like more than 14 miles","Rock Gap
",Wayah Bald Shelter,"Apr 25, Sun",14.70
Shooter,https://www.trailjournals.com//journal/entry/635914,"Today's Highlight were Copper Ridge Bald, Tellico Gap and Wesser Bald ,  the tower was so high ,the Balds are beautiful but lots of ups and downs tomorrow we go into NOC for resupply and Smokies Permit only about 2 miles from here.","Wayah Bald Shelter
",Rufus Morgan Shelter,"Apr 26, Mon",15.50
Shooter,https://www.trailjournals.com//journal/entry/636060,"Today was exciting going into NOC except no place opened before 9am and the restaurant was closed, but got some resupply at the general, after the Noc it went up pretty hard, over Wright and Grassy Gap, then Swim Balls and Cheoah Bald which was great. A nice reward for the hike up, tenting tonight which is nice, more privacy.","Rufus Morgan Shelter
",Locust Grove Gap,"Apr 27, Tue",11.60
Shooter,https://www.trailjournals.com//journal/entry/636062,"Going into Fontana Dam Tomorrow so the miles set us up good, laundry, showers, real food, and a couple beers. Today's Highlight was going up Jacobs Ladder, very long and pretty steep then a really long down hill, not good on the knees.","Locust Grove Gap
",Cable Gap Shelter,"Apr 28, Wed",11.70
Shooter,https://www.trailjournals.com//journal/entry/636063,"Today was great, got up packed quick and only had 5.5 to go so we hurried, we got to the Mariner and had a breakfast sandwich and an ice cream bar, to early for beer. We got shuttled for resupply first then to Wolf Creek Hostel, it was actually more like a camp, but it included laundry and full kitchen, a nice pot of coffee , then after we got everything done. the owner drove us to a dinner with great food, it's also a dry town so we had him pick up some beer before he got us. All in all a great stay.","Cable Gap Shelter
",Fontana Dam Mariner,"Apr 29, Thu",5.50
Shooter,https://www.trailjournals.com//journal/entry/636065,"Today was perfect weather for starting the Smokies  we got to walk over the Dam and enter , we had to drop half of the permit in a lock box and the other half when we are leaving, not bad only $20. about 3 miles in I saw my first Bears, there were 2 of them and seemed a little skittish which was fine with me, again this was a long up hill day over 3000' so when you get at the shelter you just set up camp, get water, eat, and hang your bag and ready for bed about 8:30 usually.","Fontana Dam Mariner
",Russell Field Shelter,"Apr 30, Fri",16.10
Shooter,https://www.trailjournals.com//journal/entry/636301,"Today was great Jenkins Ridge Trail dropped off on both sides, really worth the work, Rocky Top was pretty steep with 360 views, Thunderhead Mt was a lot the same, a couple more gaps and knolls then Miry Ridge trail, another pretty ridge, Sillers Balds and Welch Ridge Trail was a perfect ending to a long day.","Russell Field Shelter
",Double Spring Shelter,"May 01, Sat",17
Shooter,https://www.trailjournals.com//journal/entry/636303,"First off was Mt Buckley, pretty steep first thing in the morning next was Clingmans Dome which was a milestone then right after was the 200 mile marker, off to Mt Love, Mt Collins and Mingus Ridge which had 2 wild hog containment bridges to keep them out of a certain area, then famous Newfound Gap, kind of wierd after not seeing many people to come out here and it's so crowded with so many people, cars, and motorcycles. Then a few more gaps and views, also the longest day so far.","Double Spring Shelter
",Pecks Corner Shelter,"May 02, Sun",21
Shooter,https://www.trailjournals.com//journal/entry/636304,"First was Eagle Rocks which should have had good views but was dark and rainy, last night was the hardest rain I ever saw, today will be a Nero despite going 20+ miles, we plan on getting out today supposed to be a really big storm today and tonight so we will go to Best Western, hot tub, pool and continental b_fast,  can't wait. But first Deer Creek, Yellow Creek Gap, Snake Den Ridge and more gaps, but mostly being careful not to slip, it rained pretty hard all day and was pretty cold , got to Davenport Gap by 5pm pretty wet and Cold, to the hotel and more work to be ready for the next day.","Pecks Corner Shelter
",Davenport Gap,"May 03, Mon",20.90
Shooter,https://www.trailjournals.com//journal/entry/636306,"Today turned into my first 0 after 18 days with no zeros. The weather was forecast really bad and glad we decided against going back out today and it felt great just relaxing  for the first day in almost 3 weeks, we are about 1/8th completed so I feel good about that but are looking forward to getting further north, lots of breakfast, hot tub and Papa John's for dinner. Beats a Ramen. Heading out by 8am Tomorrow. Already have the shuttle booked and resupplied. We go towards Max Patch and Hot Springs Next","Davenport Gap
",0,"May 04, Tue",0
Shooter,https://www.trailjournals.com//journal/entry/637400,"Today Started with a great bfast from Best Western. I still don't have hiker hunger yet so 1 is still enough. But I'm hiking with Fire Laces and he had 3 servings. So things all felt pretty good till a little before noon when it started raining again. Still some nice climbs over Spanish Oak Gap, Snowbird Mt. And Brown Gap . Next Max Patch. I had planned on sleeping on top But by the time I got there about 4:30 and hiking in the rain all day being about 39 and soaked for hours. That wasn't going to happen but going over the summit was still pretty nice. Kind of reminded me of the whites so fogged in and following fence posts instead of Cairns. Got to the shelter about 5:45 and it was packed including the tent sites but I got a nice little slopping site with a few roots but it was ok .  still raining and a lot to do before sleeping , one was putting up my tent. My hands were so cold I had trouble snapping it together , getting water and filtering .but after hot Ramen things were better. Now time for bed. Getting close to 8.","Davenport Gap
",Roaring Fork Shelter,"May 05, Wed",17.90
Shooter,https://www.trailjournals.com//journal/entry/637403,"Today was a little messy starting out with everything still wet from overnight. It felt like adding a couple lbs from the tent and stuff. Still a little cold, but the sun came out about noon and felt good. I tried things on the back of my pack to start the drying process. Today's hike was nice. It seems like everything grows over night. Went over Lemon Gap. Bluff Mt Garenflo Gap then onto Hot Springs. I had been hearing that Noro was going around so I didn't want to stay even though it seemed pretty nice there. I got a nice Sub.a delicious pineapple frappe and a small wine for later and headed out for about 6 more miles. I found a nice tent site after Lovers Leap rock. There was an older woman set up there with a fire so you can't beat that.","Roaring Fork Shelter
",Stealth Site,"May 06, Thu",19.90
Shooter,https://www.trailjournals.com//journal/entry/637404,so today Started of raining again but quickly stopped. Only problem it was so windy most of the day. It also started raining again about 9ish. Walking in the rain all day is bad enough but it was so windy that it was just raw all day. I went over Pump. Then Tanyard Gap over Rich Mt.through Hurricane and then Allen Gap. There supposed to be a tower trail but because of the rain I missed it oh well ?I got to the Shelter and set up my wet tent. It's still more personal than a shelter and it had stopped raining for a while. Just still windy.,"Stealth Site
",Little Laurel Shelter,"May 07, Fri",15.90
