Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Silver Streak,https://www.trailjournals.com//journal/entry/633335,"If not now, when?
I’m 67 and will turn 68 in July 2021.  I’m at the age where you are one bad fall away from having a broken hip. So I want to complete my AT thru hike before it’s too late. 
Why not wait until next year after the COVID pandemic will hopefully be controlled? My wife Nancy and I plan to thru hike the PCT in 2022 and if all goes well the CDT in 2023.  I’d like to get my triple crown at 70. 
I retired from teaching in 2018 and was ready to experience the adventure of completing a thru hike of a long trail in 2019.  I started the trail on 17 February 2019 and discovered that I am capable of surviving the rigors of hiking long days in snow, sleet and rain during the early months of my hike.  I got off the trail in Harpers Ferry and went home for about 2 weeks during spring break to get evaluated for a swollen leg that I thought might have been infected due to a deep wound I sustained from a bad fall I had at the end of the Shenandoahs.  Luckily, I didn’t have any fractures or infection and after some rest my leg returned to normal and I returned to Harpers Ferry to continue hiking.  
I completed 1846 AT miles but had to leave the trail due to severe fractures of my left pinky finger due to a fall I sustained while descending Mt Moosilauke. The fall was my fault because I was trying to unwrap a Cliff Bar instead of paying attention to the steep technical downhill.
I was thinking about finishing the trail last year but the COVID-19 pandemic put an end to that. 
I was planning to start the AT this year on 7 March but changed my mind after a shakedown hike I did on the Foothills Trail (South Carolina) at the end of January 2021. I completed a 154.6 mile YoYo of the 72.3 mile Foothills Trail in 7 days.  It was a cold hike with nightly temperatures in the low 20s which was great for testing out my cold weather gear. It rained one night which got me thinking about how tempting shelters would be during those multiple day AT  rain spells.  Being unvaccinated at the time I didn’t think it would be a great idea for a 67 year old hiker to spend the night crammed into a shelter with strangers during the COVID pandemic.  So I got home and cancelled my AT registration and Amicalola Lodge reservations.
Then within a week I was able to schedule my first Moderna vaccination at CVS.  This seemed like a good omen and my mind returned to thinking about another AT hike.  It didn’t take long to decide to start my hike on 21 March which would be almost 2 weeks after I got my 2nd Moderna shot.  
Today is 17 March and I am almost done with my pre hike preparations.  I am mailing the 2nd of my 19 resupplying boxes today.  I will post a summary of my resupply strategy soon.


Happy Trails, Silver Streak
Note: I’m finishing the last 346 miles that I have left from my 2019 thru hike attempt. The mileage includes a week that I hiked from Springer to the NOC.",,View Entry,"Mar 17, Wed",0
Silver Streak,https://www.trailjournals.com//journal/entry/633342,"I hope to write a few entries detailing some of the gear changes that I’ve made for this year compared to my 2019 hike.   
The first big change is my backpack.  In 2019 I carried the ZPacks Park Haul.  Before I explain why I switched backpacks I want to clarify the ZPacks offer great customer service to thru hikers and honors their warranty.  In 2019 I had constant problems with the Arc Haul.  When I first got the pack I took it out on  Foothills Trail for a shakedown hike.  One of the vertical carbon fiber rods kept going out of alignment and would fall toward the edge of the pack and throw the pack out of balance.  At first I thought it was my fault, that  I just wasn’t packing it correctly so I tried and tried and tried different ways to pack my bag and it never worked.  I contacted Zpacks and they offered suggestions which seemed to help.  So I started the AT with the ARC Haul and after having several weeks of constant rain the middle horizontal frame support started popping out.  This was annoying because I would have to stop in the rain and reinsert the support. I actually ended up losing the support on the trail after it fell out without my knowing. I was also having trouble getting the pack to balance correctly, no matter what I tried it kept listing to the left.  I finally got fed up with the pack and decided that I must have a lemon so while going into Hot Springs I emailed  ZPacks and explained my problem.   They told me that they would send me a new pack to Boots Off Hostel (mile 428).  This pack worked great until just before Duncannon (mile 1149) when the left vertical rod poked a hole thru the pouch that holds it in place.  I emailed ZPacks again and they agreed to mail another pack to Delaware Water Gap (mile 1296).  They also agreed to replace it with a small size pack.  This pack worked perfectly for the rest of my hike.  I still had problems with the middle support occasionally popping out but after I lost it I just decided to lived without it.  I didn’t feel any difference in the way the park rode on my back without the support.
Overall the Arc Haul is very comfortable and I was planning on using it for this years hike.  As luck would have my wife’s old Osprey Exos wore out.  I bought her a new female specific Eja pack for Christmas so she didn’t need her old pack. The Exos small was too large for her anyway.  So I packed up her small Exos and sent it in to Osprey for repair hoping that the pack would need to be replaced.  Lucky for me the pack needed to be replaced and Osprey agreed to replace it with a medium Exos which fits me perfectly. 
I took the Exos out with 8.5 days of food for my YoYo of the Foothills Trail in late January (see my trail journal for this hike).  After I learned how to adjust the load lifters the pack felt great.  I consider the comfort of the Arc Haul and Exos to be equal.  I decided to take the Exos on my 2021 AT thru hike because I believe it will be more durable.  It weighs about 1.5 pounds more than the Arc Haul but that is a small weight penalty to pay for not having to worry about a repeat of the problems that I had in 2019.",,View Entry,"Mar 17, Wed",0
Silver Streak,https://www.trailjournals.com//journal/entry/633343,"I will once again be using the ZPacks Duplex tent.  I bought a new one during their 2020 sale to replace our 4 year old duplex.  This year I’m bringing the flex poles to give me some flexibility and speed of setup in challenging campsites.  With enough room I can set my Duplex up with trekking poles in about 3 minutes.  I have no problem with getting creative in the routing of my guy lines in areas where roots, trees, or rocks call for a creative set up.  I even set up my Duplex on those wooden platforms that are found in various places along the AT.  However getting creative takes time and it can be very frustrating after a 25 mile day or during a downpour to juggle the guy line positions.  For this reason I am biting the 10 oz weight penalty to make the Duplex “freestanding”.  I prefer using the trekking pole method but will use the flex poles in challenging camping areas.  You can also modify the width of the tent to squeeze it into an area that would be too narrow for a Duplex.
II also played around with rigging up by Zpacks rain poncho in the windward vestibule to block frigid winds or splashback from hard rains.  I had to do this during a night of 30 mph 25 degree winds that I encountered on the Foothills Trail in January.  I found out in 2019 that the wind blows in and sucks the heat out of my sleeping bag. This gave me the choice of lowering the tent which would lead to less air flow and increased condensation which could make my down bag useless or wake up shivering every couple of hours.  
I’m still using my 2015 Zpacks 20 degree sleeping bag with a silk liner to keep the inside of the bag somewhat free from my hiker trash filth.  I discovered that on really cold (19 degree) nights If I placed my sleeping bag inside the liner my bag would keep me much warmer.  I found that this trick also works to keep condensation off the footbox of my sleeping bag.  I washed my sleeping bag this week and it lofts just like it did when it was new.",,View Entry,"Mar 17, Wed",0
Silver Streak,https://www.trailjournals.com//journal/entry/633384,"Why am I going stove less this year. I don't feel like heating up my dinners after a long hiking day.  I also save about 1 pound (cook set + fuel canister). I use a Talenti Ice Cream jar for cold soaking my meals. I cold soaked my breakfast in 2019 and it worked well This year I'm going to cold soak my dinners.  The chili bean mix requires about 45 minutes to cold soak.  The refried beans and couscous take about 15 minutes.The table includes my recipes and caloric content.  I practiced hiking with these meals during my Foothills Trail YoYo in January.  I didn't cold soak my dinners then because the days were short and the temperatures dropped into the low 30s by dinner time.     
  
 Cal
 Weight (oz)
   Bar
 Kind or Larabar
 210
 1.3
   Breakfast
 ½ cup oats, ¼ cup Nido, pinch raisins, ¼ cup walnuts 2.5 tbsp. chia
 714
 5.7
   Snack
 1/3 cup (each) almonds, walnuts, misc. trail mix, pinch coconut flakes, 1 tbsp. coco nibs, 3 dates
 764
 6.5
   Lunch
 1 scoop chocolate p-nut butter Amazing Grass Protein Supperfood, 2 tsps chia, 1 instant oatmeal pack
 476
 4
    
 Total
 2164
 17.5
   Dinners
  
  
  
   1
 1cup Bear Creek Chili mix, ¾ cup instant potato. Note: the chili mix is too salty for my taste but I will probably need the salt to replace salt lost during the day. 560
 5    2
 1 cup Santa Fe Vegetarian Refried pinto beans (or black beans), ½ cup couscous, 2 tbsp cheese powder
 650
 7
   3
 1cup Bear Creek Chili mix and either ¾ cup instant potato or 1 pack of ramen
 485
 4.1
 
 

   Total w/ Dinner
 Cals
 weight
   1.
 2724
 22.5
   2
 2814
 24.5
   3
 2649
 21.6",,View Entry,"Mar 18, Thu",0
Silver Streak,https://www.trailjournals.com//journal/entry/633389,"The table below includes the addresses where I will send each of my resupply boxes. All of the mail drops are at locations within 1 mile of the trail.  Page numbers correspond to the 2021 AWOL guide. I know that conventional wisdom tells you that resupply boxes are not necessary on the trail or that you will get sick of the food in your boxes. I'm doing mail drops because it makes Nero resupply days less stressful.  I won't have to hitch or get a shuttle into a town and then have to walk up and down the grocery aisle looking for acceptable food.  Then I will have to spend time repackaging the food.  Minimart food is too expensive.  
    
 Box/resupply Location
   0
 Amicalola Falls State Park (Springer Mountain), GA
   1
 Hostel Around the Bend Dicks Creek Gap, GA  mile 70
   2
 Fontana Village
ATTN: Front Desk, 300 Woods Dr, Fontana Dam, NC 28733
 
   3 P. 41
 Hostel at Laughing Heart Lodge. 289 NW Hwy 25/70
Hot Springs, NC 28743
 
   4 p.41
 Uncle Johnny’s Nolichucky Hostel 151 River Road
 Erwin, TN 37650
   5 p. 50 p.55
 Boots Off Hostel 142 Shook Branch Rd
Hampton, TN 37658
   6  Broken Fiddle Hostel
104 Damascus Drive Damascus, VA, VA 24236
 
   7
p.61
 Relax Inn
7253 Lee Hwy
Rural Retreat, VA  24368
Please hold for AT hiker Rick James
ETA: _______________________
 
   8
p.68
 Woods Hole Hostel 3696 Sugar Run Rd
Pearisburg, VA  24134
Please hold for AT hiker Rick James
ETA: _______________________
 
 
 

   9
p 102
 Mountain Home 3471 Remount Rd
Front Royal, VA  22630
Please hold for AT hiker Rick James
ETA: _______________________
 
   10
 Harpers Ferry ATC. Or
Quality Inn
P.O/ Box 980
Harpers Ferry, WV  25425
Please hold for AT hiker Rick James
ETA: _______________________
 
        Or only if open
AT Hiker Rick James,
c/o Appalachian Trail Conservancy,
P.O. Box 807
Harpers Ferry, WV 25425
ETA: ____
   11 p114
 Ironmasters Mansion Hostel
AT Museum
1212 Pine Grove Road
Gardners, PA 17324-9078
Please hold for AT hiker Rick James
ETA: _______________________
 
   12
P 121
 Kind of Outdoorsy Outfitters 9 S. Market St., Duncannon, PA  17020
Please hold for AT hiker Rick James
ETA: _______________________
 
   13
p. 143
 Mohican Outdoor Center 50 Camp Mohican Road Blairstown, NJ 07825
Please hold for AT hiker Rick James
ETA: _______________________
 
   14 p156
 Native Landscapes & Garden
991 Route 22
Pawling, NY 12564
Please hold for AT hiker Rick James
ETA: _______________________
 
   15
P195
 Hikers Welcome Hostel
PO Box 25, Glencliff, NH 03238
Please hold for AT hiker Rick James
ETA: _______________________
 
 
 
   16
p. 205
 
 AMC Visitor Center
c/o Front Desk
PO Box 298
Gorham, NH 03581
Please hold for AT hiker Rick James
ETA: _______________________
 
   17
p 203
 Rick James
Hold for A.T. Rick James, ETA: ­­­______________
c/o Rattle River Lodge & Hostel
592 State Route 2
Shelburne, NH 03581
 
 
   18
p.214
 The Hiker Hut 2 Pine Rd
Sandy River Plantation, ME 04970.
Please hold for AT hiker Rick James
ETA: _______________________
 
   19
p. 226
 Shaw’s Hiker Hostel PO Box 72  Monson, ME 04464
Please hold for AT hiker Rick James
ETA: _______________________
 
    
 Abol Bridge, ME
    
 Summit day",,View Entry,"Mar 18, Thu",0
Silver Streak,https://www.trailjournals.com//journal/entry/633525,"Yesterday we drove 5.5 hours from Charleston, SC to Amicalola Falls State park where the famous Archway to the Appalachian Trail is located. We spent the night at the lodge and enjoyed our first sit down in a restaurant meal since the pandemic shutdown everyones normal lives. 
This morning I checked in with the AT register and I was hiker # 965. Nancy and I got our pictures taken by the arch and we started hiking around 9:40. The morning temperature was in the upper 30s and it was breezy. Perfect hiking weather. 
The hike up the falls is beautiful. The path up is a mixture of trail, road, and wooden steps. The hike definitely gets your heart rate up but by AT standards it’s not that bad. 
Once you reach the top of the falls you enter the woods and can start enjoying the serenity of hiking in nature. 
The trail from the arch to Spinger Mountain is 8.8 miles.  Once you leave the falls the trail gradually climbs up to Springer. The trail is nicely graded with only a few short steep sections. You basically climb up to a ridge line follow the ridge for awhile and then climb again. You repeat this pattern until you get to Springer. 
Luckily it was a cool day because there wasn’t much water available on the trail. We stopped to get water at the spring by Black Gap Shelter. The spring was supposed to be 0.1 miles off trail but it seemed a lot longer. The spring was flowing great and it was a perfect place for a snack break. 
We made it to Springer Mountain just before 3pm and it was packed with day hikers. We continued on another 0.2 miles to camp in the Springer Mountain Shelter camping area. We were the first ones there and had our pick of the campsites. 
We set up camp and headed down the trail to get water. We were fortunate enough to see a beautiful garter snake by the bear box. The water source was flowing great. We enjoyed a juicy grapefruit that Nancy hiked in for us. 
Tomorrow morning we will hike back to Springer Mountain and I will touch the first blaze. Nancy will hike back to the car and I will head 2193 miles north.  
Hopefully I will remain upright and headed in the right direction. 
Happy trails 
You should be able to see my Inreach location maps by using the location tab. 


Happy Trails, Silver Streak
Note: I’m finishing the last 346 miles that I have left from my 2019 thru hike attempt. The mileage includes a week that I hiked from Springer to the NOC.",,View Entry,"Mar 20, Sat",0
Silver Streak,https://www.trailjournals.com//journal/entry/633569,"AT day 1
19 miles to Ramrock Mountain 
Last night was cold, my watch read 35 degrees this morning.  The wind was blowing all night long. I typically find it hard to get a sound sleep the first few nights of a backpacking trip. 
We both got up about 7:15  to the sounds of birds chirping. 
We left camp around 830 or so and I hiked back to Springer Mountain so I could touch the first blaze and officially start my 2021 thru hike. 
It was nice to have nice weather so Nancy and I could have time to hug and say goodbye for 4 months. In 2019 it was raining and our goodbyes were rushed. I headed north around 9:00 am and Nancy headed back to Amicalola park. 
Heading down from Springer was easy hiking on a nice grade but I had to be careful of my foot placement because the trail had many sections of rocks, roots and slabs. One of my goals is to stay upright and not get injured. There were also a lot of muddy sections that you could carefully rock hop across. 
When I got to the Springer Mountain parking lot it was kind of confusing because there were several trails to choose from but no white blaze on a tree.  Another goal is to keep heading in the right direction so I was going to check the Guthook App but a ridge runner was there scattering rocks from an illegal firepit and pointed me in the right direction. 
Once I left the parking lot the trail became a wonderful smooth trail surrounded by the sights, sounds and smells of the forest. 
The Georgia Appalachian Trail Club does a great job maintaining the trail. 
Eventually the trail flattens out and it follows streams through a rhododendron lined path. It’s very enjoyable to hike in a green tunnel while being serenaded by the sound of cool mountain water cascading down a stream. 
I took a break around 10:30 to get water from the Three Forks River next to a bridge. The trail follows this river for quite a while and the river corridor has an abundance of campsites. 
One of the lessons that I learned from my 2019 AT hike was that everything should be kept in the same place at all times.  During my water stop I was going to mix my protein powder, chia seeds and oatmeal shake. I couldn’t find the funnel that I made to pour the ingredients into my SmartWater bottle with. I didn’t feel like exploding my pack to find it. It’s very hard to pour powder into a narrow mouth bottle. 
For some reason while I was getting water I got an music stuck in my mind.   The song was White Rabbit by Jefferson airplane What triggered that song memory I don’t know but it kept repeating over and over for a long time. 
Around 2 o’clock, as I was coming down the trail to Carvers Gap  I noticed a bunch of hikers hanging around a van. They were either waiting for a shuttle or there was trail magic going on. I couldn’t believe my luck! On my first day I was recieviy trail magic from the legendary or as she puts it, the infamous Miss Janet. I only got trail magic once on my 2019 hike. I thankfully accepted a Mountain Dew and a moon pie. I left pumped up with sugar and caffeine to power me through the next 6 miles to Ramrock Mountain. 
Ramrock Mountain is a dry camp so I stopped at the Gooch Gap  water source to get water   I needed to fill up my 2 water bottles and my 2 cold soak containers. Tonight I’m cold soaking dehydrated black beans,couscous and powdered cheese. 
I arrived at camp around 5pm. The views from the mountain are spectacular. I’m the only person camped here. I can hear owls hooting and coyotes howling. I noticed a big pile of scat by the trail. Could be from a big dog or maybe a bear. 

Tomorrow I don’t have any firm plans on how far to hike or where I’ll stop to camp. I will let my body be my guide. 
I plan on making it to Dicks Creek gap early Wednesday and taking a Nero at the Hostel Around The Bend. I sent a resupply box there. 


Happy Trails, Silver Streak
Note: I’m finishing the last 346 miles that I have left from my 2019 thru hike attempt. The mileage includes a week that I hiked from Springer to the NOC.","Springer Mountain 
",Ramrock Mountain,"Mar 21, Sun",19
Silver Streak,https://www.trailjournals.com//journal/entry/633747,"AT day 2
23.8 miles to Low Gap shelter. 
It was a long day of hiking and socializing. 
I had wonderful night on Ramrock Mountain. The sunset wasn’t anything special but the sunrise was great.  The wind was gusting and occasionally my tent fabric would bow in and hit me in the head. The coyotes were busy howling and yipping off and on.
 It was 41 degrees when I got up around 6am. I ate my cold soaked oatmeal concoction and then went out to the view point to enjoy the sunrise. I hiked out of camp around 7:30. 
Today was a great initiation for some of the difficulties the AT will throw at you, albeit on a smaller scale. There were some steep climbs, mud pits, rocks,  boulders and slabs. Some of the decents like the one going down Blood Mountain required careful foot placement and a little rock scrambling. 
My highlight of the day was taking with two of my favorite YouTube hiking vlogers. IBTAT and Feathers. They have both completed the AT and PCT. They plan on hiking the CDT this year. Feathers is going to hike it with her pet goat.  IBTAT works at Mountain Crossing outfitters in Neal Gap. I stopped there to get some snacks and water. I was hoping for ice cream but they didn’t have any. 
I also got another round of trail magic at hog pen gap. It was perfect timing because it was a hot day and I was running low on water. 
I got to Low Gap shelter around 6pm to find tent city. I was able to locate a small tent site away from most people. The problem with putting in long days is that it’s hard to find campsites when you roll in late. Another problem is getting all of the camp chores done at a decent hour. It’s 9:29 as I write this. 
I had cold soaked refried beans, cheese and ramen tonight. It was a winner. 
I called the Hostel Around The Bend to reserve a room for Wednesday. Tomorrow I hike around 23 miles to a campsite around 5 miles from Dicks Creek Gap where you walk ½ a mile to the hostel. This will give me a short hiking day on Wednesday so I can maximize my recovery time during my Nero. 


Happy Trails, Silver Streak
Note: I’m finishing the last 346 miles that I have left from my 2019 thru hike attempt. The mileage includes a week that I hiked from Springer to the NOC.","Ramrock Mountain
",Low Gap Shelter ,"Mar 22, Mon",23.80
Silver Streak,https://www.trailjournals.com//journal/entry/633748,"AT day 3
23.2 miles to Deep Gap shelter campsites.
Last night was uneventful and I didn’t check the morning temperature. 
I got up around 6am and was hiking at 7:20. The sunrise was starting and I made it up to a ridge to see another spectacular sunrise. 
The trail once again was full of good introductory AT hiker lessons. We had the same conditions as yesterday but the climbs seemed longer and steeper.
I spent most of the morning hiking with a guy called Blood Beard. He was on his last day of a shakedown hike to test his gear for his upcoming PCT thu hike. He has already completed the AT.  I enjoyed talking with him about my favorite hiking trails in the Sierra. 
We were joined for several miles by a young woman who goes by two trail names depending on who she is talking with. The PG name is Peanut because she carries two massage balls in a sack and it looks like a giant peanut.  Her other trail name is Ball Sack”. 
The last climb of the day was a long steep one up Kelly Knob. I remember from my 2019 hike that the last climb always seemed to be the hardest. 
I got to Deep Gap shelter camping area at 4:15. It was nice getting to camp early after getting to camp at 6 yesterday. I had good pickings of the tent sites.
Dinner tonight was a chili soup mix, instant potatoes and crushed Fritos. 
My body is filthy and smells like nasty socks. I noticed the stink yesterday and smelled my socks but they smelled better than the rest of me. The days have been sunny and warm. I work up a good sweat going uphill. I actually had sweat in my eyes going up Kelly Knob. 
There’s a good chance that it might rain before sunrise. I hope not. Thursday is supposed to be horrendous unless you like hiking in downpours. The hiking in rain isn’t as bad as setting up and taking down your tent in the rain. 
I only have 4 miles to hike down to Dicks Creek Gap where I will have a ⅓ mile road walk up to the hostel. I can get showered and my laundry done. They shuttle you into the nearest town for groceries or restaurants. 
The T-Mobile cell service has been poor today and yesterday. 


Happy Trails, Silver Streak
Note: I’m finishing the last 346 miles that I have left from my 2019 thru hike attempt. The mileage includes a week that I hiked from Springer to the NOC.","Low Gap Shelter 
",Deep Gap Shelter ,"Mar 23, Tue",23.20
Silver Streak,https://www.trailjournals.com//journal/entry/633768,"AT day  4
3.6 miles to Dick’s Creek Gap plus.0.6 bonus miles to the hostel. 
Last nights dinner of chili soup mix and mashed potato was not a winner. It was a good thing that I bought some Fritos from Mountain Crossings to make it more palatable. The mashed potatoes seemed to feel like a clump in my stomach and they made me dig an extra large cat hole in the morning. Luckily it had stopped raining. On the subject of poop my little bidet attachment has worked great and cuts down on the amount of toilet paper I need to use. 
The campsite that I selected was as far away from the shelter as I could get but the youngsters were having a loud good time (as they should).. Luckily they observed hiker midnight and were quiet by 9pm. 
 The rain started right on schedule at 4am. It was done raining by 6am. I always like  it when the weather cooperates with breaking down camp. 
I left camp at 7:40 and was at the hostel by 9:10. 
It was a joyful experience to clean the filthy stink off of my body.  
I had to get a hiker woman to start the washing machine for me. I thought that I had pressed all of the right buttons but I guess it didn’t like me. The washing machine did a great job cleaning what ever nasty stuff was making my clothes stink. I don’t remember ever smelling so bad in 2019, but I left a month earlier so it was a lot colder. 
The hostel shuttled everyone into town this afternoon. Some people went to a Mexican restaurant for lunch but I eat cold beans every night and wasn’t about to eat beans in town. I got a huge turkey sub, a pint of Talenti ice cream (for a new cold soak jar) and a venti caramel macchiato from Starbucks. I also got two new smart water bottles replacements. I mix hot chocolate and coffee in my bottles for breakfast and my protein shake concoction for lunch so I like to replace them whenever I can. 
Tomorrow is going to be a terrible rain event day. Thunderstorms and a flash flood watch. Most of the hikers at the hostel are going to take a zero day tomorrow. I have a schedule to keep if I want to summit on my 68th birthday so I don’t want to get behind this early in my hike by taking a zero because of rain. I guess that I will get ahead of this hiker bubble this way. I’m sure that there are plenty more hiker bubbles up ahead. 
My next stop will be the NOC in 3 days and a wake up. I should get there after a full hiking day so I’ll get a room. After that it’s 1 day and a wake up to Fontana Dam. I will stay a night in the lodge and pick up my 3rd resupply box. Then I will get to hike in the Great Smoky Mountains!  Hopefully I will have better weather this year. 


Happy Trails, Silver Streak
Note: I’m finishing the last 346 miles that I have left from my 2019 thru hike attempt. The mileage includes a week that I hiked from Springer to the NOC.","Deep Gap Shelter 
",Dick’s Creek Gap and Hostel Around the Bend,"Mar 24, Wed",3.20
