Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Star,https://www.trailjournals.com//journal/entry/630370,"Went up to the Catoctin mountain park on Sunday and my brother-in-law Bill dropped me off at the very north end of the blue trail.  I had my full pack which included food for 4 days and water.  The pack weighed out at 34 pounds.  Ouch!  I hiked 12 miles back to the Manor area campground where I set up camp.  It was a beautiful day and the hike was enjoyable.  Set up my NEMO tent and used my Jet boil stove to prepare dinner.  I spent the next hour or so unpacking the remainder of my pack and preparing the tent for nighttime.

Rain was in the forecast for Monday and it was already sprinkling in the early morning while I was having my coffee with breakfast.  I was all packed up and on the trail by 9am.  11 miles today in steady rain.  It was actually kind of pleasant out and peaceful.  A Monday and first day back to school for the local area kept the trail mostly empty.

The rain was heavy when I returned to camp.  I looked at the minute-cast for the local weather so I waited for about 15 minutes until the rain let up a bit.  But not much.  The tent was set up in under 10 minutes without too much rain getting in before I had it all set up.  Not to bad.  The miserable part was the cloths being soaking wet and finding a place to set everything including the backpack and rain jacket without getting everything else wet.  Cold dinner tonight.  Did not like having to spend the remainder of the day and night in the tent but the rain was heavy and allowed for few options.  Maybe I will be a fair-weather hiker! 

Overall, it was a good first test to see what I am getting myself into.  I will look over my list and see want I can eliminate from the pack.  One item I will remove will be the sleeping bag liner.  I will initially place it in my bounce box in case I need it down the trail.  My current base weight (without food/water) is 26 lbs.  I plan to go out again in a couple weeks on the AT.",,View Entry,"Sep 03, Thu",0
Star,https://www.trailjournals.com//journal/entry/630725,"My friend Gary dropped me off by Pen Mar Park by the Maryland/PA border Monday morning.  I wanted to do one last shakedown before I start my trip.  My pack weight is still about the same.  While I removed the sleeping bag liner from last time I added rain pants and a wool hat.  I needed the wool hat overnight.  The lows dropped to the mid 40’s both nights.  I was comfortable sleeping in just shorts and a t-shirt inside my NEMO Forte sleeping bag but the wool cap helped keep me warm.  I thought I could place my gloves in the bounce box that I will mail down the trail to myself but I may just take them with me from the start.  Hard to open the bear vault in the morning with cold fingers!

The weather was beautiful for hiking and similar to what I should experience in early October.  I hiked 16 miles the first day and camped at Annapolis Rocks.  Once I set up the tent and laid out everything for the evening I walked down to the overlook and ate dinner.  In the morning I made my breakfast and coffee.  My bear vault doubles as my camp stool.  There was a spring close by to re-supply my water using my Sawyer water filter.  After packing up I was on my way by 9am.

I hiked 14 miles on day 2.  This was a mistake.  Blisters started to form.  I could feel “hot spots” on my feet at the end of day 1 but no visible blisters.  I should have treated these areas before I started on day 2.  I did not until I was about 5 miles out on day 2.  By then it was to late.  Camped at Crampton Gap Shelter and Gary picked me up in the morning.  The 2-night shakedown went well overall.  Just need to work on the blisters.

Lessons learned……

I need to start off with just 10-13 miles per day

Carry mole skin and apply as soon as I feel a “hot spot” on my foot

Look ahead via maps or Gut Hook App to recognize the water sources and ask fellow hikers if the water is actually flowing.  When I arrived at Crampton Gap Shelter the evening of day 2 the water source was dry.  If I was aware of this sooner I would have filled up prior to the site.  I had to hike another half mile to the Gathland park area to fill up with water and then back again to the campsite.  Did not help the blisters!",,View Entry,"Sep 18, Fri",0
Star,https://www.trailjournals.com//journal/entry/631056,"11.5 miles today

Harpers Ferry, WV to Blackburn Trail Center
Day 1 of my hike happens to coincide with day 1 of retirement!  I have been talking about hiking the Appalachian Trail (AT) to my wife and daughter for at least 20 years.  I spent my whole adult life on the government fiscal calendar (October 1-September 30), so I thought I would try to complete the AT this fiscal year.  I am starting at Harpers Ferry, WV and heading southbound until I decide to stop.  Once I return home I will try to complete the southern half of Pennsylvania if the weather permits then continue in the spring.  I will be considered a ""flip-flop"" hiker since I am not starting from the Southern or Northern terminus.

My friend Ben dropped me off today by the bridge over the Shenandoah river.  Other than the climb out of Harpers Ferry to the ridge the hike was pretty easy and uneventful.  I Saw plenty of deer and a fox today.  I'm staying here outside the Blackburn Trail Center this evening that is maintained by the Potomac Appalachian Trail club (PATC) which I am also a member.  The PATC maintains the trails from Shenandoah National Park all the way up through Boiling Springs PA on the Appalachian Trail and also many of the side trails. I met Steve, a trail maintainer, and Moxie, the caretaker.  Both were very friendly and helpful. Moxie provided with me with my first ""trail magic"" (a.k.a. an act of kindness) this evening when she gave me a warm blueberry pastry dessert.

While the center is not open Moxie is allowing me to Cowboy camp this evening on the front porch of one of the small cabins. The front porch looks to be covered so I should be okay with just my mattress pad and sleeping bag. Expecting rain tonight","Harper's Ferry, WV
",Blackburn Trail Center,"Oct 01, Thu",11.50
Star,https://www.trailjournals.com//journal/entry/631099,"The quasi cowboy camping on the front porch worked out ok last night. It rained all night but I did not get wet. One less day of carting a wet tent!

Started off about 8am.  Hit the area of the trail called the roller coaster after 3 miles. It is about 14 miles long so still some to do tomorrow.  It was fairly difficult.  Up’s and downs like a roller coaster and very rocky.  Camping in tent tonight at a campsite along the trail. No shelter here. A father and five year old daughter camping in the same small area.  It reminds me of when my daughter and I use to camp.

No rain expected over the next 2 days.  Planning about 13 miles tomorrow …. Similar to today.","Blackburn Trail Center
",Campsite near Buzzard Hill,"Oct 02, Fri",12.20
Star,https://www.trailjournals.com//journal/entry/631134,"It was a beautiful evening yesterday followed with a full moon at night.  I had spaghetti for dinner, then set up camp and went to bed.  One could hear the coyotes howl a little after midnight up on top of the mountain.  I was down in the valley.  I got started a little after 8 today.  Found a nice little spring waterfall area to re-supply on water. Finished the roller coaster after about 4 miles so I guess it's just back to regular “hills” now. I like Knoebel’s Grove amusement park roller coasters better.

The big difference between the roller coaster area and the area I’m covering now is that the roller coaster area was covered with rocks.  Perhaps they should have called it the “Rock and Roller coaster”. I'll be with you for the next two thousand miles!

Also there was a heck of a lot more people out hiking today. It took me half the day today to realize that it's a Saturday.  Only three days into retirement and already forgot what day of the week. I guess that's a good thing.  I will stay at the whiskey Hollow shelter this evening.","Campsite near Buzzard Hill
",Whiskey Hollow Shelter,"Oct 03, Sat",13.30
Star,https://www.trailjournals.com//journal/entry/631194,"I was tent surfing most of the evening last night. I kept sliding to the bottom of my tent on my mattress and sleeping bag. I could not find level ground so I was on a slant. I went without the rain cover because it was such a beautiful evening. I could hear the coyotes howling again last evening … pretty much still a full moon.

Fifteen miles for me today, but overall not too difficult of terrain.  My legs are tired …. probably a combination of the last 4 days. The biggest challenge today was collecting water.  I had to scoop from some of the streams into my filter container. The water seems a little shaky, but I'm still standing.

I’m still monitoring a few blisters and hot spots on my feet.  I placed Mole skin and/or blister Band-Aids on, but they're off halfway through the day because my feet are sweating so much.  I will continue to work in that area.

I’m staying at the mountain cabin hostile the next two nights … Giving myself a little reward with a 0 day tomorrow.  I will not hike and will spend time re supplying. 

They call it a cabin but it's actually a beautiful old historic home.  Portions of it date from the late 1700 s.   I am in the basement in one of those areas.  Lisa and Scott, who own the site, couldn't be nicer.  At least 7 other hikers are staying here tonight. Some started from either Springer Mountain Georgia or from Katahdin, Maine … others, like me, somewhere in between.
I am dining at the Front Royal Brewery this evening.  It’s the first beer I had in 4 days. That is the longest I've gone without a drink since I was 15! Seriously! 
 Looking forward to the “zero day” tomorrow.","Whiskey Hollow Shelter
","Front Royal, VA","Oct 04, Sun",15
Star,https://www.trailjournals.com//journal/entry/631196,"Zero day today. I'm glad I did.  My legs have been really sore.  I think it was the combination of the last four days.  But, I should be good to go tomorrow morning to head into Shenandoah National Park.  Scott and Lisa here at the hostel could not be nicer. I would encourage anyone who comes to this area to stay at the hostel. For $35 I have my own private room and 1/2 bath. My laundry was all cleaned, breakfast each morning. I spend over three thousand percent higher at the Ritz-Carlton Philadelphia. And they do not do my laundry or serve me breakfast.  I may come back and move in here after I retire.","Front Royal, VA
","Front Royal, VA","Oct 05, Mon",0
Star,https://www.trailjournals.com//journal/entry/631235,"Today I entered Shenandoah national park. I climbed out of the Front Royal area at 1000 feet to over 3000 feet. The trail is well maintained and easy under foot.  Little bit tired, but overall I'm feeling pretty good. Beautiful view from the overlooks.  I spent about an hour relaxing at one of them before I descended down to the campsite area.

I set up my tent in the Gravel Spring Hut area tonight. There are four guys staying in the hut itself and about three or four campsites are set up.  I enjoyed the company of the other hikers.

I’m planning on another 13 miles tomorrow.","Front Royal, VA
",Gravel Springs Hut,"Oct 06, Tue",13.70
Star,https://www.trailjournals.com//journal/entry/631254,"I was packed up and on the trail before 8:30 this morning.  It was a very pleasant first six miles or so and I stopped at the Elkwallow Wayside.  I met up with Ghost there.  He also camped at the same site last night, and is on the trail to the same Pass Mountain hut I'm going to tonight. We had burgers French-fries and milkshakes.  Nice treat to have while out on the trail.  Filled up with water from an outside spigot.  He moved on before I did, as I decided to stay to let my feet breathe and take a longer break.

I may have taken too long of a break because the next 6 to 7 miles until I got to the Hut was very challenging.  I was wearing down on the last hill.  It might just be accumulation of a couple days in a row.

It was windy, but warm today.  Got into the low 70s, but the wind was gusting over 30 miles per hour.  Set up tent at the campsite, rather than using the hut.  Wind seems to be dying down.

Only about 11 or 12 miles tomorrow and staying at the Skyland Lodge for the next two nights … looking forward to a shower and a nice meal.","Gravel Springs Hut
",Pass Mountain Hut,"Oct 07, Wed",13.10
Star,https://www.trailjournals.com//journal/entry/631293,"Another beautiful day today a couple of wonderful overlooks including views from Little Stoney man.  I stopped halfway at a picnic area to take a break. Once I was preparing to leave I saw a couple having a picnic and I had to walk close by there to throw my trash away.  But I walked “really” close by.  We engaged in conversation and they offered me food.  Now let the record reflect that normally one would say “no thank you”, you don't have to do that.  But as a hiker, who is starting to get very hungry, I said yes before he finished offering me the food.  Before I knew it, I was sitting at the picnic table with them and eating a salami sandwich, their special oatmeal cookies with apricot, vegetable, chips , soda, water and apple pie!  …. also 2 apples.  I am beginning to get hiker hungry early afternoon. I am burning 4500 calories a day, but could only carry about 2,000 daily due to weight reasons.

The couple was from Raleigh Durham, and I am very grateful for their “Trail magic”.  I must admit I did do what is called ""Yogi-ing"" in in the hiking world.  Think Yogi Bear. It is where a hiker may be extra friendly in a parking lot trying to get a ride from someone into town or food if possible.   Anyway the couple made my day and I sincerely appreciated it.","Pass Mountain Hut
",Skyland Lodge,"Oct 08, Thu",10.80
