Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Summah,https://www.trailjournals.com//journal/entry/658471,,"CT Rt. 41 Undermountain Rd 1502.8
",Race Brook Falls 1514.0,"Jun 21, Sun",11.20
Summah,https://www.trailjournals.com//journal/entry/658472,,"Race Brook falls 1514.0
",Elbow Trail 1516.5,"Jun 22, Mon",3.80
Summah,https://www.trailjournals.com//journal/entry/658473,,"MA Rt 41 1520.2
",Tom Leonard Shelter 1530.2,"Sep 05, Sat",10
Summah,https://www.trailjournals.com//journal/entry/658474,,"Tom Leonard Shelter 1543.4
",Jerusalem Rd Tyringham cobble 1543.4,"Sep 06, Sun",13.20
Summah,https://www.trailjournals.com//journal/entry/658486,,"Caratunk Trailhead 2041.8
",Moxie Bald Pond Stealth site 2053.8,"Sep 30, Wed",12
Summah,https://www.trailjournals.com//journal/entry/658487,,"Moxie Bald Stealth sit 2053.8
",Horsehoe Canyon Lean To 2069.5,"Oct 01, Thu",15.70
Summah,https://www.trailjournals.com//journal/entry/658488,,"Horseshoe Canyon Lean To 2069.5
",Phil's cabin Monson 2075.2,"Oct 02, Fri",6.20
Summah,https://www.trailjournals.com//journal/entry/658475,,"Blotz Rd 1565,3
",Outlook Ave 1582.2,"Nov 27, Fri",16.90
Summah,https://www.trailjournals.com//journal/entry/658476,,"Outlook Ave 1582.2
",Rt 2 Hiker parking 1595.6,"Nov 28, Sat",13.40
Summah,https://www.trailjournals.com//journal/entry/636761,"solo hike to catch up to SueBee
Life is good in the woods","Jerusalem RD Tyringham MA (1543.4)
",Berkshire lakeside lodge (1552.9),"Apr 03, Sat",9.50
Summah,https://www.trailjournals.com//journal/entry/636762,,"Berkshire lakeside lodge (1552.9)
",Blotz RD (1565.3),"Apr 04, Sun",12.40
Summah,https://www.trailjournals.com//journal/entry/658477,,"Hoyt Rd 1458.7
",Mt Algo shelter 1469.9,"May 29, Sat",11.20
Summah,https://www.trailjournals.com//journal/entry/658478,,"Mt Algo shelter 1469.9
",CT Rt 4 1481.3,"May 30, Sun",11.40
Summah,https://www.trailjournals.com//journal/entry/658479,,"CT Rt 4 1481.3
",Undermountain Rd 1502.9,"May 31, Mon",21.60
Summah,https://www.trailjournals.com//journal/entry/658489,,"Abol Bridge 2178.0
",Katahdin Stream Campground 2187.9,"Sep 05, Sun",9.90
Summah,https://www.trailjournals.com//journal/entry/658490,,"Katahdin Stream Campground 2187.9
",Baxter Peak 2193.1,"Sep 06, Mon",5.20
Summah,https://www.trailjournals.com//journal/entry/658480,,"South Mountain Pass Rd 1409.1
",Canopus Lake Rt 301 1425.7,"Apr 15, Fri",16.60
Summah,https://www.trailjournals.com//journal/entry/658481,,"Canopus Lake Rt 301 1425.7
",Depot Hill Rd 1442.8,"Apr 16, Sat",17.10
Summah,https://www.trailjournals.com//journal/entry/658482,,"Depot Hill Rd 1442.8
",Hoyt Rd 1459.5,"Apr 17, Sun",16.70
Summah,https://www.trailjournals.com//journal/entry/658483,,"State Line Trail 1369.4
",Kloibers Pond Stealth campsite 1382.7,"Sep 03, Sat",13.30
Summah,https://www.trailjournals.com//journal/entry/658484,,"Kloibers Pond Stealth campsite 1382.7
",William Brien Memorial Shelter 1397.4,"Sep 04, Sun",14.70
Summah,https://www.trailjournals.com//journal/entry/658485,,"William Brien Memorial Shelter 1397.4
",South Mountain Pass Rd 1409.9,"Sep 05, Mon",12.50
Summah,https://www.trailjournals.com//journal/entry/658492,,"Liberty Spring Trailhead mile 1821.3
",Galehead Hut mile 1834.2,"Sep 26, Mon",12.90
Summah,https://www.trailjournals.com//journal/entry/658493,,"Galehead Hut mile 1834.2
",Zealand Falls Hut mile 1841.2,"Sep 27, Tue",7
Summah,https://www.trailjournals.com//journal/entry/658494,,"Zealand Falls Hut mile 1841.2
",Ripley Falls Trailhead mile 1848.6,"Sep 28, Wed",7.40
Summah,https://www.trailjournals.com//journal/entry/659325,,"Trescott Rd mile 1756.6
",Lyme-Dorchester Rd. mile 1771.6,"Oct 29, Sat",15
Summah,https://www.trailjournals.com//journal/entry/659326,,"Lyme-Dorchester Rd. mile 1771.6
",NH Route 25A mile 1785.7,"Oct 30, Sun",14.10
