Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
beavER & Backwoods Barbie,https://www.trailjournals.com//journal/entry/621157,"Six years ago, beavER and I started our adventure of section hiking. We began at Springer Mountain and with our fall hike, we should be at the Shenandoah National Park. We have been blest by meeting many thru hikers that have given us their friendship and knowledge. Now, with beavER retiring next year, he will become one of the many NOBO hikers. Lots to do! One step at a time!!!Backwoods Barbie",,View Entry,"Aug 15, Thu",0
beavER & Backwoods Barbie,https://www.trailjournals.com//journal/entry/621223,"As you follow along these journal entries, you will read many trail names. Trail names are usually given to a hiker by others, and many times will help you remember that person easily years later. A hiker might earn the trail name because of a habit, character trait, or something entertaining that happened. The first hiker I followed on trail journals was nick named “Flash”. He revealed the funny story of how he earned it and it will stick me for many seasons. My trail name of beavER was given to me by my hiking friends. This group of “friends” are guys that I owe more to than they can ever know. Through our adventures as backpackers, I have experienced a glimpse of the Lord’s Creation. My buddies call me beavER because of my affection for the skill of the beavers I saw on a hike up to Kings Peak in Utah. The capital letters “ER” highlight my trip to the Emergency Room for stitches on one of my hikes through the Smokies.",,View Entry,"Aug 16, Fri",0
beavER & Backwoods Barbie,https://www.trailjournals.com//journal/entry/621328,"My longtime friend coined the trail name “Backwoods Barbie”. When Steve said the name with his positive style and mischievous smile, I knew it was meant to be. As others hikers hear her name after we introduce ourself, it almost always is greeted with a smile. Don’t get me wrong, she earned it. On our first 3 day, 2 night back back in the Smokies, she got together her luxury items. Luxury items are what you put on your back and carry that are not must have items. She is a Hair Dresser, and had to have products to keep her hair style looking good. There was a whole bag of extras. But the icing on the cake was a table cloth. (guess who gets to carry the extras?) BWB will go into detail why the table cloth in a later entry. She was able to convince me to carry it, so what does that say about me?",,View Entry,"Aug 18, Sun",0
beavER & Backwoods Barbie,https://www.trailjournals.com//journal/entry/621396,"Backwoods Barbie, I guess that is a trail name that came too easy from my husbands friends!  Look, a girl still has to look good after a week on the trail! Seriously though, I have learned many lessons over the last six years of hiking. Many of them from the awesome hikers we have been blessed to meet. Boda, shades, parquet, two-sticks, ghost hiker, shock top, gypsy, gorp gobbler, and many others. My pack has gotten lighter, my fears of the night better?and seeing the trail as one step at a time.",,View Entry,"Aug 19, Mon",0
beavER & Backwoods Barbie,https://www.trailjournals.com//journal/entry/621521,"I know that explaining “why” will not be easy. How do you make sense of a six month journey? On foot, through 14 states, almost 2200 miles, sleeping mostly in the forest, with the bears, to your 6 year old grandson? All he sees is a void that is coming in his young life. Hikers I have followed over the years have journaled the statement, “the hike is 90% mental.” I scoffed at the statement a few years ago. But even before I take the first step, I already know that it will be so. Over the last 7 years I have had the pleasure of backpacking with a wonderful group of friends. We have hiked in Utah, N. Carolina, Virginia, Kentucky, and Tennessee. We call our little group “Mad Dogs in the Sun.” I owe much of my fondness of backpacking to our fearless leader “Yo-Yo”. He invited me to the trail 8 years ago, and I have not looked back. What great memories of my first steps on the trail with a 70+ lb. external frame pack bulging at the seams. He was a great teacher as he let me learn the hard way. I probably didn’t need the spare pair of blue jeans, or the 9 lbs. of hatchet, hunting knife, leather holding case that also had a sharpening stone. I had so much stuff when I started the hike that I tied my 80’s 5 lb. sleeping bag on the top of the pack. It was because of this bag that I learned my greatest lesson from my Master Sensei Yo-Yo. On a steep downhill trail portion, my dry rotted strings that held the sleeping bag gave up the ghost. Imagine my surprise to see the rolling bag pass me and begin to overtake my leader a few steps in front. To my dismay, he did not reach for the bag, instead he pulled his Nikon from his chest strap and clicked away at the event unfolding before his eyes. That lesson is burnt into my pea brain as if branded with a red hot poker. “Document first, ask questions later!”Terry, you are my Brother.",,View Entry,"Aug 21, Wed",0
beavER & Backwoods Barbie,https://www.trailjournals.com//journal/entry/626805,".... It is coming down to the wire as we have only 10 short action packed days left before we begin our epic adventure. I will finish up my 31 years at my job. I need to dodge the Coronavirus. I need to pray the stock market does not go belly up.... and hope my brain does not explode with all the mental challenges. Every time I start to waver on my start plans, I just have to spend 30 minutes at my work areas to know it is time. Anyone that has hiked and lived through the preparation, my hat is off to you. If you want to pass on any advice, I will gladly listen. I am starting to get the feeling that it is here! BeavER.",,View Entry,"Mar 11, Wed",0
beavER & Backwoods Barbie,https://www.trailjournals.com//journal/entry/627152,"Can it get any more crazy? If my 401K drops much more, I will have to live in my tent much longer than 6 months. We have finished all the food drops and mailed the ones that have to be shipped before we head south. I have labeled and sorted boxes with food and resupplies for about a week to finish up. Backwoods and I have our backpacks ready for our push off from Amicalola Falls State Park. I can’t wait to see it. I will call again after I post to confirm everything is still open. We had the grandsons over the last two nights. Last night my son held movie night for the whole family. He let us know about the one good thing about COVID-19: Star Wars episode IX was released early... yeah!!! He was the only one in the family that had already seen it. He set up the projector with surround sound speakers. Backwoods made popcorn, it was better that the theater. This afternoon, I played army with the boys and a quick game of horse (basketball). I was trying to lose on purpose, but the oldest, 6 year old Thomas, said “Papaw, you have to shoot your best shot”. My daughter and son-in-law came to pick them up. Thomas wanted to give me a hour long hug. It lasted about 10 seconds.   I hope to see them in about 3 weeks in Gatlinburg. I have never been so prepared, and so not ready, for any thing in my life.",,View Entry,"Mar 19, Thu",0
beavER & Backwoods Barbie,https://www.trailjournals.com//journal/entry/627188,"We made it to the Falls and approach trail. We are ready to start in the morning. Looks like the rain should stop by morning and we will have one day to hike before it returns. Backwoods and I hiked down the 600 steps past the waterfall to get to the famous arch at the beginning of the approach trail. I was confused by the movie “A Walk in the Woods”. In the movie it seems as if Bryson and Katz come straight from the back of the lodge to start the trail. It is a long way down in reality. After seeing the arch and getting pic, we hiked back up the 600 steps to get back to the lodge. I was all ready soaked with sweat. Tomorrow we go. beavER.",,View Entry,"Mar 20, Fri",0
beavER & Backwoods Barbie,https://www.trailjournals.com//journal/entry/627253,"Backwoods Barbie and I started in a mist this morning from above the falls. Weather turned nice, about 55 degrees. Great way to start out. When we climbed the 8 miles up to Springer, we found it cover in day hikers. Hiking seems to be the thing to do with the kids since it was the weekend. There is a couple of large rocks with plaques noting that Springer is the Southern terminus. We noticed just a few thru- hikers as we traveled north. Many have postponed their hikes because of all the concerns. We found a great campsite by a rolling creek. A hiker with the trail name Buddy stopped by to eat his dinner then he continued on to find a site with 2 close trees for his hammock. We had a total of 11.8 miles today but we only count the ones past Springer.","Amicalola Falls State Park Resort
",Stover Creek Foot Bridge past Springer Mtn.,"Mar 21, Sat",0
beavER & Backwoods Barbie,https://www.trailjournals.com//journal/entry/627262,"We broke camp after a good night sleep. The creek beside us made for a soothing surrounding. The day was overcast mostly but not bad temperature for hiking. We traveled over familiar sites that reminded me of our hike here about 6 years ago. Best spot of the day was a short side trail to Long Creek Falls. We decided to head to Gooch Mtn. Shelter to stay out of the rain over night. That was a good call as a very heavy rain hit us over night. Shelter is great as it has an upstairs loft. There was about 12 thru hikers at the shelter as it is a main stopping spot. Met some interesting hikers. Odyssey from Vegas, a 31 year old hiking with support from her friend for the first 30 days. He is driving the backroads and meeting up with her ever chance he can. Another person is Burrito, a ex military medic that did 2 tours in Middle East. He was currently working as a fisherman in Maine. Backwoods ask him if was as dangerous as they show on TV. He told her about some of the near death experiences. As we hiked, we stopped at a shelter to take a short break and I turned my phone on to call my daughter. After I hung up, my phone rang and it was Jen, one of the owners of the Hike Inn. I had sent a resupply box to them as I planned to stay with them before heading into the smokies. Jen let me know they are being forced to shut down, she is mailing my resupply back to my house. I will have to have to come up with another plan to resupply. Backwoods was able to build a fire at the shelter we spent the night at. It helped to break the mood and loosen up everyone to warm themselves up. Only cost me one half of my box of waterproof matches. It was a good day.- beavER","Stover Creek Foot Bridge past Springer Mtn.
",Gooch Mtn. Shelter,"Mar 22, Sun",0
