Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Bilbo,https://www.trailjournals.com//journal/entry/647035,"The first time I saw the Appalachian Trail was on a visit to Great Smokey Mountains NP.  I had stopped at Newfound Gap to use the bathroom there and the trail ran practically right in front of it.  There were a few hikers there with backpacks, resting beside the trail and a trail sign that had I don't know how many arrows.  One said Mt Katadyn, ME and I don't remember how many miles....I guess close to 2000 miles away when I look at my guide book now.  I struck up a conversation with one of the hikers and he told me that he was heading to Maine...all the way.  I looked back at the sign and it just blew my mind that this one trail would go all the way to Maine.  I was reminded of a quote from Bilbo Baggins in the Lord of the Rings...as told by Frodo, I believe.  He was talking about comparing roads to rivers and said something to the effect of, 'It's a strange business, Frodo, going out your front door.  You step onto the road and if you don't keep your feet, there's no telling where you might get swept off to.' Roads in middle earth to me looked just like this trail when I looked up at it in the direction of Maine....I could get swept all the way to Maine!  I think I was hooked then and there and didn't even know it yet.  Within a couple years of that, I started doing some small backpacking trips of no more than 2-6 days....Guadalupe Mtns, the Inca Trail, Mt Rainier, Grand Tetons, Glacier, and Grand Canyon...along with a few weekend overnights in the north GA mountains.  Nothing up to the scale of an AT Thru Hike, but it was always in the back of my mind gnawing at me.  Then one night at work a coworker of mine brought a HS friend of his in to tour our company's data center and he introduced me.  The 2 of them were going to hike up to Springer Mtn the next day, camp overnight, and then his friend was going to start a thru hike the day after that.  That was it for me...all I could think of was if this guy could do it, so could I.  Not that he was out of shape or anything, he just wasn't much different from me.  My vision of what I thru hiker was had been influenced severely by the younger hikers I saw that day at Newfound Gap, so until I saw this guy I thought to do something that monumental, you had to have young legs and endurance.  At that point the spark became a burning ember and a thru hike was part of my bucket list every since.
This hike/adventure is dedicated to my mom, who unfortunately passed away last Aug and will be unable to see me attempt this hike.  She had always been my biggest supporter and was excited that I was finally going to attempt this after talking to her about it for so many years.  She was also very excited to be able to follow along remotely and provide any support she could from a distance, but I'll be carrying a part of her with me and she will always be in my thoughts, encouraging me and urging me onward.
I'm keeping this journal (and promise I'll try to be diligent with updating it) for my own posterity and so that friends and family can follow along and know that I'm still alive and kicking, but I welcome anyone that wants to follow along....I'll try not to bore you to death.  ;)
Good luck to all the other thru hikers out there already and who have yet to launch.  Stay safe and let's all look out for each other.
Bilbo out!


Bilbo",,View Entry,"Feb 17, Thu",0
Bilbo,https://www.trailjournals.com//journal/entry/647036,"I decided to do a field test/gear shakedown prior to my start date and chose the AT Approach Trail.  I was going to skip the Approach Trail on my launch date due to the fact that the friends of mine (Mike and Allen) that will be dropping me off had expressed an interest in hiking with me a bit.  I figured going to the Springer Mtn access at USFS 42 and backtracking the 1 mile to the top of Springer was the easiest way to do that and give them a nice hike to accompany me to the start....weather permitting of course.  :)  Soooo, I wanted to be able to say I did the Approach Trail and the AT for all those purists out there that think leaving it off is not a true hike.  ;)  Aimed from Sat, 2/19....hike up to Black Gap shelter to camp and continue on to the top of Springer Mtn and then come all the way back down.",,View Entry,"Feb 18, Fri",0
Bilbo,https://www.trailjournals.com//journal/entry/647043,"Sat, 2/19 - Started off from the visitors center at approx 1115.  Walked through the arch and headed up to the falls (gradual 400+ ft incline).  From the base of the falls I took the 604 steps up (I only counted 601, but I may have been delirious at some point) to the top of the falls and then on to the lodge.  The outer jacket came off at the first stairs landing.  Was a bit disappointed that it took me over an hour to do that 1.2 miles total.  Missed the turn off and hiked through the parking lot and up to the lodge.  Best way to lose a wilderness trail is when it enters and exits civilization.  LOL  After circling the lodge parking lot and not finding a reentrance of the trail, I had to sheepishly enter the lodge to ask for directions.  Back down the road to second crosswalk and take a right and you're back on the trail...can't miss it. Too Late!  I did already!  Rest of the trail up to Black Gap Shelter was 2 or 3 long sloping inclines, only had to stop to catch my breath 2 or 3 times on each....not like every other landing on the falls stairs.  Also had a couple pretty gnarly downhill sections.  One was very steep and muddy into Nimblewill Gap (mile marker 6.0).  The trail there looked like a kayaking course that had been recently drained of water.  A lot of rock shelves with long step downs to muddy, slick surfaces.  It's a miracle I didn't take a fall here...Thank You trekking poles!!  I stopped to have lunch at mile marker 3.2 (mm3.2) where the trail crosses High Shoals Road.  A small amount of ice on the trail when water crossed a shaded part of the trail during the last mile and a half or so going into Black Gap Shelter.  Overall great weather though...chilly, but sunny.  Didn't need the outer jacket since removing it at the falls.  Slight breeze depending on what side of any particular mountain you were on.  Got to camp around 1630.  Set up my tent...rather pourly....and went down a STEEP side trail across the Approach Trail from the camp site to get water.  Note to self...if there's a convenient water source on the trail close to your camp site for the night....take the time to stop and fill up there!  Unless you KNOW the water source at the camp does not require you to be a mountain goat to get it.  Had a bite to eat after retrieving water and was in my tent crawling into my sleeping bag around 7pm as the sun went down and the temp began dropping.  Had to get up at 9pm, 11pm and again at 4am to pee.  Another side note...pick a tent site on the fringe of the camp area so that if you have to pee, you can get out and do your business away from the rest of the campers.  Mine was right in the middle with either a tent or the shelter on every side of me, so I had to take the full walk to the privy each time.  Didn't sleep all that well.  Wind was really howling up on the mountain tops and sounded like Hartsfield airport at mid day.  Luckily only a slight breeze ever got down into the gap.  Wind let up around 11 and everything go very still...that's when the owl started hooting.  All in all the wild sounds of nature are very soothing though...my problem sleeping was just more being keyed up, in a new environment, and having a sleeping bag that had a draft and a pillow that kept shooting out from under my head any time I tried to roll over.  I finally realized there was a drawstring at the top of the sleeping bag/quilt that once I pulled it in the draft went away.  I also switch to using my jacket in it's stuff sack as my pillow and tossed the inflatable pillow aside.  It will not be accompanying me on the actual hike!  Full moon rose around 11pm also....or came out from behind clouds that blew away, but either way it was just gorgeous!  I found that my tent lets a LOT of light filter in!  Anyway, was finally able to drift off and had a few catnaps through the night, but probably no more than 4 hours sleep.  Will take some getting used to to sleep like that, but when you're tired enough, I can sleep on a boulder.  Legs were also very sore and cramping a bit...a fact I found out each time I got up to go pee.  I didn't pack my ibuprofen, so that will be corrected next time.
Sun, 2/20 - Actually woke up around 0715 and laid in my bag only about 15 mins before deciding to go ahead and get up.  Retrieved my food bag and had a bit of breakfast, then packed up my stuff, took down the tent and stored my pack in the bear locker...no sense in carrying it all the way to the top of Springer if I was just going to turn around and come back by here in an hour or 2.  Black Gap Shelter was at 7.3mm on the Approach Trail and top of Springer is at 8.8mm, so 1.5 miles up with just me and my poles, I was able to do that in about 30-40 mins.  Hung around on top for the departure/start of a gentleman named Ron (Trail name possibly Pap) and Gavin (Trail name possibly Yardsale).  Neither had decided on a name.  Ron said Pap might be his cause that's what his grandkids call him, and Gavin got the Yardsale tag due to his pack items being strewn across the shelter floor like he was having a yardsale.  2 other gentlemen were up there...one named Pat, who was just leaving when I arrived and another guy who's name I never got that just arrived as I was leaving.  Took pics of/for each other in front of the first blazes and plaque signifying the start.  Wished them well and good health and then headed back down.  Retrieved my pack and set off to head back down the 7.3 miles at approx 1145.  Legs really started feeling the affects of the day before and probably lack of enough sleep within the first mile or 2.  Just very leg weary and the mostly downhill pounding took it out of me, but I trudged on...took more rests than the day before and got back to the car at about 6pm.  I DID run out of water with about 4 miles to go, but stopped at a stream and filled my bottle back up with about 1.5 miles left.  I was hoping and praying some kind soul would offer me a ride to the bottom when I crossed the road and parking lots for the lodge and top of the falls, but alas, no...so had to pound my way down the 601 steps (I KNOW I counted them right this time...not 604!).  Low and behold after I had passed the start of the Approach Trail and was heading for my car, THEN someone pulled up beside me and asked if I was ok...presumably to give me lift.  No, my car is just around the corner here now (Where were you a mile ago!?)  
All in all, an endeavor that was well worth the time and effort.  I learned some things about my equipment and myself and what kind of pace I can expect starting off anyway.  It wasn't what I was hoping for, but then the hope is that it will get better as my legs and body get more used to it.  Not going to lie, there were a few discouraging moments coming down with the weary legs that I really was doubting myself.  I needed to get back in the car and then realize that despite weary legs I did 10.3 trail miles on my second day.  7.3 on my first day.  Total elevation gain of 1982 ft in 8.8 miles.  And of course back down the same elevation and 8.8 miles to the bottom.  I was and am still not planning to do more than 8.3 miles per day my first 4 days into Neel Gap for my first resupply.  I also found out this weekend while up here that the hostel at Neel Gap is closed this year as a COVID precaution.  Was hoping to bag one of those bunks on the way, but now will have to seek other means.  Good info to know now.  :)
Now just have to adjust my gear a bit...practice setting up my tent a couple times, get the homefront in order and I should be set to launch on 3/27.  :)
Bilbo out!!!


Bilbo",,View Entry,"Feb 20, Sun",0
Bilbo,https://www.trailjournals.com//journal/entry/647044,I opened a YouTube channel today to keep any videos I take along the trail so that I can keep my phone storage clear.https://www.youtube.com/channe...,,View Entry,"Feb 23, Wed",0
Bilbo,https://www.trailjournals.com//journal/entry/647143,"Here's a link to the best interactive map of the AT that I've been able to find so far.https://nps.maps.arcgis.com/ap...There's a button towards the top left to 'Turn on Layers' on the map.  I typically turn on the Centerline, Shelters, Side Trails, and Communities.  That shows of course the general trail line and a bit of topography when you zoom in, along with the shelter names that I will be calling out as I pass or camp nearby.  There's another layer to view the mileage from the southern terminus, but it kind blots out a lot of other features...but a good thing to pop up briefly once you locate where I am or where I'm going and see what the total mileage is at that point from where I started.  Hope you all enjoy and find it useful. :)",,View Entry,"Mar 01, Tue",0
Bilbo,https://www.trailjournals.com//journal/entry/647393,"Sunday, 3/13:  Official launch date is now 2 weeks away (3/27/2022).  Have made a gear change decision that I think I still need to update in my gear section here.  I've decided to completely forego the bear canister for now.  All the shelters and sounds like most campgrounds in GA at least have bear lockers and cables.  That alone is knocking a little over 2 lbs off my pack wt.  I'm going to carry a bit of extra cord and a zPacks bear bag kit and just store it in lockers or on cables when I can and hang it in a tree when those are not available.  I've also changed my mind on going stoveless.  By the time I figured up about how much the food I'm going to take is going to weigh, it seems like that completely overcomes the wt of carrying a stove, pot, and fuel.  In order to get enough calories in me, it will take a lot of heavier food to carry, that say a dehydrated meal for 2 each night that only needs a cup and a half of boiling water added.  Shouldn't be a lot of cleanup of the pot either since it's going to be used mostly just to boil water.  I may at some point do a lot of ramen noodles in the pot, but again the small hassle of washing out that one pot seems minimal for the wt in food that I'll be cutting out.  Also, got me a better, more durable water bladder for holding dirty water to filter (CNOC 2 liter bladder).  Now might just carry 1 of the Sawyer sqeeze bladders as an emergency backup or to carry a bit of extra water when sources are more scarce.
To all my family and friends....I'm going to issue a bit of a challenge to make this adventure a bit more fun and interactive for you also.  For every 10 miles I hike, you get out and walk at least a mile.  So, at least 10% of what I'm hiking, you all match.  Make it a fun competition between yourselves...heck make it 20 or 25%!  Keep each other honest and accountable.  Put the phone down, log off of facebook or your computer, take the dog with you if you have one, get outside and get a whiff of fresh air, take a break from working to much!  Honestly, it will be good for everyone to get some exercise mixed in and feel like you're walking with me for at least part of every day.  ;)  2,194 miles is what I'll be doing total and looking to avg at least 13.3 miles a day to accomplish that in around 5.5 months.  That's 1.33 miles a day for you 10%ers and 220 miles total over the next 5.5 months.  2.67 miles a day and 440 miles total for you 20%ers, and 3.33 miles a day and 549 miles if you go for 25%.  Why stop there...if you feel up to it, go for more!  This will also keep me motivated a bit more to put the miles out there on avg every day to give you all something to shoot for.  I'm going to be burning anywhere from 4000-6000 calories per day depending on the mileage and elevation gain/loss every day....so I'll be losing some wt.  Might as well join me and use this as an excuse to do the same!  ;)  And for anyone else reading, you're MORE than welcome to join in!
I'll be posting a journal entry for each day on the trail, but I may not be posting them every day.  I'll probably have to wait for the days I get to a town and can get wifi access to post journal entries and recharge my phone.  Part of each entry will be where I started that day, where I finished, and what my mileage was.  I'll try to also include where I am aiming to get to for the next resupply off the trail, so if you want to anticipate what I'll be hiking, feel free or just follow along and do the mileage I've posted that past 3-5 days.  Hoping to make this a bit of fun and better well being for all that are following along and give myself some incentive to keep going when my legs are bone weary and the bed back at home is calling.
Bilbo out!


Bilbo",,View Entry,"Mar 13, Sun",0
Bilbo,https://www.trailjournals.com//journal/entry/647651,"Hey Everyone!I put my full pack together this week with what I'll be starting the trail out with and decided to make a video of what's in it as I break it back down.  My full pack came in at 33.6 lbs total with 9+ lbs of food and 2-3 liters of water for another 4-5 lbs.  My base pack wt (Total pack wt - wt of food and water) therefore came in right at or a little under my goal of 20 lbs.  Food to me is heavier than I had hoped.  I was trying to get close to the expected calorie burn rate of 5000 calories per day, but still came up short at about 3500 calories of food per day on avg.  Going to have to experiment on getting some food that's high in calories, light weight, and somewhat palatable.  Not sure that exists, but will try.  :)  Now I think I have an appreciation for what 'hiker's hunger' is and why hikers gorge themselves in every town and trail magic encounter they come across.My intent was to do this in one video, but my camera battery was failing and it shut down on me twice.  And then I had to fire the camera up a 4th time cause I forgot to go over the gear/clothes I'll be wearing....so 4 videos instead of 1.  I tried my hand at some video editing software in Windows 10 to combine them into one, and it appeared to work, but the sounds was distorted...sounded like a 33 1/3 record being played at 45.  Let's see how many of you understand that reference.  :)  Anyway, I'll try to brush up on some video editing this week...any tips or crash courses someone can advise would be appreciated.  I know it's going to be tough doing anything but dumping videos from my phone when I get to a town....but if there are easy video editing tools to use in that type of environment, let me know.Hope I don't bore you too much if you this is old hat to any of you, but for those that have never thought about what a hiker has to carry with them, I hope it's at least a tad bit educational.  Keep in mind, I'm in no way an expert or pro at this and will be learning a lot I'm sure as the trip goes along.  It will be fun at the end to look back at this and see what I packed that was not needed and any essentials that I ended up with in the end that I never knew I needed at the start.Hope you all enjoy!https://www.youtube.com/channe...",,View Entry,"Mar 20, Sun",0
Bilbo,https://www.trailjournals.com//journal/entry/647893,"Day 0 - March 26
Miles 0.0 - 1.0
Officially registered for my thru hike today and got #1965 for Northbound//NOBO hikers this year.  As planned, my buddy, Mike Stephens took me to the Springer Mtn trailhead, one mile down the AT to verify we could get to it.  One lane, gravel and rock road most of the way with lots of bumps and ruts.  Decided to go ahead and hike the mile from the parking lot/trailhead to the top of Springer and knock that mile off.  Officially signed the log book and hiked back down.  1 down, 2193.3 miles to go.  Pretty windy in gusts for the hike up and down, but really wasn't cold except when you stop.  Will start heading north from same trailhead tomorrow.  Intending 7.1 miles to Wolf Mtn Shelter...mile marker 8.1 on the trail.  Also, dropped my first resupply box off at Neel Gap, where I intend to be on day 4.  Talk to you all tomorrow.  🙂


Bilbo","Springer Mtn
",Springer Mtn trailhead ,"Mar 26, Sat",1
Bilbo,https://www.trailjournals.com//journal/entry/648062,"Pretty emotional start for me.  Have been planning and looking forward to this day for years. Combine that with the fact that I couldn't call mom to let her know I was starting just hit when it was time to finally begin.  Couldn't have asked for much better weather to start.  Kinda windy and chilly, but warmed up quickly once I got into the green tunnel as the trail is nicknamed. Started at approx 1030 and got to the shelter around 1530. Came across first trail magic at Three Forks from 'Tickle Me Elmo', a 2018 thru hiker from TN. Met 'Minute Man' there and hiked with him a bit until we hit an uphill section which there are few I can keep up with on.  Later found a glove on the trail, which proved to belong to 'Minute Man', whom I met again at Long Creek Falls.  Very pretty and peaceful setting at the base of the falls to stop for lunch and refill on water.  Hard climb before reaching camp at least by my early standards, but managed.  Kind of a restless first night's sleep.  Day one, all in all, a success.  First use of a privy on the AT!
Fitbit steps - 22,445


Bilbo","Spring Mtn trailhead
",Hawk Mountain Shelter,"Mar 27, Sun",7.10
Bilbo,https://www.trailjournals.com//journal/entry/648076,"Left camp around 0918. Hoping to get more efficient at breaking down and packing to go each morning.  Restless nights sleep combined with sore first day legs made for rubbery legs all day...especially after a near 800 ft climb from Horse Gap up Sassafras Mtn and sharp downhill after that.  A few good views on the way up Sassafras, but then every time I stop, gasping for air, it is of course cause I'm admiring the view. Had lunch on top of Sassafras.  Pretty manageable grade after that to Gooch Gap Shelter.  Cramped designated tent sites at the shelter combined with a LOT of hikers stopping here made for a tight fit. Tent sites pretty rocky and hard to drive stakes into. Better nights sleep than night 1.","Hawk Mountain Shelter
",Gooch Gap Shelter,"Mar 28, Mon",7.60
