Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Captain Video & Wild Hair,https://www.trailjournals.com//journal/entry/626418,,,View Entry,"Oct 12, Sat",0
Captain Video & Wild Hair,https://www.trailjournals.com//journal/entry/626413,"Testing some cold weather gear in an unusually snow free January in Illinois. Since we're starting so early (February 28) we have to be prepared for days in the 40's or 50's and nights in the 20's. It can get pretty chilly since there is no ""lets go inside and warm up"" in backpacking.",,View Entry,"Jan 05, Sun",0
Captain Video & Wild Hair,https://www.trailjournals.com//journal/entry/626412,"We have cleared off the spare table in the basement and started to organize the piles of stuff. Yes, you see that correctly. We have made the decision to both carry bear canisters (tall, clear blue container with the black lid). It is a controversial choice because of their weight and bulk, but the ATC is currently recommending them. We chose them for a few reasons....the number of people on the trail, all fighting over the same trees to hang bear bags (especially early on); getting to our camp site in the dark or after a hard day and not wanting to search for a decent tree to hang a bag; keeping out other hungry critters besides bears....like mice, squirrels, chipmunks, skunks!So basically, we're lazy.  :)",,View Entry,"Feb 08, Sat",0
Captain Video & Wild Hair,https://www.trailjournals.com//journal/entry/626416,"We're old....we like maps!  :)     and the AT Guide, of course.",,View Entry,"Feb 24, Mon",0
Captain Video & Wild Hair,https://www.trailjournals.com//journal/entry/626543,"6AM flight to Atlanta, Marta train to the end of the line, and a shuttle ride from AT Survivor Dave to the top of Springer Mountain parking area. We hiked to the top of Springer in a snow squall and touched the official placque, then hiked back to Stover Creek shelter. Met the Dutch boys, the Aussies, and Cosmo, plus a few others who's names we don't remember. A very cold night...1/2 to 1 inches of snow on our tent in the morning, which we discovered in the middle of the night on a necessary run.","Springer Mountain
",Stover Creek shelter,"Feb 28, Fri",4.80
Captain Video & Wild Hair,https://www.trailjournals.com//journal/entry/626545,"Got a late start today, wearing almost all of our clothes. Beautiful sunny day with snow on the rhodadendrons, blue skies and pine needles under foot. Met ridge runner, Moxy, at lunch at Longs Creek falls... really pretty spot. Found someone's nice wool hoodie on the trail and after last night's cold we knew someone would be missing it. Sunshine all day in the Georgia woods. We ended up pitching our tent in the campsite before the shelter because we thought it would more protected. Wish we had pushed on to the shelter because it looked like a fun group. We did take the sweater up to the shelter and found its very grateful owner, Paul from Baton Rouge. Got a trail comso from Cosmo as a reward for our efforts. Hopefully we will see some of those folks tomorrow night, or down the trail.","Stover Creek shelter
",Hawk Mountain campsite,"Feb 29, Sat",7
Captain Video & Wild Hair,https://www.trailjournals.com//journal/entry/626546,"Up and out by 9... much better than yesterday. Sassafras (MTN) kicked our ass! It was a brutal, rocky, rooty uphill. We kept telling ourselves ""lunch at the top, lunch at the top!"" We sat and ate our sausage and cheese. One guy we met got a ride into town. He was really hurting. Next mountain wasn't so bad. Another relatively warm day, lots of mountain laurel. They must be beautiful when they're in bloom. Made it to Gooch Gap shelter. Lots of nice folks.","Hawk Mountain campsite
",Gooch Gap shelter,"Mar 01, Sun",8.30
Captain Video & Wild Hair,https://www.trailjournals.com//journal/entry/626547,"We got out early today because we heard that rain was on the way. Made it about an hour and a half before it started. Put the rain gear on and slogged up and down some unnamed Georgia mountains. It was really coming down, the wind picked up and the temp dropped back into the 40's. Right around lunch time we hit Woody's Gap and it was pouring. We met up with the Aussies, Jo and Steve, and decided to catch a ride with them and share a cabin at Blood Mountain. We were all cold and soaked. We'll get a ride back to the same spot in the morning, and take 2 days to hike right back here. Ha!","Gooch Gap shelter
",Woody Gap,"Mar 02, Mon",5
Captain Video & Wild Hair,https://www.trailjournals.com//journal/entry/626576,"Got up this morning and were able to get a shuttle back to Woody Gap, where we left off yesterday. It was still pouring rain and we thought we'd try to make Woods Hole shelter. As we kept walking, the weather was not so bad and we were all feeling pretty good. We, along with Jo and Steve decided to go for the whole shebang and hike back to Neel Gap over the infamous Blood Mountain! The further we went the more the rain let up. Temps were in the 50's and when we got to the base of the big mountain, the sun actually came out. Up we went and were rewarded with beautiful views at the top! Really cool old stone shelter at the top, too. We were pretty tired by the time we got down the mountain across some pretty treaterous granite faces in our muddy boots. Since the hostel at Mountain Crossing was full, we were able to find some less than perfect campsites up on the hill behind....dinner and bed!","Woody Gap
",Neel Gap,"Mar 03, Tue",11.30
Captain Video & Wild Hair,https://www.trailjournals.com//journal/entry/626627,"Up and out of Neel Gap. The rain held off and it was cloudy. I'm sorry for the obsession with the weather but that kinda happens when you spend all day and night outside. ? Jo and Steve got a headstart so they could meet their hostel host who promised them the best burgers they'd ever tasted. When we climb up and over to Tesnatee Gap they was some glorious trail magic waiting for us. A couple of retired guys who enjoyed the trail so much that they wanted to give back. They had chairs out and were serving burgers and hot dogs with drinks, chips, candy, cupcakes! It was really amazing. We sat and chatted with them for a while. They passed on a message from Jo and Steve that they would have a surprise for us. We met up with their hostel host who brought us treats, including Yuengling (?)! We had been talking about how nice a cold beer would be after a long day of hiking. So we have now introduced them to both Yoo-hoo and Yuengling! ?
We hiked in a bit after Hogpen Gap and set up our tents in a nice clearing. Rain held off all day!","Neel Gap
",White Oak stamp campsite,"Mar 04, Wed",7.80
