Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Dean’s List,https://www.trailjournals.com//journal/entry/644348,"The plan is to start first week in April and hike about 120 days all the way to Katahdin (Fingers Crossed).  I've enjoyed reading journals and watching Vlogs over the years and decided I would do a daily Vlog and update the  Trail Journal periodically.  It ask me which direction I'm Hiking Well I'm Hiking Northeast, since north would get you to the middle of Michigan, I'm hiking to Maine!!!!   I hope you enjoy and come alone with me.  See you out there on the Trail!!!!!  Dean

https://www.youtube.com/channe...",,View Entry,"Sep 21, Tue",0
Dean’s List,https://www.trailjournals.com//journal/entry/644411,"Just got for my Birthday my new favorite hat from my son, Trev.  Looking forward to early April,  it will be here before you know it.   I’ll keep you posted with what I’m doing to prepare for the hike.   Hope to see you down the trail.  Dean",,View Entry,"Sep 22, Wed",0
Dean’s List,https://www.trailjournals.com//journal/entry/644458,"Thank you for registering your hike on ATCamp! Sharing your hiking plans will help reduce crowding on the Appalachian Trail (A.T.) and connects you to the most accurate and up to date information from the Appalachian Trail Conservancy (ATC).
Here is your confirmation for 1 person:
ORDER NUMBER: **********Entry Date: Tuesday April 5, 2022Order Date: Wednesday September 22, 2021 5:03 PM",,View Entry,"Sep 23, Thu",0
Dean’s List,https://www.trailjournals.com//journal/entry/644537,Rode about 12 1/2 miles to the dam on a beautiful Saturday morning.  Lots of people but no big horn sheep :(.  Maybe next time.   Ordered a Zpack duplex tent and also bought a Baleaf SPF 50 hoodie.   I’ll upload my gears once winter weather arrives.  See you out on the trails.,,View Entry,"Sep 25, Sat",0
Dean’s List,https://www.trailjournals.com//journal/entry/646558,"My plan is to start hiking on 4/5/2022 from Amicalola Falls State Park and do the Approach Trail 8 1/2 miles to Springer Mountain.  From Springer I plan to do the Approach trail up to Mount Katahdin 2194.3 miles!!!!:-)  I've been training by hiking between 5 and 10 miles each day with my pack.  When I first started my feet were very sore, but lately there has been no issues with them.  I was worried that it was my shoes, but not worried ""as Much"" anymore.  I'll be posting daily VLOG's on the trail and my Channel is attached,  please subscribe.
https://www.youtube.com/channe...
see you down the trail,

Dean",,View Entry,"Jan 27, Thu",0
Dean’s List,https://www.trailjournals.com//journal/entry/646681,"Eat more healthy foods and eat more junk foods and loss weight.
Sleep with strangers!
Take less showers,  but take longer ones
Use less in door plumbing 
Wear smelly clothes 
Walk in the rain
Enjoy more sunrises and sunsets 
Talk to more strangers
Take rides from total strangers 
Accept help from total strangers (Angels)
Workout at least 6 days a week for about 10 -12 hrs per day",,View Entry,"Feb 02, Wed",0
Dean’s List,https://www.trailjournals.com//journal/entry/646757,Daily Hike with 22 pound pack to get the body into shape.  Utilize several local trails to get in trail shape and have been hiking between 6 - 10 miles per day and will up that total closer to start date.  Notice the feet are getting less sore as I do more miles and increased pack weight from 18 lbs to 22 lbs.  See you on the Trail!https://www.youtube.com/channe...,,View Entry,"Feb 06, Sun",0
Dean’s List,https://www.trailjournals.com//journal/entry/646909,"You know it is getting real, when you book the flight into Atlanta and you also book a hotel stay at the Lodge.  I'm so excited I can't wait!!!  Going to visit Melanzana up in Leadville Co and buy myself a Melly, just to get ready for the trip.  Training has been going well and the last few things have been acquired and I'm ready to go.  See you on the Trail.Deanhttps://www.youtube.com/channe...",,View Entry,"Feb 16, Wed",0
Dean’s List,https://www.trailjournals.com//journal/entry/647267,"Early morning training hike with temps in the teens.  My new Melly pullover worked well.  The skies were spitting snow and the flakes were beautiful, I love nature!!! Less than a month away and many things to finish up before trip.  See you on the trail",,View Entry,"Mar 09, Wed",0
Dean’s List,https://www.trailjournals.com//journal/entry/647657,"Spent 10 days in Czech and had a great time walking around all the awesome Castles and nature trails.  Oh did I say they love their beers,  yes and I believe this was part of my training.  Will fly home tomorrow and try to get my the jet lag taken care of before I set off to the trail.",,View Entry,"Mar 21, Mon",0
Dean’s List,https://www.trailjournals.com//journal/entry/648187,"What a fantastic day!!!  Met a bunch of former and current co-worker at Lone Tree Brewery and threw back a few.  I’ve always knew that it was the people you worked with that makes your job enjoyable and last night really solidified that.  I was blessed to work for a great company, that truly has a passion for their clients.  It also was a company that valued its employees and I landed on teams of characters who enjoyed having a good time while working hard.  Boy we had some fun.  Thanks guys.  Now my next Adventure begins, watch out!!!!",,View Entry,"Apr 02, Sat",0
Dean’s List,https://www.trailjournals.com//journal/entry/649326,"Rain Rain and more Rain.  Didn’t think I was going to sleep in a Shelter but I did the first night.  Thought the gentleman next to me was going to need CPR,  since he would stop breathing for about 30 seconds,  I kindly made him aware that he had sleep apnea and yes he was aware.  I guess he needed a second opinion from a non professional.","Amicalola Falls visitor Center
",Stover Creek Shelter ,"Apr 05, Tue",2.80
