Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Eagle Ike,https://www.trailjournals.com//journal/entry/646122,"Appalachian Trail FAQ’s
Now when are you going on your hike? 
   Masters week (first week of April) through mid September 2022
Are you hiking by yourself?
   Yes. I am hiking solo. No one else is crazy enough to do the whole thing with me! Friends and family will be joining me in different sections of the trail. There are a number of other thru-hikers on the trail so that one can hike with others or be by yourself when you want, which is what I often prefer.  
Are you going North to South or South to North?
   Yes. Both. I am doing a flip flop hike starting at the southern end of the Shenandoah National Park and hiking north to Katahdin, Maine then driving back with family to my start point and hiking south to Springer Mountain, Georgia to complete the thru-hike. 
Aren’t you worried about bears, snakes, weirdos, weather, etc?
   No. Having done over 200 miles of section hikes on the AT and various other backcountry hikes both solo and with others, it is much safer than one might imagine, and the people you meet are wonderful. Yes, rarely, bad things do happen, but it is probably more rare than living here in a neighborhood in the CSRA, Georgia. Black bears are generally very shy and very rare to see. I have encountered only one bear so far, and it is actually something you want to experience (occasionally!) I’ve seen more venomous snakes in my back yard than on trails. And face it, there are weirdos everywhere. I am trusting and relying on the favor of the Lord, prayers of family and friends, intuition, situational awareness, and the generosity and company of others to get me through. 
Are you taking a gun?
   No. None of the thru-hikers carry guns due to the extra weight. “On a long journey even a straw weighs heavy.” I may take pepper spray. 
Are you coming back?
   Yes. I plan to return to my supportive family and to full-time medical practice. 

A.T. stats
Completed August 14, 1937
>350 peaks
Over 250 shelters 
1,500 types of wildflowers 
The A.T. is among the longest continuously marked trails in the world. An estimated 165,000 white blazes guide hikers along the 2,193 miles of trail.
The elevation gain/loss of hiking the entire Appalachian Trail is 465,000 feet. 
It takes over 5,000,000 steps.  
The A.T. goes from Springer Mountain, GA to Mt. Katahdin, Maine and travels through 14 states.
Northbound: Virginia, West Virginia, Maryland, Pennsylvania, New Jersey, New York, Connecticut, Massachusetts, Vermont, New Hampshire, Maine, Southbound: Virgina, Tennessee, North Carolina, Georgia
Mt. Katahdin came from the Penobscot Indians and means “The Greatest Mountain.”
The number of days it takes the average person to complete a thru-hike is 165. 
""Thru-hikes can range from a full-year to a blistering 41 days, 7 hours and 39 minutes, but most will complete their 2,193 mile trek in five to seven months, with the average being “a week or two shy of six months.”
I am hoping to complete the hike in 145 - 155 days.",,View Entry,"Dec 21, Tue",0
Eagle Ike,https://www.trailjournals.com//journal/entry/646673,"Why I want to hike the Appalachian Trail
Enjoy the beauty of God’s creation
Solitude
Time for thought
Prayer
Adventure
Lose weight
God’s calling
Pilgrimage 
Peace and healing
Contentment
Vacation
Rest 
When I hike I feel God’s pleasure
Enjoy meeting others made in His image
Hear the voice of God
Enjoy His presence
Not have to walk into an office building on Monday, or Tuesday, or Wednesday or any day for awhile
Eat simply and healthy
Have some time with friends and family who join
Thank all the trail angels
Get away from the daily routine. 
Be healthy. Learn to stay healthy. 
Push myself
Test out gear
Learn more about YouTube if I decide to keep doing that
Enjoy the quiet
Find peace
Take lots of great pictures 
Walk in faith
Pray with others. Share the love of Jesus with others
Practice generosity and kindness
Help others along the way
Be in the moment
Learn
Teach
Give
Love 
Enjoy times of refreshing
Repent, then, and turn to God, so that your sins may be wiped out, that times of refreshing may come from the Lord Acts 3:19",,View Entry,"Feb 01, Tue",0
Eagle Ike,https://www.trailjournals.com//journal/entry/646675,"What I will say to myself when I feel like quitting or develop a bad attitude. How to thrive and not just survive. How to make it thru …
“But they that wait upon the Lord shall renew their strength; they shall mount up with wings as eagles; they shall run, and not be weary; and they shall walk, and not faint.” Isaiah 40:31 
“With God all things are possible.” Matthew 19:26
There will be better days ahead
The place where God calls you is the place where your deep gladness and the world’s deep hunger meet. Frederick Buechner
Your deep gladness is the call of one's true, enduring and authentic self, the pursuits that engender, not necessarily always happiness, but profound joy.
Don’t ask yourself what the world needs. Ask yourself what makes you come alive, and go do that, because what the world needs is people who have come alive.  Gil Bailie
“Live the life that unfolds before you.” Jonathan Rogers
“Embrace the challenge. It’s a marathon, not a sprint. This too shall pass. Challenges cause growth. Have a mentality that favors joy. Find joy in simple pleasures.”  Thanks to Zach Davis Appalachian Trials

What I imagine it being like when I finish
Hopeful to finish in early to mid September I imagine relief, accomplishment, and gladness to reconnect with my family. 
Appreciate and enjoy the simple things. Making up for trail food with some home cooked meals. 
When I successfully thru-hike the AT I will
Give glory to God
Hug my wife and kids
Eat lots of good meals
Sleep in a soft bed again and be thankful for it
Consider other sections hikes in the West like the Colorado trail or parts of the CDT or PCT
Remember again how much I love my family
Not take even little things for granted",,View Entry,"Feb 01, Tue",0
Eagle Ike,https://www.trailjournals.com//journal/entry/648419,"Let’s go!
Today begins my thru- hike of the Appalachian trail! The most beautiful part of this is that I get to do it with my family. We started at Rockfish Gap with the opportunity to slack pack, which means carrying only what you need for the day. This is one of the more enjoyable ways to hike.


Trail proverb we wrote today:


Be friendly with your family and family with your friends. 
Thought of the day:Sojourn. Journey. This journey of life is really a sojourn, a temporary stay, before the amazing, exciting journey of eternity ahead with Jesus.
Do you know Him?


“Heavenly Father, I worship you today with reverence and awe. Thank you that you carry me on eagles’ wings and bring me to yourself. Thank you that you say that I am your treasured possession. Help me to make it my first priority to worship and to love you with all of my heart and with all my soul and with all my mind. Help me to love other people unconditionally in the way that you love me.”","Rockfish Gap
",Riprap trailhead ,"Apr 06, Wed",17.10
Eagle Ike,https://www.trailjournals.com//journal/entry/648733,"Day 2
Cold, wet day mostly by myself. Learned I need another warmth layer while hiking! In a shelter during a downpour I met “Keystone” who is about my age and started his northbound flip-flop 11 days prior.Blackrock Mountain was a highlight, but the view was socked in with clouds.


Believe it or not one of the best parts of the day was getting out of the cold rainy, windy conditions and hanging out in the heated Loft Mountain Campground bathroom for a half hour!


Wonderful to join my family at the end of the day!


Saw maybe forty five deer.


Trail proverb:


“Don’t make important decisions when going uphill or in the rain.”


“As the deer pants for streams of water, so my soul pants for you, my God. My soul thirsts for God, for the living God. When can I go and meet with God? Why, my soul, are you downcast? Why so disturbed within me? Put your hope in God, for I will yet praise him, my Savior and my God.”Psalms‬ ‭42:1-2, 5‬","Riprap trailhead 
",Pinefield Gap,"Apr 07, Thu",17
Eagle Ike,https://www.trailjournals.com//journal/entry/648753,"Day 3 
14.4 to South River


Nice sunny day! Hiked with Josiah for fourteen miles. Met two more NOBO’s, that is, northbound hikers - “Greased Pig” and “The Professor.” 


Trail proverbs:


Hike your own hike with family 


Learn from those who have gone ahead","
",South River Picnic area,"Apr 08, Fri",14.40
Eagle Ike,https://www.trailjournals.com//journal/entry/648872,"Day 4

17.5 to Rockspring Hut 

Today I was prompted to keep a Gratitude journal. 

Passed a graveyard which made me think about what I hope to accomplish with my remaining time on earth.

Hiked in the snow.
Down to about 26 degrees overnight! 


“Consider how the wild flowers grow. They do not labor or spin. Yet I tell you, not even Solomon in all his splendor was dressed like one of these. If that is how God clothes the grass of the field, which is here today, and tomorrow is thrown into the fire, how much more will he clothe you—you of little faith!”‭‭ 
Luke‬ ‭12:27-28‬","South River Picnic area
",Rockspring Hut,"Apr 09, Sat",17.50
Eagle Ike,https://www.trailjournals.com//journal/entry/648766,"Day 5


15.3 to Pass Mountain shelter 


Climbed Mary’s Rock 
My first blue blaze trail. Excellent 360° view from up there!


Saw a skunk


Met an older gentleman with trail name “Rosy Eagle “


Great views from Little Stony Man
Met “Donut” who thru-hiked four years ago.


Trail proverb:Take time to look further ahead down the path


Don’t ask yourself what the world needs. Ask yourself what makes you come alive, and go do that, because what the world needs is people who have come alive.  Gil Bailie","
",Pass Mountain Shelter ,"Apr 10, Sun",15.30
Eagle Ike,https://www.trailjournals.com//journal/entry/648768,"Day 6


19.7 to stealth campsite 


Nelson Mandela said, ‘I learned that courage was not the absence of fear, but the triumph over it. The brave man is not he who does not feel afraid, but he who conquers that fear.’


Smell of campfire through the night 


Got to see Venus, Mars, and Saturn in the early morning hours


Sometimes you have to let go of the dead.
What things in me have died? What things need to be resurrected? What dream have you put in my heart, Lord?


Appalachian trials. Life is hard. This world you will have trouble, but take heart I have overcome the world. John 16:33


Met and hiked with Jonathan “see no evil “he is finishing up the southern half of the AT.


Ups and downs of the trail remind me the ups and downs of life


Learned up here it is Mountain laurel not rhododendron


Met “Queen of Denmark”and “Top Shelf”


Trail proverbs:


Use the tools you have


It’s easier to follow in someone else’s footsteps. Just be sure they are heading in the right direction.


“Consider it pure joy, my brothers and sisters, whenever you face trials of many kinds, because you know that the testing of your faith produces perseverance. Let perseverance finish its work so that you may be mature and complete, not lacking anything.”
‭‭James‬ ‭1:2-4‬","Pass Mountain Shelter 
",Stealth campsite ,"Apr 11, Mon",19.70
Eagle Ike,https://www.trailjournals.com//journal/entry/648769,"Day 7


7.1 to Mountain Home


Heard of a hiker nearby named “TP” who was just renamed “Chernobyl” after his Anker lithium battery exploded and destroyed his backpack! Thankfully he was not wearing it at the time.
Several men were on the trail with a group of scouts, and one of them said to me, “Keep smiling.”


Dinner in Front Royal, VA at Pavemint. Stayed at a wonderful bed-and-breakfast called Mountain Home.


Irish blessing:
May the road rise up to meet you. May the wind be always at your back. May the sun shine warm upon your face; the rains fall soft upon your fields and until we meet again, may God hold you in the palm of His hand.","
",Mountain Home,"Apr 12, Tue",7.10
