Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Gazelle,https://www.trailjournals.com//journal/entry/647122,"My wife and I bought a cabin in northern Georgia late last spring, and I've been doing a lot of my pre-hike preparation hiking in the mountains of northern Georgia, including a few hikes on portions of the Appalachian Trail. Lately, I've come across more and more thru-hikers as I day-hike on the AT, which has made me even more excited to get going. I've even been to the top of Springer Mountain, just to see what the southern terminus looks like. In my case, since I'm doing a flip-flop thru-hike, Springer will be the end of my journey rather than the beginning.It's been tough work, as you can see from the photo accompanying this entry.",,View Entry,"Feb 28, Mon",0
Gazelle,https://www.trailjournals.com//journal/entry/647172,"I did a very long day hike today, 19.2 miles total. I hiked the AT, going from Hogpen Gap to Chattahoochee Gap and back. I'm trying to get into shape, so I really pushed it today. I did it non-stop, and finished in just a little over six and a half hours.
I was only carrying a 13-pound pack, including my water, only about half the weight I will be carrying when I thru-hike. And much of that section of trail is relatively flat (compared to the sections around it). But I still felt pretty good about it. I'm at least ready to begin the thru-hike.
Unfortunately, it's back to the flatlands of Nebraska for a while, so I hope I don't lose the conditioning I've got in the last couple of weeks.",,View Entry,"Mar 03, Thu",0
Gazelle,https://www.trailjournals.com//journal/entry/647754,"I'm currently fighting through a hamstring injury. I have a month to go until I start and I'm doing my best to get it better by then.I seriously injured my right hamstring running track in college, and I must still have scar tissue in the muscle, because it seems to flare up every now and then. No serious pain or anything--just some soreness and warmth in the muscle.I did a 19-mile day hike a couple of weeks ago, and felt some soreness after. It hasn't stopped me from working out, but I have to treat it a little gingerly and ice it occasionally. I'm not letting this injury keep me from thru-hiking.",,View Entry,"Mar 23, Wed",0
Gazelle,https://www.trailjournals.com//journal/entry/648117,"Did a 4-mile hike on the Bartram Trail today just to test my hamstring. Saw a couple of nice waterfalls. Northern Georgia has so many beautiful waterfalls 
Just three and a half weeks before I start my thru-hike. I'm so excited to begin.",,View Entry,"Mar 31, Thu",0
Gazelle,https://www.trailjournals.com//journal/entry/648190,Went a little farther today--about 7 miles. The hamstring held up fairly well.,,View Entry,"Apr 02, Sat",0
Gazelle,https://www.trailjournals.com//journal/entry/648278,"Hiked the Blood Mountain loop today. I went up from the Byron Reese trailhead, hiked the Appalachian Trail over the top of Blood Mountain, then took the Freeman Trail around the back side of Blood Mountain. I've done this hike three times now, and I enjoy it every time.I ran into a thru-hiker who was huffing his way up Blood Mountain. He said he was carrying a 48-pound pack. That's amazing. I'm on the heavier side in terms of pack weight, and I'm only around 28 pounds with two bottles of water and food. I can't imagine carrying 48 pounds up and down those hills. I'm impressed that he got as far as Blood Mountain. He said he was planning to shed some weight at Neel's Gap, and he recognized that doing so would probably cost him some money. (He said he was willing to spend up to $1000 for lighter equipment.) I hope he makes it.
This is my last time on the AT until I start the thru-hike. I'm headed back to Nebraska soon. I'm getting really excited to start the thru-hike. Less than three weeks away.
The hike was about 6 miles and the hamstring seems to have held up, so it looks like I'm good to go. Unless Duke rethinks its decision not to hire me to replace Coach K, of course.",,View Entry,"Apr 04, Mon",0
Gazelle,https://www.trailjournals.com//journal/entry/648534,"I'm back in Nebraska and heavily into the organizational phase of my thru-hike: organizing everything into bags, making sure I'm not missing anything I need to carry, weighing everything and trying to get my pack weight down.It's the last one that I'm really struggling with. I never planned to be an ultralight hiker; I have always planned to be a little on the heavy side as thru-hikers go. Because of my height, my sleeping bag and clothes are going to weigh a little more than many people's anyway. And I have to take a slightly heavier pack because none of the ultralight packs worked with my back issue. But I'm even heavier than I want to be, so I'm going down the list and carefully balancing the utility of each item (and the likelihood that I will need it) against its weight. It's a tough exercise and I still have some thinking to do. My guess is I will be adding and subtracting right up to the house I start.Right now, everything is spread across the entire floor of one of the rooms in our house, carefully separated by which stuff sack it's going into. It's a mess, but an organized mess.",,View Entry,"Apr 09, Sat",0
Gazelle,https://www.trailjournals.com//journal/entry/648827,"Ten days! In ten days, I will be hiking on the Appalachian Trail. I'm really excited, but it's excitement tempered by the recognition of how hard it's going to be. It's not easy for a 66-year-old to walk up and down mountains for over 2,000 miles with 30 pounds on his back. I'm a little nervous, but doing all the things that need to be done before I leave has kept me from getting too nervous.I'm learning how to do things I didn't know how to do. Two days ago, I replaced the shock cord inside my tent poles. I had never done that before and had to look up how to do it. Today, I have to hand-wash my down sleeping bag. Haven't done that before either. This weekend, I'll try to learn how to make the weight of everything I'm carrying miraculously decrease by 20%. I'm sure it's a simple problem of transdimensional physics.",,View Entry,"Apr 14, Thu",0
Gazelle,https://www.trailjournals.com//journal/entry/648881,"Today's post is for my wife, the saintly woman who is going to take me to the trailhead in Virginia, pick me up in Maine and take me back to Virginia, and pick me up at the end in Georgia. While I go away and play for six months, she's going to keep up our house, pay our bills (with the money she will continue to make working while I'm already enjoying the retired life), and keep track of all my mail and email. And the only benefit she gets in return is not having to put up with me for six months. (Now that I think about it, she may be coming out ahead on that deal.)
Sandy and I have been married for almost ten years, and I don't show my appreciation anywhere near as often as I should. I can be a pain in the ass sometimes (ask my children), but she never lets it get to her and she's always there when I need her. My life is immeasurably enriched by her presence. Don't tell her, because it would be totally out of character for me, but I'm really going to miss her while I'm hiking.
To you, my love, for making my life so much better.",,View Entry,"Apr 15, Fri",0
Gazelle,https://www.trailjournals.com//journal/entry/648998,"Just seven days before I start. I'm feeling an incredible mix of emotions: eager anticipation; nervousness; resolve; and sadness about what I'm leaving behind for six months. But, above all, I'm excited to get going. The last couple of weeks I have felt like a horse in a harness, and I'm ready to run free and wild.All my backpacking stuff sits in plastic bags on the floor, ready to be packed up for the plane trip. I'm going to do one final check to make sure everything is there that's supposed to be there, but otherwise I'm ready.Today, I pig out on Easter dinner, knowing that I'm going to drop most of those pounds in the first couple of weeks of hiking. Thru-hiking definitely has its benefits.",,View Entry,"Apr 17, Sun",0
