Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Gourmet,https://www.trailjournals.com//journal/entry/648084,"Arranging to not be home for 4-5 months is quite an undertaking. Packing my backpack was the easy task. Setting up to be gone, now that's another story. My original start date was April 1st, but had to move it to the 7th so the friend taking me could hike a few days with me.",,View Entry,"Mar 30, Wed",0
Gourmet,https://www.trailjournals.com//journal/entry/648403,"I started my AT trek in 2011 when I turned 50. I have since been back twice and have hiked about 50 miles short of Damascus Virginia.  This is my year to finish! I currently have an AT map on my refrigerator for inspiration. 
Tana and I will be driving to Black Bear Lodge for an overnight and start on the trail Friday April 8th. More later!",,View Entry,"Apr 06, Wed",0
Gourmet,https://www.trailjournals.com//journal/entry/648479,"The Drive! Tana was ar my house by 6:00 am. April 7th Thursday.  We left shortly after. The drive was smooth with  a little rain and some traffic in the hills. We stopped at Subway for subs to take to the Black Bear Lodge. We arrived there about 7:00pm. Once we got checked in, Linda (the owner) asked us if we knew it was going to thunderstorm and snow? Surprise! That will be a story for tomorrow or Saturday.",,View Entry,"Apr 08, Fri",0
Gourmet,https://www.trailjournals.com//journal/entry/648484,"April 8thLeft Black Bear Lodge at 8:00am. We hiked about 11 miles today, stopped just past Watauga Lake. Beautiful views all day! Sizeable incline upto Pond Flats, I have to get used to the inclines. We had snow. Thunderstorms are predicted for tonight and tomorrow morning. About 4:00 I felt like we were pushing our luck with the weather  we found a nice spot. As SOON as our tents were up it rained. Peanut butter and jelly for dinner with some almonds on the side.More tomorrowEdna (no trail name yet)","Dennis cove road
",Somewhere near Watauga dam,"Apr 08, Fri",11
Gourmet,https://www.trailjournals.com//journal/entry/648548,"April 9th Today we left camp a little late 9:00am. We had to clean snow off of our tents and then prepare for a wet and snowing day. It rained and snowed all night last night, very chilly. Today we hiked 9 miles, most in snow. I will say there were 3 blizzards. This is the first time that I was truly thankful that i had on rain gear! Most the time I just sweat, not today! Only saw a few people today. Met a young man and his dog Juniper. Talked with him awhile. While we took a long lunch at the Vandeventer shelter a mom and her 3 daughters came in. They were thru hiking also. Hope to see them again. We set up our tents about 5:00 pm very shortly after another blizzard. Hoping for warmer weather tomorrow.","Somewhere near Watauga dam
",Near Vandeventer Shelter,"Apr 09, Sat",9
Gourmet,https://www.trailjournals.com//journal/entry/648633,"Left our warm tents grudgingly about 8:30am to hike in the fresh fallen snow. I was afraid of falling. The views were amazing! We hiked about 10.5 miles today to TN 91. When we arrived there was a guy handing out power drinks. ""Trail Magic"" This is where Tana got pick up to go home. I got a shuttle to the ""Rabbit Hole"", this is a hostel.  I was hoping for a shower but it was out of order. I am here with the mom and 3 kids. Mother goose, thumper, chopsticks and far out. Nice family from Texas. The hostel took us into town for burgers and fries and then to the Dollar General for resupply. He will be bringing coffee at 7:00am. Great hiking today!","Near Vandeventer Shelter
",TN 91,"Apr 10, Sun",10.50
Gourmet,https://www.trailjournals.com//journal/entry/648679,"Day 4 April 11First day by myself. It was an awesome day! I started my day with walking through 2 pastures ( no animals). Up, down, flat... repeat. Wildflowers are starting to come out. Spring beauties, yellow and purple violets, trout lilies and one of my favorites, Blood root. Had some trail magic again today. Right in time for lunch, fruit punch. 13.5 miles today. Camping with 3 other people, Sunshine, Daisy and Viking (from Aurora). Glad I'm not alone. 8 miles to Damascus tomorrow.  Planning on purchasing new socks. I am still wearing my original backpacking socks. They are thread bare, what was I thinking? More tomorrow.  I'm beat.","TN 91
",Just past Abingdon Gap Shelter,"Apr 11, Mon",13.50
Gourmet,https://www.trailjournals.com//journal/entry/648680,"Day 4 April 11First day by myself. It was an awesome day! I started my day with walking through 2 pastures ( no animals). Up, down, flat... repeat. Wildflowers are starting to come out. Spring beauties, yellow and purple violets, trout lilies and one of my favorites, Blood root. Had some trail magic again today. Right in time for lunch, fruit punch. 13.5 miles today. Camping with 3 other people, Sunshine, Daisy and Viking (from Aurora). Glad I'm not alone. 8 miles to Damascus tomorrow.  Planning on purchasing new socks. I am still wearing my original backpacking socks. They are thread bare, what was I thinking? More tomorrow.  I'm beat.","TN 91
",Just past Abingdon Gap Shelter,"Apr 11, Mon",13.50
Gourmet,https://www.trailjournals.com//journal/entry/648744,"Left TN today and entered the state with the most miles, VA with 544. I will be here awhile. I had a list of things I needed to get in Damascus (the trail goes right through town). I fell a little short. I purchased socks, new mattress pad, a hat (photo soon), and lunch at the diner. I also stopped at the Broken Fiddle hostel and took a shower and did my laundry. It was great hiking down into Damascus but what goes down on the trail must go back up. So much for the shower.","Just past Abingdon Gap Shelter
",Just after Damascus ,"Apr 12, Tue",13.10
Gourmet,https://www.trailjournals.com//journal/entry/648934,"Left my camp at 7:30am. Ups and downs- ascent  3097' descent 2779'. If the whole trail was flat it would be boring. I like to see the views on top and when I'm winding on the trail looking across the expanse to where I'm going. It is awe inspiring and makes me a little dizzy. I fell today. No big deal, I tripped on a rock. Just mud on my knee. Walked on a bike trail for awhile. When she stopped to talk to me, she found that I was going to Maine and took my photo. Camping near a pine forrest tonight.","Just after Damascus 
",Just past lost mountain shelter,"Apr 13, Wed",14
