Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Grimm,https://www.trailjournals.com//journal/entry/651269,"My plan this year is to finish the southern half of the trail.  In 2020, I hiked from Harper's Ferry to Mt Garfield where my knees gave out.  I fell several times, with the decision maker being a close call of falling 10-15ft.  If it hadn't been for the small tree I was able to grab on the way down, it could have been a disaster.  I got off the trail and headed home for a couple weeks of rest and recovery.  I returned to Harper's Ferry and headed south.  I got as far as Spy Rock when I got the call no one ever wants.  My Mom was very sick and it didn't look like she was going to make it.  I got a ride back to a Hostel by a wonderful family who overheard my problem. Rented a car and drove home.  My Mom passed several days later, with her children at her bedside.  2021 my left knee gave out and I had a replacement.  2022 my original plan was to leave Apr 15 from Springer and head north.  My left knee then gave me problems so I got a cortisone shot.  First week in May became my second opportunity but had a bad sinus infection, so now I'm targeting June 6 or 7th to start again. Praying nothing else goes wrong.",,View Entry,"May 18, Wed",0
Grimm,https://www.trailjournals.com//journal/entry/652317,"I'm packed, hotel and car reservations made.  All that remains is scheduling the shuttle to Forest Road 42 which drops me off one mile from the southern terminus.  I'm not doing the 600 steps from the visitors center to the top of Amicalola Falls and then an eight mile hike to the terminus.   With my right (real) knee being a concern, I'm not going to wear it out before getting to the start of the trail.",,View Entry,"Jun 01, Wed",0
Grimm,https://www.trailjournals.com//journal/entry/652656,"I was already to go but developed a second abscess on a tooth which I had planned to delay a root canal until after the trail.  So I decided to have the tooth extracted instead.  Trip has been delayed by a few days, but better than developing a serious infection while days from any help.  Having to leave my favorite trail snack behind, Peanut M&M's, was painful, lol.  By the time I make Hiawassee,  I can begin eating nuts again. Sure hope nothing else goes wrong!Grimm",,View Entry,"Jun 08, Wed",0
Grimm,https://www.trailjournals.com//journal/entry/652957,"Legs were really feeling it today! Knees did just fine with only minor pain once in a while. Thighs really felt weak.  I really lived up to my trail name today, talked to too many day hikers.  They started the conversation when they saw my pack.  Lots of very different types of people today. What I found most gratifying was the group of about 10 with downs syndrome. They were really enjoying themselves and everyone of them said hi to me as I was resting on a tree stump. They had made a difficult hike to see the falls. Helped a very fit, silver haired lady who was in her 70's. She had made a wrong turn (and who hasn't done the same) leaving the falls and as a result missed her shuttle.  She was so relieved when I showed her my hiking app and that she was only 1.3 miles from the parking area. Hope she made it home okay!
All in all it was a good day!  Don't think I'll see too many hikers except day hikers on weekends.  I got started kinda late this year.  Looking forward to making it all the way to Harper's Ferry early September!
Grimm","Springer Mtn 
",Hawks Mtn Shelter,"Jun 11, Sat",8.10
Grimm,https://www.trailjournals.com//journal/entry/652958,"This morning was exhausting! I was wet head to toe due to the humidity. By 11am I was sitting against a stump not feeling very good. Put some electrolytes in my water which helped.  Everyone hiking is either from Florida, Alabama, or Georgia. They come to northern Georgia to cool off. lol I had a fairly aggressive hike planned but I'm changing my game plan till I acclimate to the high temps and humidity.
Sometimes you just have to deal with what you are given.  I'm not about to endanger myself for more miles. I'm just enjoying being in the woods. Mileage will come in due time.

Grimm","
",Gooch Mtn Shelter ,"Jun 12, Sun",7.60
Grimm,https://www.trailjournals.com//journal/entry/652960,"Heat and humidity is taking its toll. Getting plenty of water and electrolytes but it's a struggle. Even the southerners are having difficulties.  There is no wind so everyone is soaked with no evaporation.  Sweat just follows gravity and drops off the shorts and down the leg. Hanging clothes out to dry at night does little, they are still wet in the morning. I'll give it a few more days to acclimate to this heat. May get off and return to the trail in Harper's Ferry in August and head south. This would put me down here with the changing seasons.
Grimm","
",Lance Creek Campground ,"Jun 13, Mon",8.10
Grimm,https://www.trailjournals.com//journal/entry/653146,"31.3 trail miles Had a good day even though it was very hot and humid. Day hiker said it reached 100. Cut my mileage to compensate for the heat. Top of Blood Mtn nearly caused hypothermia. Not from being cold as it was 80deg at the top, but from raised body temp going up the mountain. There was a 20mph wind that caused the three of us hikers to start shaking. It had been so humid our sweat was dripping down our legs.Met several people in the morning as I headed out. One couple with two dogs who had made it only 24 miles in 14 days. The other was a family with a 10ish year old child. Father is from China and speaks very little English from what we have gathered. His Wife is from the states and met him while she was in the peace Corp. She is an English professor at a major Florida university ( can't say which one as she is in negotiations with another university). She spoke mandrin to both her husband and son.Also met two guys from Florida which I camped with. They were hiking separate and just happened to camp at the same location.Not so sure I'm looking forward to another sizzling day tomorrow but will make the best of it.Grimm","Lance Creek campground 
",Neel Gap,"Jun 14, Tue",7.30
Grimm,https://www.trailjournals.com//journal/entry/653175,"42.8 trail milesSaid goodbye this morning to one of the hikers I met yesterday (Jim). He'd had enough. His legs hurt with every step so he got a shuttle to his car at Fontana Dam. Hated to see him go, but each of us must decide for ourselves.Joe and I put in a good day even though it was still hot and humid. Lightning was in the distance all afternoon. Kind of wished it would rain a little to take the temperature down, if only for a few minutes.Grimm","Neel Gap
",Low Gap Shelter ,"Jun 15, Wed",11.50
Grimm,https://www.trailjournals.com//journal/entry/653176,"50.1 trail milesJust 7.3 miles today which put us in camp before 3:00. Will be going to a hostel tomorrow so decided just do 2.5 tomorrow and spend the day resupplying and resting the feet. It will be the last 90+ day, dropping into the low 80's when returning to the trail and conquering two 1000' climbs. Several of the streams were dry today so water was scarce. Fortunately there was a trickle of water at the shelter spring.Looking forward to a rest day.Grimm","Low Gap Shelter 
",Blue Mtn Shelter ,"Jun 16, Thu",7.30
Grimm,https://www.trailjournals.com//journal/entry/653177,"52.5 trail miles A quick hike down hill to Unicoi Gap where a shuttle took us to the hostel. Very nice place, wonderful owners! Spent the day planning the upcoming days, sitting in rocking chairs and enjoying the forest. It was still hot and humid but it didn't bother us. Went into Hiawassee for a few beers, dinner, and resupply. Sat outside at the bar as not to freeze in the air conditioning.Off to bed early as we have a big day tomorrow.Grimm","Blue Mtn Shelter 
",Around the Bend Hostel,"Jun 17, Fri",2.40
