Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Hums,https://www.trailjournals.com//journal/entry/646328,"Hello everyone! This is the first post of what will hopefully be a full journal of my wife and I's 2022 thru-hike of the Appalachian Trail. We currently are set to leave sometime in the first week of February and have accumulated most of the gear needed for such an endeavor as hiking a 2000+ footpath. My next post will detail our reasons for going job-less for several months to painfully torture our bodies. I look forward to hiking the trail with all of you who can read along!
Hums",,View Entry,"Jan 13, Thu",0
Hums,https://www.trailjournals.com//journal/entry/646329,"One question most probably stands out to every potential thru-hiker: ""Why?"" . . . . ""Why hiking? Why not working a normal job? And why 2,200 miles of painful foot-shredding torture?
There is no clear cut answer for me. Perhaps it is because hiking always produces such happy memories upon reflection (pain is often exciting in past recollection). Perhaps it is because dreams long fostered have refused to die. Perhaps because being married and 22 means my wife and I may not get a better chance to do this together. Or perhaps because there is something irresistible about the Appalachian Trail. . .
My wife (Martha) and I (Abraham) recently completed our college degrees in horticulture and business (respectively). This has led to a rather brief interval of time which we could fill by joining the working class of America in order to build our material lives together . . . or choosing rather to remain jobless and drain what little savings we have to inflict excruciating torment on our hapless bodies. We have, of course, opted for the latter. 
It is rather perplexing to note that despite a general prospective loss of funds, health, and well-being we have elected to take this 2,200 mile journey. In response to those wondering whether or not they are reading an adventure story or the ramblings of a derelict nomad contributing to a labor shortage: . . . . I can't answer that now, and don't ask later either.
In any case, I suppose my wife and I are simply following the words of John Muir: ""Of all the paths you take in life, make sure a few of them are dirt"". 
Read my next post to find out the savings-draining, back-breaking equipment we're gonna haul around for the next several months.
Hums",,View Entry,"Jan 13, Thu",0
Hums,https://www.trailjournals.com//journal/entry/646528,"This will most likely be my last entry before we hit the trail on February 5th. Since much of my wife (Checklist) and I's gear is similar I will try to spare you from a long tedious list. But note there are several items we plan on sharing. This list also won't be everything we will be carrying. We will of course carry food, water, and other disposables.BEDROOMTent: Checklist and I will share the MSR Hubba Hubba 2 person tent, which should prove sufficiently sturdy enough for some snowy February nights.Backpack: I am starting the trail with the common choice of the Osprey Atmos 65L pack. Checklist has the women's version.Sleeping Bag: Checklist and I both have the Marmot Never Summer 0F Down Sleeping Bag.Sleeping Pad: I have the Thermarest Prolite 4 Large while Checklist has the Thermarest Regular. Both are heavier-than-average pads that should keep us warm due to their high R-value.KITCHENStove: I am carrying my Solo stove (which burns twigs), and Checklist is carrying a SnowPeak Gigapower 2.0.Pot/Pan: I am carrying a Toaks titanium pot/pan combo; Checklist is carrying a stainless pot.Utensils: We both have long-handled titanium spoons and pocket knives.Water Filtration: We both have the Katadyn BeFree Water Filters.Water Bottles: We'll both have around a 3-4 Liter carrying capacity.Firestarting: Several Bic Lighters should handle our needs nicely.Storage: We both have dry bags and Zline (to hang those bags).BATHROOMShovel: We will both carry a lightweight plastic trowel.Toiletries: Split between us we will carry: sanitizer, toothbrushes, toothpaste, floss, wipes, toilet paper, etc.First Aid/Repair Kit: Split between us we will carry: bandaids, leukotape (for blisters), Duct Tape, and a variety of vitamins.LIVING ROOM (EVERYTHING ELSE)Trekking Poles: We both have relatively inexpensive brands of trekking polesLiterature: A Bible, Half of both AWOL AT Guidebook and AT Conservancy Guidebook (we will mail ourselves the other halves when we reach the trail midpoint), and a waterproof notebook for Checklist's journaling.Electronics: We both have headlamps, I will have my Moto Gpower smartphone accompanied by an Anker power bank, and Checklist will carry a Sony A6000 digital camera.CLOSETWithout delving into all the specifics let me just summarize: We both will have two pairs of warm baselayers (one for hiking, one for sleeping), we both have a fleece microgrid mid-layer jacket, we both have a lightweight puffy, we both have a merino wool buff, I have an additional merino wool hat while Checklist has a beanie, we both have gloves, we both have hiking pants, we both have Frogg Toggs, we both have several pairs of Darn Tough hiking socks, we both have a pair of warm sleeping socks, we both have gaiters, and we both have good hiking shoes (I have Keen, she has Merrell). This post should be the last you'll hear of me until we hit the trail on the 5th!Hums",,View Entry,"Jan 26, Wed",0
Hums,https://www.trailjournals.com//journal/entry/646738,"Today was the day earmarked for the start of our adventure, but the Groundhog Day storm that hit the Midwest coated our local roads with a thick layer of snow and ice and made our original start date impossible. We have rolled forward our schedule and now plan to get started Tuesday, February 8th. Until then,Hums",,View Entry,"Feb 05, Sat",0
Hums,https://www.trailjournals.com//journal/entry/646865,"Day 1, February 8th
We woke up to a beautiful sunrise in southern Indiana. We then linked up with my mother and aunt, who were willing to  shuttle us and our packs to Amicalola Falls State Park, Georgia. Roughly 9 hours later Checklist and I stood underneath the stone arch  that marks the 8.8 mile approach trail to the official start of the AT . . . Springer Mountain. So many questions passed through my head in those brief moments. ""Is this real?"" ""Can we do this?"" ""Who will we meet?"" ""Will we catch any of the hundred+ hikers who have already started?"" 
At 5:30pm all these thoughts (along with the emotions of a long sought-after goal finally coming to a seeming fruition) tumbled around in my head as we made the ascent to Amicalola State Park Lodge. Highs in the 50s made the start particularly enjoyable. The trail flirts with one of the Park's many waterfalls before finally crossing over the waterfall itself twice (once right in front of the bulk of the water, and once directly atop the waterfall). We paused to look at the fabulous view of the hills of Georgia before pressing on to get some miles in before dark. After hiking for an hour or two in the dark we deemed it wise to tent up for the night.
Mileage for the day sits at about 4 miles, temperatures are dropping, and our zero degree sleeping bags feel marshmallowy warm.
Hums

Miles hiked - 4 
Miles left - 2,199.1","Amicalola State Park
",Halfway up the Approach Trail,"Feb 08, Tue",4
Hums,https://www.trailjournals.com//journal/entry/646866,"Day 2, February 9th
I awoke after a restless night to the sounds of Checklist outside. She was taking down the food bag (hung to keep food out of reach from bears, mice, and other pests) to make breakfast. After quickly eating several servings each of oatmeal we packed up clumsily and hit the trail around 8am. We and our gear sparkled like new toys in a department store. We were untested and unproven, and the excitement and energy we felt the night before still cushioned our every step. Our target? 4.8 miles north to the bronze plaque  marking the start of the AT and our first step onto white-blazed trail (white blazes on trees or rocks mark the official AT while blue blazes mark side trails and the approach trail).
We took it slow and hit Springer Mountain at noon for a lunch with a view. Shortly after arriving other hikers appeared from both directions. All were day or section hikers who were filled with encouragements for nervous thru-hikers like ourselves. Once, after I offered the information that Checklist and I had just graduated college a middle-aged woman beamed to her friends and exclaimed ""that is so smart! I wish I had done something like that at that age!"" This was a validation of something I had struggled with prior to the trail, and I was glad to hear our life decisions weren't crazy from a mouth other than my own.
Saying our goodbyes and finishing our tuna and Fritos, we began the descent down the north side of the mountain. For a while we cruised on lunch energy, enjoying the occasional waterfall, bridge, and labyrinth of Rhododendron bushes that turn the trail in Georgia into ""a green tunnel"". Somewhere around 3pm our energy began to fizzle out, and we decided to stick with our original goal of Hawk Mountain Shelter several miles farther along. Around 5:30pm we arrived at the shelter to see several tents scattered around the clearing along with a handful of people taking up residence in the shelter itself. After cooking our rather meager meal of one Mountain House apiece we decided to finish the day's duties so we could go to sleep with the sun. Working by flashlight I went to the bear cable next to the shelter only to see all the cables used for other people's food bags. A girl walking by politely informed me that the lines had two hooks apiece, and showed me how to work the simple pulley system. After hanging our food bags I turned to find her conversing with her male friend. Asking their names I learned that they were Sarah (no trail name yet) and Artisan, thru-hikers bound for Maine. After exchanging sentiments of the surreality of the adventure at this early stage I wished them a good nights sleep. It is doubtful we will see them again because they plan to start slow, to the tune of 5 or so miles a day. This wise strategy is unfortunately incompatible with our schedule, and should we repeat this 12.9 mile day again tomorrow we will sadly leave this amicable couple behind.
Hums.

Miles hiked - 12.9
Miles left - 2186.2","Halfway up the Approach Trail
",Hawk Mountain Shelter,"Feb 09, Wed",12.90
Hums,https://www.trailjournals.com//journal/entry/646867,"Day 3, February 10th
‍‍‍We start the day in similar fashion to the first one and we're on the trail by 8am. Hiking in Northern GA is proving to be a real treat. Photo-worthy views seem to be around every bend in the trail and it's hard to resist justifying each and every one as cause for a lengthy break. We stop for lunch at a rushing creek and filter water to refill our empty water bottles. The water is cold and refreshing and has a slightly different flavor than the water from the day before which came from a trickling spring. The warm sunshine feels good on our faces and we hike quickly, covering a lot of ground in a short time. I separate from Checklist at a shelter with a privy, promising to catch up to her once I've experienced the great outdoors from the eyes of a makeshift wooden box. 
I find several hikers conversing at the shelter, and upon coming back from the path to the privy find them already back on the trail headed north. Catching up to them we fall into easy conversation. They're locals, on an easy out'n'back day trip. One warns me of the black bears that frequent the trail, and after admitting that few bears venture out until March (peak hiker season) cautions me to make sure and hang food bags every night, something we're already committed to doing. ""You probably won't see any around here, but you should see some once you hit the Smokies!"" he posits as I hike away from them. I almost immediately encounter two more older gentlemen obviously just out for a stroll. ""Are you Hums?"" one asks, ""your wife passed us and said you'd be trying to catch up. ""Yes, how far is she ahead of me?"" I reply. ""Half an hour"" one jokes before the other jovially corrects him with ""more like 5 minutes"". I hike quickly, and catch up to Checklist who has found a midday rhythm. We walk at a brisk pace until we reach Ramrock Mountain, where we take a long break and enjoy the stunning view. 
Afterwards we find ourselves out of steam, and limp several more miles to Woody Gap. A dozen cars are there, and several middle-aged men are feeding a strong fire at one of several fire pits. I wait for Checklist, who is using the pit toilet, and try to look like a miserable thru-hiker who would love to be invited to what is obviously the makings of hotdogs and hamburgers. One finally notices and gruffly offers, ""come warm yourself, the fire isn't mine"". I've failed my first attempt at trail-begging, and I make a show of warming my hands before rejoining Checklist and hiking on. 
We drag our now protesting bodies up Big Cedar Mountain as the sun sets and pitch camp next to an east-facing lookout. We've hiked 13.8 miles and with any luck, we'll wake up to a sunrise tomorrow. Maybe that will make up for not getting to join the bonfire party.
Hums

Miles hiked -13.8
Miles left - 2,172.4","Hawk Mountain Shelter
",Big Cedar Mountain,"Feb 10, Thu",13.80
Hums,https://www.trailjournals.com//journal/entry/646868,"Day 4, February 11th
We wake up extra early to the makings of a beautiful sunrise. Enjoying the wonder of God's creation slows our morning routine of making breakfast and packing up camp, and we end up leaving at our usual (so far) time of 8am. Blood Mountain looms large in our sights just 7 miles away. Sitting at approximately 4,460 ft it is our first real obstacle, and the place where many people call it quits. We decide to try and eat lunch at the summit, which means covering ground at around 2 miles an hour. Halfway there we stop to talk to ""Moses"", a section hiker who lives nearby and has been giving advice to thru-hikers for longer than we've been alive. Moses regals us with stories of thru-hikers, and gives us some insight into places coming up on the trail. 
Hiking on we start to climb in elevation; we met Moses at around 3000 ft, and have a long way to go before we can lighten our food bags by eating a pound or so of food. We make the summit just past noon, and are pleased to find that the mountain isn't much of an obstacle for us. Day hikers abound in numbers everywhere, and we lunch on one ledge of a large rock with near 360 degree views. I've been quickly discovering what I've read to be true: going down is much worse than going up. With every step down the mountain my foot jams forward uncomfortably and my ill-fated knees protest threateningly. Rock steps have been built into the steep path but in many places they seem to have been constructed with giants in mind. I am forced to either use both poles to lever myself down or scoot recklessly. I opt for the former at this early stage of the hike but am frustrated with how it slows my pace.
At the bottom of the 2 mile descent Neel Gap awaits us. For the first and only time, the trail runs right through a building. Employees and hikers are sitting at picnic tables and hail us as we walk in. One employee motions to a large tree bowing with the weight of hundreds of new pairs of shoes. ""People come down from the mountain and just throw thar shoes up thar and quit!"" he growls happily. I momentarily consider trying to climb up and grab some shoes for Checklist and myself. Hiking shoes are expensive and hikers often go through multiple pairs. I dismiss the idea, as several pairs of used shoes aren't worth a broken leg. We introduce ourselves to the group and learn that ""Moment"" is also attempting to thru-hike the trail. He is middle-aged, has a good sense of humor, and has a friend who is limited to two weeks on the trail. The hostel/outfitter under which the trail passes is heating frozen pizzas and selling them for $8 each. Despite the fact that I just had lunch, I am interested, but the pizzas take 15 minutes to warm up and we want to make 5 more miles before dark so we press on.
Moment and his friend catch us going down the next mountain and we exchange pleasantries and comments about gear Moment's friend is carrying a small guitar and warns us to stay away from whatever campsite he brings it out at next. They hike on and we follow after a short break. Several miles later our feet hurt, and we agree to stop at the next campsite. We soon come to a site with an overlook but it is occupied by two men blasting music and talking on smartphones. Disgusted and exhausted we hike on for another half mile to find a pleasant campsite with Moment and his friend cooking supper. We mosey over hoping they'll suggest we join them, and Moment seems to catch on quickly. ""There's plenty of room if you guys want to stay"" he beckons with an arm. We pitch camp and cook supper quietly. We covered 13.6 miles today. Hopefully our joints can be ready for work again tomorrow.
Hums

Miles hiked - 13.6
Miles left - 2,158.8","Big Cedar Mountain
",Bags Creek Gap,"Feb 11, Fri",13.60
Hums,https://www.trailjournals.com//journal/entry/646869,"Day 5, February 12th
‍‍Checklist starts the day early by boiling water for Cream of Wheat. We pack up quickly hoping to get a headstart on the faster pair of hikers we spent the night with. As we finish our morning routine and shrug on our packs Moment wanders over and says good morning. He introduces his friend as Julie Andrews (so named because he has in the past burst into song at the sight of nature's majesty) and asks us what are plans are for the day. We inform them that we are headed for Blue Mountain Shelter so that we can resupply in Hiawassee, GA on Sunday morning. They have the same plan and we head off expecting to spend the day leapfrogging with them. 
We've gotten a slightly earlier start at around 7:30am and we pass multiple campsites with groggily awaking hikers before reaching the summit of Cowrock Mountain. Two people are on the summit and as we hike into view one exclaims ""you just missed a great sunrise!"" He's a local who introduces himself as Metro on the Move, and asks if he can interview us for his YouTube channel. We accept and say hellos to his GoPro before learning the other person, an older woman with a cheery face, is another thru-hiker named ""T"". We feel we've spent enough time on the rock and don't want Moment and Julie to catch us already so we move on. To our surprise T keeps up with our youthful pace down the mile descent of Cowrock Mountain. We chat and learn that she has already section hiked the entire AT over the course of many summers and is now ""seeing if she can do it all at once"". She tells us about the 2022 thru-hikers she's met already and shocks us by telling us of a 19 year old who is carrying a 45 lb pack (25 of which is food). T had given him the trail name of ""Moose"" both because of his heavy load and because he was headed home to Maine. She tells us that Moose is a days's hike ahead of us and I wonder if we will catch him anytime soon . . . or at all. We reach the bottom of the mountain and T informs us she is slow on the ascent and won't travel far today. We bid her adieu and I secretly hope we will meet this charming lady again as we hike on. 
We heave ourselves up yet another mountain and are left gasping for breath as Moment and Julie come by. They sympathize with our woes as they feel the struggle of such an early hill just as much as we do. The rest of our pre-lunch hike is pleasant and uneventful. The terrain is even and we hike at a quickened pace. For lunch we eat what is left of our meat sticks & tuna and tuck our nearly empty food bags back into our packs.
We walk the remaining handful of miles to Blue Mountain Shelter where we find stunning views and a handful of thru-hikers loudly talking and doing camp duties. I write an entry in the shelter logbook and then introduce myself to the hikers. Tex and Catfish are hiking together and are looking forward to the comforts of town. Tex is musing on the advisability of smoking while hiking and wonders if it slows his pace. The other two hikers have yet to receive trail names but have been dubbed ""Thing 1 & Thing 2"" by Tex until they figure it out. 
A night with them nearby doesn't promise to be a quiet one so we decide to press on to the next likely campsite. As we leave I amusedly note that Moment and Julie have set up their tents on the opposite side of the clearing from the noisy bunch. We hike another half mile before finding an ideal campsite and we gladly crawl into our sleeping bags as the temperature drops. We hiked our longest day yet of 15 miles and we excitedly plan for our first resupply on the coming day. We also plan to try our luck at hitchhiking!
Hums

Miles hiked today - 15
Miles left - 2,143.8","Bags Creek Gap
",Blue Mountain,"Feb 12, Sat",15
Hums,https://www.trailjournals.com//journal/entry/646971,"‍‍It's cold when I poke my head out of my sleeping bag. . . too cold for this 6am wake-up we planned the night before. We didn't expect temperatures to drop around 10 degrees below freezing and though we stayed warm through the night the cold air won't make this early 2 mile hike down to Unicoi Gap any easier. We're out of food as well so I load my backpack with my stomach growling. We warm up as we hike down and reach the gap by 8am. We feel guilty about trying to thumb a ride when many people are at home getting ready for church. Perhaps this is why we don't have any luck with the few cars that pass by at this early hour. 
Our spirits lift when we see Julie and Moment hiking down the mountain. As they cross the road and come toward us I wonder if we can pool on a shuttle so we can get out of this weather sooner. Moment has this in mind as well and calls a local shuttle service. ""Five bucks each gets us into Hiawassee"" he announces from his phone. Five hundred measly pennies for a trip to warmth, food, and comfort? We agree to the ride and commiserate about the cold turn to the weather. A Trail Ambassador arrives and seems happy to have found another batch of thru-hikers to scare and awe with trail lore . A Trail Ambassador is someone who works for the AT Conservancy (The organization that oversees the AT)  doing various tasks like cleaning up trash, directing volunteer work, and facilitating hikers in peak season. He tells us that 30% of thru-hikers quit by Franklin, NC (just a few dozen miles farther from where we are now). He also congratulates us on being out at the right time. ""In another week or two we'll be seeing around 50 thru-hikers start each day!"" he exclaimed. 
Our shuttle arrives and we say goodbye to one trail guru only to clamber into a truck with another. ""RU"" thru-hiked in 2016 as a retirement gift and liked Hiawassee so much she sold her house in Tampa to become a shuttler for the AT. She drops us off in Hiawassee at the local grocery store, where we split ways with Moment and Julie, (who has cheerfully covered the shuttle cost) to roll carts happily through the store. Every aisle holds the promise of more food, and we quickly hit our limit in cash, weight, and volume. The store has a deli and we each buy 12 inch subs for supper. In the immediate context we want a hot breakfast so we begin walking down to a nearby Huddle House (a chain that reminds us of a Denny's back home in Indiana. We've only walked several hundred feet when a car stops in traffic and a friendly man yells ""want a lift?"". We gladly hop in and break all childhood rules of riding with strangers to save our legs two blocks. 
Huddle House is a haven with free wifi, private bathrooms, and an outlet next to our table. We plunk down backpacks and begin setting up camp for the day. A friendly waitress shows and informs us that they are serving both breakfast and lunch. We decide to cover both bases so I first order us each a breakfast of eggs, bacon, hash browns, biscuits & gravy, and a waffle. Then I order us each a lunch of a burger with sweet potato fries. We have no trouble downing all the food, and I post my trail journal of the last several days before calling RU for a ride back to Unicoi Gap. Our waitress comes over to our table before we leave and sympathetically asks if a life on the road is difficult. I am inwardly thrilled that I already look like a homeless bum but I assure our well meaning server that we are just hiking an extra long trail that she has somehow never heard of and don't in fact need a ride to the local homeless shelter.
We resume hiking around 1pm and forge strongly up several formidable mountains with the energy of a solid hiker meal. Daylight begins to wane around 6pm and we stop for the day. I struggle with our extra heavy bear bags and settle for a less than perfect hang. At least a bear will have to work a little to get our food.
Hums
Miles hiked - 10.5
Miles left - 2,133.3","Blue Mountain
",Near Young Lick Knob,"Feb 13, Sun",10.50
