Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Klang-on,https://www.trailjournals.com//journal/entry/647885,"I will be returning to the AT after thru-hiking it in 2020-2021, on March 29.  I'll be hiking with ""Wicked"" who I hiked with in NE, VA, and TN, and we'll hike NOBO (northbound), starting at Winding Stair Gap on US64, west of Franklin, NC.  I will try to post entries and photos daily.  Feel free to post questions and comments in the Guest Book section of my blog and I will try to respond as quickly as I can!  Continuing to Klang-On!",,View Entry,"Mar 26, Sat",0
Klang-on,https://www.trailjournals.com//journal/entry/647914,"I will be starting my journey late tonight, leaving home at 12:45am Monday, to catch the Amtrak train from Cleveland to Martinsburg, WV.  ""Wicked"" will pick me up there and we'll drive to Newport, TN.  The journey continues from there....Continue Klanging-on!",,View Entry,"Mar 27, Sun",0
Klang-on,https://www.trailjournals.com//journal/entry/647976,"This is my 3rd entry, which should enable my 2022 AT Section Hike blog to start showing up.  Unfortunately, my departure via Amtrak from Cleveland is delayed, with my train projected to leave at 3:11am instead of 1:54am!  Yes, it's the only train of the day!  Supposedly I'll arrive in Martinsburg, WV only 30 minutes late, but we'll see.  More to come! Continue Klanging-on!",,View Entry,"Mar 27, Sun",0
Klang-on,https://www.trailjournals.com//journal/entry/648001,"After a long day of train and road travel, I made it to Newport,TN with “Wicked”.  It was amazing to transition from snow in the north to spring flowers and green grass in the south.  Last day before hitting the AT tomorrow!Continue Klangin’ On!",,View Entry,"Mar 28, Mon",0
Klang-on,https://www.trailjournals.com//journal/entry/648056,"Day 1 went well!  Wicked and I drove from Newport, TN to Standing Bear Hostel near Hartford, TN where we parked Wicked’s truck and got shuttled to our starting point on the trail.  Hiked from 10am - 3:30pm, with 3600’ ups/downs.  Not bad for our first day, as we begin getting our legs in shape.  Didn’t see nearly as many NOBO’s as expected as we’re in the bubble hiking north from GA.Continue Klangin-On!","Winding Stair Gap/US 64
",Wine spring campsite,"Mar 29, Tue",8.20
Klang-on,https://www.trailjournals.com//journal/entry/648057,"Day 2 was a shorter day mainly because we’re supposed to get rain and high winds during the night, and we didn’t have in us to hike 6 miles to the next shelter.  Still getting trail legs.  Started out at 43 degrees and rose into the 60’s.  3400’ ups/downs.Continuing Klangin’-On!","Wine spring campsite
",Cold Spring Shelter,"Mar 30, Wed",7.60
Klang-on,https://www.trailjournals.com//journal/entry/648122,Day 3 went very well.  7 of us crammed into a 6 person shelter and stayed dry during last nights downpour and high winds.  Got sprinkled on a little during today’s hike but not bad.  Hiked our longest day yet at 10.7 miles.  Descended from 4920’ to 2090’ with 5700’ of ups and downs. Seeing more signs of spring at lower elevations.  Wicked led us most of the way and did a great job setting the pace.Continue Klang-in’ On!,"Cold Spring Shelter
",Rufus Morgan Shelter,"Mar 31, Thu",10.70
Klang-on,https://www.trailjournals.com//journal/entry/648168,Day 4 was a short distance day at 7.9 miles and only had 4300’ of ups/downs but was our toughest hiking day yet due to a 3000’ climb out of Nantahala Gorge.  We did our first resupply at the Nantahala Outdoor Center so we’re carrying 4 days of food up the mountains.  Seeing more NOBO hikers now; maybe because the weather is good and they’re coming back on the trail after waiting out the rainstorm.  Back up at 4300’ elevation there are no signs of spring.  Continue Klangin’ On!,"Rufus Morgan Shelter
",Sassafras Gap Shelter,"Apr 01, Fri",7.90
Klang-on,https://www.trailjournals.com//journal/entry/648226,"Day 5 went well and included several surprises!   First one was a big one: trail magic at Stecoah Gap which coincided with lunch time!  Ate a cheeseburger, chips, banana, apple, and banana cream pudding!  Put on by a church group, they had everything a hiker might need, including first aid supplies and toilet paper! (Privies at shelters don’t have it, so we have to furnish our own).  Second surprise was Jacob’s Ladder, a 600’ climb in less than a mile that worked out to over 1000 ft./mile.  Weather continues to be good and it was another good day!  5300’ of ups/downs.
Continue Klangin’-On!","Sassafras Gap Shelter
",Brown Fork Gap Shelter,"Apr 02, Sat",9.10
Klang-on,https://www.trailjournals.com//journal/entry/648282,"Day 6 was a great day on the trail!  Weather was good - high in the 60’s and sunny.  Met some very nice NOBO section hikers: Smog, Tom (I’m going to offer him a trail name tonight!), Yoda, and Butterfly.  We all camped in the same area, near a shelter and had a nice campfire and discussions.  One that brought back fond family memories was the engineer vs. sales contrast, as we had 3 engineers and 1 sales guy.  Trail was “gentler” today, with only 4300’ of ups/downs.  Continue Klangin’ On!","Brown Fork Gap Shelter
",Stealth site at MM 162.1,"Apr 03, Sun",9.20
