Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Not Yet,https://www.trailjournals.com//journal/entry/649418,"I'm a little less than two months from the start of my LASH. I've got from June 18 to August 25ish to complete the stretch of the AT between the Bear Mountain Bridge in New York and Katahdin, sandwiched between two family events. It's a hard stop at August 25th, so I'm prepared to cut things short if I arrive at Monson (or Caratunk if I'm truly slow) without enough time to complete. I'm planning to break the trail into thirds, doing the middle next fall and the southern third the fall after that. I'm pretty confident that I will enjoy it - not my first rodeo at this point, I really enjoyed doing the Long Trail. I'm going to be retiring on June 17, going to my nephew's wedding that night and then in the morning, my wife Kate and I will be driving from the Boston area to New York to drop me off.I have what's in my pack pretty much nailed down at this point. The one thing I'm debating is whether it's going to be warm enough to start out with just a sleeping bag liner or whether to bring the whole sleeping bag. It's a pound difference, I can always just wear a lot of clothes to bed and I'm OK with sleeping a little cold. It would be an experiment and I'd probably switch to the sleeping bag before I hit Vermont. I'm not going to be ultra-light - I am switching to a Gossamer Gear Mariposa pack, but I am also carrying a bear canister instead of hanging my food - that's going to be a big part of my base weight. There was a bear incident in Vermont a couple years ago and they had to shoot the bear. GMC is advising using canisters, so I'm going to comply. Other than that, I have a nice Big Agnes tent - it's free standing which I like and double-walled which I like, but surely more weight than something from ZPacks or similar. I'll probably have a base weight of somewhere between 15 and 20.I've been trying to prepare physically for the hike. I'm doing the hard third first because I'm not getting any younger (will turn 65 on the trail). I go out daily for a simulated hike with a 30 pound ruckweight in a day pack and that's helped. My son and I went up to Bond and the Guyot campsite in New Hampshire overnight last fall and the physical aspect was no big deal, so I think I'll do well in Connecticut and Massachusetts, hopefully get trail legs by the time I hit the Whites. I think I have enough time to take it slow through there, assuming not so many zeros and I should make it to Monson before mid August.It'll be fun meeting people on the trail. I'm looking forward to making friends, hopefully I'll catch on with a group and get a trail family. The Long Trail worked out great that way; I have really fond memories of Wa, Brightside, Ian and Arden who hiked along with me there and I'm hoping that I will find a similarly compatible group. Maybe some older folks, although I may be out at the front of the bubble with the speedsters and get bypassed by all of them. Time will tell. ",,View Entry,"Apr 23, Sat",0
Not Yet,https://www.trailjournals.com//journal/entry/652142,"So, less than three weeks until I am starting my trip. I suppose it would be something to worry about if I didn't have butterflies. I'm not worried about bears, not worried about bugs, not worried about the physical exertion or sleeping outside. It's more the logistics that I stew over:* Is the country store going to be closed by the time I get there?* Will I be able to get a hitch / get a shuttle to town?* Will I be able to get a reservation at the hostel - will I be in cell phone range to do so?* Am I going to be able to find a place to charge my electronics?I guess I'm not a go-with-the-flow, the-trail-will-provide type of person. I expect the universe not to co-operate or to be friendly, at least the part outside of the woods. So everything has to be well-planned, has to be buttressed against whatever could go wrong. Reminding myself:* You're not the first to have done this* There are others along, you'll find a tramily like last time and all work together to figure out the logistics* The Bulls Bridge Country Store is open from 6 am to 8 pm at mile 1463. So pack 5 days worth of food.The other thing that worries me is my tent. It's a Big Agnes free standing single person. It has these poles. You have to bend the poles to get the tent shape. I've snapped one of the poles (I did get a replacement). What about the metal fatigue? Are the poles going to hold up, being bent 60 or so more times? Should I have a backup tent? It's a nice tent. There's lots of room inside, double walls so no condensation, bugproof, with a good bathtub so I don't get soaked in the rain. The times I've been out in it in the rain, it's held up well, no worry that it's going to leak, your stuff will be wet and you'll freeze to death. But the poles freak me out, every time I bend them into position.Trying to get away from all this sort of anxiety. Hopefully I will learn to live with it.",,View Entry,"May 29, Sun",0
Not Yet,https://www.trailjournals.com//journal/entry/652835,"I'm one week out from the start of my hike. I'll be heading down to the Bear Mountain Zoo on June 18 going NOBO to KatahdinI've put together my pack tentatively:* Tent: Big Agnes Mtn Glo 1 person* Sleep system: Marmot 30 degree synthetic bag / Thermarest pad / Sea to Summit inflatable pillow / Sea to Summit large compression bag* Pack: Gossamer Gear Mariposa + Osprey pack cover* Electronics: Anker 10K battery / In Reach Mini / Anker wall charger / 2 cables / Google Pixel 5 / Nitecore NU25 headlamp / headphones* Food: Bear Vault 450 + 4 breakfasts / 3 dinners / 10 bars / Trail Mix / Spices / Toothbrush / Toothpaste / Floss / Electrolytes / Coffee / MSR Pocket Rocket / Cook pot / Cup / Lighter / 2 fuel canisters (one of them is almost empty) / two 1L Polar seltzer bottles / 20 oz Schweppes Ginger Ale bottle (not shown) / Plastic spork* Trekking poles* Clothing: 2 pair Darn Tough socks / Injinji sock liners / Xero sandals / Midweight full-sleve top / Midweight full-length bottom / towel / shorts / hat / pants / 2 t-shirts / buff / REI rain jacket / REI fleece (shirts / pants / socks / fleece are Insect Shield Pemathrin-treated)* Misc: Sawyer filter + backflush attachment + extra O-rings / Ibuprofen / ointments / Band-aids / Leukotape / Mouth guard (not shown) / Flint / Utility knife / Cord / Bug net / Nail clippers / razor (no handle) / Glasses / Compass / Toilet Paper / Deuce of Spades / Emergency blanket (not shown)  / Trail journals / PenI have a bunch of stuff for backup. More fuel canisters (what was I thinking?), sleeping bag liner, puffy (I should have enough warm, dry clothes in the compression bag), bear hang kit (may switch to that in 100 mile wilderness), more trail food, etc.Well, I have a tent, I have a sleeping bag, I have food, I have my filter and I have my water. Not my first rodeo, I should be OK.",,View Entry,"Jun 11, Sat",0
Not Yet,https://www.trailjournals.com//journal/entry/653221,"Kate, Sue and I drove from Boston to Bear Mountain today. We got there a little after one, Kate dropped me off, we took photos and suddenly, I was off. Bear Mtn. is an odd place to start the trail. You're among all these families and picnics, people on an outing from New York City on a weekend day. The trail is marked with plastic blazes, you go through the zoo, past the bears (brown bears), then out onto the highway and over the Bear Mountain Bridge. You're over the Hudson, I think it's the only river that is tidal at the place you cross over it. It's brackish up here, still salt water. You go down the road a bit, crossing over from Westchester to Putnam county and then into the woods.I had decided to climb the ridge and take the blue blaze side trail to Anthony's Nose. It is a popular trail, especially on the weekend, lots of couples and friends. You end up on a ledge that overlooks the Hudson and bridge dramatically. It was very windy up there.The trail here is nice enough. There are enough ups and downs but you're often on a ridge, the understory is blueberries (not ripe), fern and mountain Laurel, some still in bloom. The trees are mostly oak.I ended the day at the Appalachian Deli, which is a gas station at one of the road crossings. You can get a sandwich there and something to drink. After that, a short walk to Graymoor Spiritual Center which let's you tent on their ballfield and has some facilities too. They're apparently holding an AA meeting right now with a fire in their fire pit.Who would have thunk? There is a saxophonist too who is pretty good but it is going to be hard to sleep if he continues past hikers midnight.","Bear mtn inn
",Graymoor spiritual center,"Jun 18, Sat",6
Not Yet,https://www.trailjournals.com//journal/entry/653251,"I woke up before 5 AM this morning to a blue sky, gloaming and a waning gibbous moon. My mind was exceptionally clear and calm, I'd had a good sleep. Last night, I dreamt that I was working ( I have just retired) and my boss asked me why I was back. Oh I guess dreams of unfinished work are now going to replace dreams of unfinished classes at school.Yesterday evening, Starbucks, who is here with her husband, Pakka asked me ""Do you have a trail name?"" I replied ""not yet"" and I realized that reply could be taken two ways. So now my trail name is ""Not Yet"". It is not the worst name, I think I will hold onto it.I was out and hiking by 6:30, a nice early start. It was cool but not cold and when I reached the first lookout, there was most on the hills across from me still.There is a story related to the lookout. I had lost my hat. It might have fallen out of my pocket. I might have reacted in any number of ways, been mad, been despondent, but instead, I had ill will to the hat. I cursed at the hat, said it was a stupid hat anyway and it was a good thing that it was lost. So I am hiking and turning a corner to go downhill and there in the middle of the trail, hanging from a branch was the hat. Some hiker must have found it, gotten ahead of me and then hung the hat up for me to find. It was right next to the overlook, so stopping made ne notice the view. It was a twofer. Hat came back like a bad penny. The day was a lot of ups and downs which the AT is famous for. Nonetheless the hiking was nice, dramatic ledges, more unripe blueberries and giant millipedes. There is a placque in the woods marking it as the site of George Washington's inoculation of his troops for smallpox. The cowpox vaccine had not been invented. Washington used a less virulent strain, Variola, to inoculate the troops, protecting them from an outbreak.I ended the day at Canopus Lake where there are lots of families picnicking and swimming. They have a snack bar, all day I was hoping they would have veggie burgers and they did. I had fries and a lemonade to go with them. They also had a shower, cold water only but I took one anyway. I am now in the campground for AT hikers. A group of women are here as is Cooper. It is still early so maybe more later. There is no water source and no privy. I guess we are supposed to go back to the lake to take care of that.","Graymoor spiritual center
",Canopus Lake,"Jun 19, Sun",13.80
Not Yet,https://www.trailjournals.com//journal/entry/653322,"Don't expect 20 miles from me every day. I ran into a logistical problem where I would have to do an 18 mile tomorrow unless I did the mileage today-there just aren't a lot of shelters.
The day started out with breakfast at the picnic tables at Canopus Lake. The crows were foraging, maybe for a half-eaten hot dog or the bun that went with it. The crows here make this disturbing noise - they say Wow Wow instead of Caw Caw. I guess it is the local dialect.
I climbed out of camp, there is a nice overlook of the lake. The trail goes down, then under the Taconic Parkway, then up to a ridge. That is often the way it goes, a saddle point where the height of the pass for the cars is the hike's low point. There were great views west, some big mountains, too far south to be the Adirondacks I think, maybe the Catskills. If I looked hard, I could make out Camp Kuchalen.
I saw a lot of wildlife today. There was a baby bird, right on the trail. There was nothing I could do to help it-you are not supposed to feed any type of wild animal. I wished it well, wished it as comfortable a life as it could have. Maybe the pathos of the scene, the mind creates a metaphor and maybe, a person could have some tenderness to someone equally frail and helpless.
I also saw two garter snakes, a doe and her faun, and a pile of bear poop. Oh and there, right now is a hermit thrush singing its incredibly beautiful song.
I spent the day walking on schist which is a metamorphic rock. That surprised me. I could really use someone with a scientific bent to do some geology research for me.","Canopus Lake
",Telephone Pioneer Shelter,"Jun 20, Mon",21.80
Not Yet,https://www.trailjournals.com//journal/entry/653369,"Today was an easy day after yesterday's 20. I made up my mind to take my time. Nevertheless, I felt good and well-rested and in no pain. The terrain was mostly flat, with more downs than ups as I descended into the Housatonic watershed. The trail went through farms (they have these odd half fence half ladder things to get you over the electric fence) and marshes. The trail maintainers had built this impressive walkway across one of the marshes, others were traversed by two 2x4 s put side to side. By the way, the crows today were saying Caw Caw. Maybe crows say Wow only when they get a hot dog.
I received my third trail magic today, an ice cold Gatorade in a cooler left by a trail angel. Thank you Chris and all the other trail angels out there, that sort of refreshment is indescribable after a hot day.
Other things seen, another big oak tree. I may or may not have seen the Dover Oak yesterday, I am not sure, but this one was almost as massive with a crown that might have been 100 feet in diameter and a trunk that may have been six or eight feet thick. I went through a grove of trees, the understory completely covered in mountain Laurel, some in bloom, some not. I saw these fake strawberries. They look almost like real strawberries, there is a picture of one in the photos section. I also saw another doe, looking straight at me from down the trail. So all in all, a good day.
I am set up for what's called a Nero tomorrow, which stands for a near zero day, a day with few miles. I will be walking into Kent where I will recharge, resupply, shower and do my laundry. Will let you all know how it goes tomorrow.","Telephone Pioneer Shelter
",View Entry,"Jun 21, Tue",13
Not Yet,https://www.trailjournals.com//journal/entry/653439,"Today was a short day, a near zero or Nero. The goal was to resupply at Kent, get my clothes cleaned and get in a shower, then go back up into the woods again. But there was a walk, a bit of a climb on a foggy day. Today, I saw what I think was marble although it could have been quartz. I need a geologist badly. Marble is metamorphosized limestone I believe, which means it was once shells and that surely dates the rock.
The climb went up through an understory of ferns, reached a ridge with scant view because of the clouds, then went along a ridge. There were blueberries. All but five were ripe. I may or may not have eaten them. I also saw my first and second red eft. They are salamanders and they are all over the Appalachian Trail.
I went down to the road and Nomad was there. He is a guy my age, retired Navy, He has sold his house and is doing part of the trail before settling down again. His knee was sore, after only four miles of walking, it is the ups and downs that kill the knees, especially the downs, although this is thankfully hearsay to me because my knees have never bothered me. We walked into town together, a short, flat walk, so it was ok for him. We stopped for burgers (they had a beyond veggie burger for me) and sweet potato fries. There is something that happens to you on a through hike, food never tastes as good. The first bite of that sweet potato fry was worth all the miles I have walked so far. The burger was excellent too.
We did our laundry together splitting a machine. He had more socks, three pair, unless my toe socks count in which case we are even. I resupplied at the grocery store, we went and had smoothies (again, heaven) and then I went and had a shower, coin operated, four minutes of bliss.
We parted ways. I had to get to a shelter with someplace flat for my tent, he has a hammock so he could move forward rather than retreat like I did. I had to go south half a mile to get here.
That is all for now, tomorrow a big day, 16 miles.
I forgot. I saw a birch tree with a blue ribbon around it. There were a million caterpillars on it and they were all dead. Do they die when they see the color, blue? Did someone come up here to spray that tree? I don't know. While I was writing this, a dead caterpillar fell out of a tree go figure.","10 mile shelter
",My Algo Shelter,"Jun 22, Wed",8.90
Not Yet,https://www.trailjournals.com//journal/entry/653492,"Today was a day of intertwined stories, flowers, walking and fellow hikers.Flowers first. I saw the most beautiful spray of purple aster growing between two boulders. Walking along the banks of the Housatonic, I saw day lilies, black eyed susan and more asters. I passed a field with asters, black eyed susan and two kinds of clover, one white, one purple. I walked through a mountain Laurel understory and they were all in bloom.The highlight of the hike was St. Paul's Ledges. This is a rock dome, about 500 feet in height. The trail maintainers have artfully woven the descent of it in a seam of the rock where it is split. It was challenging and fun. That was followed by five miles of flat walking along the Housatonic. Then came the ups and downs, with some views, eight miles of them.Wait, there's a story I have to interject. That tree I saw a couple days ago was the borderline of the caterpillar army. I had been seeing comments online, ""hung my tent to dry here, beware of the caterpillar army"". I am in occupied territory now, they have stripped the trees, a gypsy moth infestation.But, the army has been defeated. On tree after tree hang dead caterpillars. I don't know if a parasitid wasp or a fungus got them, but all of what they did seems to have been in vain.Finally, my compatriots. Nomad rallied and made it here with me. Dirty Brad just left after eating a sequestered piece of town pizza. I am here with Penguin, Mushroom and Hot Dog, all of whom I had heard about. I saw Flatpick, who carries a backpack Martin guitar with him. I spent a lot of time talking with Rocker on the Housatonic walk and Rock Steady and I were flip flopping each other throughout the day. All this was on a day where I saw no one for the first several hours of my hike.","My Algo Shelter
",Pine swamp shelter,"Jun 23, Thu",16
Not Yet,https://www.trailjournals.com//journal/entry/653562,"First of all, before I forget, I want to acknowledge the trail angels, in particular Chris from Kent and the Collins? Family from Salisbury. I was given three Gatorades by Chris and a Mountain Dew by the others. I signed up for whatever hardships the trail brings, but a cold drink is such a welcome pick me up.
Today was à day of views. I am on the mountains bordering the Housatonic and there are so many views of the farms and towns below and of the mountains on the other side. I ended the day at Lion's Head and Riga Shelter which have spectacular views East. Trotter, Little Bear and I are getting up before dawn to see the sun rise, hopefully I will have pictures.
Hiker hunger has definitely struck me. You get this legendary appetite hiking, two dinners and three dessert appetite. This morning was all about food. Nomad and I made this plan to go to the Mountain Cafe in Cornwall.It was all I could think about. We got there and I had this breakfast burrito, fluffy egg, black beans, refried rice and some kind of hot pepper aoli, finished on a panini press. The first bite, it was as delicious as anything you could get. I savored it. I could easily have eaten two more.
One of my daydreams is to open a restaurant at the top of a mountain that everyone has to hike to, the food will be so delicious.
Long day, I am going to end here, it is past hikers midnight.
Adding a couple more things:
Yesterday, I was coming to crest one of the things I had been climbing and as I got near the top, I could hear ""Raw, Raw"" again, a disturbing crow noise. I got to the top and there were two of them, one making the noise. Once I passed, they stopped. Five minutes later, I hear it again, ""Raw, Raw"". Ten minutes later, Rock Steady passes me. So now I know two words of crow. ""Wow, Wow"" means got a hot dog and ""Raw, Raw"" means ""Human coming"".","Pine swamp shelter
",Riga shelter,"Jun 24, Fri",19
