Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Paisley,https://www.trailjournals.com//journal/entry/648010,"The AT is hilly.  The elevation is pretty manageable, unlike the CT, but the amount of gain and loss is huge and unlike western trail, the trails in the east tend to just go straight up the hill without any switchbacks to ease the climb.  As I stated at the beginning of my CT journal, Michigan does not have much in the way of mountains.  We have some beautiful escarpments (Porcupine Mountains) and some really hard to climb dunes all along the shore of Lake Michigan, but not much in the way of mountains. That means it is back to the stairs to train.  Working up to 100 flights of steps in the picture (Qty = 24) as a means of developing climbing leg muscles and CV fitness.",,View Entry,"Mar 29, Tue",0
Paisley,https://www.trailjournals.com//journal/entry/648250,"April 1st was my last day of work ending a 34 year career. It is so strange to think that tomorrow, I do not have to go to work, which also means that I will not see any of my work friends. Most of my work friends are following this journal, so to them, I would just like to say thank you and I miss you all already. 
Training on the stairs continues. I did 80 flights on Saturday and 60 flights today (Sunday). I am also planning to hike most of the Waterloo Pinckney trail as a second shake down hike. My first shakedown was the Manistee River Trail a couple weekends ago.",,View Entry,"Apr 03, Sun",0
Paisley,https://www.trailjournals.com//journal/entry/648777,"Last week I did a shake down hike doing a short out and back on a section of the North Country Trail (NCT).  I got a late start on Tuesday but still hiked in 8 miles. Wednesday was a rainy morning. It rained pretty steady until about 1:00 in the afternoon. Q: What do hikers do when it rains?  A: GET WET!  Unfortunately so did my sleeping bag. That is not allowed. Turns out the bag that I was using as my dry bag, well, leaked. That's why it is always good to do a shake down in bad weather. I am grateful for the lesson. I will have to add a little weight to have a more reliable dry bag. Beats sleeping in a wet bag. I still walked 16 flat miles in spite of the rain. It was supposed to be colder Thursday night so I decided that the best course was to hike the 23 flat miles back to my van, so that is what I did. My legs were a little tight when I got out of the van after a 3 hour drive home, but I was not as sore as I thought 23 miles would make me, so my training is paying off. Oh, btw I did make my 100 flight goal. 
Repacking and getting ready for the trip to Georgia. I start walking North on Monday the 18th. Excited and scared, at the same time.",,View Entry,"Apr 13, Wed",0
Paisley,https://www.trailjournals.com//journal/entry/649073,"This is my first ever android phone so I figured that I had better test the alarm feature before expecting it to awaken me in time for my 4:00 am ride to the airport. My first several tries were failures, so I started getting scared. I figured out that you have to use the screen saver, but I went to sleep thinking the alarm might not work and I would miss my plane. That made for a fitful night of sleep because I kept checking the time. My alarm did work and I made it through security with plenty of time. Uneventful flight, a little trouble finding the Uber driver, I arrived at Amicalola Falls at 11:00 am. Quick presentation on how to through hike and I was on the trail at 11:45. It was a light drizzle at first, then the fog moved in making the mountain trail look very spooky. Kept thinking I was hearing dueling banjos, but it was just my imagination. I stopped at Black Gap Shelter and set my tent on a pad near the shelter. I could have pushed further, but it is wise to leave fuel in the tank for tomorrow. Tomorrow, it about 2 miles of uphill I will reach the southern terminus of the Appalachian Trail.","Amicalola Falls State Park, Georgia
",Black Creek Gap,"Apr 18, Mon",7.30
Paisley,https://www.trailjournals.com//journal/entry/649542,"The highlights of today's 9.6 mile hike were Springer Mountain and Long Creek Falls. I started out in the morning with just a thin 1/4 zip over my usual thin wool short sleeve. Start bold and cold. It was a climb up to Springer and I was just barely able to keep warm. Once I reached the top of Springer I had to layer up immediately. I added my rain coat and my glove. It was not raining, I just needed the rain coat to cut the wind. I took a few pictures, signed the log book and headed north. About lunch time I reached Long Creek Falls. I decided to eat my lunch there. Long Creek Falls are very beautiful. I made it to Hawk Mountain Shelter in the early afternoon. Again, feeling good enough to go further, but decided to leave some in the tank.","Black Creek Gap
",Hawk Mountain Shelter ,"Apr 19, Tue",9.60
Paisley,https://www.trailjournals.com//journal/entry/649544,"Today was a test. Was my body ready for a longer day?  My original plan had me stopping at Gooch Gap, but that was only 7.7 miles from Hawk Mountain. I decided to give it a go. Glad that I did because I reached Gooch Gap a little after noon, so it would have been a long day sitting around in camp. I am pleased to report that all systems are go after today's 15.8 mile day.  
Today's hike had many good views. The best one was big cedar ledges. It is a huge rock which prevents the trees from blocking a huge panoramic view of the mountains to the south east. I spent a little time there just taking it in. Tomorrow I will reach Neels Gap, which will be a quick resupply and maybe a battery charge. Neels Gap is the first major road crossing so it is also the place where a large number of hikers will end their hike. They have a tree there with 100s of pairs of shoes hanging to symbolize the hiker that choose not to hike any further. I am pretty sure my shoes will not be among them. Tomorrow also starts with a 1500 foot climb in the first 5 miles. Glad my pack is a little lighter.","Hawk Mountain Shelter 
",Lance Creek Restoration Area,"Apr 20, Wed",15.80
Paisley,https://www.trailjournals.com//journal/entry/649545,"Today was a big day. Lots of climb and decent, Blood Mountain, and Neel Gap resupply.  The start of the day was the climb up Blood Mountain. Shortly after starting, I walked up into a cloud. Light precipitation with a little hail and now views. Sometimes the fog was so dense, it was difficult to make out the trail. Getting to the top was anticlimactic, so I stayed for a short time and then headed back down the other side. At the bottom of the decent was Neels Gap. At Neels Gap there is an outfitter. The trail literally goes through the building that the outfitter uses. I stopped to grab a couple days of food, just to be safe and I also charged my battery bank to 3/4 charge. The way my new Garmin and this phone are performing that should be plenty. The Garmin only got down to 71% after three days of hiking. Thanks to the people I used to work with for that. My old one needed to be charged every other day. After resupply it was another climb and a gentle fall then another steep climb. Pushed my lungs to the limit. I found a undeveloped site at mile 39.1 after a 15.1 day. Holding up pretty well. Waiting for the sun to set over my tent.","Lance Creek Restoration Area
",Dispersed Site at Mile 39.1,"Apr 21, Thu",15.10
Paisley,https://www.trailjournals.com//journal/entry/649546,"Today was a rough day. Almost as soon as I hit the trail I started experiencing stomach cramps. My thinking that it is one of two things, either I am dehydrated or it is Norovirus. Hoping it is the dehydration. I walked along at just a little short of my normal pace, I hardly took any pictures, I kept a watch for water on the trail so that I could keep water flowing into me. I feel somewhat better now, so I am hopeful. I am 19.1 miles from Dicks Creek Gap and I am planning to get a shower, laundry and resupply. I hope to make it about 15 miles tomorrow so that I can get to town early.","Dispersed Site at Mile 39.1
",Blue Mountain Shelter,"Apr 22, Fri",11
Paisley,https://www.trailjournals.com//journal/entry/649547,"Today was the day that I acted like a total newbie. My normal breakfast procedure is to put water on my oatmeal but wait about an hour or so after I start hiking to eat it. That way, no waiting for the oatmeal to cook and after an hour I am hungry and ready for a break. So that's what I did, but I made two newbie mistakes. I needed a little water to go with my oatmeal. My first mistake was not putting the water bottle back in the sleeve on my pack. The second was not checking back after I walked away for anything I left. You guessed it I left one of my two water bottles at my breakfast spot. By the time I discover my mistake(s) it was too late to go back. I am hitting town tomorrow so I can just buy another 1 liter bottle of smart water since that is what I use as a water bottle. Nothing fancy. The walk today had a lot of climbing. My fellow hikers are  complaining about the climbs. It has been tough, but that is what you signed up for. It would be a completely different trail if it was all flat and they would have to change the name. I am feeling good. The dehydration has passed and my feet and legs are doing pretty well. The water here is a good 1/2 mile down a old forest service road. I know that because I have already made the trek. Fortunately I brought a 2 liter water bag as a backup. All the hikers that have come through have said that they are going to push on to get water and stay at the shelter. That's fine with me. After last night symphony of snoring at Blue Mountain, a quiet night would be nice.","Blue Mountain Shelter
",Addis Gap,"Apr 23, Sat",13.60
Paisley,https://www.trailjournals.com//journal/entry/649552,"Today was this trips real town resupply. My wife helped my reserve a cabin at the Around the Bend Hostel.  I only had a short 5.5 mile walk to get to Dicks Creek Gap, and then the hostel was only 0.6 miles west in 76. I arrived there early, before my cabin was ready, but they gave me a towel so I could get my shower. They have loner clothes, which I put on after the shower then I sorted through my pack to get out everything that needed washed. I did my laundry, then at 2:30 the hostel dropped us off in town. We had until 5:15 to do whatever we needed and at 5:15 they picked us up in front of the grocery store. I am resupplied for 4 days on the trail. The next resupply is 40.2 miles up the trail, so at my current pace that should be plenty.  Only thing is that tomorrow is a tough climbing day and I have a heavy pack. 
Strangely enough, I did not feel well this morning again. I think it was dehydration again. I have never reacted this way before. I have been forcing water all day and I am feeling fine now. Just need to keep an eye on what is happening with my body.","Addis Gap
",Dicks Creek Gap,"Apr 24, Sun",5.50
