Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Slippery Pig,https://www.trailjournals.com//journal/entry/647303,"Well after COVID ruined my AT hiking plans for 2020 and 2021, I'm finally going to do the trail in 2022 (or at least attempt it).  I'm going to do a section hike Mid/Late March from Damascus to Pearisburg, then head home for a few weeks before starting a Flip Flop in late April at Harpers Ferry (I'll skip over the section hike later...I need to be home in August for a couple weeks for my grandson's arrival). 
I have my section hike info loaded in my garmin and have done a first pass of my gear.  I’m getting a little excited about hitting the trail, and this mild weather is making me more anxious.   I'm unsure what pace I'll end up doing.  I'm giving myself up to 6 months to complete the trail.  I want to ensure I soak up the trail and small towns and don't rush through any sections...of course, my old bones need a little rest now and then too.

I was starting to play Pickleball, but after I twisted my ankle last week playing, I'm putting that on hold so I don't mess up my hike this year :)",,View Entry,"Mar 04, Fri",0
Slippery Pig,https://www.trailjournals.com//journal/entry/647304,"I've treated my clothes and gear with Permethrin, confirmed where I'll need shuttle pickups (and made sure they're still in business).  
I got my base weight down to 16.8 lbs, which is great for me.  It gives me 13 lbs for food/water.  This initial section hike (Damascus to Pearisburg) will help confirm the water and food I'll pack.  I'm starting with 5 days of food, but I'm anticipating 3-4 days before I reach my first resupply point at Partnership shelter (I'll shuttle to Marion), and 3-4 days to reach each subsequent resupply.   
I'm a little light on the calories/day that I've packed for, but I'm anticipating fueling up at resupply points and carrying an extra day's of food in case I bonk (I'll take advantage of trail angels too, when I can).  I'm carrying a few extra lbs of fat (literally, just a few lbs), which I anticipate will be gone after a few days of hiking.
I've also downloaded some episodes of ""Last Kingdom"", got a John Grisham novel, and will be bringing my knife for whittling...so I should have boredom covered, when not running from bears and snakes :)",,View Entry,"Mar 10, Thu",0
Slippery Pig,https://www.trailjournals.com//journal/entry/647407,I drove to Abingdon VA today.  It was a long drive (almost 8 hours).  I’m resting in a hotel and doing a final gear check. I will drive to Damascus first thing in the AM and start hiking.  I didn’t get much sleep last night because I was a little anxious (typical for me the night before I travel).  I’m more relaxed now that I’m closer to hitting the trail.  I know I’ll get a good night’s sleep tonight.,,View Entry,"Mar 13, Sun",0
Slippery Pig,https://www.trailjournals.com//journal/entry/647523,"I drove to Abingdon today, the day after the “big storm”.  The drive from Indy was uneventful, though I did see a couple cars off the road due to the previous day’s storm.  The roads were clear however.   I did go a little under the speed limit when I hit some of the one lane winding roads….just not used to them….I pulled over a couple times to let folks pass.  


I’m a little anxious to start the hike 😁.",,View Entry,"Mar 13, Sun",0
Slippery Pig,https://www.trailjournals.com//journal/entry/647524,"I woke up early at the hotel in abingdon to make sure I was in Damascus on the trail by 8 (I know I should have stayed at a hostel in Damascus).  


It was a very cold start to the hike.  I wore a base layer plus puff jacket along with gloves and a balaclava.  They were all off by noon 😁. 


I wasn’t sure how many miles I was going to do my first day (either stop at Saunders or Lost Mountain shelter) and ended up making it to Lost Mountain.  I did go off the trail (half mile) to Saunders just to check it out.  Met Fancy Pants there and talked a while then headed off.  There was still snot on the trail and a few icy/slick spots, especially north facing slopes.  


When I arrived at List Mountain, Tin Cup and Reboot were already there.  We started talking about snorers and realized i forgot my earplugs…Tin Cup gave me an extra pair.  


Fancy Pants showed up a little later, along with a gentleman “The Breeze”. 


The first night on the trail was a little restless, but managed to get some sleep.","Damascus
",Lost Mountain Shelter,"Mar 14, Mon",16
Slippery Pig,https://www.trailjournals.com//journal/entry/647526,"I got up around 7 along with Fancy Pants. The Breeze, who tented, was already gone (I think I know how he got his trail name). The other folks got up soon after. 


My goal was to Wise shelter, but I felt it at the end.  I stopped at Thomas Knob to rest a while.  I saw quite a few hikers by.  There was a young college couple who were backpacking for a few days and one gentleman was hiking across the country picking up various trails along the way.  He was carrying slot of gear (including camera) and was traveling with a short leg dog (just a bit taller than a basset hound).  I’m not sure how he does it, I couldn’t.  


I made it to Wise shelter and found it was packed with 2 families (5 adults, 3 kids) backpacking together. They even put a tent inside the shelter.  There is not tent camping around this shelter, and it was too late (and tired) to find another spot, so we were able to make due. 


I definitely got a much better sleep.","Lost Mountain Shelter
",Wise Shelter,"Mar 15, Tue",17.50
Slippery Pig,https://www.trailjournals.com//journal/entry/647527,"I was able to hit the trail by 8. My goal was to hike to Hurricane CG, and when I reached the fork there was still over 4 hours of daylight and my legs felt good.  There was also a sign at the fork saying the bridge at comers creek falls was removed due to being unsafe and offered a detour in case of high water at the falls.  Since there hadn’t been much rain the past several days, and it only trickled today, I decided to risk it.  Glad I did.  The falls were nice.  The water was a little too high to rock jump it without getting wet. Since it wasn’t too deep, not moving too fast, and I could easily see the bottom all the way across, I went across carefully shoeless.  Surprisingly the water wasn’t too cold.  


I hid my stride, and this section wasn’t too rough, and made it to Trimpi shelter with about an hour of daylight left.  


I had the shelter to myself and took a top bunk after sweeping away a dead spider 😁.  I heard some noise at night that I could never tell if it was rain or mice….I did get a good night’s sleep.","Wise Shelter
",Trempi Shelter,"Mar 16, Wed",20.10
Slippery Pig,https://www.trailjournals.com//journal/entry/647528,"One of the reasons I hiked 20 miles yesterday is because I knew I was going to resupply and stay overnight in Marion.  


I got to Partnership shelter at 1pm.  It’s a very nice shelter.  The shower hasn’t been turned on yet.  


I couldn’t get cell service, but a ranger directed me to a phone behind the visitor center.  From there I call Marion Transit for a shuttle ride to Marion.  It’s free and we’re willing to drop me off whereever I wanted.  Since I didn’t have cell service until I got to Marion I had the driver drop me off at Red Roof.  There are 3 budget hotels close toegether, so I used expedia to pick the one I wanted (went with the cheapest…Red Roof).  It’s also a short walk to Walmart/grocery store where I resupplied.  Also stopped at a Philly Cheesesteaks in the same shopping center.  It was good, but I think my belly wasn’t ready for it after being on the trail.  I got some snacks to eat tonight and tomorrow morning before I hit the trail.  It’ll probably be 9 before I start since the shuttle doesn’t open until 8.","Trempi Shelter
",Marion,"Mar 17, Thu",8.80
Slippery Pig,https://www.trailjournals.com//journal/entry/647677,"With fresh legs and full belly, I got the first shuttle from red roof to My Rogers HQ(partnership shelter). The shuttle starts at 8 and I was able to start hiking by 8:50😁).  


I got to the train tracks and got a slight urge to want and jump on a train…maybe I was hobo in a previous life.  Five minutes after crossing the track a train came thru…missed my chance at sure death 😁. 


I got to the I81 interchange around lunch time and got a sandwich and mountain dew at the Village Truck stop. I ate and relaxed there for a while then started back hiking.  About a mile into the hike I wish I got 2 sandwiches 😁. 


I wanted to hike further than Davis Path Campsite, and found out about Reed Creek CS.  I got there with about an hour of sunlight left. It’s a nice site and got to listen to the water as I slept.  No one else was there.","Partnership Shelter
",Reed Creek campsite,"Mar 18, Fri",18.30
Slippery Pig,https://www.trailjournals.com//journal/entry/647678,"I left Reed Creek campsite as early as possible.  I was dreading the slog up to Chestnut knob shelter (plus the ups and downs prior)


I was just trudging the whole day.  I kept my water bladder no more than half full (It’s a 3 liter capacity) to keep my pack weight down. I weighted until I got to the pond and filles my bladder.  I’m not crazy about using pond water (I use a Katady Befree) and had to fill my reservoir twice because there was too much gunk the first time.  There is suppose to be an unreliable spring further up, but I wasn’t going to try and find it (and I couldn’t). There is a small creek about 1-2 miles up the slog to chestnut that I may have used if I knew what to expect ahead of time.  


I got to Chestnut knob shelter and it was nice (it’s enclosed). It was very windy and the wind was blowing the whole time I was there and into the next morning.  I had to tie the door closed so it wouldn’t bang open.  It snowed a little that night.  The latrine has an awesome view (there’s no door).  You can make out the valley below between the leafless trees 😁


It was a good sleep","Reed Creek campsite
",Chestnut Knob Sheltee,"Mar 19, Sat",17.40
