Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Steady,https://www.trailjournals.com//journal/entry/647137,"I think I have everything ready to start my journey on March 13th! I am excited, scared, at times petrified but most of all elated to have this opportunity of a lifetime.",,View Entry,"Mar 01, Tue",0
Steady,https://www.trailjournals.com//journal/entry/647149,"For my family and friends who found me here: The Appalachian Trail is a 2190 mile footpath that starts in Georgia and ends in Maine. I will be attempting to hike this trail with everything I need to survive in my backpack. 

The hikers who post here use a quote that means something to them to sign all of their entries. I have decided on a quote from John Muir 'Into the forest I go to lose my mind and find my soul'.",,View Entry,"Mar 03, Thu",0
Steady,https://www.trailjournals.com//journal/entry/647167,Thanks to Valerie McNabb(Mountain Mama) for hosting the AT hiker celebration at Haveli's in Marietta. So many good wishes & support. Now I must succeed....,,View Entry,"Mar 03, Thu",0
Steady,https://www.trailjournals.com//journal/entry/647190,"Celebration hosted by Atlanta Desi Hiker group. Thanks to Sanjay Jain for volunteering to shuttle me to Amicalola on Day 1. Thanks to Anita Pinto for holding my mail.I am ready to go!! Thanks for the gift card. But most importantly, thank you for the encouragement & good wishes. I am looking forward to hiking on Day 1 with this awesome group.",,View Entry,"Mar 05, Sat",0
Steady,https://www.trailjournals.com//journal/entry/647215,"I bought myself a dehydrator & vacuum sealing machine. I was delighted to get down to the business of dehydrating plenty of vegetables, sambhar, ground meat etc. I have quite enjoyed my new dehydrator, and very quickly exhausted the vegetable and fruit stockpile in my fridge. Then bought groceries in bulk & dehydrated them for trail meals. Unless a bear gets my food, I probably won't starve on the trail. I have prepped boxes with food, socks, supplements & toilettries. My friend & neighbor will be mailing these to me upon request. The picture with this entry is one of my rehydrated meals....rice, lentils (sambhar), okra & ground turkey. Thank you for reading.",,View Entry,"Mar 06, Sun",0
Steady,https://www.trailjournals.com//journal/entry/647228,Mailing boxes ready to go to my neighbor's house. She will mail to me upon request. I am eternally grateful.,,View Entry,"Mar 07, Mon",0
Steady,https://www.trailjournals.com//journal/entry/647461,"My great adventure has begun!! Got my bright pink hang tag after registering at Base Camp at Amicalola.  I am hiker number 1223 to begin the  AT this year. A merry band of Desi hikers accompanied me part of the way. Fortified by their encouragement and good wishes, I walked 8 miles to the official starting point of the AT located on top of Springer Mountain. Then kept walking another 2.8 miles along the AT to Stover Creek Shelter.
Many thanks to Sanjay Jain for giving me a ride from home to Amicalola.","Appalachian Trail Base Camp at Amicalola Falls
",Stover Creek Shelter,"Mar 13, Sun",10.80
Steady,https://www.trailjournals.com//journal/entry/647463,The temperature last night dropped to 20°F. My fingers soon got numb when I crawled out of my tent in the morning. It was hard taking down the tent with numb fingers. So I got a late start. Started hiking at 10 AM & soon warmed up. I had planned to walk till Gooch Gap but camped 1.5 miles before because I didn't think I could make it before dark. Met a fascinating elderly lady named Stephanie. She seemed to be struggling so I stopped to ask if she was ok. She started at High Tower & made it to Devil's Kitchen. What an inspiring lady!! If she can do it anybody can do it. She said she was going to get a shuttle from Gooch Gap to Mountain Crossings tomorrow because her pack is too heavy. She wants a pack shakedown.,"Stover Creek Shelter
",Devils Kitchen,"Mar 14, Mon",11.60
Steady,https://www.trailjournals.com//journal/entry/647464,It was a good day. People are all helpful & genuinely want you to succeed. I had some pain on my left foot where the boot top keeps hitting the bone above my ankle. Loosening up my shoe laces & some band-aid helped. Will buy some leukotape when I get to Neels Gap. I am still trying to master the PCT technique to hang food out of reach of bears. It's supposed to rain tonight. I can recharge my phone at Neels Gap tomorrow so I can take my phone out of airplane mode & extravagantly use up the battery. Still have a full power bank. So I'm good.,"Devils Kitchen
",Lance Creek camping,"Mar 15, Tue",9.50
Steady,https://www.trailjournals.com//journal/entry/647498,"Woke up to a soggy morning. It rained all night. Today I will be climbing Blood Mountain. The rain made the rocks awfully slippery so it was a difficult day. To make matters worse, I followed a flatlander from Florida. He went the wrong way and got us lost. The views were obscured by clouds but the trail had an ethereal beauty which I enjoyed.Finally I made it to Neels Gap. There was a group of trail angels handing out pizza & sodas to hikers.Bill from Mountain Crossings did a good job adjusting my pack.","Lance Creek camping
",Neels Gap ,"Mar 16, Wed",7.50
