Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Taxman,https://www.trailjournals.com//journal/entry/649231,"Myself, Brian Cook, and 4 year old Pat, my half English Pointer, half German Wirehaired Pointer are looking forward to thru-hiking the AT beginning on April 23rd starting at Springer Mountain.",,View Entry,"Apr 20, Wed",0
Taxman,https://www.trailjournals.com//journal/entry/649232,"I live in Enterprise, Kansas with my wife Beth of 36 years. Enterprise is 6 miles east of Abilene, the birthplace of President Eisenhower. His presidential library, museum, and boyhood home are all on the Eisenhower complex. Eisenhower was the commanding general of the European theater in WW2. There are lots of interesting exhibits related to WW2, and his 8 years as president of our country from 1952-1960. The prairies of Kansas are a great place for quail and pheasant hunting, something that my dogs and I love to do. Though not mountainous, the Flint Hills of Kansas are certainly not flat. We don't have the trees that exist on the AT, but God certainly made a diverse and beautiful country that we call home.",,View Entry,"Apr 20, Wed",0
Taxman,https://www.trailjournals.com//journal/entry/649233,"Today is our last day at home. Beth will drive myself, Pat, Brian Cook, and his wife Terri to Georgia beginning tomorrow afternoon. Myself, Pat (pictured pointing a covey of quail) and Brian intend on being successful thru-hikers of the AT. Brian and I each have backpacks that weigh in at about 32 pounds each. Pat has her own backpack, and her's will weigh 6 pounds at the maximum and decrease as she eats her food.",,View Entry,"Apr 20, Wed",0
Taxman,https://www.trailjournals.com//journal/entry/649886,"Well it has been a very humbling experience in the first week of our thru hike. Brian and I thought that we would cruise right through the trail at the very start. Boy was I and he ever wrong! For starters we didn't start the Approach Trail hike until 5:30 pm on Friday the 22nd. There is somewhere between 700 and 740 stairs that you climb at the early portion of that trek. That was probably the most brutal part of our first 8 days. It was hot, sweaty, and hard. The approach trail is 8.8 miles. In Kansas when Pat and Maggie and I would hike 7.5 miles with my backpack on it would take about 2 hours and 10 minutes. On those hikes my backpack weighed generally 27 pounds. My actual total backpack weight hiking the trail ranges from 32 to 37 pounds depending on how much food and water I'm packing.Kansas is flat as a pancake compared to the AT. You are usually either going uphill or downhill, with lots of rocks to navigate. Our long day was 15 miles. A gentlemen I talked to on Preacher's Mount from Florida said his workout regimen was the same as mine. Using a stair stepper, and hiking the flatlands of Florida. I believe he successfuly thru-hiked, but it takes persistence and fortitude. Brian Cook has been invaluable to me. His army experience and general knowledge of camping exceeds my experience, which prior to this was zero.3 days ago I fell 2 times in the rocks in the last half mile of our day. I finally realized that the long canvas type pants were causing me trouble trying to step up on high rocks as well as on long steps down rocks. I bought a pair of lightweight Patagonia shorts at Neels Gap and now wear those. No falls since then.One thing that disappoints me is that I determined that it's probably in Pat's best interest to send her home to Kansas. The mantra on the trail is Hike Your Own Hike. But when you have your dog it becomes Hike Your Dog's Hike. I'm afraid with the warm temperatures that we've experienced it would be detrimental to her health to make her go the miles that we're going. At nighttime we have had some cold nights though. I believe that it was Tuesday night we were camping at a tent site high on a mountain. The wind was blowing hard and a cold front moved in that put the temperature in the low 30's. I woke up at 3 am and poor Pat was shivering badly from the cold. I have a mummy sleeping pad that isn't conducive to having a dog be in it with you, but I got her in and she was very grateful. Every night since she has gotten in to my bag at some point in the night.What else was new to me? Going 8 days without a shower. I knew going in that you had to embrace the stink as part of the process. But I can tell you when you""re working up sweats all day without bathing for 8 days you do smell! Finally today on Friday the 29th we are spending the night at a hostel in Hiawassee, Georgia. It was a real pleasure to be able to shower and get a great lunch with real food at a restaurant. It seemed like my sandwich was the best thing I ever ate. Tomorrow we will be in North Carolina.I have pictures to add, but since it's already 11:15 pm I need to get to our cabin (I'm typing this in the hostel's living quarters). Anyway, I pray every day for the Lord's guidance and that I might not depart from Him, because boy it's hard to do it on your own. I might also ask for prayers for my son's brother-in law who is probably only 27 years old and has been stricken with cancer. His first name is Daniel. Goodnight!","
",Mt Katahdin,"Apr 29, Fri",10
Taxman,https://www.trailjournals.com//journal/entry/650127,"May 2, 2022Yesterday, Sunday May 1st was our longest mileage day, a bit over 17 miles. We would possibly have stopped at Carter's Gap at 13 miles except that reports were that the previous night of 27 bear bags hung, 23 were successfully taken by bears. When we passed Carter's Gap we were surprised at the number of hikers that were staying there in spite of the bear issue. Our camp was Betty Creek Gap which was at mile marker 97.2. There initially were 6 of us there being Brian, myself, my 4 legged girl Pat, a trio of campers hiking together who are very nice guys: Achilles - who is a very accomplished doctor as well as hiker, Hitman from Michigan though that's not what he does for a living, and Debris from Connecticut. They are all about our age (though I have only met one thru hiker older than myself), approximately 60. Bill had some bad luck that morning. He lost his cell phone, though it has since been found and will be returned to him in Franklin, North Carolina which is where I am typing this. He had further bad luck that evening. But first, another gentlemen, a retired Marine arrived when we were eating dinner, a vey nice guy. Achilles helped him throw his bear bag after dinner. So each of the hiking trio hung bear bags, the Marine hung a bear bag, and Brian hung a bear bag. Understand after you've been hiking all day up and down hills covered with rocks and roots after your tent is up and you've eaten, bed is a welcome site. So Pat and I keep our food in an odor-proof bag and were in bed by 7 pm. Sometime around 10 pm we were wakened by the sound of 3 guys chasing a 500 pound bear away from their campsite. He managed to get 2 of their 3 bear bags, and was actively working on number 3 (Brian heard him working on that one, but thunder caused him to leave). My belief is that even though the food in the bear bags are generally in odor proof bags the bears have long ago learned that bear bags = dinner. I also understand that bears prefer to stay away from dogs, thank you Pat since we keep all of our food in our tent.Unfortunately, although Pat handles the hiking really well, I'm concerned about how she will hold up in hot weather. She pretty much turns her nose up at dogfood, but she has enjoyed eating soft tortillas with Spanish rice, and tortillas with tuna. Tonight she happily consumed a delicious hamburger that I brought back from the diner where I ate (I had a great double cheeseburger with fries and 2 glasses of coke). On a typical hiking and camping day its hard to consume more than 1000 calories for me at this point.You will hopefully see some pictures taken recently, including the 100 mile picture taken today if I successfully uploaded them. Until again (pobably 3 or 4 days from now).",,View Entry,"May 02, Mon",0
Taxman,https://www.trailjournals.com//journal/entry/650466,"Thursday May 5th was a sad
day for me. My 4 legged companion Pat was picked up at the NOC by one
of Brian's old army buddies, Tony Miller from Knoxville to begin her
trip back to Kansas. I will sure miss her but as I probably
previously mentioned I was concerned about her eating enough food, as
she continually turned her nose up at quality dog food. She did like
Spanish Rice and/or Starkist tuna wrapped up in a tortilla, and
seemed to prefer being fed by hand. She also liked Brian's cheese,
and he also was generous to her with his tuna. Over the long haul I
was concerned with how she would handle the heat when we got further
into the hike. My brother will pick her up on Friday, and Beth
(my much better half) will drive to Kentucky beginning Friday
afternoon to get her home.
Tony is a heckuva nice guy. He stocked
us up with all sorts of food for the trail. And though I was no
longer carrying some of Pat's food I thought my pack probably weighed
even more than before. We have plenty to eat. I really appreciate
Tony's kindness.
The NOC is a very nice resort on a
river. I bought a new ultralight tent for 1 person there, reducing my
tent weight by nearly 3 pounds. On the trail as you walk and walk
your feet tend to flatten out a bit and by the NOC my feet were
feeling pretty cramped in hiking shoes that I had worn for about 5
months counting our trail time. Brian and I each bought a shower for
$3.21. A towel cost an additional $3.21 and being frugal neither of
us bought towels. You find the more time that you spend on the trail
the more that your modesty disappears. Ther were several used towels
that had plenty of drying power yet (which I didn't expect) so I used
one of those! I bought a larger pair of shoes along with toe socks
(something I had never used before) and my feet sure thanked me.I did
however take one spill, so I need to start another cycle of days with
no falls. The rocks and the roots can sure bite if you're not
careful. We finished the day at Sassafras Gap, mile marker 143.8. If
my internet connection is fast enough to upload you should see more
photos.","Wesser Bald Shelter
",Mt Katahdin,"May 05, Thu",12.80
Taxman,https://www.trailjournals.com//journal/entry/650455,"We left Wine Spring Camp at 8 am this morning. It's mile 117.6 on the AT. Tuesday night was stormy, lots of thunder and lightning coupled with heavy rain. Pat wasn't happy, and in the morning my tent floor was wet as I didn't have my ground sheet completely unde4r my tent which allows water to seep in from the ground sheet.
We finished up today at 3:30 at Wesser Bald Shelter. Although we stay at campgrounds and shelters we always tent. There's no mice issues in our tents, and in the shelters multiple people could keep you awake with their snoring. 
Forthe record I am told that I also snore. Today was Pat's next to last day before she heads home to Kansas. I'll miss her happy tail as she runs down the trail, and the happy way she wakes you up in morning with her tail and face licking, but shw is difficult to keep fed as she refuses to eat dog food. She is very attentive to my progress. Brian leads the hike 90% of the time and on the steep uphills I take a slow and steady pace. I couldn't make 3 consecutive days without a spill; at the 10 mile mark I tripped on a rock and went down. Within 3 or 4 seconds Pat came to my side to lick my face and make sure that I was okay.","Wine Spring Camp
",Mt Katahdin,"May 06, Fri",13.40
Taxman,https://www.trailjournals.com//journal/entry/650465,"Friday May 6th was an
eventful day. Thursday night it rained and thundered. Unfortunately
our tent sight wasn't close to level and as my air mattress slid
downhill I was left with a shortage of leg space, and the downhill
end of my tent had some water, and the end of my sleeping bag was
also wet. Our goal for the day was Cable Gap Shelter, 15.4 miles down
the trail. Though we had experienced a certain amount of rain during
the previous days today was much different. It began raining early
and pretty darned steady. We had a few short breaks in the rain
during the morning. But later in the afternoon it poured. We decided
to take a break at the Brown Fork Gap Shelter and to possibly go
ahead and spend the night there. But when we arrived the shelter was
pretty full of mostly younger people, not exactly in the demographic
identity of Brian and myself. After we got there we had a pretty good
downpour, along with 3 more hikers who came in. One was a gentlemen
who was a southbounder about our age. The discussion of the younger
set wasn't exactly of the sort of language that we normally employ,
and sleeping in the shelter itself would have been very
uncomfortable. When a break in the rain came, the Southbound
gentleman and Brian and I headed out.
We made 2.0 miles before the clouds let
loose. And I do mean let loose. The temperature was a balmy 50
degrees, the trail was a muddy mess with water 3-5 inches deep in
places and the wind blowing a small gale. It was 3 pm when we left
the shelter. At about 6 pm we made it to the blacktop road about 1
mile from our original destination. There was a hiker hostel about 2
miles down the road from us, but the cell coverage was nonexistent
and we never heard from them. Brian went searching for a level place
to pitch our tents and I stayed by the road hoping to hitch a ride. A
UPS van drove south of us, and about 10 minutes later he headed
north, stopped and said he was sorry but UPS rules prevented him from
giving us a ride. He did go to the hostel for us but on his return
back told us that the hostel was full up. He suggested that we might
walk 2 miles south to the stop sign and turn left and see if a hiker
motel there had space which didn't seem real appealing but I was
getting concerned about hypothermia. We both had been praying
earnestly for a ride to somewhere, anywhere dry and warm and the Lord
answered our prayers more abundantly than we could ever have
expected.
A gentlemen heading north saw us
standing around (I was really right on the edge of the road) and he
stopped, backed up, and asked if we needed a ride somewhere. To quote
him as near as I can, he said “You guys don't look very happy right
now. Can I help?” Did he ever help. He drove us to the motel where
the owner said I'm sorry but my family is coming from out of town and
they will use all of the rooms. Chip was our angel. He is an
electrical engineer who works in Atlanta (about 3 days a week) but
lives in this very remote area of the North Carolina AT. He said well
the first thing we better do is get you to my house and feed you guys
dinner. Believe it or not his Atlanta church has a serious ministry
in Guatemala and they buy something like 40,000 pounds of green
coffee beans that they roast and resell, much of it to churches. His
wife Jeanne does taxes during the tax season and today was her last
day of doing taxes. Chip walked in his house and said he was bringing
in 2 dinner guests, cold and wet. She was also a jewel and said you
guys are welcome to taker showers to warm up before dinner. WE DID!
Her dinner was superb, and they called a neighbor down the road who
happened to have an AirBnb, which by God's providence was available
for tonight, which is where I am typing this. Chip and Jeanne's son
is in the Navy stationed at the Paris consulate. Jeanne and the owner
of the tax firm where she works are flying there in 1 or 2 days to
spend time with him before he is redeployed to Japan. There are just
very, very fine people.
Tomorrow morning Chip will pick us up
and deliver us back to the trail where we will have a very short 6
mile hike to get to the Fontana Dam Hilton as we begin our trek
through the Great Smoky Mountains National Park.","Sassafras Gap
",Mt Katahdin,"May 06, Fri",18
Taxman,https://www.trailjournals.com//journal/entry/650925,"May 12th We continue to hike. We spent Thursday night at Standing Bear Hostel inTennessee.Thhe attached picture of folks under the tent is a family from Indiana that has a ministry to provide trail magic to thru hikers. I had chili, 2 cans of pop, 4 energy bars, and 3 Mountain Home dehydrated meals for dinners. Greatly appreciated.The trees have very shallow roots due to the fact that they can't penetrate through the rocks. Downed trees are pervasive.Brian and I hiked 18 miles on Thursday, 20 miles on Wednesday, and 13.5 miles on Tuesday. We will only cover 37 miles Friday, Saturday, and Sunday to get us to Hot Springs, NC. Monday will be our first zero day. We appreciate all of your prayers. I especially appreciate my much better half Beth for all that she has done for me. I sure got the better end of the deal!","Balsam Mtn Trail
",Standing Bear,"May 13, Fri",18
Taxman,https://www.trailjournals.com//journal/entry/651174,"Today is the first zero day that we have taken. Though there’s not a lot to do in Hot Springs, North Carolina it was nice to get a hot breakfast at a nice little diner, get laundry done, and prepare for the next 5 days. Right now on the trail we have logged 274.9 miles. When you add the approach trail that puts us at 283.7 miles actually hiked, not including trips down to water sources. We have durable, flexible plastic bags by Sawyer to capture water to drink. After the bag is full you screw on the Sawyer water filter and squeeze the water through it into your clean container for drinking and cooking. Sometimes you might have to walk an extra .3 miles one way to get water. You drink a whole lot more water when you’re hiking up hills than when you’re sitting at a desk!   Over the next 5 days we want to cover 94 miles to reach our next resupply point at a hostel called Greasy Creek Friendly. Over that mileage our uphills will average 260 feet per mile while the average downhill per mile will be 230 feet. Until we hike it we don’t know if it will be rocky or relatively smoother; though there are always plenty of roots looking to grab you. Brian still has yet to take a complete fall. Me not so much. I made 6 days in a row, then took 1 spill on 2 consecutive days. Tomorrow I will be looking to continue a new tripping-free record at 2 consecutive days.The hostel where we’ve spent the last 2 nights was built in 1840. We’re told that it is the only building in town left standing that predates the Civil War. The owner, Elmer Hall thru hiked the AT 44 years ago and spent a night here on that trek. Two years later the building owners asked him if he would like to buy the house; he did, and he’s now operated it for the last 42 years. Today he is 85 years old.This house seems to be a hidden gem. He has several rooms but is pretty selective about who he lets stay here. At 85 he doesn’t use a cell phone, only a land line. And when you call and he answers he has a battery of questions that you have to pass to get in. He wants to know that you have had a covid vaccine. You must have an Appalachian Trail name, and you must be a thru hiker. Though he has about 8 rooms available he seems to limit his occupancy to about 4 or 5 hikers. The place is quite pleasant. Because of all of the trees you can’t really get a good picture of the exterior, but I’ve attached a picture of my bedroom. It has a very convenient working desk, 2 comfortable wingback chairs, a full sized bed and a twin bed. Brian’s room is similar. All for the price of $30 a night.","
","Hot Springs, North Carolina","May 16, Mon",212
