Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Tom B,https://www.trailjournals.com//journal/entry/519341,"Getting ready for an attempt at a thru-hike this year. My initial entry has to be a picture of my new best friend of the last few months - my dehydrator. I kind of lolly-gagged through this past Fall and then realized that I may need some food for this hike. My wife has been very gracious about the fact that I have commandeered the kitchen during the holidays.As much as I love packaging food, I have to get this wrapped up and start sorting through what gear I am going to take. As many people seem to comment on, I know I will have to ""pack-unpack-whittle down-pack-unpack-whittle down-pack........"" and lord knows all that ""gear fondling"" takes time. This hike seemed like a long ways away, but the days are flying by.",,View Entry,"Jan 07, Thu",0
Tom B,https://www.trailjournals.com//journal/entry/519365,"This is a picture of Maine Junction on the AT in Vermont that was taken this past September when my wife and I did a section hike on the Long Trail from Middlebury Gap south to US 4 (to the Inn at the Long Trail). This is where the Long Trail and AT split, with the Long Trail continuing North towards Canada and the AT heading east towards New Hampshire. If I have done my hiking homework properly, play my cards right and have some luck, I hope to see this trail marker again in 2016.In the meantime, I am getting the regularly scheduled medical appointments out of the way. Yesterday was my 6 month dental checkup and the dental hygienist said she thinks the seasons in the Northeast are reversing based on the mild winter we have had so far. I hope she is wrong because when I see the Maine Junction trail marker, I don't want to be in micro-spikes!",,View Entry,"Jan 08, Fri",0
Tom B,https://www.trailjournals.com//journal/entry/519413,"While I am in the final stages of my “dehydration extravaganza” I can get the obligatory third entry for this journal ready. I have been using my computer so far, but will have to take the plunge somewhere soon and start using my phone, as that is what I intend to take with me. It will take some practice for sure, as my thumbs (which look like small Gianelli breakfast sausages) are not the most useful typing tools.
I started mentally mulling over my gear choices. The main ones (pack, sleeping stuff and shelter) are easy. I backpack enough and conducted some backyard testing, that I have settled into just a few choices for each of them and have picked one of each to start this hike with. I need to start thinking about which stove, cook kit and hydration setup I want to start out with next. Luckily it is as simple as going to the basement or the loft in the garage to peruse the options. I have accumulated quite a collection of stuff over the years updating my gear and experimenting with different ways of doing things. I also have the tendency not to get rid of anything, hence I still have my pack from when I was a Boy Scout (it probably is a candidate for the Smithsonian). My wife actually thinks I have “too much camping stuff” - but that is not possible, right?
One piece of equipment I have just recently acquired (or should I say received) is a Spot satellite tracker. I need to play with this some in the next couple of months to make sure it is providing the information we are expecting and how to look at that information. This will give my wife some piece of mind as to where I am, that things are OK and on occasion what brew pub I may be in when in a town.
My challenge is going to be clothes. I have been avoiding thinking about this simply because I know that this will be a “hem and haw” fest trying to decide what to take. In the end I will have to settle on some setup and know that I can swap stuff out via mail drops if needed. I am very fortunate to have my wife willing to be the “hike administrator” for food and gear drops.",,View Entry,"Jan 09, Sat",0
Tom B,https://www.trailjournals.com//journal/entry/519485,"I would be remiss if I did not acknowledge my wife before leaving on this hike. She will be fulfilling the important role of “Hike Administrator” while I am off on this adventure. She mentioned the other day when reviewing my other entries (she is my editor when possible) and I introduced her as “the Administrator”, that she did not know she really had a choice. Well actually she did, but I just did not let on that it was an option! (that was part of my management training in my last job). In reality she is too nice/helpful and I think she may actually want me to come back from this hike, so she will try and foster my success. When we were section hiking this past September on the Long Trail there were some vague references to bodily harm directed at me, but I think the feelings passed and I made sure I was not in reach of her hiking poles when this occurred. Anyway, she is “on board” with her role and now we just have to get some “turn-over” training done (not talking about the pastry), so she feels like everything is in place.",,View Entry,"Jan 11, Mon",0
Tom B,https://www.trailjournals.com//journal/entry/521611,"OK time to get the sausage links warmed up (see Jan 9 entry) and try to update this journal with my phone. Well --- that only took 10 minutes to type that first sentence (just kidding - really I pounded it out in about 9:30). When I retired the group of guys I worked with presented me with this nice wall mount map of the AT. I have no idea how many times I have referred to it as I get ready to leave on this hike, but it has been great to have it right there for reference. The days are trickling by and while I feel like things are in good order, is seems like it is still too far out to start actually cleaning off the tables where my gear is laid out and start packing. A few good dry runs of loading the pack should be in order though, as I know every trip it takes me a couple of shots at getting the load reasonable. You won't get any pictures of the tables though as it looks like a toddler has emptied the contents of someone's camping gear in a pile. Those pictures people put of all their stuff that will go in their pack - all neat and in order is just not my style. My table looks like the plate of a Old Country Buffet patron, loaded with a little of everything. It looks like I will be heading out from Amicola Falls and taking the Approach Trail, which will slightly alter my first few days. It will be nice to see a little more of Georgia and find out ""right out of the gate"" how much work I have ahead of me to get into hiking shape. From the reading I have done the stairs along the Falls let you know right away!My editor (aka Hike Admin/my better half) let me know there were some additional grammar improvements I could make, so I better make them now because once I get on the trail and start updating at night in state of delirium - all bets on any indication that I actually had an education are off!",,View Entry,"Feb 22, Mon",0
Tom B,https://www.trailjournals.com//journal/entry/523677,"To back up a few days, we (my wife and I) left Syracuse on Saturday the 12th. We drove to Washington DC to visit my two sons that live there. On Monday morning we headed to Charlotte NC, to stay over on the way to Georgia - with the company of my oldest son and daughter-in-law. Today we drove the remainder of the distance to Amicalola Falls in Georgia.We checked in to the Lodge here and headed down to sign in for my thru-hike. It was sunny and warm and the park was pretty busy for a weekday. I was able to sign in as hiker #699 and get my pack weighed - which was 35 lbs. A little heavier than I would like but does include cold weather gear, which may go home sooner than expected if this weather keeps up.We took some pictures at the arch that marks the start of the Approach Trail. Then my wife and I drove back up to the top of the falls, as my son and daughter-in-law hiked up the falls. We deemed this a ""team effort"" as they were hiking the first mile for me. I will start tomorrow on the Approach Trail just below the Lodge.I think I have the easy part tomorrow because I just need to hike - my escort squadron has to drive back to DC, which I am sure is not going to be fun! I am very lucky and really appreciate having their company right up to ""shoving off"".",,View Entry,"Mar 15, Tue",0
Tom B,https://www.trailjournals.com//journal/entry/523743,"Started this morning from the Amicalola Falls Lodge. It was hard saying goodbye to my escort squadron. It was overcast and cool, looked like it may rain but that never happened and the sun came out. It was a beautiful day but made the inaugural day of hiking more effort, than if it had been cooler. In the first mile I met Odin. He is from NC and hiking for two months. We passed each other all day and saw many other hikers- mostly college students out hiking for spring break. Finally made it to Springer Mountain about 3PM. Due to the unusual heat several people who had also hiked in on the Approach Trail, decided to go just over Springer and stay at the shelter there. There are a bunch of younger guys in the shelter and most of the older ones (including yours truly) are in tents and hammocks in the surrounding woods. I sat at a picnic table with Odin and a young guy from Michigan (did not catch his name) as we cooked dinner and shot the breeze.So based on my progress today- I have completed a whopping .2 miles of the actual AT today. But I promised myself I would start slow and I hate breaking promises I make to myself. Only 2,180 or so more miles to go. Fasten your seat belts.Tom","Amicalola Falls Lodge
",Springer Mountain Shelter,"Mar 16, Wed",0
Tom B,https://www.trailjournals.com//journal/entry/523850,"Well I was the last senior citizen out of camp this morning. I am a notorious dawdler in the morning when camping and will have to change this habit if I expect to have a chance to make it to Maine before the next Ice Age.The morning was cool and the trail was easier than yesterday. In the early afternoon it started to get hot again and I slowed down. I expect that once I get my ""hiking legs"" (no you can't order them from REI), I won't be slowed down by the heat as much. My minimum destination was Hawk Mountain Shelter and although I would have liked to go a little further, the trail guide showed no water sources for the next six miles.   I was not going that far and decided not to carry enough water to stop overnight somewhere.I decided to call it a day at Hawk and just relaxed before making dinner. Good water source here so I will grab extra in the morning when I am fresh and won't mind the extra weight so much. I hiked alone the entire day only seeing a few section hikers going south and passing or being passed by a few north bound hikers. Lots of people at this shelter tonight though.","Springer Mountain Shelter
",Hawk Mountain Shelter,"Mar 17, Thu",8.10
Tom B,https://www.trailjournals.com//journal/entry/523958,"I had a little personal excitement today but more later.I got out of camp a little earlier probably due to the fact that I did not try to cook any breakfast. Had to carry extra water because it was around 6 miles until the next source and that included climbs over two mountains. Leaving Hawk Mtn Shelter you descend into Hightower Gap where a nice gentleman from Mississippi was handing out donuts, bananas and soda. I was not smart enough to ask him his name, but I partook in a donut and it tasted great and was much appreciated.The weather all day was clear and sunny. The temperatures did not seem to slow me down as much as the two previous days. I was on target to hit Gooch Mountain Shelter by early afternoon when my personal excitement interrupted things. I stopped to talk with a girl from Germany for a minute then moved on. For some reason I touched my ear and realized that one of my hearing aides was missing. I remembered taking it out to put on sun screen during my lunch break, but apparently did not put it back. So I dropped my pack and hiked the 1.5 miles back up the mountain and was lucky enough to find it on the rock where I was sitting. So back down I went and grabbed my pack. I had not lost too much time, so I decided to finish up the day as planned.Once again lots of people at this shelter tonight.I need to start taking some pictures to include with this verbiage but in all honesty the trail views have not been real good so far. I was given some good advice by a previous thru-hiking couple, to take pictures of the people and that sounds like a good idea. I will do that once we settle into a somewhat regular cast of characters.","Hawk Mountain Shelter
",Gooch Mountain Shelter,"Mar 18, Fri",7.70
Tom B,https://www.trailjournals.com//journal/entry/524173,"Last night I was just dozing off and I saw all these headlamps in a row walking. I just thought it was a group coming in late to the shelter area. But I found out this morning that an older gentleman actually had a heart attack and was being air lifted out from Gooch Gap (about a mile away). They apparently were able to stabilize him before moving him (I guess about 10 medical volunteers showed up) and it sounded like he is going to be all right. Scary!Today started great for hiking, it was cloudy and cool. Got packed up and on the trail by 8AM, which is good for me at this point. One of the problems is that it does not get light until after 7AM. Since I don't have my pack organized so that everything has its own place - I don't trust packing by headlamp yet.Basically it stayed overcast and misty (on the peaks) until 1PM, then the sun came out. We reached Lance Creek (I was hiking with ""Bighorn"" a guy from Wyoming) at 1:30, so decided to push on to Jarrad Gap for the night. This is the start of a 5 mile section where a bear canister is required to stay overnight o several of us stopped and will hike through the section tomorrow.Setting up at Jarrad Gap was exciting as a storm blew through and my tarp wanted to sail away. But eventually the wind died down and the rain stopped. Temperatures are supposed to drop into the 30's tonight, so that fits my sleeping gear better since it can handle down in the single digits.Today we had a ""double dip"" on the trail magic front. An hour after starting this morning in Gooch Gap a church group from Nashville TN was camped and serving coffee and egg-sausage and cheese sandwiches!! Then at Noon in Woody Gap a church group from western Georgia was giving out hot dogs, chips, brownies and soda. Needless to say I did not have to stop to eat today.Neel Gap tomorrow where I will pick up my first food drop.","Gooch Mountain Shelter
",Jarrad Gap,"Mar 19, Sat",9.80
