Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Wedding Walker,https://www.trailjournals.com//journal/entry/655397,Wedding Walker,,View Entry,"Jul 22, Fri",0
Wedding Walker,https://www.trailjournals.com//journal/entry/655398,Wedding Walker,,View Entry,"Jul 23, Sat",0
Wedding Walker,https://www.trailjournals.com//journal/entry/655439,Wedding Walker,,View Entry,"Jul 28, Thu",0
Wedding Walker,https://www.trailjournals.com//journal/entry/656590,"Starting what will probably be the toughest section I’ve hiked on the AT (Appalachian Trail) as I’m hiking through the White Mountains (200 miles with 17 peaks over 4,000 feet). Plan is to hike south to Killington,Vermont where I ended my hike last spring. Luckily I have a hiking partner Al (aka  Webmaster- from running into spider webs as an early morning hiker) who I met a couple years ago when we were rained in together at a shelter in Virginia. We met up Monday at an Appalachian Mountain Club (AMC) Lodge in Pinkham Notch, New Hampshire after a long bus ride from Boston. We are both planners so I won’t even tell you how many versions of our hiking plan (ok we are on version 5 before setting foot on the trail). Al is a faster hiker than me, he already did 3 weeks on AT this summer but he didn’t abandon me yet  


Today’s hiking plan was to head up 4000’ over rocks (boulders and lava type) and roots over Mount Madison and descend to Madison Springs Hut.  A good part of the climb we had to use our hands instead of our poles on the ascent. We passed a lot of Thru Hikers (most started in Georgia in March), the most interesting one wore only cowboy boots and hat and shorts. 

The AMC Huts are the “bougie” way to hike in this area (bunks, dinner and breakfast) but Al has a good saying about certain older hikers “when the knees get thinner, the wallet gets thicker” so we are splurging on the huts. 


Huts are run by a Croo (this one had six in their twenties) who work 11 days on, 3 days off. They use a “pack board” based on a World War I design which weighs 10 pounds and they load an average of 50 lbs of food which is carried up twice a week (no access to hut by motor vehicles)
There were about 45 people in this hut and dinner included vegetarian tacos, salad and applesauce cake. No beer on tap or showers at the hut. 


Wedding Walker","Joe Dodge Lodge
",Madison Springs Hut,"Aug 16, Tue",7.80
Wedding Walker,https://www.trailjournals.com//journal/entry/656596,"Mount Washington (which is known for some of worst weather in U.S.) was on the way to our next hut but the weather forecast included “Wednesday: clouds w afternoon rain. Temperatures: Mid 40s Winds: NE at 30-45 mph increasing to 50-70 mph w/ gusts up to 80 mph” so we left early and took a trail about a half mile under the summit (I promised to hike safely!) It was windy (gusts to 40) but we made it to the hut before an afternoon downpour. We only passed one thru hiker on the way and we asked him how conditions were behind him (I think he went the summit) and he said “it really felt like an adventure!”  
The other two ways to get to the summit are by car or a cog railway. It used to be a tradition for hikers to “moon” the train but they started making arrests so Al and I didn’t partake.
This hut has the most bunks on the AT (space for 90) but it is overflowing as it is cold, windy and rainy so hikers who didn’t have reservations are going to sleep on the dining room floor or down in the “dungeon”.
At dinner Croo member Aiden proposed to Mya while they were introducing the Croo and serving dinner. Plus a couple we met last night at Madison Springs hut announced tonight that they got engaged last night. A lot happens above 5000’  
Note: I’ll add photos later when I have better coverage and my ability to add journal entries may also be delayed


Wedding Walker","Madison Springs Hut
",Lake of the Clouds Hut ,"Aug 17, Wed",7.10
Wedding Walker,https://www.trailjournals.com//journal/entry/656673,"Hard rains and extremely high winds (up to 70 mph on the summit above) had us change our plans and stay here another night (what hikers call a zero). Our decision was the correct one as hikers who arrived from the direction we were headed advised not to hike as visibility was only 15-20 feet and the driving rain was brutal. The trail is on a ridge above tree-line for the first 5 miles.  Many other hikers did the same thing and spent time playing games and reading. I picked up a 2012 edition “Appalachia” magazine and read a story called “ding ‘‘em down” (referring to the dinner bell at the huts). The article was a about a father Doug Teschner and his son who were both Croo members of the huts and how the father returned to the huts with his son. Interestingly Doug worked as a manager for the Peace Corp in Kiev, Ukraine and two of the older Croo at this hut talk to him occasionally  (small world!). 


In the book “This Grand & Magnificent Place” I learned about the Abenaki tribe as the first inhabitants, the Crawford Path  (which we will hike on tomorrow) is first hiking trail in America, Ethan Crawford was known as the “Giant of the Hills” due his then-enormous height of 6’2” (my height), tragic avalanches and floods, the rise and fall of the grand railroad hotels and the founding of the AMC (men & women were original members) and other hiking clubs in the late 1800s. Today’s hikers have LED headlamps, the hikers of the 1800s lit matches to read their compasses when darkness fell.


Wedding Walker","Lake of the Clouds Hut 
",Lake of the Clouds Hut ,"Aug 18, Thu",0
Wedding Walker,https://www.trailjournals.com//journal/entry/656712,"When I woke up at 5:15am I could see mountains in the distance but by the time we left at 7:30 visibility was 1/16 of a mile which was fine and much better than yesterday. We ended up taking a shorter route (actual mileage was 9.8) to AMC Highland Center (where we were supposed to stay last night) since our batteries were low and there are no more recharge options for 5 days. The path often resembled a stream or waterfall due to 3” of rain on Mount Washington yesterday. But when do 65 year old “kids” get to rock hop over streams all day? At the AMC Center I had a beer (too heavy to carry on trail) and chips (wouldn’t survive being smashed in my food bag). Zealand Falls had 2 beautiful waterfalls and I had the chance to swim and rinse some of my dirty clothes. Water was cold and perfect for sore feet and ankles
A group of 7 dads and 13 kids took up 20 of the 35 bunks here. One dad was with without his CPAP (something my wife’s family can relate to) and I swear it could have been a bear snoring. Luckily I had good earplugs. At 3am I got up to go to the bathroom and the night sky was so clear and stars, moon and planets so bright. 


Wedding Walker","Lake of the Clouds Hut 
",Zealand Falls Hut,"Aug 19, Fri",9.80
Wedding Walker,https://www.trailjournals.com//journal/entry/656750,"8/20


Trivia I learned from reading “Appalachia” magazine last night before bedtime (9:30pm is the start of quiet hours) was that in the 1800s porcupines were deemed destructive and there was a bounty on dead ones. Hunters received a cash bounty based on each porcupine nose you brought in. 


Had 3 amazing views today (Zeacliff, Mount Guyot, North Twin Mountain) with clear skies and warm temperatures. Elevation change appears to be up 1,750 ft down 2,900 ft. Lots of day and weekend hikers on the trail, a number of who are working on climbing all 48 of the 4,000 foot peaks in New Hampshire.  A lot of rock climbing up and down large ravine-like trails full of boulders. No way to practice this kind of hiking in the Midwest. 


Galehead Hut is the most remote Hut is on the smaller side (36 bunks) and has wide view of mountains from the front porch. Al and I had some nice conversations with 2 hikers from Massachusetts and a hiker from Toronto before dinner. The hiker from Toronto rented a house for the summer and is working on the 48 summit. A father (who section hiked the AT over 31 years) is also working on the 48 peaks for a 2nd time. This time with his daughter. 


Dinner was a large slab of turkey (didn’t look natural but it was good), mashed potatoes, cranberry sauce, broccoli, salad and chocolate cake. My hiker hunger was more than satisfied. 


As for the nightly reading of “Appalachia” one of the women from Massachusetts always read the “accidents” section which I initially thought was a bit morbid but they always have helpful lessons learned. 


I went outside to see the stars after my middle of the night bathroom stop. I guess that is one advantage of being older out here! 


This morning I was on the front porch before the wake up call and one of the dads from the group couldn’t stand the snoring of his one friend and chose to sleep on the benches in the dining room. Luckily Al and I were in a separate bunk room.


Wedding Walker","Zealand Falls Hut
",Galehead Hut,"Aug 20, Sat",7
Wedding Walker,https://www.trailjournals.com//journal/entry/656769,"Note: additional photos in Photos section. Only 1 photo can be posted with daily journal entry


Incredible views continued today! When I’ve hiked other parts of the AT you spend a lot of time in the Green Tunnel with an occasional view. With hiking higher elevations above tree lines you can see mountains in all directions when on the summits or on the ridge lines.


You have to earn the views and the first challenge was Mount Garfield (4500’) which included climbing a waterfall (allegedly a trail). From Garfield we could see Mount Lafayette (5,100’) in the distance and in the afternoon we made it to the rocky summit. Since it was Sunday the trail was still busy (trail runners, peak baggers, circuit hikers, day hikers). Quite a few hikers are from Quebec as it is fairly short distance for them. We saw Larry the Log, a veteran and thru hiker who carried a 20 lb log from Georgia to Maine as a fundraiser.


At the Greenleaf Hut Al & I talked with Turquoise (hiker from the Finger Lakes in New York). She is recently retired nurse doing another section and has hiked over 1000 AT miles. 


After dinner hiked down to Sunset Rock to check out the sunset over Echo Lake.


Wedding Walker","Galehead Hut
",Greenleaf Hut,"Aug 21, Sun",7.70
Wedding Walker,https://www.trailjournals.com//journal/entry/656873,"Another bonus of the huts is that they have coffee ready around 6 (breakfast is at 7) and sitting outside with a cup of coffee looking down a valley or up at mountain is pretty sweet. 


We hiked the 1.1 miles back up To Mount Lafayette and proceeded south on one of the most famous sections, Fraconia Ridge Trail. Although clouds completely covered the ridge in the late afternoon, our morning hike couldn’t have had better visibility (360 view). Since it was Monday the weekend crowds were gone which made for an even better experience.  While climbing down from Franconia Ridge though some boulders I had my first fall ending up on my side after underestimating my momentum coming down. Surprise and some soreness on my left side were the only effects of the fall. 


My next mishap was I only saw one sign (the second was about 8’ to my right) at a trail crossing so we ended going up and down a 4,500’ peak (Mt Liberty) and adding .6 miles to hot and humid day! 


Before we reached Lonesome Lake Hut an older hiker from England coming northbound excitedly told me he had landed in Canada, hitchhiked all the way to a nearby road crossing and he was starting his AT hike. His positive demeanor and British accent affectionately reminded me of my Uncle Jim who recently passed away.  


At the hut I went down to the dock and rinsed off while visiting with other guests. One was the extended family (kids, parents, grandparents) of a man who works for the AMC and actually started as a member of the Croo as his first job. 


Later a Bachelorette party (of 4) joined our table. The bride to be couldn’t recruit her sisters for the adventure but she and her friends were having fun.


Wedding Walker","Greenleaf Hut
",Lonesome Lake Hut,"Aug 22, Mon",11
