Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Yellowjacket,https://www.trailjournals.com//journal/entry/646625,,"Ohio
",View Entry,"Jan 30, Sun",0
Yellowjacket,https://www.trailjournals.com//journal/entry/646718,Stayed at the lodge. Hiked DOWN the famous stairs to get to the visitor center so I could sign in and get my thru-hiker tag. Then we had to hike UP the stairs and to the top of Springer Mountain. Weather was beautiful. Got very cold at night.,"Amacalola Falls lodge
",Springer Mountain ,"Jan 31, Mon",10.30
Yellowjacket,https://www.trailjournals.com//journal/entry/646717,Hike was very difficult especially after a challenging first day.,"Springer Mountain 
",Horse Gap,"Feb 01, Tue",11.30
Yellowjacket,https://www.trailjournals.com//journal/entry/646706,,"
",Above the Clouds,"Feb 02, Wed",0
Yellowjacket,https://www.trailjournals.com//journal/entry/646719,"Hike today was great. 14.4 miles. We slack packed so we only carried a day pack. It poured down rain ALL day. We were completely soaked. I learned a lot. One is once your boots and socks get totally soaked it doesn’t matter anymore and your feet will be fine. The other is that slack packing is the way to go when you can do it. 
The trail was like a river. The water was just running down the trail almost ankle deep. I posted a video of a waterfall that went across the trail. The bad part was there no views. Because we were in the clouds all day we could only see about 200 feet. I posted pictures of our “view” from blood mountain. 
It was in the 40s so no ice but was cold in the wind. I know others have had horrible weather so I feel blessed.","Above the Clouds
",Neel’s Gap,"Feb 03, Thu",14.40
Yellowjacket,https://www.trailjournals.com//journal/entry/646727,"Hiked 6.8 miles today. Today is Matt’s last day on the trail with me.  We either had to stop where we did or go like 10 more miles. It was an easy decision. He heads back to Indiana tomorrow and I continue on north. 
Rained today and got colder.  Was quite a bit of ups and downs. 
Tomorrow supposed to be in the 40s for the high and 20s for the low.   Planned for 11.2 miles.  I’ll see how it goes. Will send a few pictures in a little bit.","Neel’s Gap
",Hogpen Gap,"Feb 04, Fri",6.80
Yellowjacket,https://www.trailjournals.com//journal/entry/646740,"First day without Matt  I miss his company already  Was very cold here. My Garmin watch said the average temperature was 23. Everything was iced over but it was sunny.  I’ll post a few pictures. Did 12.17 miles today with a full pack. I know it doesn’t sound like much but the extra two miles were really tough. It was a very steep uphill and then I had to walk back down the hill to refill my water. I got a resupply box yesterday that I mailed to myself at the inn.   
Staying at the blue mountain shelter tonight.  Sleeping in my tent outside the shelter because it’s warmer in my tent. Shelters only 3 sides. There is a guy Josh here with me who stayed at above the clouds Hostel. He’s a younger guy says he wants to do 22 miles tomorrow.  He is sleeping in the shelter so he can get an early start tomorrow and doesn’t have to take his tent down. Sounds crazy. He’s a nice guy. Another couple just showed up  they are staying in the shelter too I think 
I have an 8.8 mile day and then an 11 the next two days.  I am going to see if I can make closer to 10 and 10 but changing where I spend tomorrow night.","Hogpen Gap
",Blue Mountain shelter,"Feb 05, Sat",12.17
Yellowjacket,https://www.trailjournals.com//journal/entry/646758,"Good day today.  Hiked 9.42 miles. Was very cold today and the water tube for my water  bladder froze.  Also the button release on my trekking poles froze and had to pour hot coffee on the other to melt the ice. 
After I posted last night a group of  7 University of Georgia students came to the campsite and set up in the dark. I got a picture all of our tents  and some scenery shots.  I met a guy on the top of Tray Mountain and he took my picture and I took his.","Blue Mountain shelter
",Steeltrap Gap,"Feb 06, Sun",0
Yellowjacket,https://www.trailjournals.com//journal/entry/646773,"Good day today.  Stayed at Steeltrap Gap last night. Got very cold and when I got up I was in deep fog. My tent got pretty damp on the outside. I was the only one there and it was little creepy seeing the fog roll in out of the valley.  Anyway the sun came up and I hiked onward for about 9.4 miles and got picked up by a shuttle driver and am now at a Holiday Inn Express in Hiawassee, GA.  
Taking a “zero” day tomorrow, which means no hiking.  I did a load of laundry already and went to a buffet some hikers were talking about. The buffet was terrible, which is unfortunate because it is right across from the HIE.  Going to put my tent up in my room so it will dry out. 
Just a few pictures of views along the way. 
Twp potential trail names. I forgot to mention that there was a second group of UGA students on the trail and they were moving quickly and came up behind me. I let them pass and one jokingly said “we name you “speedbump” because I was slowing them down. We ran into another hiker named speedbump and he told us his name came from similar circumstances. I think it’s a common name. 
I ran into another hiker and we talked for a while. He was pretty cool and said he retired as an agricultural extension agent for the US Department of Agriculture and his name was “professor”. He asked what mine was and I told him I didn’t have one and he looked at my pack and said we should call you “heavy lifter”. He was not a thru-hiker just a day hiker. 
Anyway. I’m exhausted and going to bed.  I need to figure out my nutrition and mileage and sleep.  This reminds me a lot of training for a marathon. There are times I feel like I run out of energy and hit the wall. On the other hand I can tell my back and legs are getting much stronger.  I’ll figure it out and dial it in.","Steeltrap Gap
",Dick’s Creek Gap,"Feb 07, Mon",0
Yellowjacket,https://www.trailjournals.com//journal/entry/646803,"Very hard day today. 11.52 miles. Made it to muskrat creek shelter.  Was going to stop at 10 miles but realized that tenting site had no water.  5 other people at the shelter here. 2 couples - one from Michigan and the other from DC.  And a young guy named Hollis from Lancaster, PA. He has no tent or stove and is wearing a big fur coat. He is friendly and tried to build a fire to cook but gave up. He stays in shelters. 
My shuttle driver was sick this morning so he sent his wife. She said he has colitis.  She is VERY religious and asked if she could pray for me. I said ok and she said like a 3-4 minute prayer for me. Stuff like “Dear Lord we ask that you watch over Joe and keep him safe on his hike . . “  and how thankful we are for him to have this opportunity to enjoy this wonderful outdoor world You have created . . .   It was very touching and totally unexpected. I thanked her for her prayers. She said she would pray for me on her drive home. 
Finally, I tried to update my Garmin using the computer at the Holiday Inn. It was a Gateway computer!  I think they went out of business in the 1990s. So I was unsuccessful. I will try again asap. 
 Barely one bar of service. Not sure if I can post  pictures tonight. I think I got a few posted. Made it through Georgia!  One state down 13 more to go.  


0.1 mile past the border is this “iconic “ gnarled oak. Two people told that “supposedly” it is the most photographed tree on the AT. I have no idea how anyone would know that.Also a view of the town I stayed in last night, Hiawassee, GA.","Dick’s Creek Gap
",Muskrat Creek Shelter ,"Feb 09, Wed",0
