Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Gorp Gobbler,https://www.trailjournals.com//journal/entry/643812,"Before my epidural steroid injection this past Tuesday (9/7/21), I had given up on the idea of ever backpacking again.  After my consultation with the Pain Management Doctor, my thought processes changed, to where now I think, it could still be doable.",,View Entry,"Sep 09, Thu",0
Gorp Gobbler,https://www.trailjournals.com//journal/entry/643813,"Once I do get back to the trail, I know a Thru-Hike won't be an option, however, I'm not ruling out the idea of a ""Slow and Steady"" section hike.",,View Entry,"Sep 09, Thu",0
Gorp Gobbler,https://www.trailjournals.com//journal/entry/643814,"I know there have been older folks then me that have done the whole trail, and I tip my hat to them, but along with my age, there's the physical condition of my spine that might prevent me from doing the whole thing, and that's OK, ""Any More, It Doesn't Matter"" to me.I've stood on Katahdin twice and Springer Mountain Twice, and have covered a lot of the miles between these two mountains over the past 48 years.  I've experienced all sorts of trail weather, met some truly amazing interesting people, and some not so interesting, and have seen some beautiful scenery, that a lot of people will never see.As long as I can put one foot in front of the other, I'll keep backpacking, but it doesn't matter to me if I complete the trail.",,View Entry,"Sep 09, Thu",0
Gorp Gobbler,https://www.trailjournals.com//journal/entry/643988,"In my Journal Details section under the heading ""Start Date"", I have May 11, 2022.  I've been giving this some thought.  Granted, my hiking style will be Section Hiking, and if I were to start at Harpers Ferry, the May date would be fine, however, I've been entertaining the idea of starting at Springer Mountain, and that date could easily be mid to late April and maybe later.I would like to avoid as much cold weather as possible, and since I'd just be section hiking, a date in May or even June could be planned.",,View Entry,"Sep 13, Mon",0
Gorp Gobbler,https://www.trailjournals.com//journal/entry/644362,"When I opened up my Yahoo account this morning to check emails, I found this picture over in the sidebar.If my memory serves me correctly, the ATC was given 9.5 million dollars a year or two ago.  I don't recall exactly why they were given this sum of money, I think it was to do with a pipeline or something but being a Non-Profit Organization, that's still a pretty good chunk of change.So why do you suppose they are still asking for donations, when last year, they were telling hikers to Not come to the trail, and if they did, to stay out of the shelters?",,View Entry,"Sep 21, Tue",0
Gorp Gobbler,https://www.trailjournals.com//journal/entry/644677,"For those of you that have been following along with me on this journal, I want to bring you up to date with what’s been happening.

I had planned on starting a Flip-Flop hike out of Harpers Ferry, W. Va., May 12th of this year, heading North to Katahdin, however, while hiking over in John Bryan State Park the Sunday before I was to leave, the condition I have in my spine decided to flare up which kept that from happening.

My Chiropractor had me to the point where I could walk without much of a gimp at all in my right leg, which excited me, knowing I was getting to return to the trail.

Usually, his adjustments worked wonders in restoring my mobility, that wasn’t to be the case this time.  Granted, they helped for a short time, but I was needing something long-lasting if I was to return.  On one of my visits, he did some X-rays and found my right ilium bone had rotated out of position.

By July, my condition had worsened to where I couldn’t walk at all except in a hunched-over position.  Standing for any length of time was out of the question and then sitting for long periods even became difficult.  The only relief I could find was lying in bed.

After an MRI, my doctor referred me over to the neurological department.  The MRI showed I had severe stenosis at L3-L4, along with some disk degeneration, disc bulges, protrusions, and extrusions.  I had an appointment made but wasn’t going to get in until August 24th.

I met with the same neurosurgeon I had in 2019 when I discovered I had problems with my spine.  In 2019, I was told he didn’t want to do surgery yet.  In 2019, he had me go through physical therapy, which helped, but I was still gimpy.  This time, he wanted me to try epidural steroid injections, which I did, one on September 7th and another on September 21st.

When you’re backpacking, you always reach “Milestones”, be it the ¼ of the way sign, Fontana Dam, Newfound Gap, Woods Hole Hostel, or Damascus, to name a few.  I reached a Milestone so to speak on September 24th, I was able to stand and walk erect after 2 ½ months of walking hunched over.  Then on September 28th, I was able to stand in the shower, still in some pain, but bearable.

I’m now going to another Chiropractor/Physical Medicine Center here in town.  I had some shock therapy yesterday, and today will get some more, along with adjustments.  My hip has been hurting quite a bit, so perhaps the ilium bone needs to be set again.

I’m sure the burning and numbness in my right ankle is from a nerve being pinched, so hopefully, with some acupuncture, which they also have here, I’ll get relief from that.",,View Entry,"Sep 30, Thu",0
Gorp Gobbler,https://www.trailjournals.com//journal/entry/645077,"I know there are those around us that live with pain every day, some, unfortunately, live with it until they die, and this indeed is a sad thing.  Perhaps it’s some form of birth defect, or maybe the result of an accident, or war injury, or even a dreaded disease.

With that being said, the pain I’ve been dealing with since 2019, is the result of Spinal Stenosis, the narrowing of the space around the spinal cord where it passes through your vertebrae.  This narrowing is caused by the build-up of some form of matter.  This matter puts pressure on the nerves.

In my case, the nerves in my right leg are affected causing excruciating pain in my hip and ankle.  The ankle pain makes me want to favor my ankle, thus resulting in a gimped style of walking.  It also causes tightness on my right side, which makes me want to haunch over to relieve this discomfort.

I have loved hiking ever since I went on my first Boy Scout hike at the age of 11.  Even if I wasn’t on an official Boy Scout hike, it wasn’t anything for me to take off and start walking and perhaps be gone all day.  My parents never worried about me, I remember my mom telling another lady, “He knows his way around the creeks and wood lots that he frequents and where and when to get a meal”.

I discovered the Appalachian Trail while attending a National Boy Scout Jamboree, as the Scoutmaster of my hometown Troop.  This was back in 1973, the year I made my first summit of Mount Katahdin.  I was in the workforce so every year when I had vacation time, I was on the trail doing a section of it.

Here it is, soon to be 47 years later, and I’m still wanting to hike this trail.  My love for hiking and being outdoors is just as strong now as it was on that first Boy Scout hike.

I’m told my gimpy leg and the pain associated with it, can be repaired with surgery, however, I’m told by the neurosurgeon that “he” doesn’t want to do it yet, which I didn’t understand until the other day, is because of Medicare.

Apparently, Medicare wants doctors to exhaust all forms of alternative treatments before they’ll pay for surgery.  I did physical therapy in 2019, I had (2) epidural steroid injections in September, and have been seeing Chiropractors for the past 2 years.  Yesterday, I tried acupuncture for the first time and actually was pain-free, but it didn’t last.

I never was one to “get a second opinion”, but this Thursday (10/14/21), I’m going to see another doctor in a different Medical Group than the one I’ve been using and see what they have to say.  Who knows, they may be able to fix me up good and proper so I can get back out on the trails.",,View Entry,"Oct 12, Tue",0
Gorp Gobbler,https://www.trailjournals.com//journal/entry/645754,"With November well underway I know a lot of prospective “Thru-Hikers” begin their count down to when they will step foot on the trail.  Having said this, I want to wish these folks the Best of Luck on their journeys.

For me, I’m not sure what 2022 will offer as far as hiking.  I’m pretty sure a Thru-Hike will not be in my future, but one never knows.

A few weeks ago, I switched Chiropractors.  I found one here in town that along with doing adjustments also does “acupuncture”.  Four sessions of having pins stuck all over my body has not lessened my pain.

For those of you that have been following along with me in this journal, you know I started having problems with walking back in 2019 due to spinal stenosis.  My condition has progressively gotten worse to where if I wasn’t so bullheaded, I’d have given up and become an invalid.

On a recent Chiropractor visit, after my adjustment, the doctor asked if I thought the adjustment did any good.  I replied, “I appreciate what you’re trying to do Dr. Jeff, but I think my condition is beyond chiropractic care”.  He agreed with me and said he was referring me over to a neurosurgeon. 
I’m to see this neurosurgeon on December 10, just 3 days after my 70th Birthday.  If this doctor can restore my ability to walk “pain-free”, I’ll consider this The Best Birthday Present Ever.

I’m sure I’ll have physical therapy to do should an operation be in store for me, so I’m hoping my bullheadedness will have me giving everything I got doing it.

Most of this year has been spent in idleness as far as biking and hiking goes, so I know I’m definitely out of shape.  The spare tire around my middle has increased by several pounds so I’m going to want to shed this weight, or at least part of it before hitting the trail.  I know the trail will take off weight without a problem.  On March 26, 2015, I weighed 223 pounds when I left Springer Mountain.  In Pearisburg, Va., I went to the hospital, I was having trouble with my right leg, they weighed me, I was down to 175 pounds and eating everything I got my hands on.

I notice I don’t eat as much as I use to and that’s common with older folks.  I wonder how “trail hunger” will affect me.  When backpacking, you burn up a lot of calories, so maybe I’ll turn into a lean, food-eating, hiking machine. (Actually, I’ll probably stay an Overweight, food-eating, slow but steady hiker).

Depending on how everything goes once I see the neurosurgeon, will determine when and if I start a hike in 2022. 
Stay tuned!!",,View Entry,"Nov 11, Thu",0
Gorp Gobbler,https://www.trailjournals.com//journal/entry/646198,"This year has flown by so fast, it seems like just the other day I was making preparations for my Flip-Flop hike when actually it was back in May.

I didn’t get much done in the way of exercising, as my spinal stenosis has progressively gotten worse, so much so that I’m in constant pain with every little move.

I met with a new neurosurgeon on December 10, and after a thorough examination, he thinks I might have a cervical vertebra that is blocking some nerves.  He ordered an MRI for that region as well as some X-rays of me standing erect. I’ll get these done on January 24.  Once he has these results, he’ll know what to do first as far as treatment.

He looked at the results of an earlier MRI I had done and said that the L3 and L4 were definitely showing signs of blockage and that surgery is necessary to correct them.

When I told him I enjoyed backpacking, he said, “I’ll have you out backpacking next year”.  These were words I was hoping to hear.

I still don’t look to be a Thru-Hiker, but I sure would count it a blessing, to be a member of the Class of 2022 “Backpackers”!

Please check back for future updates.",,View Entry,"Dec 31, Fri",0
Gorp Gobbler,https://www.trailjournals.com//journal/entry/650165,"It’s been a while since my last post, so I thought I’d write one today in order to bring everyone that actually reads my journal, up to date.
I had my other MRI done on January 24th.  This one was on my cervical area.  The results showed significate damage in that area. After meeting with my neurosurgeon, he has reason to believe that surgery there, “might” correct the problem I’m having with my Lumbar region.  He said we could give it a couple of months and if I was still having problems with my walking, then he would operate down there to correct it.  I’m to meet with him on May 11th to view the actual MRI CD images and to set up a date for surgery.

I’m being optimistic thinking that an operation on my cervical vertebrae, will do the trick so that I can still get a little hiking done this year.  I would also like to ride the “Bike Trail” from Cincinnati to Cleveland.  
I’ve been following the journals of a few 2022 Classmates, thus keeping my hopes and dreams alive with each mile they hike.

Any short hikes I could do locally would be awesome, but with my unsteady legs, I wouldn’t want to do them alone.

The new Primary Care Physician I acquired on the first of this year has been simply amazing.  Before she even saw me for the first time, she ordered a prescription for Duloxetine which has worked wonders in relaxing my nerves.  I now can stand erect, I have no problems sleeping, and I’m in very little if any pain.  This medication was ordered after talking with me on the phone.

If “no” hiking this year is in my future, I’m entertaining the idea, even with the high cost of gasoline, to drive out to the trail somewhere to offer Trail Magic to anyone that would like it.  I’ll no more after my surgery.

Until then…",,View Entry,"May 03, Tue",0
