Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Nightingale,https://www.trailjournals.com//journal/entry/664954,"Teddy and I headed out from home after my evaluation and made it to Mount Crawford, VA. Driving on the interstate was horrible. I can’t see anyone behind me, even the big trucks and they get so close that I start to sway and have to break to stop the sway…which is the exact opposite of what I want and what they want. I determine tomorrow I will get up early and be able to make the time without traveling on the highways. 
We stayed on a beautiful property called Marceline Vineyards. Once we arrived and setup, we met a couple from NY who were also using Harvest Hosts and played trivia with them. 
Tomorrow I see my honey.",,View Entry,"May 31, Wed",0
Nightingale,https://www.trailjournals.com//journal/entry/664955,"I slept well and woke up to a wonderful morning with horses feeding on dew covered grass and cool temps. I woke up knowing that today was going to be the day I see my honey and I was so excited to be on the road. I set my Apple Maps to avoid highways and off I go…such a better drive for the first 1.5 hours. 

I arrive at a Walmart and finish my shopping and get a bite to eat. This takes up precious time and when I get back in the car, I would arrive to Blue at 1327, not acceptable. I must take the highway and the same people at get there at 1230. Off I go, but it is worse today and I decide the only way I can drive on the highway is to go 55 mph on a 70 mph high (unless we were in a construction zone) with my blinkers on. The blinkers did keep the big trucks off of my backside, but not the cars…I was so pleased to get off of the highway. 
I arrived at 1300 and he arrived just minutes later, ohhh what a joyful moment. We headed out to a new host, Appalachian View.",,View Entry,"Jun 01, Thu",0
Nightingale,https://www.trailjournals.com//journal/entry/664976,"Blue has decided to hike a 10 mile day today instead of taking a zero day and taking it tomorrow. I spent the morning getting the Alto ready for both of us. I also spent the morning getting to know our host. Then it was time to go get Blue.
Once I picked up Blue, we went to Cabela’s and other errands. Teddy was great at Cabela’s and at Panera bread.
We tucked ourselves in for the night. 
Appalachian view (Deb and Bob) are great people and so kind. They provided us with water and electricity and also allowed us to dump. Such great hosts. I’m getting to know the harvest host family, and they remind me of the Appalachian Trail family. A group of kind people who offer their place of business or their yard for the use of others. I am so thankful to my friend Sandy for introducing me to this program.",,View Entry,"Jun 02, Fri",0
Nightingale,https://www.trailjournals.com//journal/entry/664977,"Today was our first zero day together. Blue and I went grocery shopping to both Walmart and Aldi‘s. We also picked up some things for our stove from Lowe’s hardware. After we arrived at our new host, we set off to Hopewell Furnace NHS.  Teddy earned his bark ranger for this site and received a free bark ranger badge. He was introduced to sheep, and while he had some difficulty, he listened to my commands.We arrived back at our host families yard, and were able to meet our hosts. We have been stressing about where to stay on Monday through Wednesday night but they came through just like the trail angels they didn’t know they were. They offered for us to stay two more nights, and we were able to get a harvest host for Wednesday night. You know the kindness of strangers is very evident. We are very tired from our zero day and are laying our heads down for the beginning of Blue’s first full day of hiking tomorrow. I promise I’ll have more entertaining journals to come; as we begin this journey I will get to do more things along the way to share with you.",,View Entry,"Jun 03, Sat",0
Nightingale,https://www.trailjournals.com//journal/entry/664978,"Went through several little towns , Shartlesville and Historic Hamburg. I stopped at two cemeteries, and checked my Find a Grave app, but they didn’t have any photo requested either one of them. The morning drive back to the alto was fantastic, thru farm land and towns and forest land….no fighting trucks. 
It’s a day full of chores: doing laundry, cleaning alto. I wasn’t able to dry the clothes completely at the laundromat so I had to keep switching the clothes I’m drying outside on the four hangers that I have. I may need to buy more hangers.


I had my first adventure in detours, and I was able to find my way back to our host. Our host family is part of the fire department and explained that they had to use the jaws of life to take a person out of a car on the road and that is why they closed road. 


I actually took some pictures today of the two towns I drove thru and the host. 
It is time to go pick up Michael and start our evening together. Good night everybody.


Nightingale",,View Entry,"Jun 04, Sun",0
Nightingale,https://www.trailjournals.com//journal/entry/665054,"Today started very early with getting Blue on the trail. He is hiking southbound today because of parking for me. 


Once we got back to the Alto, me and Teddy were freezing, it was 55° in the camper. We turned on the heat crawled up for a nap. We woke up about 45 minutes later and then ate breakfast. We are now walking on the D&L trail. When I take Teddy on these walks, I like to let him scent and stay wherever he wants to smell for as long as he wants to. At home he can run and walk and sniff as long as he wants. The only control he has out here in the world, is to stop and smell something. It does make walking consistently more difficult. 


After walking, Teddy and I went shopping for some needed items, not many, just a few. We did have to go to three different stores to get them and Teddy was able to go in 2 (Aldi, Target, Walmart). We found a collapsible basket, just perfect for the Alto at target with a couple of other camper items. Teddy did great in Walmart and Target and is early in getting the comments about being a service dog. I do not tell people he is a service dog, they just assume. 


Once all errands were done, we went back to camp to prepare ahead of time dinner since Blue will be getting home so late. Well we took a small break first and then worked. 


On the way to walking to meet Blue on the trail (I parked .4 of a mile from the trail) I was talking with my friend Sandy and I saw a black bear cross the trail I was walking on. It was about as tall as my chest…no picture as I was talking and I was walking Teddy. He was so busy munching on grass, he didn’t see it. What a way to end my day. Off to the Alto and dinner already prepared.


Nightingale",,View Entry,"Jun 05, Mon",0
Nightingale,https://www.trailjournals.com//journal/entry/665123,"Today is all about the Appalachian trail. I will be driving Blue between points today, all in all I will drive him to three trail heads, one twice. I have bought trail magic and will try to distribute it throughout the day.  I am going to surprise him at the second stop with magic  


Gave trail magic to: Out and about. Lawsuit and Cookie Monster from Minnesota. NomNom from North Carolina. Lexicon from NJ. Medicine Man and Sugar from Kentucky. Lighthouse from N. Virginia. 


Ended the day with pizza and frozen custard.  Teddy did great with the hikers but without his walk, full of energy tonight. Tomorrow is moving day after I drop Blue off. Good night",,View Entry,"Jun 06, Tue",0
Nightingale,https://www.trailjournals.com//journal/entry/665164,"Today was moving day. After taking Blue to the trail I started cleaning and putting things away. It is amazing how easy it is to have things out of place when you stay days in one place. By 10 I was on the road. 


We had conserved well over the 4 days and our tanks were at 81% and 78%. My mission for the day was go to a dump, grocery run, and travel to new host. Sounds simple, not. 
I paid extra on Harvest Host for dump sites; well they really don’t know where they are or if they exist. I traveled to two near by sites to find businesses at the address and no site. The third site I chose was a state park… Walla, no dump station. When I traveled to this site, I had missed the main entrance and went by to find the back entrance, I was followed by a park ranger. When I pulled into the back entrance, he pulled beside my car. I told him I was looking for a dump station. He said “we don’t have one, I don’t believe, if we did, which I don’t think we do in the 13 years I’ve been here, it will be by the bathroom.”  In all the parks that I have visited I have never found a dump station by the bathrooms, so I believe he was right and there was no dump station. He did tell me where a small RV Park was down the road and I was able to pay $20 to dump there. 


All of this took me four hours with a brief 30 minute pause to grocery shop in the middle. Then I was off to our new host. The new house was only 40 minutes from our old host but with all the traveling that I did I was an hour and 10 minutes away. The good news is is that the new host was less than 15 minutes to the trail where Blue was ending his day.
I got set up, disconnected, waited for the host (as requested b the host at check in) to come over and invite us to a wine tasting. When I told him that I had to go pick up Blue from the trail, he said well we’ll start without you and if you want to come when you return you can come at the end. He was leaving to go to town for 15 minutes, and upon his return he started the tasting.  I didn’t feel very invited. There’s another family staying here that went to the tasting. 


Just as well, I’m having a lovely evening with my honey, and the grounds are pretty and the pond is pleasant.",,View Entry,"Jun 07, Wed",0
Nightingale,https://www.trailjournals.com//journal/entry/665209,"Today was a better day than yesterday.  The day began with a walk by the pond with the mist rising above it. Took Blue to the trail and came back and ate breakfast. Then broke down camp. 


Today is a very slow day. It took less than a half an hour to get to my new site. I went to Walmart before I arrived and picked up a few things Blue wanted. I had to get on the highway today, but it was only 3 miles from where I had to turn off and a traffic jam started .8 miles before then luckily it just started and we were not in stopped traffic so it only delayed me a 10 minutes


I set up at Kittatinny visitor parking lot right on the AT. This is my first site in which I am less than a mile from where Blue will end for the day and he will walk right by me and continue .5 miles to make tomorrow easier. 


Teddy and I took two walks today and the rest of the time hung out at the campsite. I did some laundry. I attempted to plan some but the signal is horrible, I will plan some more tomorrow. I did make some calls to some places and was able to secure one site for the next week.


Waiting on Blue to walk by and I will pick him up a half a mile from where we’re camped. 


My cell signal improved and I was able to plan all the way thru next  Wednesday. Good night.


Nightingale",,View Entry,"Jun 08, Thu",0
Nightingale,https://www.trailjournals.com//journal/entry/665259,"Today I left Kittatinny Visitors Center in pursuit of three things. Number one: get a stamp for Delaware Water Gap, accomplished. I had to drive to the Delaware water gap headquarters at the very end of River Road, but well worth the hour trip. Number two: get my new prescription from my doctor and replace the prescription accidentally thrown out for Blue. I traveled to a local pharmacy and requested the prescriptions. They said it would be at least an hour if they could fill them. About an hour and a half later I received a text that the prescriptions are filled. I will pick them up in the morning. Number three: sleep on a real farm. My nice lodging tonight is at a working farm in New Jersey called Mohican. It is a very nice host and Teddy had to learn to live with an ostrich. I’ve given you a photo of a close up of Teddy, but in the distance you can see the ostrich. He is such a quick learner.This farm has a petting zoo, which we didn’t take part in because of Teddy, a nice market and cows and donkeys. It was easy to spend the $20 recommended in the market, and I tried for the first time, sweet potato bites and I love them. Today was also spent taking several walks on the property and planning nights for sleeping in the future. Tomorrow I get to see my honey again. We are sleeping in a state park for two nights in the beginning of the week and two nights in the end of the week, High Point State Park. Tomorrow it will only be six minutes from picking up Blue.Good night


Nightingale",,View Entry,"Jun 09, Fri",0
