Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Quiet Man,https://www.trailjournals.com//journal/entry/619217,"It supposedly takes ~5,000,000 steps to thru-hike the Appalachian Trail.  And every hiker is likely familiar with the Chinese proverb: ""A journey of a thousand miles begins with a single step.""  Of course, the AT is about 2,200 miles; philosophically then, the journey may begin with more than a single step.  The 5 million steps are actual physical steps; but the journey really begins with a lot of mental steps before one even physically passes that first white blaze.  The physical journey typically takes between five and seven months.  The mental journey may last decades before and even after the thru-hike.  The first step for me was probably in 1974 or 1975, when I first learned about the concept of long distance hiking after reading the first edition of Colin Fletcher's seminal book, ""The Complete Walker.""  I was a weekend backpacker as a teenager, but that book deeply ingrained the desire to complete a long distance hike. I do not remember exactly when, but at some point during that time frame, I first stepped foot on the Appalachian Trail near Hawk Mountain, PA.  Then the oft-heard refrain, ""Life intervenes,"" conspired to divert the journey.  That is not to say the diversion was a bad thing.  College, a career, and a family offered new adventures and new life goals.  There were even plenty of hiking and car-camping trips with my wife and children.  Living and traveling in Europe for more than 30-plus years were a once-in-a-lifetime journey in itself.  And a 30-year Army career offered so many opportunities to carry a rucksack and sleep on the ground than at times I care to remember.  But from time to time, the thru-hiking dream rises from the depths of my consciousness like a mountain rises out of the mist.  In mid-February, we spent a great weekend exploring vineyards, breweries, and distilleries based out of a bed-and-breakfast in Lovingston, Virginia in Nelson County.  Forty-five miles of the AT pass through Nelson County, including along the Blue Ridge Parkway and the well-known Rockfish Gap crossing.  Our first night, we ate at the Devil’s Backbone Base Camp and I drank a brew called Mile 842, named for the AT milepost.  The beast was awakened.  The next day we headed north to visit a lavender farm and vineyard near Harrisonburg.  We passed through the Rockfish Gap and stopped in Waynesboro, VA to visit an antique mall across the street from Ming’s Garden.  Having read a lot of trail journals in the past, I could not help but imagine what it would be like to be visiting Waynesboro as a thru-hiker.  I haven’t ever really shared this thru-hike obsession with my wife.  To be honest, I doubt she would really be on board with the idea of me spending six months on the trail.  At some point, I will have to confront the beast – the trail, not my wife.  The question is how to take that precipitous step with her and broach the subject.  The Class of 2027 is the current mark on the wall.  That seems like plenty of time to convince my wife that this is a good idea! And plenty of time to prepare physically and plan logistically.  It may not be the first step of my AT journey, but it certainly is a giant and critical step.
""Half my life is in book's written pages; Live and learn from fools and from sages. Dream on. Dream until your dreams comes true."" Steven Tyler, Aerosmith.",,View Entry,"Jul 20, Sat",0
Quiet Man,https://www.trailjournals.com//journal/entry/619239,"In two weeks, I will do my first true Appalachian Trail section hike!  I have been reading a lot of trail journals and frequently the phrase “the trail provides” has been used when a hiker realizes that they need a little push, reassurance, or encouragement to get over a physical or mental obstacle and somehow something happens or someone happens along to provide that little bit of needed inspiration.  I am a skeptic by nature and believe more in coincidence than “magic.”  On the other hand, karma is in the eye of the believer and sometimes you just have to believe.  A few months ago, I casually mentioned the idea of hiking the AT to my 27-year old son.  Matt and I have never backpacked together.  We have day-hiked a few times, including along the AT in the Shenandoah National Park, while car camping when he was a kid.  He also accompanied me as teenager on several day hikes with World War II Yugoslav partisan and military veterans in the mountains of Slovenia, including a snowy hike up and back down Mount Krn on November 11th for a World War I commemoration.  Since then, he has hiked and backpacked himself a bit with friends.  So, when he texted me a few days after returning from our European trip to ask how I would feel about taking a 2.5-day trip on the Appalachian Trail, I was quite surprised.  Of course, I immediately agreed that it’s a great idea!  Although, I wasn’t sure what his mother, my wife, would think of the idea.  At first, the idea seemed like pure serendipity.  But was it?  Maybe it’s trail karma.  I’m still not in the greatest hiking shape; even though I have been jogging a bit in order to get back into running shape.  And for over a year now, I’ve been taking daily dose of a nonsteroidal anti-inflammatory drug for a case of bursitis/arthritis in my left hip.  Diagnosed two years ago, the pain in my hip would not let me walk more than 10 feet without being almost unbearable and was constant.  After physical therapy and starting the anti-inflammatory, the pain is now only occasional and very mild.  If I am going to be walking a lot, I also have a prescription narcotic-like pain reliever to use as needed.  During the trip to Spain and Greece, my wife and I walked a lot around the cities and archeological sites, including the Mount Olympus day hike, and I did not need to use the pain reliever very much.  So, while I know it won’t be easy, I think I can handle the short backpacking trip.  I thought my wife (a nurse practitioner) would balk; saying I’m not really in shape yet and still somewhat dependent on the medications.  But, again to my surprise, she only asked that the dates for the trip not conflict with potential boating days!  She also said she would make sure I had the right first aid kit and meds to take along.  Serendipity?  Or karma?  I have been apprehensive about broaching the idea of a thru-hike with my wife because I am not sure she will be even slightly on board with the idea.  More so because of the lengthy time away from home than the physical aspect; she knows I won’t attempt a thru-hike until I am in sufficient physical shape as she’s seen how I trained to run marathons in the past.  I even suggested that I might run another marathon to celebrate turning 60 years old and she thought that was a great idea.  But a thru-hike?  This section hike is going to start in Harper’s Ferry, which is only about 35 miles from my son’s house in Virginia.  (It’s about 100 miles from my home on the Chesapeake Bay.)  My son suggested we could even visit the Appalachian Trail Conservancy HQ.  My son’s husband will drop us off in Harper’s Ferry and my wife is planning on riding along.  The four of us will have dinner and then my son and I will start our hike that evening, while my wife and his husband drive home.  Maybe I’ll convince her to visit ATC HQ with us.  Never know; karma might happen.

“Instant Karma's gonna get you; Gonna knock you right on the head.” John Lennon",,View Entry,"Jul 21, Sun",0
Quiet Man,https://www.trailjournals.com//journal/entry/619295,"While I don’t consider myself a true gear-head, I do enjoy looking at and thinking about the best gear.  There is no substitute for actually field-testing gear for yourself, but of course, that involves buying the gear and getting out on the trail.  I am not quite ready for that investment in time and money; so, I have contented myself with virtual research.  In reality, this is a huge advantage over the “good old days.”  Online product descriptions and commercial reviews are usually quite detailed.  And then there are the hiker forums and trail journals to learn valuable info from the hikers out there using the gear right now.  Ever since I started recording my thoughts about an eventual thru-hike, I’ve been keeping a gear prospectus, specifically what gear I’d test right now if I were seriously preparing for a thru-hike.  The prospectus gives me a great starting point to assemble some gear for my upcoming West Virginia AT section hike.  My son is providing some big items, specifically, the backpack, sleeping bag, stove, and a few smaller things like a water filter.  The biggest thing I had to purchase right now was a tent.  I went with the ALPS Mountaineering Lynx 1 Tent; at 4.6lbs, including a footprint, it’s clearly not a thru-hike option.  But it was on sale on Amazon at a third of the price of a much lighter tent (like the Big Agnes Copper Spur HV UL 1 Tent in my prospectus that weighs 2.4lbs with a footprint).  I also picked up a few smaller things like trekking poles and a sleeping pad.  It was a great lesson in realizing the cost/weight ratio: i.e. the lighter the gear, the more it costs and the inverse.  In my thru-hike prospectus I am aiming for a base weight under 20lbs; however, for this section hike, I have been struggling to get it under 25lbs.  The clear lesson is to focus on reducing the big three (pack, tent, sleeping system) and packed clothing; no surprise since this is the conventional wisdom from the experts across the internet.  But there is nothing like coming to the realization yourself through practice.  I also offered to assemble the food for the both of us; aiming for 2lbs per day per person.  The lesson here is that snacks are where the weight quickly gains – both physically and physiologically due to the ubiquitous sugar content of snacks like candy and trail mix.  Again, online research provides a lot of good information; but there is nothing like the realization that the amount of M&Ms you purchased for the hike weigh a third of the total food allowance!  It’s just so damned difficult to leave behind those little morsels of chocolate-happiness, isn’t it?!

Good– and concise – article on “How Much Should Your Pack Weigh?”  “My bag is sinking low, and I do believe it's time.” The Weight. Robbie Robertson – The Band",,View Entry,"Jul 22, Mon",0
Quiet Man,https://www.trailjournals.com//journal/entry/619643,"I am just sittin’ on the dock of the Bay waiting for the start of the upcoming WV AT section hike with my son.  Just about everything is ready.  The gear list is more or less complete (but not packed).  Food for three days is planned and more or less packaged.  We haven’t settled on a potential plan other than starting in Harpers Ferry and ending at Snickers Gap/VA 7, a total of about 20 miles.  We’ve planned three days; it’s certainly doable in two days, but since I haven’t backpacked in decades, my son was thinking we can take it as slow as necessary.  Of course, he joked that I’ve run more than that in about 4 hours, so it should be no problem (my personal best marathon time is 4 hours); I added that was 20 years ago!  But I’m in decent enough shape, just not the best shape.  So, I think I can handle a 2mph pace and 10 miles-a-day over that terrain.  In the meantime, my wife and I are going to take the boat out for a couple days.  Our boat is only 21’, but has a cuddy cabin; so, we can overnight.  Planning for a 2-3 day boat trip is not unlike planning for a 2-3 day backpacking trip.  Actually, a few small pieces of my backpacking gear are borrowed from the boat: a couple stuff sacks, my UV Buff, a Gerber Dime multi-tool, Gerber Paraframe Mini knife, and my Merrell  All Out Blaze Sieve hiking sandals (land shoes for the boat/camp shoes for backpacking).  Spending the weekend on the boat is like car camping, except there is no tent to set up.  Today’s task is to pack the overnight gear onto the boat and systems checks – fuel up, make sure the batteries are charged, fill the water tank.  I also have a food shopping list (my wife is working today).  It’s already mid-morning; sitting on the deck, sipping coffee and contemplating hiking – and boating – is enjoyable, but, I suppose it’s time to stop sittin’ on the dock of the Bay and get my butt in gear (literally and metaphorically).
""I'm sittin' on the dock of the bay; Watchin' the tide roll away, ooh; I'm just sittin' on the dock of the bay; Wastin' time."" Otis Redding",,View Entry,"Jul 25, Thu",0
Quiet Man,https://www.trailjournals.com//journal/entry/619981,"We’re back from an awesome three days cruising on the Bay!  The weather was perfect for boating.  We even saw a pod of about 10-15 dolphins playing near the Chesapeake Bay Bridge.  Curiously, I didn’t think about the trail much during the trip.  While running the Bay, you are concentrating on the water (think about watching your feet on a rocky part of trail); while at anchor, we enjoyed the time together, swimming, playing backgammon.  The only time the hiking trip came up was when my wife was thinking about helping to put together a first aid kit for the trail and wondered if there was anything in the boat first aid kit to commandeer.  But now that I’m again sittin’ on the dock of the Bay, my thoughts are back to the upcoming section hike.  The plan right now is to have my son’s husband drive us out to Harpers Ferry Sunday afternoon 4 August (my wife is still planning on riding along); have dinner together in Harpers Ferry.  Then, Matt and I will spend a night at the Harpers Ferry Hostel in Knoxville, Maryland – across the Potomac from Harpers Ferry – and only a couple hundred yards off the AT that follows along the Chesapeake & Ohio Canal towpath.  Monday morning, we’ll jump on the AT, cross the MD/WV state line across the Potomac and enter Harpers Ferry.  We’re planning a short visit to the Appalachian Trail Conservancy HQ and then continue on to David Lesser Memorial Shelter for the first night.  The second day has us heading for a campsite near Ravens Rock, just a few miles north of VA7 – where my son’s husband will pick us up the next day.  As is well known, the AT runs along the border of Virginia and West Virginia in this section and crosses the state line at least twice; and it will check West Virginia off the list as a section hike.  I have not really considered the possibility of completing the AT in sections; a true thru-hike is what occupies my mind.  However, anyone who reads anything about the trail knows that the AT provides various opportunities; some people turn thru-hikes into section hikes and many people section hike and eventually complete a thru-hike.  One state a year equals 14 years; so, since I’m waiting another 7 years to attempt a thru-hike anyway, I could knock off half of the trail in the meantime.  An adventure in itself and a lot of valuable experience to be gained.  Thus, I’ll walk the VA/WV line and cross the line from only thinking about hiking the AT to being an AT section hiker.  “As sure as night is dark and day is light; I keep you on my mind both day and night.” Johnny Cash – I Walk the Line",,View Entry,"Jul 30, Tue",0
Quiet Man,https://www.trailjournals.com//journal/entry/620297,"My gear list for the WV section hike is set.  Base weight is 23.7 pounds/total pack weight 36.9 pounds.  Yea, I know; that is heavy!  The Big 3 (pack/tent/sleeping system) alone equals almost 15 pounds.  Yea, I know; that is really heavy!  The pack and sleeping bag are being provided by my son.  I just purchased the tent as a close-out, knowing that it’s heavy at 4+ pounds.  12 pounds = food/water; went with 2lbs of food per day - just looking at the volume, it might be too much for this trip.  We'll see.  The other relatively heavy category is clothing.  Much of these are interim purchases on sale or close-out; there are a lot of lighter options.  All of this is a starting point.  If this thru-hike fever is chronic, it is clear to see where I can reduce weight.  Of course, that means spending some money.  In the meantime, there is no sense in spending too much until I’ve crossed the Rubicon.  Right now, I only need cross the Potomac and the Shenandoah.  This gear will get me on the trail and across those rivers – which at this point, is the best treatment for this flare up of thru-hike fever.  Click here for my complete gear list.

“Boy, you're going to carry that weight.” John Lennon/Paul McCartney – The Beatles",,View Entry,"Aug 02, Fri",0
Quiet Man,https://www.trailjournals.com//journal/entry/620346,"Sometimes I think it's better to procrastinate and then be busy right up until the last minute, rather than to be ready a day or more before a trip and then be impatient to depart.  Too much time on your hands provides the chance to second guess the gear list or - even worse - debate with yourself about adding one more thing. You convince yourself that another 4 ounces won't really matter.  Or even worse, you unpack and repack just to do something - realizing a day into the trip that you forgot to repack a critical item. You swear under your breath that you packed that fuel canister. Then you see it in your mind's eye on your kitchen table.  Fortunately, I will have a second look at everything. The pack I will use is at my son's house; all my own gear is in a duffel. I will load the pack at his house tomorrow. I suppose I should just occupy myself with some household chores.
Afterwards, I stopped by my local purveyor for a beverage to enjoy while looking over the PATC guide for the northern VA/WV section once more. I was thinking of a German Hefeweizen, one of my go to summer beers. But the cooler where they keep the Erdinger was broken and all the beer lukewarm. Fortunately, a second cooler was still operational; there I was pleasantly surprised to find Devil's Backbone Mile 842 Lager! This is the beer, named for AT mile marker 842, I had back in February at Devil's Backbone Base Camp when this incarnation of AT fever took its grip. Karma.  Let's get it started (Ha)!
""Obstacles are inefficient, follow your intuition; Free your inner soul and break away from tradition."" The Black Eyed Peas",,View Entry,"Aug 03, Sat",0
Quiet Man,https://www.trailjournals.com//journal/entry/620431,"Easy drive from the Chesapeake Bay to my son's home in northern Virginia to begin the journey.  I have driven this route hundreds of times over the years, but today I was struck more poignantly by the demographic change. I live in a very small town on the Bay, not unlike many of the small rural towns along the AT. But I had to drive around Washington DC to reach my son's house and I found it curious that I left a rural setting, drove around a major urban center, to classic suburbia, and will end the day once again in rural America.
Arrived Harpers Ferry without fanfare. We made the requisite stop at ATC HQ; not much ado since we are not thru-hiking, but it was an opportunity to sign the register and make the start of this journey official. Then it was a stop for a beer at the Almost Heaven Pub - to make this a proper wetting down.  It was still a 2 mile walk to the Harpers Ferry Hostel - easy along the C&O Canal Towpath. A perfect opportunity to work out the fit of the pack since it's the first time I've hoisted it on my back. I have to say, the feel of the hostel is a bit odd. Can't put my finger on it exactly; maybe because I still feel like an outsider to this whole hiking community thing.  Anyway, we had an enjoyable time with a burger and a couple beers at the nearby Guide House Grill. Definitely a place with character for characters. Time to make some adjustments to the pack and call it a night. The journey has begun - one step at a time. One day at a time.
""Only the beginning; Only just the start."" Beginnings - Chicago","Chesapeake Bay, MD
","Harpers Ferry Hostel, WV/MD","Aug 04, Sun",0
Quiet Man,https://www.trailjournals.com//journal/entry/620484,"Had a fairly decent night's sleep at the Harpers Ferry Hostel and a pretty good cook-yourself breakfast. I must say though that I have not become a turkey bacon convert.  Can't beat an over easy egg though (because then it would be a scrambled egg, wouldn't it?).  
Although, we walked yesterday north from HF for about 2 miles on the AT to get to the hostel, I didn't count those since we will re-trace those steps today.  The C&O Towpath was a pleasant way to ease into the journey as we headed up around the bend in the Potomac to cross back into HF. HF was quiet on a Monday morning - a pleasant stroll through history.  Weather couldn't be more perfect for August - high in the 80s and a breeze blowing every now and then.
Even though I haven't carried a rucksack for 20 years, it was really an awesome day.  Of course, the trail is relatively easy in this area. I was surprised at how difficult the rocks can be - they really can slow you down. I know the rocks are much worse in other parts of the trail, but for a neophyte trekker, they truly tried my patience a few times. We did get a chance for a cold soda at Keys Gap - thanks to my son who made the half mile round trip to a nearby store.  Ah, the little things that make a difference. Overall, though it was a great first hike. I did run out of gas on the last uphill about a mile and a half from the shelter and felt like I was on fumes for the last mile or so, but we made decent time, averaging about 2 mph for the day. Made the shelter around 5pm with plenty of daylight left to setup camp and enjoy a trail dinner. I then surprised my son with a a dram of Highland whiskey from Virginia Distillers that I packed in… I really can't thank him enough for suggesting this hike.  Just what we both needed. Another day tomorrow - looking forward to what it may bring.
""There's a place up ahead and I'm goin'; Just as fast as my feet can fly."" John Fogerty - CCR","Harpers Ferry Hostel, WV/MD
","David Lesser Shelter, VA","Aug 05, Mon",10.70
Quiet Man,https://www.trailjournals.com//journal/entry/620546,"Well, today shows that I ain't as good as I once was, but I am as good once, as I ever was. And that once was yesterday. We only had about 7 miles to go today, but my legs were still tired from yesterday. And as I wrote before, I know there are places on the trail where the rocks are much worse, but it sometimes it feels more like rock hopping than hiking.  We moved much slower today.  That said, it's still great to get out here on the trail. Earlier in the day - after climbing back up a steep hill from the spring at the shelter - I remarked to my son that our next hike should be on the beach. Later, we passed a part of the trail where runoff had turned the trail quite sandy, he said ""Here's your beach!"" Yea, smarta**; now where’s my tiki bar?  Other than some rocky stretches that tried my patience again, it was mostly ridge walking today. Not much in the way of scenery either, but there were some pleasant “deep woods” stretches with periwinkle, ferns and sun-speckled trees. We did see a deer in one of those stretches (forgot to mention that we saw a doe and her fawn yesterday); I am always amazed by how fast and easily whitetail deer bounce through the underbrush and trees compared to our slow slog over just a few rocks and roots.  Oh, and the crazy squirrel that came barreling down a tree and into his hollow tree; sounded more like a large animal charging through the brush rather than a panicked squirrel. Made both of us stop and look at each other - like what is that?! 
Other than moving slow, our biggest challenge today was wondering when we could re-fill our water bottles.  We left the shelter with 4.7 liters between us; however, the temperature seemed higher today and the breeze was noticeably absent.  So, it seemed like we were going through our water faster. The idea - not really a plan - was to camp somewhere near Raven Rocks, where I had noted a campsite when reading about the section earlier.  The little map/elevation guide I was carrying showed three water sources starting with the northern end of the Rollercoaster. We just didn’t know exactly where they were located and how reliable they would be once we got there.  Fortunately, we passed a NOBO section hiker that gave us the exact location of the next spring and confirmed it was running fast enough to hear it as you approached. This put a spring in our step (pun intended). We arrived a short time after 3pm and decided to camp at a site near the spring - a perfect location to end the day because it was only about 50 yards off the trail, room for more than a couple tents, and a fire ring (although we decided not to bother with a fire).  Only drawbacks to this campsite were the two ticks I found on my leg while sitting on a log cooking dinner and the evidence of buried trash - mostly cans (assumed to be beer) - buried by some yahoos in the past. Late in the evening we heard thunder and figured we were going to get some rain during the night; however, when I checked the radar app I usually use on the boat, it showed a big storm passing just to the north (which we could see over the ridge) and a smaller one passing to the south.  We were sitting perfectly in between and out of both paths - another reason this location was perfect to end the day.  
""I ain't as good as I once once was; But I'm as good once, as I ever was."" Toby Keith","David Lesser Shelter, VA
","Ridge to River Trail Campsite, VA","Aug 06, Tue",6.80
