Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Rambler,https://www.trailjournals.com//journal/entry/659523,Test Post #1I am planning to use this journal site to keep family and friends posted on my Appalachian Trail thru-hike progress.  Hoping to start 2/17/2023 plus or minus a day or two.   ,,View Entry,"Dec 07, Wed",0
Rambler,https://www.trailjournals.com//journal/entry/659540,"This page will be for the 95% of people (basically all of my family and friends) who read this journal, and are not familiar with some of the basics of the AT, and thru-hiking.  I’m going to try this as a FAQ-style write-up:

What is the AT?  
It’s a 2194-mile footpath that runs from Georgia to Maine.  It was knitted together in the 1930’s from existing and newly constructed trails running along the Appalachian spine of the eastern USA.  Some tidbits:

It passes through 14 states
Supposedly requires 5 million steps to walk….my stride is a little longer than some, so maybe it’s only a mere 4.9M! You gain (and lose) enough elevation to summit Everest 16 times during the hike.

What is a thru-hike?  Hiking the entire trail in one 12-month period.  Various people impose various “rules” on what they consider a thru-hike…things like:  not skipping a single meter of trail and not having any support from friends whatsoever.  Whatever.  It’s a trail, and I’m planning to hike it.   Like 85% of thru-hikers, I am starting at the southern terminus, Springer Mountain in Georgia, and hiking northbound to the northern terminus, Mt. Katahdin in Maine. 
Are you going by yourself?  Yes, and No.  I will be setting off by myself, however on
any given day, I will encounter and potentially hike alongside other folks undertaking
the same pursuit. 
Where do you sleep? 
Generally, in a
tent that I carry with me.  There are “shelters”
interspersed fairly regularly along the trail (every 8 to 15 miles or so).  These shelters are typically three-sided
structures with a roof that can fit 6-18 people in them.  Usually arrayed around the shelter are level
spots for people to pitch tents as well.  I plan to mostly stay at the shelter sites, as
there is typically a reliable water source there, and other folks to converse
with.  

There is also an
ecosystem of hiker hostels and other commercial lodging at various points along
the way.  Every so often, I plan to partake
of these options for an evening of a soft bed, a shower, and recharged phone. 
What do you eat?
Whatever is light,
calorie-dense, shelf-stable, fits in my pack, and is available at the various
small stores in the towns near the AT.  Think
ramen, rice, cured meats, energy bars, trail mix, nuts, etc.  I carry a backpacking stove and fuel to heat
water to rehydrate food when I camp at night. I will typically be burning
through 4000-5000 calories per day, and I need to eat a similar amount of food
to keep my energy at a functional level. 
Thru-hikers tend to gorge themselves “in-town” when making a resupply
stop, and I’m sure I will do the same.  
How long does it take? When are you starting & finishing?
Most people require
between 5 to 7 months of walking.  I know
that my starting date is going to be Feb 18, and I know that I am going to be
off-trail for a few days in early May to attend a graduation.  Other than that, I’m pretty flexible on the
timing.  I’ll move fast and far when I
feel strong; I’ll move slow when I don’t. 
I’m guessing that I’ll be done in mid-August…but we shall see!
 Are you worried about bears, snakes, wolves, serial killers, zombies,
rabid raccoons and things that go bump in the night? No. 
Are you bringing an assortment of weapons and training in combat
skills to thwart the above assortment of hobgoblins?  No.
Are you worried about injury, hypothermia, ticks, and water-borne parasites? Yes.
 

What are you doing about it?

Injury: Training myself as best I can before I start…strengthening legs, knees, ankles, core.  Being smart, especially in the early days on the trail, about not pushing too hard to the point where I get sloppy and heighten the risk of injury.  Hypothermia:  The AT is famously wet.  I will be rained on or snowed on for at least 20% of the hours I hike during the trip. Guaranteed.   I am starting the trip in February, and even in Georgia and NC, it can be quite cold in the mountains at that time of year.  Having the proper layering system for clothing, and ensuring that I am carrying dry clothes to change into at night is crucial.  Since you can’t carry a wardrobe full of clothes, you put your wet clothes back on each morning (you warm up quickly while your internal engine is pushing you through the woods), and save the dry stuff for resting in camp at night.  During the first few weeks on the trail, when it is the coldest, I also plan to be smart about potentially bailing off the trail for a day or so if needed to avoid a particularly nasty dump of snow if it happens to materialize.  Ticks:  check myself every day and pluck ‘em off before they can deliver their payload of Lyme disease (it takes a day or more of attachment before the nasty stuff transmits to the human body). Water-borne parasites:  Filter your water.  I, like most hikers, carry a small water filter. 


Are
you carrying a phone?  Yes,
although coverage will be limited during much of the hike.  It’s OK….people successfully completed this
hike for 50+ years before the advent of mobile phones.  They are certainly nice to have, and enable a
hiker to stay connected to the modern world throughout the hike if so desired….but
it’s not the end of the world if I can’t check the score of the Sox game for a
couple days.     
Why
do you want to do this hike? 
That’s
the harder one to answer.  I have enjoyed
hiking since I was a young…I hiked with my Dad in the mountains as early as 4
years old. I hiked with outing clubs in my middle school and high school years.  I got away from it a bit during my twenties
and thirties as other pursuits occupied my time and interests.  In my forties and early fifties, I hiked with
my son, mostly peak-bagging in NH’s White Mountains.  Off and on, I have hiked with friends who
enjoy a day hike here or there, or occasionally I would take solo hikes if I
wanted to bite off a bit more mileage for a couple/few days.  
I have known
of the existence of the AT for many years…I spent most of my life living in New
England, and I have hiked on bits and pieces of the trail throughout that time.  I’m not exactly sure when I became aware of
the concept of thru-hiking, but for at least the last ten years or so, I have
been pretty certain that I wanted to give it a shot when the universe aligned
properly for me to be able to attempt it. 
I wanted the opportunity to challenge myself physically and mentally.  I wanted to experience a long period of
uninterrupted focus on a single purpose. 
I wanted to see the hidden parts of this country that are right in our figurative
back yards, but overlooked due to our focus on our daily lives.  I’m not a religious guy, but there is a
certain spiritualty that comes from standing on a peak, and overlooking a
terrain that has been shaped by millennia of forces and contemplating our place
in that landscape.  

I am
happy to answer any questions about the AT, my hiking plans or whatever.  I plan to post to this journal (hopefully)
quite frequently.  Based on cell service
availability, a few days of postings may pile up before they actually get
published on the site.  For those that
know me, I’m definitely not a social media guy, so this journal will probably be
the extent of my “sharing” of the trip. 
Possibly I’ll put a few things up on Instagram…but we shall see.",,View Entry,"Dec 08, Thu",0
Rambler,https://www.trailjournals.com//journal/entry/659660,"I have
been hiking off and on for over forty years....I have a shelf full of
""stuff"" used for various forms of hiking/camping...day hikes;
overnight car camping hikes; multi-night backpacking; going solo; hiking with
my son; hiking with buddies; hiking with my Dad (more on his influence in a
later post)....and on and on.  You would think that I have all the gear
needed to do something simple like walk, sleep, and eat for a few days in the
woods (okay, maybe 150-ish days isn't exactly everyone's definition of a
""few"", but let's not quibble).  
Guess
what...REI and Eastern Mountain Sports now have a new favorite customer because
it feels like I have been plugging holes in my gear lineup nonstop for the past
couple months.  Some of the big hitters:
New
Tent: 
Okay, technically this wasn't bought due to my impending thru-hike.  A couple years ago, I gave my two-person REI Half-Dome
tent to my son to use in his Mountaineering Club in college (and was very happy
to do so….I’m super-psyched that he enjoys this pursuit).  I filled my shelter needs by acquiring a
single-person REI Flash Air 1…big mistake. 
I used this for a couple seasons; it was just way too small for me (I’m
6’2” and 200+ lbs), and more importantly it was a single-wall design with
terrible ventilation, meaning that significant condensation formed inside the
tent and rained back down on me all night…yuck…and Brrrrrr.    So, I now have an REI Quarter Dome SL2…and
I love it!  I’m back to having some
space, and I’m free from condensate rain. 
It’s probably a couple ounces heavier than the best of the best out
there in the tent universe….but I’ll leave those high-end purchases to the
hard-core gram weenies.  
Wow…that
was a lot of text for a few pieces of sown nylon….let’s move on, shall we?! 
Backpack: Yep…arguably the
most critical piece of gear (and probably the most expensive), I replaced. For
10+ years I have used an REI Ridgeline 65l pack and have loved it.  Rugged, reliable, reasonable weight, great
hip belt.  Why change?  
Without
getting too gross, when I hike….I sweat….a lot. 
I wanted a suspension system that incorporated the more modern ventilated
mesh back supports to at least give me a fighting chance of staying dryer.  I went with the Osprey Atmos 65….it seems to
have the right mix of what I liked with my current setup while incorporating a
mesh suspension.  I’ve done about a
half-dozen 10-milers with ~35 pounds loaded, and so far, I’m liking it.  
Footwear:  I’m a generally a boot guy when I hike.  Yep, that dates me (I’m mid—fifties), since
all the kids these days are thru-hiking in trail runners instead of the big
clunkers.     I like trail runners for when I’m doing an
easy walk through the woods with my dog and no backpack, but historically whenever
the backpack goes on, and the trail is going to point upwards, a pair of Merrill
Moab WP boots come along for the ride.  
That
said, I’m not such an old dog that I can’t learn new tricks, and I’m coming
around to the Trail Runner mind-set.  I’m
using a pair of Altra Lone Peaks (the wide toe box works well for my wide feet)
in my recent training hikes, and they will be joining me somewhere in Virginia,
once I’m reasonably confident that I’m past most of the threat of snow in the
early weeks of the hike.  
I also
decided to switch over to non-WP boots, with the hope that they will dry a bit
faster than WP boots after hours of slogging through wet February slush…it’s
probably a pipe dream…but a guy can hope, right? 
Gear
Ethos:
 Sure, I like my gear and I pay attention
to what I’m bringing, but let’s be honest, if Grandma Gatewood (google her)
could hike this thing at age 67 carrying an over-the-shoulder denim bag, a
shower curtain as a shelter, and a pair of Keds on her feet…..I’m probably
going to be just fine with my selection of stuff churned out by America’s
recreational-industrial complex.  
Okay,
that’s enough for one post….more to come.",,View Entry,"Dec 31, Sat",0
Rambler,https://www.trailjournals.com//journal/entry/659832,"So, what do you do to train for a thru-hike?  It’s not like it’s a race….although I have read that there is a unique cadre of folks pushing the limit to achieve the “fastest known time” for the AT.  Something like 45 days to hike 2200 miles from Georgia to Maine.    Yeah, that ain’t gonna happen. 
It’s not an activity where you need to take your heart rate to the absolute limit, and sprint to a finish line.  You don’t need to perform herculean muscular tasks like pushing around an offensive lineman in football.  You don’t need otherworldly hand-eye coordination like a baseball player.  You basically need to get out of bed, pull on a pair of shoes, strap your stuff onto your back, and walk. Up hills, across flats, and down hills.  And then do it again.  And again.  Rinse and repeat for about five million steps, across 100 to 200 days, depending on your speed.  
 

My approach to getting ready for the trail has been:

Continuing my typical summer road biking as deep into the early winter as temperatures would allow.  I did about 1300 miles this past season, and I’m hoping that helped lay in a pretty good base of aerobic fitness and leg strength.  Get out in the White Mountains as often as possible.  I was able to finish off the 4000-footer peak bagging this past fall with half a dozen hikes.  There is nothing like hiking up the famously rough and steep sections of the AT like the Wildcat range to shock your system back into hiking shape.   I wish I could have done this more, but my schedule didn’t always allow the 6 hour round-trip from my house to the heart of the White Mountains.  Do lots of trail hiking on trail networks that are much closer to my house.  I have weekly been doing three to five hikes of 8 to 12 miles each for the last three months or so.  The trails have a modest amount of elevation change (nothing like the Whites, or the AT in general, but at least it’s something), and I typically accumulate about 1500 feet of elevation gain during each hike. I have also been carrying a loaded pack (about 35 pounds or so), during these hikes.  I feel like these hikes are probably the most important part of the training.  For my upcoming time on the trail, I am mostly concerned about repetitive-use injuries like plantar fasciitis and various forms of tendonitis, and so I am trying to ensure my body gets a good dose of repetitive activity in advance of the REALLY repetitive activity.  Mix in a small amount of weight training and core training, mainly just to keep things balanced out.  I also try to work in stretching whenever possible…especially if I happen to be couch-potatoing in front of a Patriots game.  I have mixed in a small amount of running as well.  Usually this time of year, I would be running a bit more, because I can’t bike during winter in New England, but with all the trail hike training, I haven’t wanted to put additional repetition onto my lower body, so the runs have been short and infrequent.  Lots of downhill skiing in the past month or so.  I’m not sure if this actually provides any potential benefit for hiking…..but blasting down the slopes of Killington, Sugarloaf and Sunday River sure is fun!   

Anyway…hopefully this cocktail of activity at least has me reasonably ready to launch myself into the Appalachians in five weeks! ",,View Entry,"Jan 12, Thu",0
Rambler,https://www.trailjournals.com//journal/entry/659864,testing the ability to make entries from mobile device…including adding photos,,View Entry,"Jan 16, Mon",0
Rambler,https://www.trailjournals.com//journal/entry/660028,"I have been a
bit delayed in getting additional posts with other “business” demanding my
time.  Over the past few weeks, we have
sold the house in MA, packed up our belongings, and moved to North
Carolina.  There have been just a couple
of details that require attention during that process.  Ugghhh. 
I don’t miss the days when we moved 10 times in ten years.  The past 11 years have been in one spot, but
now we are headed back to the Triangle area, and we are very excited to get
settled back into a fantastic town that we know and love.  
At least I had
enough time during the last few weeks in MA to continue getting out for (semi)
regular hikes in our local trail network. 
The Pisgah conservation area in central Mass, which is jointly managed
by the towns of Northborough and Berlin along with a number of volunteer groups,
is a fantastic resource for the local citizens, and my family and I have been
fortunate to have a lot of great memories (and hikes) there.  
I was really
happy to have my golden retriever out there with me for a number of hikes in
the past few weeks.  I would love to be
able to take her along for the AT adventure, but she is now a bit too old to
handle the day-to-day rigors (aren’t we all!), and the logistics of bringing
along a pet are more than I want to take on. 
She will have to stay behind and keep Mrs. Rambler company during my
time on trail.",,View Entry,"Jan 17, Tue",0
Rambler,https://www.trailjournals.com//journal/entry/660029,"well, in the last week, all of our personal belongings have been loaded on truck by movers back in MA, and they are now traveling somewhere on the eastern seaboard.  The few odds and ends that we wanted to handle ourselves were loaded into our vehicles and into a cargo trailer which I towed 400 miles through the beautiful rural wilderness of NYC, NJ, Baltimore and DC before I got to my destination at Lake Gaston.   I’m hoping that my jaunt along the AT has slightly fewer folks packed alongside me than is typically the case on I95. 
we enjoyed a nice few days hanging out at the lake.  Off-season is a very peaceful time to be there….no jet skis buzzing…just the occasional flock of geese honking their way along the water. After so many years of leaving our pup with family in New England during our summer sojourn to Gaston, it was pretty cool to have her there with us.  She still doesn’t seem particularly excited to plunge into the water (it has never been her thing, which is odd for a retriever) but maybe it will be a different scenario this summer when it’s 100 degrees and the whole family is floating in the water.  
The focus of my training definitely pivoted the past couple weeks. Instead of slinging a 35 pound pack on my back and stomping around the woods, I have been hoisting 35 pound cardboard boxes (and bed frames, and lawn equipment, and, and , and….).  The barking in my lower back after all that tells me that there is a reason backpacks are on your back, instead of being carried in your arms. Who knew?
Looking forward to having our stuff delivered in a few days, and getting the whole move “process” over with.  Once it’s done, I’ll be only about three weeks away from the start of my journey….so the days in a soft bed are getting numbered!",,View Entry,"Jan 22, Sun",0
Rambler,https://www.trailjournals.com//journal/entry/660030,"after a long SOBO journey our stuff has arrived at our new place in NC that we are calling home.  The Moving Madness workouts continued, with loads of cartons and furniture moved up two flights of stairs to be scattered throughout the house.  I’m gonna give the folks at CrossFit a call and see if there is some kind of workout franchising opportunity.  
we are fortunate to reside near the fantastic Umstead state park, which has 5000 acres of forest and trail networks right in the middle of the bustling Triangle region.  I made use of this park a lot when we last lived in this area, and I have jumped right back in there again.  
I got out on the Umstead trails with the pup on a gorgeous 60 degree January day under Carolina blue skies and had time to get in an 8 miler.  Just as I was nearing the finish, a young woman noticed my fully loaded backpack (it’s kinda out of place amongst the weekend folks out for a stroll) and asked if I was preparing for a longer hike of some sort.  Turns out she just finished a flip flop AT hike in November!  We had a great chat about all things AT.   
Hey Slice…it was great meeting you, and I hope the new job in RTP works out great!
looking forward to some more time in the local trails this week before hitting the slopes for one last time before the AT.",,View Entry,"Jan 29, Sun",0
Rambler,https://www.trailjournals.com//journal/entry/660031,"The days until my start date are relentlessly (albeit too slowly) ticking down.  With much of the house unpacking process in the rear-view mirror, I have been able to get out over the last several days and sample the variety of trails that are available in both Umstead park as well as the section of NC's Mountains to Sea trail that passes through our area.  I got out in Umstead for a four mile trail run with my buddy Brandon on Sunday...it was a very good reminder that hiking fitness is very different than running fitness.  I have been doing much more of the former, and much less of the latter during the last three months, and I was sucking wind several times during the run.  Still, my stride felt strong, and I felt fine the next morning, so I'll worry about getting back in running shape sometime well after my AT adventure is over.  After a wimpy showing on a short run like that, I felt compelled to get out there for a backpack-loaded 14-miler in Umstead on Monday, just to reassure myself that I have a reasonably good baseline for the start of the trip.  It was a lot quieter on a Monday than during the two weekend days (shocker), and I even saw a heron (or was it a crane?  I'm not a bird guy and don't really know the difference) chillin' in one of the many streams that flows throughout the park.  
After three straight days in Umstead, I wanted to check out something different, so I scooted up to Falls Lake in the Rolling View area, and hiked an 8-mile out-and-back stretch of the MST.  It was very picturesque along the lake, even though it was a bit of a gloomy and misty morning.  It's always interesting to me how there are a number of old properties that abut the trail corridor with everything ranging from horse farms to modest mobile homes, to country mansions.  My stomping through the mud 5 feet from the electric fence didn't seem to interrupt the horses feeding on the bales of hay that were laid out for them.  I'm guessing that, unlike me lately, those horses weren't obsessing whether their hay bales had good caloric density and nutritional balance, or whether their water had been filtered free of all the critters that live therin.  I also saw no evidence that they needed to hang the hay in a bear-resistant bag 10 feet from the ground at night.  Good for them!",,View Entry,"Jan 31, Tue",0
Rambler,https://www.trailjournals.com//journal/entry/660036,"I went out this morning into the rainy mid-30s weather for a 9 miler along the MST. I figured that it was a good representation of the weather I will likely encounter during the first few weeks of my hike, and I wanted to ensure that the layers I had planned for those types of conditions are still working out for me.   I was wearing a pair of EMS Pinnacle hiking pants which have a water repellent finish, a running T-shirt, an insulating long sleeve quarter zip shirt, and my Marmot Precip rain jacket.   It rained pretty steadily during the three hours of my hike, and I was reasonably satisfied with the results.  I was definitely sweating (I pretty much always do) so it’s a bit difficult to assess how much wetness was Rambler-generated vs Mother Nature- generated.  I don’t think the jacket wetted out, but during the heavier periods of rain the thighs of the pants were soaking through.  I really don’t want to bring a pair of dedicated rain pants in addition to or instead of the hiking pants since I don't think they will perform appreciably better than the hiking pants. We will see if I want to alter my approach after a couple weeks on trail. 
I came to the realization that on a rainy day, walking through the NC Piedmont’s wet red clay which is covered with leaves and pine needles is kind of like walking across chocolate pudding skin.  Every so often your footstep causes the skin to slide across  the pudding surface and it takes all your balancing skills to ensure you don’t go flopping down into a puddle of mud (or is it pudding?). Either way, I don’t think this type of pudding would make it into George Constanta’s favorites list (google it, if you dont know) 
I was also happy to see that Scouts are still doing their thing, and there was a really well-constructed walkway for about 100 feet or so over a particularly boggy area that has been built as a recent Eagle Scout project. It actually turns out that the Eagle Scout is a friend of a friend….thank you Margaret Cash and all your fellow Eagle Scout candidates who take on projects every year to improve access and enjoyment of many areas such as this!  sixteen days to go….and counting……",,View Entry,"Feb 02, Thu",0
