Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Thomson Family,https://www.trailjournals.com//journal/entry/665134,testing out this journal system. Tomorrow we leave for our final planned 3 day training thru-hike before the real deal.,,View Entry,"Jun 06, Tue",0
Thomson Family,https://www.trailjournals.com//journal/entry/665211,"3 day practice thru-hike. Hot, mostly sunny weather. Just finished setting up our 2nd night camp and roasting marshmallows again. We had a nice long swim this evening and washed off the 10 miles of trail we hiked today. Kids are doing well hiking, especially the older two but camping life is hard, no way around it.",,View Entry,"Jun 08, Thu",0
Thomson Family,https://www.trailjournals.com//journal/entry/665787,"Yesterday we realized the kids don’t have much hiking mikes with a lot of elevation gain. Our first day on the AT is about 2,000 ft of gain in 7 miles so we wanted to give the kids a chance for steeper hiking beforehand. We headed to our local “mountain” which has a loooong and steep stair climb. We put in about an hour and a half and the kids did great despite the oppressive heat. 
The highlight for me was having the family run a practice drill of putting on our rain jackets and pack covers. Rain is often a daily occurrence on the AT so I wanted to be ready. Erin and the kids balked at the idea of practicing something so simple. In my past as a firemen however, I was trained to practice everything. Finally the agreed and what ensued was a complete comedy of errors. 
I had my jacket and pack cover on within 30 seconds (mountain storms can move in quickly) while the kids floundered and couldn’t find jackets or had packed rain covers at the very bottom of their packs.  After about 15 minutes of what felt like a 3 stooges scene, we all had pack covers on (except Ford who declared he left it at home only to find it in his pack when we got home). 
Once again, we left our training hike more prepared than we began.",,View Entry,"Jun 21, Wed",0
Thomson Family,https://www.trailjournals.com//journal/entry/665917,"We finally reached the point of no return (and it’s more beautiful than I imagined). After years of dreaming and months of scheming we are here at the start of our journey. Our car has been picked up and driven hours north where we hope to pick it up towards the end of our journey. We have burned the ships, there is no way back but only forward. Anywhere we go from here will be on our own two legs. 
I’d be leaving out the full story if I didn’t say we were full of fears and worries at this point. Although there is a sense of peace when you realize there is no more planning, purchasing or packing to do. Just strap on your pack and start walking. 
Undertaking this endeavor with 4 precious little ones weighs heavy on your mind. I’ve had many fleeting moments of panic on the drive out here, wondering if I’ve overlooked some crucial planning element or left out a critical piece of gear. But now we’re here, there is nothing left to do. 
I polled the family tonight to ask what their biggest concerns were as we step into the unknown tomorrow. These are the responses from the kids - 
The mountains being so steep we can’t make it up. Bears taking our food when we’re days from a resupply pointForgetting to pack something
From Erin and I the fears were - 
Not sleeping wellTicksPoison ivyKids getting sick or hurt
We’ll revisit those fears at the end and see how things played out. We also prayed with the kids about those specific fears. 
I think at this point we’re all just ready to start this hike we’ve talked about for so long.  We hiked the first mile of the approach trail without packs today so we can jump on the trail next to the hotel  tomorrow. It’s actually 7 more miles or so of hiking to get to the official start of the AT. Weather forecast is looking favorable, temps in 70’s with passing showers at times.","Amicalola Falls SP
",View Entry,"Jun 23, Fri",1.20
Thomson Family,https://www.trailjournals.com//journal/entry/666226,"Day 1. We left Amicalola Falls Lodge at 8am sharp. We arrived in the hotel restaurant when it opened at 7am for a buffet breakfast. We kept telling the kids this was the last food they would eat for awhile that they didn’t have to carry. 

We finished up, took one last potty break and shouldered our packs. Before walking out the hotel doors we stopped for a moment and I told the kids that once we stepped over that threshold, we would never be the same again. A bit dramatic maybe but I truly felt we were embarking on an adventure that would leave its mark on each one of us.  

We started up the trail full of anxious energy. There was a lot of excitement as we saw new trees and insects and wondered what would lie ahead. 
7 miles of hiking brought us to the top of Springer Mountain, the official Southern Terminus of the Appalachian Trail. We stopped for a snack and to let the kids climb a large, old, gnarled tree where they rested in its branches like weary baby birds. We grabbed a family photo and started our “official” hike of the AT. We quickly came to our first shelter, the Springer Mtn Shelter. It had a ladder going up to a loft which in our kids eyes was the wilderness equivalent of bunk beds. They were ready to stay for the night even though it was about 2pm. 
We debated staying or pressing on, knowing the next shelter could be worse or already taken. I had cell service so I was able to search for an image of the next shelter less than 3 miles away. I showed the photo to the kids and with just one glance between themselves, the decision had been made. The photo of the next shelter showed it was even larger AND had a ladder. It was unanimous. Onward we pressed!
We arrived at Stover Creek and found a lovely camping area and shelter with picnic table, it was all we could have hoped for. We were one day into our hike and things were looking good.","
",View Entry,"Jun 24, Sat",10.40
Thomson Family,https://www.trailjournals.com//journal/entry/666032,"What a day!  First of all a quick backstory. The Appalachian Trail is known for it’s trail culture.  This includes something known as “trail magic” which includes “Trail Angels”. These are people who wait at road crossings to give food, drinks and goodies to AT hikers. 
After a gorgeous morning of hiking through towering pine trees along a crystal clear creek we stopped for lunch along a forest service road. The kids were struggling and we still had 6-7 miles to hike after lunch to make it to the next shelter. It was going to be rough. After lunch and a quick nap lying in the dirt we hiked a couple more miles and then met Max Forester, our first “trail angel”.
We came off a steep mountain into a gap or low spot next to another forest service dirt road. There was Max calling out to us. We just took him for a jolly older man out for a picnic and then he told us this setup was for us!  
We had read about trail magic but I was taken back to actually experience it. Erin and Scout got camp chairs to sit in and we all got cold waters (that we didn’t have to filter or carry) and the kids got air heads and tootsie pops. My favorite part was he made the kids say “please” and “thank you” but in a fun and silly way that reminded them about manners. He kept saying, “we may be living in the woods but we’re NOT savages” and then let out a boisterous laugh. He was a character, and he took our minds off the struggles of hiking. 
He also served the ladies first every time and he took our trash, which is a big deal when you’re thru hiking as it adds up quick for a family of 6. Such small gestures of kindness have a huge impact when you’re exhausted, dirty, hungry, thirsty and carrying a huge pack.
After more chatting more and getting to know us Max offered to “slack pack” for us. Meaning he’d take all of our packs and drive them to the next road crossing while we hiked a really tough section pack free. We were thrilled. Funny note here; I realize that we met a stranger in the woods, let him give our kids candy and then handed him ALL of our earthly processions. Life just works differently on the trail I suppose :)Just as we said our goodbye to hike, Erin noticed his phone buzzed with a thunderstorm warning signal but we didn’t think much of it. We practically ran up the steep mountain feeling weightless with no packs and made it to the top in 40 min or so. We noticed the weather had changed, the air was heavy and still and the skies looked dark in the distance. We had reception up on the mountain and I checked radar. There was an enormous storm headed our way and it looked fast. By the time we reached the bottom Max was there.  He said “We have a bit of a situation”. He showed us his radar app and said “I don’t think I should leave you here.”
Immediately a thunderclap overhead rang out and a gusty wind started bending the tree tops. Max said if we’d let him. He would drive us to a hostel in town. Erin and I looked at the sky, looked at each other and said “YES”. 
Somehow we got 7 people and 6 giant packs into a small car in about 60 seconds as the storm showed up in full force. Driving the next 20 min down that first road felt like an Indiana Jones movie as tree limbs crashed all around us and even on the car. An entire tree came down once and we barely made it by. 
Max told us he had been praying God would send someone whom he could help today and decided to drive the hour and a half to the trail to just see what happened. Our first trail Angel turned out to be a true Godsend. God knew we needed help when we didn’t!
Now we’re in a warm, dry hostel full of wonderful hikers. It’s the same hostel we had booked for tomorrow night so we plan to leave our packs here tomorrow, slack pack all day and make up the miles we missed and then stay again tomorrow night as planned. 
It wasn’t the plan, but we’re learning to be flexible and accept help. I’m realizing no one really hikes the AT on their own, we all have receive help in different ways.","
",View Entry,"Jun 25, Sun",9.40
Thomson Family,https://www.trailjournals.com//journal/entry/666079,"We awoke to a beautiful, cool, sunny morning here in North Georgia. The air had that freshness that only happens after a good rain. After a hearty breakfast at the hostel we got on trail at the point where we stopped for the storm yesterday. We left our packs at the hostel and just used one of their small backpacks for our food and water. The practice is called “slackpacking”. Some say, once you slack pack you never go back :)
We set off at a great pace and ran into “No rush” and our other new hostel friends from the night before.  They were hiking south so it was fun to pass familiar faces on the trail.  The trail begins to quickly feel like a family.
it was so nice hiking all day without carrying all of our gear. The younger kids especially loved it as their packs really slow them down. We made it a whopping 14 miles today which is the most our kids have ever walked in a day. Keep in mind there is almost zero level ground on the AT, so that 14 miles includes ALOT of ups and downs.  We pushed hard today to get the miles in since tomorrow we climb our biggest mountain yet and we’d like to keep the miles to six or seven total. 
We had perfect weather again and only saw a few other people all day. What we did see a lot of was evidence of yesterday’s storm. We were reminded all day of how thankful we were for our trail Angel experience yesterday. The entire trail was littered with leaves, twigs, branches and even trees. It would have been so frightening to be in the forest during that storm. 
One thing we’re learning is the unique challenges of hiking with kids.  Our kids are doing fantastic physically so far, it’s other, unforeseen challenges we’re learning to navigate. For instance, our youngest son talked for 14 miles straight today. That’s no exaggeration. 14 MILES of “Daddy, do ants poop?” “Daddy, can a great blue whale eat all other animals”, “Mommy, can we play 20 questions again” (once the answer was a broken branch and the next game a broken twig). Erin, bless her heart, hiked with him most of the day and listened as only a mother could for almost 9 hours straight. I made a point of hiking up ahead and making sure no bears were on the trail. 
We got picked up off a forest road about 6pm and came back to the hostel to shower and eat all the food we could. The young man in charge of the hostel, “Achilles”, brought us ice cream tonight about 9:30. After 14 miles of hiking you wouldn’t believe the kids could still run to the kitchen that fast!","
",View Entry,"Jun 26, Mon",14
Thomson Family,https://www.trailjournals.com//journal/entry/666132,"After two consecutive nights of comparative luxury in a hostel we were ready to get back to roughing it so we packed up our things and bid farewell to our hostel family and hit the trail with full packs on. Yesterday we hiked an easy 6.2 miles including a mountain that was not as bad as we anticipated. After lunch the trail passes through on old CCC building (the only building the AT passes through on its 2100 mile journey).  That building is home to a wonderful backpacking outfitter that knows just what hikers need and want.  We were excited to arrive as this is one of the landmarks on the AT and a place of refuge for weary travelers.  As we approached the entrance a thickly bearded gentleman named “Just Bill” called out to us to come on in.  As we got closer he said “welcome home”.  I was moved at those simple words and realized how much it means to be shown hospitality when you’re tired and dirty and far from home.  
The kids all picked out a candy treat and we got some free items as well as someone before us had left $20 with the cashier as “trail magic” for the next thru hikers that came along (so many kind souls out here). We also bought a frozen pizza that they cooked for us and we sat outside taking in a great view and using their water spigot to refill all our bottles. 
We hit the trail again and after about a mile of climbing found a suitable campsite right off the trail. We arrived about 4:30 which felt too early to stop but we decided since it was our first time making our own camp (no shelter or privy here) we’d give ourselves plenty of time. There was a lot to do. We found a tree with a low enough limb for our bear hang, walked 1/4 mile to find a small spring and carried back 20 liters for filtering and “showering” (we brought an ultralight shower bag on the trip and each night we take an invigorating cold spring water shower). We lit a fire and started our water boiling for dinner. Set up two tents and unpacked all our bedding. We ended up transforming a bare spot of ground in the middle of the forest into a happy little temporary home.  We’re so thankful for all the practice we did setting up a camp, learning how to hang food in trees to keep bears out, etc.  There’s a lot that goes into setting a camp up especially with kids.
The wind picked up during the night and it was very cold. We’re all in jackets and shuffling around very cold this morning. Ready to hit the trail and warm up!","
",View Entry,"Jun 28, Wed",6.20
Thomson Family,https://www.trailjournals.com//journal/entry/666191,"Day 5 on the trail. Perfect weather again, temps 60’s to low 70’s with gentle breeze. We hiked 10 tough miles. 
About midday we reached a mountain peak and ran into a local hiking group of retirees. We had also met them the previous day on Blood Mtn. We all had a laugh at the irony that we were on the same peaks at the same time 2 days in a row but they had comfy beds, showers and hot meals since we saw them last. 
They warned us about some copper heads under a rock ledge further up the trail. We really appreciated the warning because rock ledges are exactly the kind of place our kids love to explore. Sure enough, when we arrived we found a nest of copperheads under a ledge on a sunny outcropping. 
I poked one with a stick to see what reaction we got but the snake didn’t pay much attention. Mainly I wanted the kids to see just how fast they could strike so they’d have a healthy fear of vipers. We had seen at least one snake each day so far but all non-venomous.  We observed a large 4ft black rat snake outside our first shelter. After watching how easily he moved across the terrain we all moved our bedding from the ground floor to the second story of the shelter. Then we saw a small snake crossing the trail the next day. Last night we had a beautiful ring-necked snake crawl out of our campfire and I was able to catch him so the kids could pet him. 
Seeing the copper head though was a good reminder for us all to watch where we sit down or place our packs during a break. 
After that the last few miles were tough as we pushed on to the next shelter. We had to bribe our youngest with treats to get to the finish line. I suppose really good trail parenting involves knowing when to break out the secret stash of motivational candy. 
We finally arrived at a simple but pleasant shelter in a grove of splendidly tall trees and a quiet little babbling brook. I believe in these parts it would be called a “holler”.   We arrived about 6pm so quickly set up our camp and got water boiling for another fine dinner of Erin’s dehydrated wonders she whips up in the camp kitchen. “Cheesy Spuds” and Alfredo Beef pasta never tasted so good!
We collected water from the stream 30ft away for filtering and our new tradition of nightly showering. The kids are really enjoying the cold showers at night and this water is COLD. It bubbles up from the ground as cold and clear as can be. We fill our shower bag and take turns washing away the day’s dirt and grime and laughing as the cold takes our breath away. We were in bed by 8:15 and spent a peaceful hour quietly reading and whispering to one another while watching and listening to the forest around us transform into night. Right before we fell asleep, a pack of coyotes began to howl, weaving their eerie music to our thoughts which soon turned to dreams.","
",View Entry,"Jun 29, Thu",10
Thomson Family,https://www.trailjournals.com//journal/entry/666225,"Day 6. We hiked another 10 miles today with extra motivation as we were scheduled to be picked up at 3pm at a road crossing and taken to a town for some R and R.  Before we went to bed we had a family meeting about the next day’s plan and how early we wanted to leave. There was a lot of big talking by some of our kids how they’d be up before 6 and ready to hike at 7. 
Well, the kids found that following through with action is a bit tougher than the making the plan but we did have our earliest start ever. We were on trail at 8am sharp! 
Even without breaking down tents (we slept in the shelter) there is a lot to be done each morning to prepare for the day ahead. All bedding and pads have to be stuffed, deflated or rolled up. You have to use the bathroom (always more challenging in the woods and with kids), brush your teeth, lower the bear hang bags, boil water, eat breakfast, wash dishes, put away your set of clean/sleep clothes and put back on your dirty/hiking clothes. We pack up the cooking gear, filter about 10 liters of water to refill camelbacks and bottles to get us to the next spring, take down the clothes line, remind the kids 4 times to refill their backpack hip belt pockets with morning snacks, remind the kids 3 times to stop jumping on the sharp rocks surrounding the fire pit, then stop and get out the first aid bag to get peroxide and a bandaid for the kid that kept jumping on the sharp rocks around the campfire. Next you have to look at your spouse and ask “are we crazy?”, or “why didn’t we just go to a resort in the Bahamas?”, put all the gear into 6 packs, walk around the campsite picking up left behind items and finally get packs on shoulders and start walking. So you can see, leaving by 8am is a true feat. 
We made our best time ever covering 4 miles in about 2 hours. The terrain was almost flat (there is no flat on the AT, just degrees of ups and downs) and the path was smooth instead of rocky. The kids were excited at the prospect of an early finish and more time in town. Oh how the trail must laugh at our feeble plans. Shortly thereafter the trail became very technical and rocky so our pace slowed. The reward was we entered a section of forest with an enchanted look. There was moss and glittering wet stone everywhere. If you are a fan of the old movie Labyrinth, well this section of forest looked like a place that David Bowie would magically appear wearing black leather pants and a ruffled blouse. 
We did not see David Bowie thankfully but the kids were hoping to see a bear. Hikers on previous days reported a mamma bear with two cubs hanging near the trail. We kept our eyes scanning the forest and soon every tree stump looked amazingly like a bear but alas, we did not see the real thing. 
At lunch we met a young hiker “Raptor” who was just days away from finishing the entire AT. He gave our kids some peanut butter M&Ms so they are now his friends for life. Meeting people on the trail has been our most unexpected highlight of this trip. Everyone on the trail has a story and it’s such a joy hearing those stories.  No one just wanders out here on accident. Something has driven them to the trail, but what is fascinating is that most don’t know why they are here when they start, that’s what they discover as time goes on.   “Why are we here?” I often ask. We don’t know…yet. 
We made it a bit early to our 3pm pickup and our camp mate, Jeff, from the previous night was waiting for the same pickup. We all road to town together and Jeff asked the kids what they most missed in while in the woods. “Smoothies, Açaí Bowls, real pillows, mattress and sleeping-in” were their responses. 
One last story; when we arrived in town we dropped our stuff on the cabin porch. While we waited for my phone to charge so we could get the key code from my email we walked across the road and swam in the creek in our hiking clothes. 
After putting on our dry clothes we ate outside at a riverfront restaurant. At one point, W - our oldest son, said his hands were sticky and he needed to go wash. We saw him walk to the rivers edge and bend down to wash in the river. We laughed out loud to think that his first inclination after a week in the woods was to go to the river instead of the bathroom to wash. Thankfully he hadn’t needed to pee :)","
",View Entry,"Jun 30, Fri",10
