Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/661997,"In 10 days Kevin and I depart for Harper’s Ferry, WV, where we will attend the Flip Flop Festival and then head north on the Appalachian Trail. Having looked at lots of journal entries, I can’t help but wonder: are we starting way too late? My husband assures me the ATC schedules the FFF, which is a kick-off event, in late April for a good reason. The goal is to avoid the mud season and the black flies in New England, while still capitalizing on the favorable weather in the northern states. If all goes as planned, we’ll reach Katahdin by early August. 
Meanwhile, we have been carefully training and planning. In my next post I’ll share some images of our gear and some thoughts on food. 
By the way, no trail names yet, so I’ll leave that part blank for now.
Mary",,View Entry,"Apr 12, Wed",0
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/662018,"I have loaded lots of information about our gear, including weights, on the gear section of this site. Here you can see what some of my gear looks like when it is laid out. The pile on the left is my sleeping bag, liner, stuff sack, and pillow. Not shown is my air mattress. The pile on the right is my clothing and stuff sack, including the clothes I will be wearing.",,View Entry,"Apr 13, Thu",0
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/662024,"Here is a picture of Kevin’s clothing, our tent, and assorted gear. His sleeping bag (actually a quilt), liner, and pillow are not pictured, but they almost the same as mine. Yes, he does have a lot fewer clothes than I do, but at least my clothing doesn’t weigh as much!",,View Entry,"Apr 14, Fri",0
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/662044,Four days’ food for 2 people.,,View Entry,"Apr 14, Fri",0
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/662549,"Arrived via Amtrak, a slow but pleasant roll, in Harpers Ferry WV yesterday before noon. Neither of us slept much the night before nor on the train. 
Checked into the hotel and then attended  a Q&A session with past flip flop hikers. One of them managed to bring her knitting with her! Maybe she knitted replacement socks. 
Then we rested at the hotel and returned for the dinner event, where we met a wide range of fellow flip floppers, Including a 50ish couple of recently retired civil engineers from Florida, who plan to live on their sailboat after the hike. We had a lot in common! It is definitely an older crowd, Although not entirely, with many people who have just retired. 
Check out is at 11 today, after which we will do a short day to the Ed Garvey shelter.  Our plan is to take it easy for the first couple of weeks. This was some thing yesterday’s panel greatly encouraged to better avoid overuse injuries.","Harpers Ferry
",Ed Garvey Shelter ,"Apr 23, Sun",6
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/662669,Temperatures were cool. Ariived at Dalgren Backpack Campground around 4:30. Got a shower and made dinner and went to bed relatively early.,"Ed Garvey Shelter 
",Dahlgren Backpack Campground ,"Apr 24, Mon",10.80
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/662842,another day of great weather,"Dahlgren Backpack Campground 
",Pogo Memorial Campsite,"Apr 25, Tue",9.20
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/662843,"great weather most of the dayLight rain and some thunder in the evening, but it passed by quickly Windy most of the night ","Pogo Memorial Campsite
",Raven Rock Shelter ,"Apr 26, Wed",9.70
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/662844,staying at Cobblestone Hotel for two nights for our first zero day Heavy rain forecast for the 28thResupply at Walmart ,"Raven Rock Shelter 
",Rattlesnake Run Road / Waynesboro ,"Apr 27, Thu",12.40
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/662873,good timing for our first zero dayrained hard much of the day ,"Rattlesnake Run Road / Waynesboro 
",None,"Apr 28, Fri",0
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/662917,"humid day but no rain
Thunderstorm around 1:00 AM and then continuous rain through the rest of the night. ","Rattlesnake Run Road / Waynesboro 
",Quarry Gap Shelter,"Apr 29, Sat",13
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/662918,"rain all day
Spent morning in shelter drying gear and socializing ","Quarry Gap Shelter
",Birch Run Shelter ,"Apr 30, Sun",7.40
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/662991,,"Birch Run Shelter 
",Pine Grove Furnace SP,"May 01, Mon",10.20
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/663131,light rain off and on all day,"Pine Grove Furnace SP
",Dispersed campsite ,"May 02, Tue",11
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/663132,"light rain
Arrived in town before noon
Had a great lunch at Cafe 101
Bought fuel at outfitters ","Dispersed campsite
",Boiling Springs - Red Cardinal B&B,"May 03, Wed",8
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/663251,longest mileage so far due to no camping in Cumberland Valley ,"Boiling Springs - Red Cardinal B&B
",Darlington Shelter ,"May 04, Thu",14
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/663252,first taste of the difficult rocks on the PA AT,"Darlington Shelter 
",Duncannon (Paula’s house),"May 05, Fri",11
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/663389,,"
",Zero day,"May 06, Sat",0
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/663388,rocks so far have not been too bad,"Duncannon then Paula’s house
",Peter’s Mountain Shelter ,"May 07, Sun",11.40
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/663519,,"Peter’s Mountain Shelter 
",Dispersed campsite ,"May 08, Mon",11.40
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/663520,,"Dispersed campsite 
",Dispersed campsite ,"May 09, Tue",11.60
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/663599,,"Dispersed campsite 
",501 Shelter,"May 10, Wed",11.40
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/663600,,"501 Shelter
",Dispersed campsite ,"May 11, Thu",12
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/663665,completed the first leg of Rocksylvania,"Dispersed campsite 
",Port Clinton - hotel ,"May 12, Fri",11.40
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/663666,stayed at Microtel and resupplied at Cabelas and Walmart,"
",None,"May 13, Sat",0
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/663892,,"Port Clinton - hotel 
",Dispersed campsite ,"May 14, Sun",13
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/663893,,"Dispersed campsite 
",Lookout Hostel ,"May 15, Mon",13
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/663894,,"Lookout Hostel 
",Dispersed campsite ,"May 16, Tue",14
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/663895,glad to be staying indoors Temps below freezing overnight ,"Dispersed campsite 
",Countryside Suite,"May 17, Wed",6
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/664049,,"Countryside Suite
",Dispersed campsite ,"May 18, Thu",14
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/664050,no rain for over a week andMild temps that have been great for hiking ,"Dispersed campsite 
",Kirkridge Shelter ,"May 19, Fri",10.50
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/664051,near-o day,"Kirkridge Shelter 
",Delaware Water Gap - Roadway Inn,"May 20, Sat",6.50
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/664232,,"Delaware Water Gap - Roadway Inn
",Tent site ,"May 21, Sun",13.50
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/664233,stopped at Brink road shelter for rest and dinner,"Tent site 
",Tent site,"May 22, Mon",14
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/664368,,"Tent site
",High Point Shelter,"May 23, Tue",17.50
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/664369,near-o day,"High Point Shelter
","Unionville NY, SOLA hostel","May 24, Wed",7
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/664440,yet another day without rain or much heat ,"Unionville NY, SOLA hostel
",Wawayonda Shelter,"May 25, Thu",17.50
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/664618,,"Wawayonda Shelter
",Warwick meadowlark B&B,"May 26, Fri",11
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/664619,,"Warwick meadowlark B&B
",Island Pond,"May 27, Sat",14
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/664620,shelter with view of Hudson River and Manhattan skyline ,"Island Pond
",West Mountain Shelter,"May 28, Sun",13
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/664682,,"West Mountain Shelter
",Hudson River - Bear Mountain Bridge Motel ,"May 29, Mon",8.50
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/664683,zero day,"Hudson River - Bear Mountain Bridge Motel 
",None,"May 30, Tue",0
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/664849,,"Hudson River - Bear Mountain Bridge Motel 
",Dennytown Campsite,"May 31, Wed",15
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/664848,,"Dennytown Campsite 
",Corrados Pizza route 50,"Jun 01, Thu",15.80
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/664898,,"Corrados Pizza route 50
",Pawling - Station Inn,"Jun 02, Fri",12.30
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/665097,,"Pawling - Station Inn
",Wylie Shelter,"Jun 03, Sat",8
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/665098,,"Wylie Shelter
",Mount Algo Shelter ,"Jun 04, Sun",13
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/665099,,"Mount Algo Shelter 
",Cesar Brook Campsite ,"Jun 05, Mon",14
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/665100,predicted rain storm tonight Also Canadian wildfire smoke,"Cesar Brook Campsite 
",Falls Village Inn,"Jun 06, Tue",12.70
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/665193,,"Falls Village Inn
",Laurel Ridge Campsite ,"Jun 07, Wed",16.70
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/665194,,"Laurel Ridge Campsite 
",Great Barrington - Quality Inn,"Jun 08, Thu",12.60
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/665353,,"
",View Entry,"Jun 09, Fri",0
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/665354,,"Great Barrington - Quality Inn
",Shaker Campsite ,"Jun 10, Sat",17.70
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/665355,,"Shaker Campsite 
",Upper Goose Pond Cabin,"Jun 11, Sun",10
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/665445,stayed in converted school bus camper,"Upper Goose Pond Cabin
",Cookie Lady 2.0,"Jun 12, Mon",11.30
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/665446,,"Cookie Lady 2.0
",Crystal Mountain Campsite ,"Jun 13, Tue",14
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/665508,arrived at lodge just minutes before a big storm let loose,"Crystal Mountain Campsite 
",Bascom Lodge,"Jun 14, Wed",12.20
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/665570,,"Bascom Lodge
",Old Seth Warner campsite ,"Jun 15, Thu",13.20
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/665571,,"Old Seth Warner campsite 
",Bennington - Catamount Motel ,"Jun 16, Fri",11.50
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/665619,Zero day,"Bennington - Catamount Motel 
",Zero Day,"Jun 17, Sat",0
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/665878,,"Bennington - Catamount Motel 
",Kid Gore Shelter ,"Jun 18, Sun",14.40
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/665879,,"Kid Gore Shelter 
",Stratton Pond Shelter ,"Jun 19, Mon",15.20
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/665880,,"Stratton Pond Shelter 
",Manchester Center- Green Mountain House,"Jun 20, Tue",10.50
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/665881,,"Manchester Center- Green Mountain House
",Griffith Lake Tent Site,"Jun 21, Wed",10.60
Twist Tie & Spreadsheet ,https://www.trailjournals.com//journal/entry/665882,,"Griffith Lake Tent Site
",Bully Brook,"Jun 22, Thu",14.80
