Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Billychis,https://www.trailjournals.com//journal/entry/661718,"On a flight from NY back to CA and getting inspired by looking through the entries of others like Purple Haze who are already out on the trail!  Have now purchased the majority of my gear and tested a bunch of it - I am a relative novice backpacker, having really only done a couple extended overnights (Grand Canyon Rim to Rim to Rim and Mt Lassen trip, both of which were guided), so getting ready is a bit daunting.  Still waiting on my tent which could prove to be a challenge.... Did prepare a delicious freeze dried Pad Thai meal with my new Pocket Rocket stove which my wife and son declared ""good enough for off trail eating!"".  
Billy
Let's gooooo!",,View Entry,"Apr 07, Fri",0
Billychis,https://www.trailjournals.com//journal/entry/661837,"Got out to Monte Bello park down in Palo Alto to put in some steps with some good hills with my pack this morning as the sun was rising and the birds were chirping! Did about 12 miles pretty quickly and was pretty tired after - both affirming but also daunting - i am sure I could have easily cranked out another 5-7 (which would have gotten me to my targeted daily average), but also was pretty tired and not sure how I will feel tomorrow!
Been thinking about what my trail name might be - I really don't want to let too much to chance lest I end up as Bear Bag or Fritos or something like that (no offense to anyone with those names!!!!). I am hoping for something inspiring like Sporto or The Kid... 
Less than a month now... let's gooooo!",,View Entry,"Apr 08, Sat",0
Billychis,https://www.trailjournals.com//journal/entry/661845,"Well... did the Stanford Dish this morning bright and early, and i must say i was a bit sore after my 12 miles yesterday, but not too bad! I walked with my pack again, and other than some hip and butt soreness it went ok.  I have a game of pickle this afternoon which might be my waterloo at this point, but so far so good.  
Started reading A Walk in the Woods (Bill Bryson's account on the AT) and I am pretty sure that at least i will be a bit more prepared than Katz!  hahahahahhahaha... Need to get to REI today or tomorrow for some missing pieces (including ""piece"" of mind), but otherwise all good!  
In addition to thinking through potential trail names, i am also dedicating a few cycles to jokes for the trail - ideally some meta-type stuff that summit all up nicely
Let's gooo!

Billy",,View Entry,"Apr 09, Sun",0
Billychis,https://www.trailjournals.com//journal/entry/661901,"Got out to the Stanford Dish two times today to make sure I got in another bigger day before headed east for a for a few days. Feeling pretty good... now tucking into a few bagels with lox shmear (so sue me, I like shmear!) at the local bagel st cafe.... 

But where the heck is my tent though - rei should have delivered it a week ago! Oh and also possibly more importantly - my poop trowel.... not sure which is more important but can't imagine I can make it without either
lets goooooo
Billy",,View Entry,"Apr 11, Tue",0
Billychis,https://www.trailjournals.com//journal/entry/662542,"Today was the dress rehearsal, and while there were a few butterflies, all in all it was a success! Only 9 days until hitting the AT and this 13 miler up and down skyline with my full pack was a good confidence builder. It was a challenge, but then again completed it in under 5 hours, so take that!
I have decided that I am going to do a couple novel things on the AT to keep my mind occupied and not get too bogged down in the basement of my brain - first, do some French learning. And second, keep track of all of the flowers I see out there. Who knows, maybe I will run into a few botanist  Frenchies on the trail to further my studies at the intersection of things. 
I still need to do a post about the why...",,View Entry,"Apr 23, Sun",0
Billychis,https://www.trailjournals.com//journal/entry/662678,"Inching closer... been getting out there daily now with the pack. Pack feels a lot better with actual stuff I am bringing vs weights - better distribution etc (or maybe it is in my head, or maybe I am getting stronger!). Been getting questions about why doing this and also why the AT. The first one is kind of layered - def a part of me that wants to put myself in a different ""place"" and see what happens. And I guess the same answer in a way to the second one - doing this in a different physical place but one that has some ties for me (east coast) seems provocative as well...",,View Entry,"Apr 25, Tue",0
Billychis,https://www.trailjournals.com//journal/entry/663058,"Finally on my way! Had trouble sleeping last night and probably only got a total of 5 or so hours of mediocre shit eye (whoops typo - but I think I will let that one stay!). 
My Uber driver has magically perfect music playing - some enya to start and then here comes the sun... gotta find a Starbucks although not many open at 530.
already think I have b.o......
excited!","Springer 
",View Entry,"May 02, Tue",18
Billychis,https://www.trailjournals.com//journal/entry/663090,"great day 1 in the books! Got dropped by chauffeur Chad at the Springer parking lot, and then made the executive decision to hike back up to the top for the photo op. 
Got in about 18 miles today so basically on track, although my legs are barkin'! 
Highlights included rhodos the size of trees (Burt's dad would be so boned up), some trail magic when a shuttle driver at a crossroads gave me a lolli, setting up my tent (nailed it), eating Murray's cheese. 
And for those following at home I made it 3.01 miles before having to use the poop trowel.  
I am in a real pickle wrt tomorrow though - either I do a paltry 10 miles and stop before heavy bear country (where I need a bear tin to stay over night that I don't have) or I blast through and do 21 miles including the leg churning blood mountain.... hmmmm. We will see how I feel in the morning - stay tuned ! 
Billy",,View Entry,"May 02, Tue",0
Billychis,https://www.trailjournals.com//journal/entry/663154,"Another beauty today! Been blessed with some incredible weather allowing me to enjoy Georgia to its fullest!
was a bit sore and tender this morning, but broke camp at 8 and was on my way before many were stirring. Gooch mountain was hopping last night - i counted over 20 head..
highlights of today included the view from preachers rock (i dont mean to sound preachy but it was magical!). Also the view from blood mountain was bloody spectacular (I will try upload that photo). 
Also enjoyed a touch of civilization at neels gap where I made it with 10 minutes to spare to the outfitter there - and got myself a snickers (which i substituted for my normal mini kraken for desert).
and possibly the biggest news of all is that I think I have a trail name! I am now known as skittles. I shared a bag with the group and one of them named me based on that. They were wild berry btw. 
Also btw woody gap should be called windy gap - hahahhhahahhaa
Hitting the sack now and loookijg forward to another 15-20!tonirrow - let's gooooo!!!!
billy","Gooch mountain 
",Bulls gap,"May 03, Wed",16.70
Billychis,https://www.trailjournals.com//journal/entry/663155,"Another beauty today! Been blessed with some incredible weather allowing me to enjoy Georgia to its fullest!
was a bit sore and tender this morning, but broke camp at 8 and was on my way before many were stirring. Gooch mountain was hopping last night - i counted over 20 head..
highlights of today included the view from preachers rock (i dont mean to sound preachy but it was magical!). Also the view from blood mountain was bloody spectacular (I will try upload that photo). 
Also enjoyed a touch of civilization at Meeks gap where I made it with 10 minutes to spare to the outfitter there - and got myself a snickers (which i substituted for my normal mini kraken for desert).
and possibly the biggest news of all is that I think I have a trail name! I am now known as skittles. I shared a bag with the group and one of them named me based on that. They were wild berry btw. 
Also btw woody gap should be called windy gap - hahahhhahahhaa
Hitting the sack now and loookijg forward to another 15-20!tonirrow - let's gooooo!!!!
billy","Gooch mountain 
",Bulls gap,"May 03, Wed",16.70
Billychis,https://www.trailjournals.com//journal/entry/663199,"...when he said that my body is a wonderland. I felt really good today and am so grateful for my body to have cooperated like it has. I was pretty sore yesterday and the grandpa calf was teetering and wasn't sure how things would go today - but my body seems to have really adjusted to the ups and downs and mileage pretty well (famous last words I suppose!). Am I getting my trail legs day 3?
It seems like my ""religious"" moments mostly happen in the morning when I am still really fresh and today was no exception. Was in the middle of a copse (look it up Gigi) of trees and Shrike came on my Spotify - so perfect. 
Also found myself laughing ou loud to myself about how amazingly silly yet perfect my trail name is - skittles! Basically can be anybody out here and to hear people call me that and to intro myself with the name is so funny. 
Oh and I saw a freakin bobcat on the trail today - about 50 yards ahead, just cruising along...
looking forward to a potentially big day tomorrow - another 19 miler if my body is still willing!
Billy","Bulls gap
",Blue mountain ,"May 04, Thu",19
Billychis,https://www.trailjournals.com//journal/entry/663273,"A big day on the trail today. Phone basically dead so not much music, and a lot of time thinkin' over 19+ miles. 
first, thought about the puds concept (pointless ups and downs) and get it as I am climbing or descending but in the end that is the Point - the ups and the downs...
second, had a really cool experience going up Kelly Knob (which btw at mile 16 definitely wasn't a knob). Tried something different where I put my head down (literally), pulled my hat down and never looked up. Then I concentrated on my breathing, and sped up or slowed down only based on my breathing. I stayed right at the top of my aerobic zone and felt really good, almost spiritual (weird?). Wouldn't have had that experience on the flats btw. 
third - seems like there are four groups on the trail - (I) the mid to late 20 somethings who have just quit their first job and are trying to sort out their next steps / life (ii) the over 60 retirees finally able to take the walk of their lives (iii) the mid 30s recently left the military and (iv) me. 
Many other thoughts too but will leave you with this - top 3 irreplaceable items (aside from the obvious) 
- poles - unless you have the knees and hips of a 20 year old these are a must
- stove - a hot meal at dinner or coffee in the morning are so special
- camp sandals - let the dogs breathe 
billy","Blue mountain 
",Dick's Creek Gap,"May 05, Fri",19.10
Billychis,https://www.trailjournals.com//journal/entry/663394,"I will probably end up being that guy (and embrace it) that says - ""well... on the trail..."" to most anything. Like when Aidan complains about me parking the car too far away from the store : ""well on the trail I would walk that distance with a 40 pound pack 2000 times a day, uphill"""" or when quentin says he is tired : ""well on the trail we would walk up Albert mountain hand over hand with a 40 pound pack after 20 miles already done - that's tired"".... get ready people 
Today was a good day after a great night sleep at the holiday inn express (stayed off trail in hiawasse ga last night to get electronics recharged, watch Celtics etc) and a large dominos pepperoni pizza (the thing I have been craving more than anything (and I mean anything...), cinnamon twists, 2 pop tarts and 3/4 of a party size bag of bugles. Only did 16 miles because didn't hit the trail until 10, and even then still had to hike until 745 to get to a campsite (and really tested my setup capabilities including food bag hanging as the sun was setting).   
Another observation - Turns out pretty much everyone on the trail does the wacky tabacky (except me - little k own fact but I was k own as ""wholesome bill"" in high school) around campfire etc. 
Last thought - I have done some of best thinking in recent memory on this trip - not claiming that I have had any truly original thoughts perse, but at least have really examined some concepts that I normally don't have the time or the focus for. Having the time is an obvious driver, but there is something about walking that helps me focus and think bigger and better - having something in the background like hiking really helps (kind of like doodling helps too). Anyway, chew on that one if you can focus for a minute
oh and almost forgot - crossed over into North Carolina today! Lets goooo
skittles","Dick's Creek Gap
",Standing Indian shelter ,"May 06, Sat",16.10
Billychis,https://www.trailjournals.com//journal/entry/663397,"Went nuts today - 24.2 miles including a grueling climb up Albert Mountain (see photo). Felt so good until miles 21 when I started flexing a bit on some macho 20 something's and crushed them up a tough uphill - then felt my Hammy Davis jr... serves me right - so unAT of me. 
A couple things to mention. First - bears! I hung my bag last night for the first time by myself and because I was rushed (didn't get to camp until late) , chose a pretty sketchy tree and fretted all night about it. I was up from 2-4 listening for any sound (not sure what I expected to do about it).  Turns out i just got lucky. Unfortunately, my hiking friend Bugs (a few of us want her to switch her name to Cat since she likes cats) didn't. The bear knocked her tree over (it was also apparently sketchy) and then went nuts. Only left her ""gummies"" and her coffee. We all rallied and gave her a bunch of stuff (that is what we on the trail do) but still pretty big bummer (but an exciting story). 
Also was cataloging all of the cliches you hear on the trail - ""hike your own hike"", ""great day for it"", ""it's a marathon"", ""how far you going?"", ""you a thru hiker or a lasher?"" (long ass sectional hiker - which is what I am btw), (on a downhill) ""I'm not sure which is worse.."" the list goes on. 
Also need to talk to dr. Huberman . There is some really nutty physiological stuff going on with me on this hike. I think I am having ""runners highs"" multiple times a day (gulp) - if I keep my heart rate in a medium to high aerobic zone (not going anaerobic though) on an uphill, when I get to the top, straighten up and my heart rate quickly drops (which is happening lickety split now) I get a crazy euphoria feeling - I have had a runners high before but it is always elusive and unpredictable until now - so who needs to ganja afterall! 
Last thought related - talking with Kimberly last night crystallized something for me - the whole mind body connection that comes out of hiking long distances like this - and it is probably a lot like why people like yoga. I find myself multiple times a day checking in with my body (even vocally) and doing a full scan - out loud ""ooh the plantar fasciitis is something I need to keep an eye on today"" or ""how are you doing today mr shoulder, you seemed a bit out of sorts yesterday"". Wonder who is listening 
And today I crossed over 100 miles! By Tuesday or Wednesday should be crossing into the Smokies! Queueing up the Ronnie Milsap already...
Skittles","Standing Indian shelter 
",Winding Stair Gap,"May 07, Sun",24.20
Billychis,https://www.trailjournals.com//journal/entry/663466,"My friend Bert is apparently obsessed with my journal (so nice!) and pointed something out to me re the locations on the AT that I have been referencing
- Lick Log, Ramrod mountain, Woody Gap, Young Lick, Kelly's Nob, Dicks Creek, Showbird Gap, Rocky Nob, Swinging Lick (although the sign as seen in attached seems to look like ""Dick"") Gap, and Chunky Girl (seriously). 
And these are only the ones I have passed so far...
As I wrote in a text to a friend who was criticizing (playfully of course) me for texting from the trail today, today I lolligagged a bit, which was nice! I only did 16 but given 25 yesterday and a big day tomorrow it seemed fine. Hike your own hike skittles! 
Now that I have been on the trail for almost a week I am starting to feel like I can dish out some advice to the novice hiker out there - and so my first piece of advice is: when you have a choice, avoid camping at a gap when there is road access and parking and instead go that extra bit up the hill to the campsite up there - if someone wants to shiv you, make 'em break a sweat. And on that note... Shiv : hot or not hot? 
and I will leave you with the insightful words of the rapper Latto from her new hit single ""Lottery"": ""you gotta work for this, you can't purchase this"" - that about sums up life on the AT
Skittles","Winding Stair Gap
",Cold Spring Shelter ,"May 08, Mon",16
Billychis,https://www.trailjournals.com//journal/entry/663530,"Big day on the trail today -  26 miles including 4k of elevation gain in last handful  of miles. Also much warmer today so feel like I drank a lake. At the NOC actually picked up a Monster energy drink - haven't had one of those in forever!  Also could no longer avoid the rain and got pretty wet as I headed out of camp.  But I don't melt!
Definitely feel like I have my trail legs now - doesn't really matter how much / how long the uphills are. Kind of crazy. Bring it. 
Saw a guy hiking with a chihuahua named Jenny today. She seemed really nice. 
Tomorrow I should make it to the Fontana ""Hilton"" at Fontana dam - and then into the Smokies!!! Oh and I almost forgot! I picked up a Grateful Dead buff today! 
Skittles","Cold Spring Shelter 
",Stagecoach Gap,"May 09, Tue",26
