Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Ldyref,https://www.trailjournals.com//journal/entry/660059,"Thought I would use my old backpack that I've had for years but after filling it and going for a couple of short hikes my hip bones were very sore so I got online and purchased a mariposa 60 from gossamer gear. What a difference! Last Sunday I  headed down to Schoodic and hiked a couple hours on the bike trails and Buck Cove Mountain Trail (with my loaded new pack) Temps were 40-45°, breezy and overcast and I had a great time.",,View Entry,"Feb 04, Sat",0
Ldyref,https://www.trailjournals.com//journal/entry/660061,"I plan on getting a one way ticket for April 4th, heading south and walking home. A longtime dream of walking the AT with my cousin.",,View Entry,"Feb 04, Sat",0
Ldyref,https://www.trailjournals.com//journal/entry/660062,Our countdown is now 61 days!,,View Entry,"Feb 04, Sat",0
Ldyref,https://www.trailjournals.com//journal/entry/660065,"Well, change of plans. Instead of starting our AT hike on April 7th we've bumped it up to March 29th. I've purchased my one way ticket and things are falling into place. It is getting real. 🙃",,View Entry,"Feb 05, Sun",0
Ldyref,https://www.trailjournals.com//journal/entry/660419,It's a winter wonderland in downeast Maine today. Was quite a workout breaking trail in snowshoes today.,,View Entry,"Mar 04, Sat",0
Ldyref,https://www.trailjournals.com//journal/entry/661297,"Hi everyone! Sorry haven't been on much lately but have begun the start of our adventure as of yesterday. I left home after shedding a few tears saying goodbye to my yellow lab, Winston. On the way to airport I received an email saying my flight was delayed and then another one saying it was cancelled. Tim and I continued to airport and for 2 hours I worked on trying to find another flight. Again, shed some tears due to stress. Finally got one going into Tampa instead of Orlando. I said goodbye to Hubby and went thru security. My backpack was red flagged and I was pulled aside. I learned tent stakes are not acceptable in carry-ons. Checked in my pack and went thru security again and this time the homemade fudge in my coat pocket was red flagged but after being pulled aside again they let me keep it. I was delayed in LaGuardia 3 hours,  finally reached Tampa at 12:30 am, picked up by my cousin Carla and reached her home at 2:45am. We packed this morning and on the road to Georgia by 10:45am. Her hubby is our chauffeur. Anyone following my journal can also follow on YouTube under Carla Pierce. We will be making short videos along the way.",,View Entry,"Mar 27, Mon",0
Ldyref,https://www.trailjournals.com//journal/entry/661340,"Day 0. 
My Cuz and I have started our adventure. We stayed at an Airbnb last night in Ball Ground Georgia and drove to Amicalola Falls to get registered. I am Thru Hiker #1805. We hiked into Len Foote Hike Inn, about 5 miles, with my cousin's hubby Bruce and friend Katrin. They returned to Amicalola Falls and will join us again later on the trail. Was a beautiful day for hiking. Had a delicious dinner, hot shower, caught up on posting and now in our bunkhouse ready for a good night's sleep to tackle Springer Mt tomorrow. 😁","
",View Entry,"Mar 28, Tue",5
Ldyref,https://www.trailjournals.com//journal/entry/661423,"Hi everyone. Yesterday morning we left Len Foote Hike Inn after seeing a beautiful sunrise and delicious breakfast. We hiked on to Springer Mountain and reached it at 10:20am. Now we can officially say we are on the trail! We continued onto Hawk Mt Campground and set up camp. My 1st night in the tent, filtering water and cooking a meal. I brought along a mini cribbage board and we played a couple games with another hiker we met, trail name, Legs. We broke camp at 8:20am and hiked to Woody Gap, a tough 13.1 miles.  I've run into foot problems and hoping a good night's rest will help the soreness. We decided on taking a shuttle into town (Suches, GA) staying at Above the Clouds Hostel. We give this place an A+! Lucky, the owner took 4 of us to a BBQ place and then brought us back where a hot shower felt wonderful! Got our laundry done and a comfy bed. Goodnight all.","
",View Entry,"Mar 30, Thu",13.10
Ldyref,https://www.trailjournals.com//journal/entry/661467,"After staying in Above the Clouds Hostel in Suches, Ga , the owner Lucky, dropped us back off at Woody Gap at 8am and we started hiking towards Blood Mt. Was overcast and only a few raindrops. Great hiking weather.  We met up with Bruce and Katrin at the base of Blood Mt, they came in from Neel Gap doing a loop. Blood Mt is the highest point in Ga on the AT. (4458 ft) We hiked down to Mountain Crossing which is a stone building that the AT goes right through. Saw the Shoe Tree too, quite a sight. I ended up buying new hiking shoes. Been having foot issues with blisters. Spending the night at Katrin's in Murphy NC. Supposed to have winds and wet weather overnight.Goodnight All.","
",View Entry,"Mar 31, Fri",0
Ldyref,https://www.trailjournals.com//journal/entry/661478,"Hi All,It's been a great day! I woke to the sound of thunder and lightning and torrential rain. I was so glad to be at a friend's house off trail. The new shoes I bought yesterday have made a world of difference with my feet. They are going to survive. 😁 We were dropped back off at Neel's Gap at 9 am and started hiking and the weather had cleared. We hiked to Hog Pen Gap and experienced some awesome Trail Magic! Echo Ministries had laid out an abundant spread and it was delicious! Thankful. We continued onto Low Gap Shelter and set up our tents. We hiked 11.5 miles today which gives us a total of 42.8 on the Trail. 😄","
",View Entry,"Apr 01, Sat",0
Ldyref,https://www.trailjournals.com//journal/entry/661516,"Hi All. We broke camp and hit the Trail by 8:20 a.m. It was a little cool last night and starting out this morning. We hiked to Blue Mountain Shelter and took a break. My toes were bothering me on my right foot from the blisters. I changed socks and then we continued to Unicoi Gap where there was a cooler filled with drinks and snacks. Thankful. We had a very steep ascent up Rocky Mountain and finished at Cheese Factory Campground and set up camp by 4:30.  Thankfully my feet felt better this afternoon. And the weather has been wonderful for hiking. 13.4,  miles today,  56.2 on the trail.Goodnight All.","
",View Entry,"Apr 02, Sun",0
Ldyref,https://www.trailjournals.com//journal/entry/661572,"Hi All,Tonight we are in a soft bed, got our laundry done and had a good meal. We broke camp from Cheese Factory Campground at 8am and started hiking. We got 5 1/2 miles in before the rain started. It was a steep climb up Kelly Knob and I got a little chilled but we stopped at Deep Gap Shelter for some hot tea and lunch. The rain stopped then. We put in almost 14 miles today by the  time we reached Dick's Creek Gap. Our hiker friend, Rich was there waiting for Outfitters 76 free shuttle into Clayton. We decided to do the same and got a room at Days inn Express. Our AT total is now 69.2 and tomorrow will be a big day because we will cross into NC!Good night All","
",View Entry,"Apr 03, Mon",0
Ldyref,https://www.trailjournals.com//journal/entry/661605,Hi All. Today was a big day! We are spending the night in North Carolina tonight! The shuttle didn't pick us up til 10am so we didn't get on the trail til 10:40am. Today was the hottest so far and a couple steep climbs...Buzzard Knob and As Knob in Georgia. Once we crossed into NC we had Sharp Top and Courthouse Bald. They were very difficult but we made it to Muskrat Creek Shelter and watching a beautiful sunset fro our tent sites. We also so the oldest tree on the AT today. 12  miles today.Mile 81 on the AT.Goodnight.,"
",View Entry,"Apr 04, Tue",0
Ldyref,https://www.trailjournals.com//journal/entry/661716,"Hi All.Been a couple days with spotty service so will combine the last few days and catch everybody up on where we are at on our hike. On April 4th we went to the Clayton Cafe and had pastries as we waited for the shuttle to take us back to Dick's Creek Gap. We crossed into North Carolina! That was a big milestone for us. 1 state down and 13 to go. Lol It was the hottest day so far and a lot of uphills. We saw the oldest tree on the trail near Bly Gap and reached Muskrat Shelter by 5:30. We set up camp on the perimeter and watched a beautiful sunset. We did 11 miles that day and total on trail was 81. April 5th-- it rained a little in the night so we had to pack up wet tents. We broke camp at 8:10 and planned on making it to Betty's Creek Shelter --16 miles away. Katrin met us on trail and hiked Standing Indian Mt with us. We lunched at the top and she had brought along some Trail Magic for us! Carrot cake, Skittles and chocolate easter bunnies! Thankful. Katrin turned back and we continued on. Was cooler and an easier trail today so able to get the 16 miles in. Happy 37th anniversary to my husband, Tim. April 6th--We left camp at 7:50 and had a steep climb up Albert Mountain. We even climbed the fire tower and had magnificent 360° views! Shortly after that we reached the 100 mile marker! Big accomplishment. We reached Winding Stair Gap by 2:30, grateful for some trail magic before catching a shuttle to The Barn hostel. Is located on top of a mountain and had views of the Appalachian Mountains in the distance. Today is a lot of rain predicted, flood warnings and thunderstorms so Carla and I were taken into town where Katrin picked us up for a zero day. We resupplied and came back to Katrin's home in Murphy for relaxation, catching up with journals and spending time with Katrin. Have a great afternoon All","
",View Entry,"Apr 07, Fri",0
Ldyref,https://www.trailjournals.com//journal/entry/661807,"Hi AllStealth camping in a beautiful spot 3 miles from the NOC tonight but let me back up. Yesterday was a tough day with the cold rain and I easily get chilled. The weather forecast said it should stop raining by 5pm so we decided to head out at 12pm and by the time we were ready to set up camp it would have stopped. It didn't. We left Winding Stair Gap and hiked 11 miles to Wayah Shelter reaching it by 6:15 pm, hoping there would be room in the shelter but it was full so we set up our tents in the rain. The rain stopped by 8pm but as soon as I had my tent set up, I crawled inside, put on dry clothes, skipped my supper and stayed right there til morning. Was a cold start to this morning's hike and I found out I do not like putting on wet shoes. Lol. We broke camp at 9am and the day warmed up nicely and we had the best views so far. We reached Wesser Bald Observation Tower and sat down, took our shoes off and had a relaxing lunch. We climbed the tower and had 360° views. The climb down had great views too. We set up camp along the trail and looking forward to a hot meal and a restful night.Good night All","
",View Entry,"Apr 09, Sun",0
Ldyref,https://www.trailjournals.com//journal/entry/661868,Hi AllThe last 2 days have been beautiful hiking weather. The mornings start out mid 30s but warms up nicely though the day to low 60s. We broke camp at 8 am this morning and started hiking the 3 miles down to Nantahala Outdoor Center. Katrin and her brother joined us there and hiked a ways with us before turning back. Was great seeing Katrin again. I bought some tights at the Outdoor Center to make sure I was prepared for when wet weather comes again...needed another layer. I know without a doubt that I do have a heart because today I felt it pounding against my chest most of the day. 😁 The elevation gains today were long and steep. Tyre Knob was tough but we had lunch on The Jump Up and the views were incredible. Then we tackled Cheoah Bald still going up. Great cardio workout today. We set up camp in Locust Cove Gap and felt good to call it a day. 13.7 miles. Total on trail tonight is 147.4 miles. Chipping away. 😊Goodnight All,"
",View Entry,"Apr 10, Mon",0
Ldyref,https://www.trailjournals.com//journal/entry/661924,"Hi AllAnother beautiful day on the trail. Cool start but warmed up nicely. We planned on a long day so was up early....before daylight in my defense. I went to retrieve my bear bag and could not find it tied to the tree I thought I'd tied it to last night. I thought a bear had the last of my pop tarts! But I looked further and found the right tree. Lol.We left camp at 7:12am and had only 2 short breaks, other then stopping to filter water. One at Brown Fork Gap Shelter and the other at Cable Gap Shelter. 17 long miles later we 'rolled' into Fontana Dam. We caught a shuttle to The Lodge, got a room, showered and headed down to the restaurant where we inhaled our appetizers and meal. Did our laundry too before climbing into a real bed tonight.Goodnight All","
",View Entry,"Apr 11, Tue",0
Ldyref,https://www.trailjournals.com//journal/entry/661972,"Hi AllAnother beautiful day to be hiking. I ate a huge breakfast of pancakes, bacon, oj and coffee at the Fontana Lodge restaurant. We made a video,packed up and caught a shuttle back to the marina where we'd left off last night. The AT goes across the Fontana Dam! Was so neat! It's the biggest dam east of the Mississippi. Then we hiked 3 miles straight up into the Smokies. We took a little spur trail to visit the Shuckstack Tower and climbed it to get 360° views. Heights make me nervous but I was determined to do it and was well worth it. We then hiked on to Molly's Ridge Shelter, reaching it at 6:10pm and set up tents. Elevation is 4,570 feet so a little chilly tonight. The AT is so rewarding...At times when you feel so exhausted you turn a corner or reach a Bald and see such beauty. With about 5 miles left to hike, we reached Doe Knob and it was like stepping into a Disney movie. Tiny white and lavender flowers covered the ground in a see of green, old, old blowdowns were covered with moss and white birches scattered around. The trail wound through this for about a half mile. Thankful for that. 13 miles today, 177.7-AT😊Goodnight All","
",View Entry,"Apr 12, Wed",0
Ldyref,https://www.trailjournals.com//journal/entry/662086,"Hi All,Off trail tonight and have been treated like Queens! A friend of my sister's picked us up at Clingman's Dome after we'd left Derrick Knob Shelter this morning and had hiked 10 miles to the Dome. Part of the hike looked like an enchanted forest. I half expected to see bread crumbs on the trail left by Hansel and Gretal and the Gingerbread house off the trail. Everything was covered with moss...the ground, the stumps and trees. We had a little rain on the hike and was a chilly day in the mid 40's. Luckily we'd just reached the Dome when it started pouring and even had some hail. She drove us to her nice home and we took hot showers, did our laundry and was served white bean chicken chili, homemade sourdough bread, homemade brownies and homemade strawberry cobbler with ice cream. I'm not ashamed to say I had 2 servings of EVERYTHING! Weather is rainy again tomorrow so taking a zero day to resupply and rejuvenate. Today we hit 200 miles on our journey!Yesterday morning we'd broken camp at 8:20 and headed out. We saw 3 deer right on the trail feeding and were able to video them. That was really neat. We climbed Rocky Top and sang the chorus to 'Rocky Top Tennessee ' on the summit. 😆 5441' and then got to the top of Thunderhead 5527'. We reached Derrick Knob Shelter by 4pm and stayed in the shelter instead of setting up tents because of impending rain. A first for us. Had been another beautiful day for hiking. Thankful for a cozy bed tonight and good friends.Goodnight All","
",View Entry,"Apr 14, Fri",0
Ldyref,https://www.trailjournals.com//journal/entry/662179,"Hi AllGot back on trail this morning at Clingman's Dome. My twin sister's friends have been so welcoming and gracious to us during our stay there. We got rested, fed so much wonderful food and made wonderful memories. Thankful! We hiked 11 miles in a few sprinkles to Icewater Spring Shelter and reached it by 5pm. It is crowded but we found room. Tonight is supposed to be cold and high winds so feel better here then a tent. Hunkered down in my sleeping bag and ready to call it a day.AT--210.8😊 Good night All","
",View Entry,"Apr 16, Sun",0
Ldyref,https://www.trailjournals.com//journal/entry/662229,"Hi AllI think last night and today has been the coldest so far. The north wind has been howling plus being up so high in elevation is a factor. We broke camp at 7:50am without even cooking breakfast...was too cold to hang around. Lol. In .8 we reached Charlie's Bunyan 5500' and had magnificent views. We climbed Mt Sequoyah 6003' and High Point on Mt Chapman 6218'.  We reached Tri-Corner Knob Shelter by 3:10pm and set up sleeping bags in the shelter, made phone calls home and wished my daughter a very happy birthday. 😊. We sat out in the sun to warm up before cooking supper. We used to share individual meals but hiker hunger has hit and I don't want to share now, want the whole meal for myself...plus more! 😆                    Today-11.6 m, AT-223.4Good night All","
",View Entry,"Apr 17, Mon",0
