Hiker trail name,Hiker Journal Link,Journal Story,Start location,Destination,date,Today Miles
Shades of Blue,https://www.trailjournals.com//journal/entry/659511,"I've been doing a lot of day hiking and a few overnight hikes in preparation for my thru-hike.   My focus for this hike was to camp in cooler weather since I have a start date in late February.  I hiked a loop in the Smokies following the Wolf Ridge trail over Gregory Bald (which the old AT used to go over).  Camped at campsite #92 on Long Hungry Ridge trail, up to the AT on the Twentymile trail then back to the Twentymile Ranger station and home.  It was a good hike.  I did a little over 11 miles the first day then around 8 miles the next day.   Gregory Bald was absolutely beautiful and I had a great view of Cades Cove (which my wife and I had camped at in our camper over the past weekend).  I need to work on venting my tent to bring condensation down, but other than that a successful hike.",,View Entry,"Nov 29, Tue",0
Shades of Blue,https://www.trailjournals.com//journal/entry/659512,"I reserved a spot for my wife to camp at Amicalola Falls the day before my hike begins.  This will allow me to get checked in and get my hang tag, then start hiking from Springer on February 26th.  Another step to begin this long journey.   I also spent the evening practicing setting up my tent as if it were raining.  I set my rain fly up, then my tent underneath it.  This should help keep some of the rain out of my tent during downpours.  I plan on taking a three day hike in the Smokies next week to continue building strength and working on my cold weather camping skills.  ",,View Entry,"Dec 04, Sun",0
Shades of Blue,https://www.trailjournals.com//journal/entry/659610,"I did a 3 day 35 mile hike along the lakeshore of Fontana lake in the Smokies. I averaged around 12 miles a day including hiking the AT back to Fontana Dam.   Great weather on the first two days then a nasty, cold and rainy day on the last day.   My gear held up well but didn’t get to test sleeping below 35 degrees on this trip.  I enjoyed the historical parts of the hike.  There was an old town of Proctor at Hazel creek.   You can only access it by boat or foot now.   There were all sorts of old abandoned cars mainly on the section between eagle creek and Fontana dam.",,View Entry,"Dec 12, Mon",0
Shades of Blue,https://www.trailjournals.com//journal/entry/659783,"I did another shake down hike in the Smokies.  Temps were moderate to cool and I hiked in shorts and shirt for most of the two days out.  I hiked 12.5 miles the first day and 11.6 miles the second day.   Cataloochee Divide trail had lots of winter views which is nice, but the coolest site was when I walked up on a herd of Elk near Cataloochee.   There must have been about 30 or so elk with several staring me down on the trail.   I've seen elk on the Cherokee side of the park, but usually from a distance or my car.  I stopped, took my pictures then made all sorts of noise to try and get them to leave the trail.  Eventually the moved off the trail and I continued with the morning hike.  This was about 1/2 mile from campsite #40.",,View Entry,"Jan 02, Mon",0
Shades of Blue,https://www.trailjournals.com//journal/entry/659784,"So, I started out on Big Creek Trail and hiked up Swallow Fork trail to Mt. Sterling Ridge Trail and camped at the Mt. Sterling fire tower campsite (#38).  Temperature was forecasted to get to 32 with a windchill in mid to low 20's.  I set up my tent to try to avoid the worst of the wind, but still had wind all night. This is the coldest I've camped in quite a while.   I stayed up on the fire tower for the sunset which was beautiful.   There was a full moon over the valley also.  Unfortunately, I allowed my self to get too cold while enjoying the sunset and then cooking dinner.   I forgot my hot chocolate at home which would have helped with the warmth.  I got into my tent, changed into my mid weight smart wools and got in the bag.  It's rated for 10 degrees and down.  It usually does the trick pretty quickly but it took a long time to get warm this time.   Part of the problem was that when I zipped my tent fly closed I pulled on the wrong zipper and left a big gap for the wind to get through.   I was shivering while doing this and I think I made poor decisions.  Normally I would've noticed that.   I noticed it after a few hours of trying to warm up.  I wasn't shivering any more, but wasn't comfortable.   I noticed  I could see stars through the fly and my brain finally figured out what I had done.   I corrected the mistake and then cinched up the hood on my bag tighter.  I quickly warmed up and was warm for the rest of the night.   I believe it was colder than the forecast because my water bottle was partially frozen (inside the tent) and my water bladder was worse (in the vestibule).  I bought a thermometer from Amazon and will take it on my next hike so I will know the actual temperature.  The next morning I warmed my hiking clothes up in the sleeping  bag and broke camp.   I was able to stay warm enough in the morning and my layers did well.   I then hiked back to Big Creek via the Baxter Trail.Lessons:  Need rain pants as a layer to keep warm over my smart wools in camp.  I currently use a rain skirt.  I ordered the pants from Anti Gravity Gear.  Need a Pillow for better sleeping.  (Ordered from Backcountry.com)  I've had my Western Mountaineering sleeping bag over filled with down (3 oz).  They say it should get my to a 5 degree bag.  The bag I used for this trip was my wife's while mine was sent away.  Everything is harder to do when cold.   I have a lot of experience backpacking on the AT, just very little in cold weather.  Most of my cold weather camping has been either spring break or training for my upcoming thru-hike.  I need to work on my food bag choices and campsite selection for wind.  I am planning shake down hikes throughout January and early February to build endurance and experience with cold weather camping.",,View Entry,"Jan 05, Thu",0
Shades of Blue,https://www.trailjournals.com//journal/entry/659837,"I hiked up Big Creek trail in the Smokies and took Camel Gap trail to the AT and camped at Cosby Knob Shelter.  I had new tyvek that my good friend Bill gave me.   Bill was the School Resource Officer of one of the schools I taught music in.   It made a tremendous difference.  My old tyvek was well....old and I had washed it.   I'm not sure if the washing or if it's age had caused it to lose its effectiveness.   I will say that the new tyvek transferred the moisture out of my tent to the ground.  At Mt. Sterling and the old tyvek, the tyvek was frozen.   It was colder at Cosby Knob and underneath the tyvek was wet while the rest of the ground was frozen.   It was 40 degrees inside the tent and 20 degrees outside (per my thermometer).  I was able to stay toasty in my bag and my gear kept me relatively warm while I cooked breakfast.The second day took me south on the AT to Balsam Mountain trail.   I followed it down to Laurel Gap shelter.   It was the longest day with a backpack in a while.  13.9 miles.  My legs and feet held up well, although I arrived at the shelter with only a 1/2 hour of daylight left.  The only good camping spot had widow makers above it and it was windy....so I stayed in the shelter.  Temps got down to 28 degrees and my bag held up fine without the tent.   My pad slid a lot on the tyvek.  I tried putting a shirt under the pad but I kept sliding.   Not sure how to fix that.   While my plan is to avoid shelters, there will be times when shelters are necessary.   I originally planned this as a five day hike but I got a text from Bill saying conditions for Thursday and Friday had changed.   It was supposed to be light rain and possibly light snow.   It changed to heavy rain and wind on Thursday with temps dropping Thursday night to the low 20's.   Friday was supposed to have more snow.  My Fifth day had two streams I had to ford and I didn't want to face the fords with heavy rain.   There was an alternate way to the car, but that would have kept me at a high elevation for much longer in the day.   I decided to hike out on the third day instead.The third day took my down the Gunter Fork trail.   I didn't know this until I hiked it, but there had been a landslide on part of the trail (still passable) but also a lot of erosion on the side of the trail with steep mountain side below me.   That slowed me down greatly for the 4.1 miles.   Instead of 2 crossings,  I had to put my water shoes on four times to cross Gunter Fork creek and then Big Creek.   My feet got pretty cold.   I had to strip down to just underwear and a top to ford Big Creek.   The water came up about a foot above my knees.   The crossings were successful, but I'm not sure how I would have tolerated both cold water and below freezing air if I'd hiked it Friday.  The lower portion of Gunter fork is in ok condition and the falls are worth the walk from Camel Gap/Big Creek trails.   Be careful of the fords though.   When I got home, the forecast changed again from light snow to 3.5 inches before sunrise and 6 to 8 more inches during the day.  Even more Friday night.   I got a text Thursday from GSMNP backcountry office informing me of the forecast.   Overall, I think I made a good decision to hop off the trail early.Much nicer hike in general.   I need to work on learning how to sleep while camping again.   I'm not bothered being alone in the woods.   It's more sore legs and being in a mummy bag.  I'm hoping my new pillow will add to my comfort and allow me to sleep better.   I am still tweaking my food bag, not happy with it yet, but it's a work in progress.",,View Entry,"Jan 09, Mon",0
Shades of Blue,https://www.trailjournals.com//journal/entry/660119,"I have been working on replacing a section of my deck at home for the past 3 weeks (Thanks for all the help Bill).   I've done very little training but was able to get out for a nice 4 day hike in the Smokies.   I started at Mt. Sterling Gap and hiked the long bunk trail to the Little Cataloochee trail and camped at Campsite #39.   It was tough getting back on the trail after so many weeks of not training, but I got to camp and used two new items.  I bought a Deuce trowel from tent lab.  it is light and works great.  I had tried using my hiking poles to dig with to save weight but I could never get deep enough.  I used this trowel for poo, but also to bury any grey water and when I brushed my teeth.  Much easier and worth the less than 1/2 ounce.  I also used a pillow this trip, Sea to Summit Aeros premium pillow at 2.8 ounces.  I slept much better on this trip, not quite as good as home yet, but much better.  The worst sleeping night was at Laurel Gap Shelter.
The most interesting thing on this trip was that I was stalked by a large group of wild hogs.  I was at the junction of Balsam Mt. Trail and Balsam Mt. Road having a snack before walking the closed for season road to the Palmer Creek trail.  As I was eating my chips I kept hearing what sounded like large animals moving in the distance.  I thought they were deer at this time of year.  They kept getting closer so I stood up and turned around to look.   About 100 yards off I saw six large wild hogs coming toward me.  I yelled and hit my hiking  sticks like I do when I see a bear too close.  They all squealed and turned tail and ran away.  But off to my left about 3 to 4 more large hogs ran and with them 6 to 8 smaller pigs.   It's the most pigs in the Smokies I have ever seen.   After I watched them go over the mountain I sat down to eat again.   About 10 minutes later I had this odd feeling, then I heard a pig snort close to me.  I jumped up and yelled again and a large pig had returned and was 20 yards from me.  He ran away and I packed up and walked down the road.  I didn't see any more pigs on the trip.  I reported the large group to the back country office for the Smokies.  They are an invasive species and the park hunts them.
Everything except my food worked well on this hike.   I've decided to take my alcohol stove on my thru hike instead of my canister stove to save 7 ounces and not carry chicken and noodles/rice for my dinner.  I couldn't stomach the food on any of my shake down hikes.  I am either going to eat oatmeal in the evening with hot chocolate or something else light.  My body can only eat so much after hiking all day.  I figure that may change over time, but it is what I am going to start with.   I am adding beef jerky and nuts for protein.   
I start my hike two weeks from tomorrow.  I feel good about my gear and plan.   Good ideas for food, but it will be tweaked.  I am going to walk my mountain at home over the next two weeks and take as may day hikes as I can manage.  My next entry will either be from Amicolola Falls, or after I have hiked the trail for a few days and have enough signal to update.  Thanks for following my pre-hike journal and I'll talk next from the AT.",,View Entry,"Feb 11, Sat",0
Shades of Blue,https://www.trailjournals.com//journal/entry/660274,"Mary and I arrived at Amicalola Falls, and set up our camper in the campground. I got registered with the ATC and picked up my tag. I am hiker number 498. We had lunch at the lodge and I am in for the evening.  
Tomorrow, Mary and I go to Springer Mountain and I begin my 2023 through hike of the Appalachian Trail.",,View Entry,"Feb 25, Sat",0
Shades of Blue,https://www.trailjournals.com//journal/entry/660311,"Today I started at Amicalola Falls campground, cooking breakfast of eggs and bacon. Mary and I drove to Springer Mountain trail head. We hiked southbound to the summit of Springer and then back to the car. I kissed Mary bye and begin my trip northbound on the Appalachian Trail.
I saw all sorts of people in the beginning, but after a while, I hiked mostly by myself. Right before I was beginning to climb Sassafras Mountain I ran into a trail angel. He offered me water and a tootsie roll pop. I met a through hiker there called First Grader. He is from Michigan and is a retired first grade teacher. I left him at the gap and hiked up Sassafras. This was at the end of a long day for me. It was a tough climb, but I was able to do it.
At the bottom of Sassafras, I took a snack break. I had 2 miles left to camp. First grader stopped where I was having snack we began a conversation and hiked together most of the 2 miles to camp.  He quoted Mike Tyson saying everything goes to plan until the first punch to the face. I hadn’t told him my name was Michael Tyson yet. The 2 miles flew by as we talked and then we traded contact information and he hiked on to Gooch gap shelter.
I set up camp and got water for the evening. The tough part came when I was trying to hang my bear bag. It was a fiasco.  I had practiced well and thought I was prepared. I couldn’t find a proper tree and fouled up my line. It took forever to untangle. I finally got it untangled and hung my bear bag. 
Overall, it was a great first day hopefully tomorrow the bear bag hanging will go better.","Springer Mountain 
",Justice Creek,"Feb 26, Sun",14.20
Shades of Blue,https://www.trailjournals.com//journal/entry/660340,"I woke up early before sunrise because I was able to get to sleep early last night.  I expected rain, but it didn't come in the morning.  I hiked a few miles to Gooch Mountain Shelter and had breakfast.  I saw a few hikers there including Turtle Tracks from Greenville, NC.  I continued north and later in the morning the rain began.  At first it was light and variable, then it became windy with steady rain.  I ate lunch at Woody Gap under a small National Forest board with a small overhang.  I then entered Blood Mountain wilderness.  The trail was mud but the rain became less of a nuisance as the day progressed.  I ran into a South Bound hiker who was finishing his hike (Mayor).  He said that most people were moving on to Neels Gap and that there probably wouldn't be many people at Blood Mountain Shelter and it would be a good sunrise tomorrow.  While it was further than I had planned, I thought it would make my next day .8 miles shorter and the climb over Blood Mountain would be done.  I decided to go for it.  The shelter is dry (no water) so I carried up 3 liters of water to the top, hiking through heavy wind and fog, but little rain.  I got to the shelter which is an enclosed old two room hut and there were five people there.  Six including me.  I got my bear bag up (on the first try) and then picked out a spot to sleep.  One room was completely wet through a windowless opening and a doorless opening.   One hiker already had the driest spot.  The other room had four people in with the only space underneath a window that was covered with tyvek.
The tyvek was held down with two very heavy rocks on beams above the window and the bottom of the tyvek had 5 very heavy rocks holding it down.  All through the night the wind was blowing the tyvek in a few inches and pulling it out a few inches but it seemed like it would stay.  Unfortunately, it became more windy in the night and blew the heavy bottom rocks off of the ledge and very close to me.  My phone was beside me and one of the rocks hit my phone and it wouldn't work any more.  There was a big crack down the center of the screen and the screen was black.  I had planned on using my ear buds as ear plugs with music but without my phone that wouldn't work.  I got very little sleep.
The next morning one of the hikers allowed me to use his phone and I called Mary for a pick up to repair or replace my phone.  More tomorrow.","Justice Creek
",Blood Mountain Shelter,"Feb 27, Mon",14.70
